key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier
3c_alani_civil_governance_008_introduce_steppe_laws	main_3c	3c_alani	5	3c_alani_civil_governance_introduce_steppe_laws	3c_alani_civil_governance	4
3c_alani_civil_governance_009_proclaim_legendary_kingdom	main_3c	3c_alani	4	3c_alani_civil_governance_proclaim_legendary_kingdom	3c_alani_civil_governance	5
3c_alani_civil_top_001_instil_dilligence	main_3c	3c_alani	7	3c_alani_civil_top_gather_herdsmen	3c_alani_civil_top	0
3c_alani_military_battle_001_practice_boar_head_formation	main_3c	3c_alani	3	3c_gothi_military_battle_practice_boar_head_formation	3c_alani_military_battle	2
3c_alani_military_battle_002_issue_cavalry_chainmail	main_3c	3c_alani	2	3c_alani_military_battle_issue_cavalry_chain_mail	3c_alani_military_battle	3
3c_alani_military_battle_003_train_crews	main_3c	3c_alani	6	3c_gothi_military_battle_gather_sailors	3c_alani_military_battle	1
3c_alani_military_battle_004_assemble_the_horsemen	main_3c	3c_alani	3	3c_gothi_military_battle_gather_horsemen	3c_alani_military_battle	0
3c_alani_military_battle_005_announce_head_hunt	main_3c	3c_alani	2	3c_alani_military_battle_announce_head_hunt	3c_alani_military_battle	1
3c_alani_military_battle_006_adopt_hellenic_naval_traditions	main_3c	3c_alani	6	3c_alani_military_battle_adopt_hellenic_naval_traditions	3c_alani_military_battle	5
3c_alani_military_battle_007_reward_the_kataphractoi	main_3c	3c_alani	3	3c_sassanid_military_battle_reward_your_kataphractoi	3c_alani_military_battle	4
3c_alani_military_battle_008_train_with_composite_bows	main_3c	3c_alani	6	3c_alani_military_battle_train_with_composite_bows	3c_alani_military_battle	3
3c_alani_military_battle_009_practice_feigned_retreat	main_3c	3c_alani	2	3c_alani_military_battle_practice_feigned_retreat	3c_alani_military_battle	5
3c_alani_military_campaign_001_encourage_oneonone_training	main_3c	3c_alani	3	3c_gothi_military_campaign_encourage_oneonone_training	3c_alani_military_campaign	0
3c_alani_military_campaign_002_motivate_hirelings	main_3c	3c_alani	2	3c_gothi_military_campaign_improve_mercenary_administration	3c_alani_military_campaign	1
3c_alani_military_campaign_003_authorize_pillaging	main_3c	3c_alani	6	3c_gothi_military_campaign_organize_pillaging	3c_alani_military_campaign	3
3c_alani_military_campaign_004_organize_forage_parties	main_3c	3c_alani	2	3c_gothi_military_campaign_send_out_forage_parties	3c_alani_military_campaign	3
3c_alani_military_campaign_005_copy_roman_arms_construction	main_3c	3c_alani	6	3c_gothi_military_campaign_copy_roman_smithing	3c_alani_military_campaign	1
3c_alani_military_campaign_006_live_off_the_land	main_3c	3c_alani	3	3c_gothi_military_campaign_live_off_the_land	3c_alani_military_campaign	2
3c_alani_military_campaign_007_expand_warleader_retinue	main_3c	3c_alani	3	3c_gothi_military_campaign_expand_warleader_retinue	3c_alani_military_campaign	4
3c_alani_military_campaign_008_kidnap_foreign_siege_specialists	main_3c	3c_alani	6	3c_gothi_military_campaign_kidnap_foreign_siege_specialists	3c_alani_military_campaign	5
3c_alani_military_campaign_009_unite_the_steppes	main_3c	3c_alani	2	3c_alani_military_campaign_unite_the_steppes	3c_alani_military_campaign	5
3c_alani_military_recruitment_001_gather_brave_souls	main_3c	3c_alani	1	3c_gothi_military_recruitment_gather_brave_souls	3c_alani_military_recruitment	0
3c_alani_military_recruitment_002_enchance_boat_construction	main_3c	3c_alani	5	3c_gothi_military_recruitment_enchance_boat_construction	3c_alani_military_recruitment	0
3c_alani_military_recruitment_003_intensify_physical_conditioning	main_3c	3c_alani	4	3c_gothi_military_recruitment_intensify_physical_conditioning	3c_alani_military_recruitment	1
3c_alani_military_recruitment_004_lead_by_example	main_3c	3c_alani	1	3c_gothi_military_recruitment_lead_by_example	3c_alani_military_recruitment	2
3c_alani_military_recruitment_005_implement_iron_anchors	main_3c	3c_alani	5	3c_gothi_military_recruitment_implement_iron_anchors	3c_alani_military_recruitment	2
3c_alani_military_recruitment_006_improve_cavalry_tactics	main_3c	3c_alani	4	3c_gothi_military_recruitment_improve_cavalry_tactics	3c_alani_military_recruitment	3
3c_alani_military_recruitment_007_instill_military_discipline	main_3c	3c_alani	1	3c_gothi_military_recruitment_instill_military_discipline	3c_alani_military_recruitment	4
3c_alani_military_recruitment_008_adopt_clinkerbuilt_ships	main_3c	3c_alani	5	3c_gothi_military_recruitment_adopt_clinkerbuilt_ships	3c_alani_military_recruitment	4
3c_alani_military_recruitment_009_oversee_young_bloods	main_3c	3c_alani	4	3c_gothi_military_recruitment_oversee_young_bloods	3c_alani_military_recruitment	5
3c_alani_military_top_001_breed_steppe_steeds	main_3c	3c_alani	7	3c_alani_military_top_breed_steppe_steeds	3c_alani_military_top	0
3c_armenia_civil_culture_001_adhere_tenets_zoroaster	main_3c	3c_armenia	3	3c_armenia_civil_culture_adhere_tenets_zoroaster	3c_armenia_civil_culture	0
3c_armenia_civil_culture_002_honor_sassanian_influence	main_3c	3c_armenia	2	3c_armenia_civil_culture_honor_sassanian_influence	3c_armenia_civil_culture	1
3c_armenia_civil_culture_003_welcome_latin_influence	main_3c	3c_armenia	6	3c_armenia_civil_culture_welcome_latin_influence	3c_armenia_civil_culture	1
3c_armenia_civil_culture_004_recall_ancient_rites	main_3c	3c_armenia	3	3c_armenia_civil_culture_recall_ancient_rites	3c_armenia_civil_culture	2
3c_armenia_civil_culture_005_develop_natural_sciences	main_3c	3c_armenia	2	3c_armenia_civil_culture_develop_natural_sciences	3c_armenia_civil_culture	3
3c_armenia_civil_culture_006_accept_christian_refuges	main_3c	3c_armenia	6	3c_armenia_civil_culture_accept_christian_refuges	3c_armenia_civil_culture	3
3c_armenia_civil_culture_007_promote_religious_tolerance	main_3c	3c_armenia	3	3c_armenia_civil_culture_promote_religious_tolerance	3c_armenia_civil_culture	4
3c_armenia_civil_culture_008_train_royal_medicinemen	main_3c	3c_armenia	2	3c_armenia_civil_culture_hire_royal_medicinemen	3c_armenia_civil_culture	5
3c_armenia_civil_culture_009_support_christianity	main_3c	3c_armenia	6	3c_armenia_civil_culture_support_christianity	3c_armenia_civil_culture	5
3c_armenia_civil_economy_001_order_land_reclamation	main_3c	3c_armenia	1	3c_armenia_civil_economy_order_land_reclamation	3c_armenia_civil_economy	0
3c_armenia_civil_economy_002_hire_roman_translators	main_3c	3c_armenia	5	3c_armenia_civil_economy_hire_roman_translators	3c_armenia_civil_economy	0
3c_armenia_civil_economy_003_tax_the_nobility	main_3c	3c_armenia	4	3c_armenia_civil_economy_tax_the_nobility	3c_armenia_civil_economy	1
3c_armenia_civil_economy_004_plan_irrigation_infrastructure	main_3c	3c_armenia	1	3c_armenia_civil_economy_plan_irrigation_infrastructure	3c_armenia_civil_economy	2
3c_armenia_civil_economy_005_extend_royal_benevolence	main_3c	3c_armenia	5	3c_armenia_civil_economy_extend_royal_benevolence	3c_armenia_civil_economy	2
3c_armenia_civil_economy_006_plan_grand_canals	main_3c	3c_armenia	4	3c_armenia_civil_economy_plan_grand_canals	3c_armenia_civil_economy	3
3c_armenia_civil_economy_007_implement_terraced_fields	main_3c	3c_armenia	1	3c_armenia_civil_economy_implement_terraced_fields	3c_armenia_civil_economy	4
3c_armenia_civil_economy_008_create_royal_bazaars	main_3c	3c_armenia	5	3c_armenia_civil_economy_create_royal_bazaars	3c_armenia_civil_economy	4
3c_armenia_civil_economy_009_control_silk_roads	main_3c	3c_armenia	4	3c_armenia_civil_economy_control_silk_roads	3c_armenia_civil_economy	5
3c_armenia_civil_governance_001_assume_the_crown_authority	main_3c	3c_armenia	1	3c_armenia_civil_governance_assume_the_crown_authority	3c_armenia_civil_governance	0
3c_armenia_civil_governance_002_demand_zealous_labour	main_3c	3c_armenia	5	3c_armenia_civil_governance_demand_zealous_labour	3c_armenia_civil_governance	0
3c_armenia_civil_governance_003_control_urban_development	main_3c	3c_armenia	4	3c_armenia_civil_governance_control_urban_development	3c_armenia_civil_governance	1
3c_armenia_civil_governance_004_complie_code_laws	main_3c	3c_armenia	1	3c_armenia_civil_governance_complie_code_laws	3c_armenia_civil_governance	2
3c_armenia_civil_governance_005_extend_peasant_class_rights	main_3c	3c_armenia	5	3c_armenia_civil_governance_extend_peasant_class_rights	3c_armenia_civil_governance	2
3c_armenia_civil_governance_006_glorify_illoustrous_lineage	main_3c	3c_armenia	4	3c_armenia_civil_governance_glorify_illoustrous_lineage	3c_armenia_civil_governance	3
3c_armenia_civil_governance_007_establish_vigorous_administration	main_3c	3c_armenia	1	3c_armenia_civil_governance_establish_vigorous_administration	3c_armenia_civil_governance	4
3c_armenia_civil_governance_008_promote_trusted_councillors	main_3c	3c_armenia	5	3c_armenia_civil_governance_promote_trusted_councillors	3c_armenia_civil_governance	4
3c_armenia_civil_governance_009_proclaim_grand_armenia	main_3c	3c_armenia	4	3c_armenia_civil_governance_proclaim_grand_armenia	3c_armenia_civil_governance	5
3c_armenia_civil_top_001_honor_sassanian_mandate	main_3c	3c_armenia	7	3c_armenia_civil_top_honor_sassanian_mandate	3c_armenia_civil_top	0
3c_armenia_military_battle_001_adhere_greek_warfare_traditions	main_3c	3c_armenia	2	3c_palmyra_military_battle_adhere_greek_warfare_traditions	3c_armenia_military_battle	1
3c_armenia_military_battle_002_issue_composite_bows	main_3c	3c_armenia	3	3c_armenia_military_battle_issue_composite_bows	3c_armenia_military_battle	0
3c_armenia_military_battle_003_train_marines	main_3c	3c_armenia	6	3c_armenia_military_battle_teach_sailors_fight	3c_armenia_military_battle	1
3c_armenia_military_battle_004_reward_the_kataphractoi	main_3c	3c_armenia	3	3c_armenia_military_battle_reward_your_kataphractoi	3c_armenia_military_battle	4
3c_armenia_military_battle_005_dominate_the_crossroads	main_3c	3c_armenia	2	3c_armenia_military_battle_dominate_the_crossroads	3c_armenia_military_battle	5
3c_armenia_military_battle_006_refine_naval_artillery	main_3c	3c_armenia	6	3c_armenia_military_battle_refine_your_naval_artillery	3c_armenia_military_battle	3
3c_armenia_military_battle_007_praise_armenian_nobility	main_3c	3c_armenia	3	3c_armenia_military_battle_praise_armenian_nobility	3c_armenia_military_battle	2
3c_armenia_military_battle_008_research_machines_of_war	main_3c	3c_armenia	2	3c_armenia_military_battle_research_your_machines_of_war	3c_armenia_military_battle	3
3c_armenia_military_battle_009_glorify_hayk_legacy	main_3c	3c_armenia	6	3c_armenia_military_battle_glorify_hayk_legacy	3c_armenia_military_battle	5
3c_armenia_military_campaign_001_employ_mardomard_champions	main_3c	3c_armenia	3	3c_armenia_military_campaign_employ_mardomard_champions	3c_armenia_military_campaign	0
3c_armenia_military_campaign_002_improve_mercenary_administration	main_3c	3c_armenia	2	3c_armenia_military_campaign_improve_your_mercenary_administration	3c_armenia_military_campaign	1
3c_armenia_military_campaign_003_call_noblemen_to_arms	main_3c	3c_armenia	6	3c_armenia_military_campaign_call_noblemen_to_arms	3c_armenia_military_campaign	1
3c_armenia_military_campaign_004_enforce_voluntary_service	main_3c	3c_armenia	3	3c_armenia_military_campaign_enforce_voluntary_service	3c_armenia_military_campaign	2
3c_armenia_military_campaign_005_hire_nisean_breeders	main_3c	3c_armenia	6	3c_armenia_military_campaign_hire_nisean_breeders	3c_armenia_military_campaign	5
3c_armenia_military_campaign_006_reorganize_zoranamak	main_3c	3c_armenia	2	3c_armenia_military_campaign_reorganize_zoranamak	3c_armenia_military_campaign	3
3c_armenia_military_campaign_007_enforce_conscription	main_3c	3c_armenia	3	3c_armenia_military_campaign_enforce_conscription	3c_armenia_military_campaign	4
3c_armenia_military_campaign_008_improve_siege_management	main_3c	3c_armenia	6	3c_armenia_military_campaign_starve_your_enemies	3c_armenia_military_campaign	3
3c_armenia_military_campaign_009_elevate_noble_houses	main_3c	3c_armenia	2	3c_armenia_military_campaign_elevate_noble_houses	3c_armenia_military_campaign	5
3c_armenia_military_recruitment_001_exact_levies	main_3c	3c_armenia	1	3c_armenia_military_recruitment_exact_your_levies	3c_armenia_military_recruitment	0
3c_armenia_military_recruitment_002_hire_skilled_engineers	main_3c	3c_armenia	5	3c_armenia_military_recruitment_summon_shipbuilders	3c_armenia_military_recruitment	0
3c_armenia_military_recruitment_003_intensify_physical_conditioning	main_3c	3c_armenia	4	3c_armenia_military_recruitment_intensify_physical_conditioning	3c_armenia_military_recruitment	1
3c_armenia_military_recruitment_004_emphasize_on_cavalry	main_3c	3c_armenia	1	3c_armenia_military_recruitment_emphasize_on_your_cavalry	3c_armenia_military_recruitment	2
3c_armenia_military_recruitment_005_improve_harbour_infrastructure	main_3c	3c_armenia	5	3c_armenia_military_recruitment_improve_harbour_infrastructure	3c_armenia_military_recruitment	2
3c_armenia_military_recruitment_006_expand_tactical_exercises	main_3c	3c_armenia	4	3c_armenia_military_recruitment_expand_tactical_exercises	3c_armenia_military_recruitment	3
3c_armenia_military_recruitment_007_reorganize_military_hierarchy	main_3c	3c_armenia	1	3c_armenia_military_recruitment_reorganize_military_hierarchy	3c_armenia_military_recruitment	4
3c_armenia_military_recruitment_008_undertake_epic_naval_architecture	main_3c	3c_armenia	5	3c_armenia_military_recruitment_initiate_naval_dominance	3c_armenia_military_recruitment	4
3c_armenia_military_recruitment_009_practice_strategic_maneouvres	main_3c	3c_armenia	4	3c_armenia_military_recruitment_practice_strategic_maneouvres	3c_armenia_military_recruitment	5
3c_armenia_military_top_001_expand_supply_chain	main_3c	3c_armenia	7	3c_armenia_military_top_expand_supply_chain	3c_armenia_military_top	0
3c_british_civil_culture_001_organize_feasts	main_3c		3	3c_gothi_civil_culture_organize_feasts	3c_british_civil_culture	0
3c_british_civil_culture_002_ressurect_druidic_order	main_3c		2	3c_caledoni_civil_culture_ressurect_druidic_order	3c_british_civil_culture	1
3c_british_civil_culture_003_seek_out_sacred_places	main_3c		2	3c_caledoni_civil_culture_seek_out_sacred_places	3c_british_civil_culture	3
3c_british_civil_culture_004_organize_fairs	main_3c		3	3c_gothi_civil_culture_organize_fairs	3c_british_civil_culture	2
3c_british_civil_culture_005_adopt_civilization	main_3c		6	3c_caledoni_civil_culture_adopt_civilization	3c_british_civil_culture	3
3c_british_civil_culture_006_seek_ancient_knowledge	main_3c		6	3c_caledoni_civil_culture_seek_ancient_knowledge	3c_british_civil_culture	1
3c_british_civil_culture_007_uphold_the_old_ways	main_3c		3	3c_gothi_civil_culture_uphold_the_old_ways	3c_british_civil_culture	4
3c_british_civil_culture_008_embrace_civilization	main_3c		6	3c_caledoni_civil_culture_embrace_civilization	3c_british_civil_culture	5
3c_british_civil_culture_009_promote_druidic_traditions	main_3c		2	3c_caledoni_civil_culture_promote_druidic_traditions	3c_british_civil_culture	5
3c_british_civil_economy_001_allocate_land	main_3c		1	3c_gothi_civil_economy_allocate_land	3c_british_civil_economy	0
3c_british_civil_economy_002_oversee_natural_economy	main_3c		5	3c_gothi_civil_economy_oversee_natural_economy	3c_british_civil_economy	0
3c_british_civil_economy_003_focus_on_agriculture	main_3c		4	3c_gothi_civil_economy_focus_on_agriculture	3c_british_civil_economy	1
3c_british_civil_economy_004_organize_labour	main_3c		1	3c_gothi_civil_economy_select_workers	3c_british_civil_economy	2
3c_british_civil_economy_005_set_up_markets	main_3c		5	3c_gothi_civil_economy_set_up_markets	3c_british_civil_economy	2
3c_british_civil_economy_006_concentrate_on_agriculture	main_3c		4	3c_caledoni_civil_economy_concentrate_on_agriculture	3c_british_civil_economy	3
3c_british_civil_economy_007_improve_infrastructure	main_3c		1	3c_gothi_civil_economy_improve_infrastructure	3c_british_civil_economy	4
3c_british_civil_economy_008_introduce_king_currency	main_3c		5	3c_gothi_civil_economy_introduce_king_currency	3c_british_civil_economy	4
3c_british_civil_economy_009_subsidize_merchantmen	main_3c		4	3c_caledoni_civil_economy_finance_merchantmen	3c_british_civil_economy	5
3c_british_civil_governance_001_gain_recognition	main_3c		1	3c_gothi_civil_governance_gain_recognition	3c_british_civil_governance	0
3c_british_civil_governance_002_adopt_city_planning_practices	main_3c		5	3c_gothi_civil_governance_improve_housing	3c_british_civil_governance	0
3c_british_civil_governance_003_promise_glory	main_3c		4	3c_gothi_civil_governance_promise_glory	3c_british_civil_governance	1
3c_british_civil_governance_004_gather_retinue	main_3c		1	3c_gothi_civil_governance_gather_able_men	3c_british_civil_governance	2
3c_british_civil_governance_005_intimidate_the_opposition	main_3c		5	3c_gothi_civil_governance_intimidate_the_opposition	3c_british_civil_governance	2
3c_british_civil_governance_006_demand_oaths_of_fealty	main_3c		4	3c_gothi_civil_governance_demand_oaths_of_fealty	3c_british_civil_governance	3
3c_british_civil_governance_007_appoint_lawgivers	main_3c		1	3c_gothi_civil_governance_appoint_lawgivers	3c_british_civil_governance	4
3c_british_civil_governance_008_command_hygiene	main_3c		5	3c_gothi_civil_governance_command_hygiene	3c_british_civil_governance	4
3c_british_civil_governance_009_proclaim_legendary_kingdom	main_3c		4	3c_marcomanni_civil_governance_proclaim_legendary_kingdom	3c_british_civil_governance	5
3c_british_civil_top_001_instil_dilligence	main_3c		7	3c_caledoni_civil_top_instil_dilligence	3c_british_civil_top	0
3c_british_military_battle_001_issue_royal_war_horns	main_3c		3	3c_caledoni_military_battle_issue_royal_war_horns	3c_british_military_battle	2
3c_british_military_battle_002_train_with_longbows	main_3c		2	3c_marcomanni_military_battle_train_with_longbows	3c_british_military_battle	1
3c_british_military_battle_003_train_crews	main_3c		6	3c_gothi_military_battle_gather_sailors	3c_british_military_battle	1
3c_british_military_battle_004_improve_chariots	main_3c		2	3c_caledoni_military_battle_improve_chariots	3c_british_military_battle	3
3c_british_military_battle_005_assemble_the_footmen	main_3c		3	3c_gothi_military_battle_gather_footmen	3c_british_military_battle	0
3c_british_military_battle_006_issue_oaken_ship_hulls	main_3c		6	3c_gothi_military_battle_issue_oaken_ship_hulls	3c_british_military_battle	3
3c_british_military_battle_007_craft_tribal_totems	main_3c		2	3c_caledoni_military_battle_craft_tribal_totems	3c_british_military_battle	5
3c_british_military_battle_008_practice_war_dances	main_3c		3	3c_marcomanni_military_battle_practice_war_dances	3c_british_military_battle	4
3c_british_military_battle_009_gather_votive_offerings	main_3c		6	3c_caledoni_military_battle_gather_votive_offerings	3c_british_military_battle	5
3c_british_military_campaign_001_encourage_oneonone_training	main_3c		3	3c_gothi_military_campaign_encourage_oneonone_training	3c_british_military_campaign	0
3c_british_military_campaign_002_motivate_hirelings	main_3c		2	3c_gothi_military_campaign_improve_mercenary_administration	3c_british_military_campaign	1
3c_british_military_campaign_003_authorize_pillaging	main_3c		6	3c_gothi_military_campaign_organize_pillaging	3c_british_military_campaign	3
3c_british_military_campaign_004_organize_forage_parties	main_3c		2	3c_gothi_military_campaign_send_out_forage_parties	3c_british_military_campaign	3
3c_british_military_campaign_005_copy_roman_arms_manufacturing	main_3c		6	3c_gothi_military_campaign_copy_roman_smithing	3c_british_military_campaign	1
3c_british_military_campaign_006_live_off_the_land	main_3c		3	3c_gothi_military_campaign_live_off_the_land	3c_british_military_campaign	2
3c_british_military_campaign_007_expand_warleader_retinue	main_3c		3	3c_gothi_military_campaign_expand_warleader_retinue	3c_british_military_campaign	4
3c_british_military_campaign_008_kidnap_foreign_siege_specialists	main_3c		6	3c_gothi_military_campaign_kidnap_foreign_siege_specialists	3c_british_military_campaign	5
3c_british_military_campaign_009_become_one_with_land	main_3c		2	3c_caledoni_military_campaign_become_one_with_land	3c_british_military_campaign	5
3c_british_military_recruitment_001_gather_brave_souls	main_3c		1	3c_gothi_military_recruitment_gather_brave_souls	3c_british_military_recruitment	0
3c_british_military_recruitment_002_enchance_boat_construction	main_3c		5	3c_gothi_military_recruitment_enchance_boat_construction	3c_british_military_recruitment	0
3c_british_military_recruitment_003_intensify_physical_conditioning	main_3c		4	3c_gothi_military_recruitment_intensify_physical_conditioning	3c_british_military_recruitment	1
3c_british_military_recruitment_004_lead_by_example	main_3c		1	3c_gothi_military_recruitment_lead_by_example	3c_british_military_recruitment	2
3c_british_military_recruitment_005_implement_iron_anchors	main_3c		5	3c_gothi_military_recruitment_implement_iron_anchors	3c_british_military_recruitment	2
3c_british_military_recruitment_006_improve_cavalry_tactics	main_3c		4	3c_gothi_military_recruitment_improve_cavalry_tactics	3c_british_military_recruitment	3
3c_british_military_recruitment_007_instill_military_discipline	main_3c		1	3c_gothi_military_recruitment_instill_military_discipline	3c_british_military_recruitment	4
3c_british_military_recruitment_008_adopt_clinkerbuilt_ships	main_3c		5	3c_gothi_military_recruitment_adopt_clinkerbuilt_ships	3c_british_military_recruitment	4
3c_british_military_recruitment_009_assign_retainers_to_elite	main_3c		4	3c_caledoni_military_recruitment_assign_retainers_to_elite	3c_british_military_recruitment	5
3c_british_military_top_001_fight_for_freedom	main_3c		7	3c_caledoni_military_top_fight_for_freedom	3c_british_military_top	0
3c_caledoni_civil_culture_001_organize_feasts	main_3c	3c_caledoni	3	3c_gothi_civil_culture_organize_feasts	3c_caledoni_civil_culture	0
3c_caledoni_civil_culture_002_ressurect_druidic_order	main_3c	3c_caledoni	2	3c_caledoni_civil_culture_ressurect_druidic_order	3c_caledoni_civil_culture	1
3c_caledoni_civil_culture_003_seek_out_sacred_places	main_3c	3c_caledoni	2	3c_caledoni_civil_culture_seek_out_sacred_places	3c_caledoni_civil_culture	3
3c_caledoni_civil_culture_004_organize_fairs	main_3c	3c_caledoni	3	3c_gothi_civil_culture_organize_fairs	3c_caledoni_civil_culture	2
3c_caledoni_civil_culture_005_adopt_civilization	main_3c	3c_caledoni	6	3c_caledoni_civil_culture_adopt_civilization	3c_caledoni_civil_culture	3
3c_caledoni_civil_culture_006_seek_ancient_knowledge	main_3c	3c_caledoni	6	3c_caledoni_civil_culture_seek_ancient_knowledge	3c_caledoni_civil_culture	1
3c_caledoni_civil_culture_007_uphold_the_old_ways	main_3c	3c_caledoni	3	3c_gothi_civil_culture_uphold_the_old_ways	3c_caledoni_civil_culture	4
3c_caledoni_civil_culture_008_embrace_civilization	main_3c	3c_caledoni	6	3c_caledoni_civil_culture_embrace_civilization	3c_caledoni_civil_culture	5
3c_caledoni_civil_culture_009_promote_druidic_traditions	main_3c	3c_caledoni	2	3c_caledoni_civil_culture_promote_druidic_traditions	3c_caledoni_civil_culture	5
3c_caledoni_civil_economy_001_allocate_land	main_3c	3c_caledoni	1	3c_gothi_civil_economy_allocate_land	3c_caledoni_civil_economy	0
3c_caledoni_civil_economy_002_oversee_natural_economy	main_3c	3c_caledoni	5	3c_gothi_civil_economy_oversee_natural_economy	3c_caledoni_civil_economy	0
3c_caledoni_civil_economy_003_focus_on_agriculture	main_3c	3c_caledoni	4	3c_gothi_civil_economy_focus_on_agriculture	3c_caledoni_civil_economy	1
3c_caledoni_civil_economy_004_organize_labour	main_3c	3c_caledoni	1	3c_gothi_civil_economy_select_workers	3c_caledoni_civil_economy	2
3c_caledoni_civil_economy_005_set_up_markets	main_3c	3c_caledoni	5	3c_gothi_civil_economy_set_up_markets	3c_caledoni_civil_economy	2
3c_caledoni_civil_economy_006_concentrate_on_agriculture	main_3c	3c_caledoni	4	3c_caledoni_civil_economy_concentrate_on_agriculture	3c_caledoni_civil_economy	3
3c_caledoni_civil_economy_007_improve_infrastructure	main_3c	3c_caledoni	1	3c_gothi_civil_economy_improve_infrastructure	3c_caledoni_civil_economy	4
3c_caledoni_civil_economy_008_introduce_king_currency	main_3c	3c_caledoni	5	3c_gothi_civil_economy_introduce_king_currency	3c_caledoni_civil_economy	4
3c_caledoni_civil_economy_009_subsidize_merchantmen	main_3c	3c_caledoni	4	3c_caledoni_civil_economy_finance_merchantmen	3c_caledoni_civil_economy	5
3c_caledoni_civil_governance_001_gain_recognition	main_3c	3c_caledoni	1	3c_gothi_civil_governance_gain_recognition	3c_caledoni_civil_governance	0
3c_caledoni_civil_governance_002_adopt_city_planning_practices	main_3c	3c_caledoni	5	3c_gothi_civil_governance_improve_housing	3c_caledoni_civil_governance	0
3c_caledoni_civil_governance_003_promise_glory	main_3c	3c_caledoni	4	3c_gothi_civil_governance_promise_glory	3c_caledoni_civil_governance	1
3c_caledoni_civil_governance_004_gather_retinue	main_3c	3c_caledoni	1	3c_gothi_civil_governance_gather_able_men	3c_caledoni_civil_governance	2
