bonus_value_id	effect_key	battle_context_key
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_etruscans	fighting_culture_etruscans
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_gauls	fighting_culture_gauls
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_greeks	fighting_culture_greeks
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_italians	fighting_culture_italians
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_italics	fighting_culture_italians
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_nuragic	fighting_culture_nuragic
melee_defence_mod	inv_force_unit_mod_melee_defence_versus_romans	fighting_culture_roman
reload_mod	inv_force_unit_mod_missile_rate_versus_greeks	fighting_culture_greeks
morale	inv_force_unit_mod_morale_versus_celts	fighting_culture_celtic
morale	inv_force_unit_mod_morale_versus_etruscans	fighting_culture_etruscans
morale	inv_force_unit_mod_morale_versus_gauls	fighting_culture_gauls
morale	inv_force_unit_mod_morale_versus_greeks	fighting_culture_greeks
morale	inv_force_unit_mod_morale_versus_illyrian_pirates	fighting_culture_illyrian_pirates
morale	inv_force_unit_mod_morale_versus_italians	fighting_culture_italians
morale	inv_force_unit_mod_morale_versus_italics	fighting_culture_italians
morale	inv_force_unit_mod_morale_versus_nuragic	fighting_culture_nuragic
morale	inv_force_unit_mod_morale_versus_romans	fighting_culture_roman
morale	inv_force_unit_mod_morale_when_besieging	fighting_force_status_yours_besieging
mod_land_movement_battle	inv_force_unit_mod_movement_speed_when_besieging	fighting_force_status_yours_besieging
accuracy_mod	inv_samnites_unit_mod_bows_missile_damage	fighting_in_forests
range_mod	inv_samnites_unit_mod_bows_missile_range	fighting_in_forests
charge_bonus	inv_samnites_unit_mod_charge_bonus	fighting_on_plains
melee_defence_mod	inv_samnites_unit_mod_melee_defence	fighting_ground_type_hills_and_mountains
mod_land_movement_battle	inv_samnites_unit_mod_movement_speed	fighting_on_plains
morale	rom_building_religious_protection	fighting_force_status_yours_defending
morale	rom_faction_trait_african_core_desert_warriors	fighting_ground_type_desert
morale	rom_faction_trait_arabian_core_desert_warriors	fighting_ground_type_desert
morale	rom_faction_trait_black_sea_core_greek_hearts	fighting_territory_own_or_allied
charge_bonus	rom_faction_trait_britannic_core_heroic_culture	fighting_force_status_yours_attacking
melee_defence_mod	rom_faction_trait_britannic_core_independence	fighting_territory_own_or_allied
shield_defence_mod	rom_faction_trait_britannic_core_independence	fighting_territory_own_or_allied
charge_bonus	rom_faction_trait_britannic_iceni_children_andraste	fighting_force_status_yours_attacking
morale	rom_faction_trait_britannic_iceni_no_quarter	fighting_territory_enemy_or_neutral
morale	rom_faction_trait_desert_group_desert_warriors	fighting_ground_type_desert
morale	rom_faction_trait_eastern_armenia_mountain_people	fighting_territory_own_only
morale	rom_faction_trait_eastern_pontus_barbarian_subduers	fighting_culture_barbarians
melee_defence_mod	rom_faction_trait_etruscan_independence	fighting_territory_own_or_allied
shield_defence_mod	rom_faction_trait_etruscan_independence	fighting_territory_own_or_allied
morale	rom_faction_trait_gallic_boii_conquerors	fighting_territory_enemy_or_neutral
morale	rom_faction_trait_gallic_boii_migration	fighting_territory_enemy_or_neutral
melee_attack_mod	rom_faction_trait_gallic_nervii_courage_new	fighting_territory_own_or_allied
morale	rom_faction_trait_gallic_nervii_courage	fighting_territory_own_or_allied
morale	rom_faction_trait_germanic_suebi_tribal_conflict	fighting_culture_barbarians
melee_attack_mod	rom_faction_trait_germanic_suebi_tribal_conquerors	fighting_culture_barbarians
melee_attack_mod	rom_faction_trait_getae_fierce_independence_new	fighting_territory_own_or_allied
melee_defence_mod	rom_faction_trait_greek_core_independence	fighting_territory_own_or_allied
shield_defence_mod	rom_faction_trait_greek_core_independence	fighting_territory_own_or_allied
melee_defence_mod	rom_faction_trait_nomadic_massagetae_independence	fighting_territory_own_or_allied
shield_defence_mod	rom_faction_trait_nomadic_massagetae_independence	fighting_territory_own_or_allied
morale	rom_faction_trait_nomadic_massagetae_tribal_ferocity	fighting_territory_own_or_allied
melee_attack_mod	rom_faction_trait_nomadic_roxolani_peregrine_conquest	fighting_territory_enemy_or_neutral
melee_attack_mod	rom_faction_trait_rome_julia_barbarian_subduer_new	fighting_culture_barbarians
morale	rom_faction_trait_rome_julia_barbarian_subduer	fighting_culture_barbarians
morale	rom_faction_trait_successor_core_successor_conflict	fighting_faction_greeks_successors
melee_attack_mod	rom_faction_trait_successor_macedon_barbarian_subduers_new	fighting_culture_barbarians
morale	rom_faction_trait_successor_macedon_barbarian_subduers	fighting_culture_barbarians
ship_health_mod	rom_force_campaign_mod_attrition_blockading	fighting_force_status_yours_blockading
xp_gain_rate_mod	rom_force_campaign_mod_upkeep_land_in_foreign_territory	fighting_territory_enemy_or_neutral_army
xp_gain_rate_mod	rom_force_campaign_mod_upkeep_naval_in_foreign_waters	fighting_territory_enemy_or_neutral_navy
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_barbarians	fighting_culture_barbarians
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_carthaginians	fighting_faction_carthage
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_easterners	fighting_culture_eastern
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_egyptians	fighting_faction_egypt
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_hellenics	fighting_culture_hellenic
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_raider_armies	fighting_force_status_theirs_raiding_army
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_raider_fleets	fighting_force_status_theirs_raiding_fleet
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_rebels	fighting_force_status_theirs_rebels
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_romans	fighting_culture_roman
melee_attack_mod	rom_force_unit_mod_melee_attack_versus_successor_states	fighting_faction_greeks_successors
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_barbarians	fighting_culture_barbarians
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_barbarians	fighting_culture_barbarians
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_carthaginians	fighting_faction_carthage
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_carthaginians	fighting_faction_carthage
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_easterners	fighting_culture_eastern
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_easterners	fighting_culture_eastern
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_egyptians	fighting_faction_egypt
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_egyptians	fighting_faction_egypt
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_hellenics	fighting_culture_hellenic
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_hellenics	fighting_culture_hellenic
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_romans	fighting_culture_roman
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_romans	fighting_culture_roman
melee_defence_mod	rom_force_unit_mod_melee_defence_versus_successor_states	fighting_faction_greeks_successors
shield_defence_mod	rom_force_unit_mod_melee_defence_versus_successor_states	fighting_faction_greeks_successors
melee_defence_mod	rom_force_unit_mod_melee_defence_when_escorting	fighting_force_status_yours_escorting
shield_defence_mod	rom_force_unit_mod_melee_defence_when_escorting	fighting_force_status_yours_escorting
reload_mod	rom_force_unit_mod_missile_rate_versus_raider_armies	fighting_force_status_theirs_raiding_army
reload_mod	rom_force_unit_mod_missile_rate_versus_raider_fleets	fighting_force_status_theirs_raiding_fleet
xp_gain_rate_mod	rom_force_unit_mod_missile_rate_versus_rebels	fighting_force_status_theirs_rebels
reload_mod	rom_force_unit_mod_missile_rate_when_escorting	fighting_force_status_yours_escorting
morale	rom_force_unit_mod_morale_attacking	fighting_force_status_yours_attacking
morale	rom_force_unit_mod_morale_blockade	fighting_force_status_theirs_blockading
morale	rom_force_unit_mod_morale_blockading	fighting_force_status_yours_blockading
morale	rom_force_unit_mod_morale_defending	fighting_force_status_yours_defending
morale	rom_force_unit_mod_morale_during_ambushes_desert	fighting_force_status_yours_ambushing_ground_type_desert
morale	rom_force_unit_mod_morale_during_ambushes_forest	fighting_force_status_yours_ambushing_ground_type_forest
morale	rom_force_unit_mod_morale_during_ambushes	fighting_force_status_yours_ambushing
morale	rom_force_unit_mod_morale_during_night_desert	fighting_force_status_yours_night_ground_type_desert
morale	rom_force_unit_mod_morale_during_night_forest	fighting_force_status_yours_night_ground_type_forest
morale	rom_force_unit_mod_morale_during_night	fighting_force_status_yours_night
morale	rom_force_unit_mod_morale_foreign_territory	fighting_territory_enemy_or_neutral
morale	rom_force_unit_mod_morale_own_territory	fighting_territory_own_or_allied
morale	rom_force_unit_mod_morale_versus_barbarians	fighting_culture_barbarians
morale	rom_force_unit_mod_morale_versus_carthaginians	fighting_faction_carthage
morale	rom_force_unit_mod_morale_versus_easterners	fighting_culture_eastern
morale	rom_force_unit_mod_morale_versus_egyptians	fighting_faction_egypt
morale	rom_force_unit_mod_morale_versus_hellenics	fighting_culture_hellenic
morale	rom_force_unit_mod_morale_versus_raider_armies	fighting_force_status_theirs_raiding_army
morale	rom_force_unit_mod_morale_versus_raider_fleets	fighting_force_status_theirs_raiding_fleet
morale	rom_force_unit_mod_morale_versus_rebels	fighting_force_status_theirs_rebels
morale	rom_force_unit_mod_morale_versus_romans	fighting_culture_roman
morale	rom_force_unit_mod_morale_versus_successor_states	fighting_faction_greeks_successors
morale	rom_force_unit_mod_morale_when_escorting	fighting_force_status_yours_escorting
ship_ram_damage_mod	rom_force_unit_mod_ramming_bonus_blockade	fighting_force_status_theirs_blockading
ship_ram_damage_mod	rom_force_unit_mod_ramming_bonus_blockading	fighting_force_status_yours_blockading
morale	rom_general_force_mod_command_sea_attack	fighting_force_status_yours_attacking_at_sea
morale	rom_general_force_mod_command_sea_defence	fighting_force_status_yours_defending_at_sea
ammo_mod	rom_tech_engineering_siege_defence_ammunition	fighting_force_status_theirs_besieging
