building_chain	id
3c_east_olive	3c_east_olive
3c_east_port	3c_east_port
3c_east_purple_dye	3c_east_purple_dye
3c_east_silk	3c_east_silk
3c_east_town	3c_east_town
3c_east_town_centre	3c_east_town_centre
3c_east_water	3c_east_water
3c_east_wine	3c_east_wine
3c_eastern_cults	3c_eastern_cults
3c_gallicemp_agriculture	3c_gallicemp_agriculture
3c_gallicemp_military	3c_gallicemp_military
3c_gallicemp_religious	3c_gallicemp_religious
3c_palmyra_city_major	3c_palmyra_city_major
3c_palmyra_religious	3c_palmyra_religious
3c_rom_resource_dummy	3c_rom_dummy_resource
3c_rome_administration	3c_rome_administration
3c_rome_agriculture	3c_rome_agriculture
3c_rome_amber	3c_rome_amber
3c_rome_city_centre	3c_rome_city_centre
3c_rome_city_major	3c_rome_city_major
3c_rome_glass	3c_rome_glass
3c_rome_gold	3c_rome_gold
3c_rome_grain	3c_rome_grain
3c_rome_horse	3c_rome_horse
3c_rome_industry	3c_rome_industry
3c_rome_iron	3c_rome_iron
3c_rome_lead	3c_rome_lead
3c_rome_leather	3c_rome_leather
3c_rome_lumber	3c_rome_lumber
3c_rome_marble	3c_rome_marble
3c_rome_military	3c_rome_military
3c_rome_military_aux	3c_rome_military_aux
3c_rome_military_buff	3c_rome_military_buff
3c_rome_military_siege	3c_rome_military_siege
3c_rome_navalbuff	3c_rome_navalbuff
3c_rome_olive	3c_rome_olive
3c_rome_port	3c_rome_port
3c_rome_purple_dye	3c_rome_purple_dye
3c_rome_religious	3c_rome_religious
3c_rome_sanitation	3c_rome_sanitation
3c_rome_silk	3c_rome_silk
3c_rome_town	3c_rome_town
3c_rome_town_centre	3c_rome_town_centre
3c_rome_wine	3c_rome_wine
3c_sassanid_military	3c_sassanid_military
3c_sassanid_navalbuff	3c_sassanid_navalbuff
3c_sassanid_religious	3c_sassanid_religious
barb_agriculture_minor_nomad	barb_agriculture_minor_nomad
barb_agriculture_minor	barb_agriculture_minor
barb_agriculture_nomad	barb_agriculture_nomad
barb_agriculture	barb_agriculture
barb_amber	barb_amber
barb_artisan	barb_artisan
barb_city	barb_city
barb_commons_nomad	barb_commons_nomad
barb_commons	barb_commons
barb_craftsmen	barb_craftsmen
barb_glass	barb_glass
barb_gold	barb_gold
barb_grain	barb_grain
barb_horse	barb_horse
barb_iron	barb_iron
barb_lead	barb_lead
barb_leather	barb_leather
barb_lumber	barb_lumber
barb_marble	barb_marble
barb_military_buff	barb_military_buff
all_mine	barb_mine
barb_olive	barb_olive
barb_port	barb_port
barb_purple_dye	barb_purple_dye
barb_religious_briton	barb_religious_briton
barb_religious_dacian	barb_religious_dacian
barb_religious_gaul	barb_religious_gaul
barb_religious_german	barb_religious_german
barb_religious_iberian	barb_religious_iberian
barb_religious_illyrian	barb_religious_illyrian
barb_religious_nomad	barb_religious_nomad
barb_religious_thrace	barb_religious_thrace
barb_religious	barb_religious
barb_silk	barb_silk
barb_spice	barb_spice
barb_town	barb_town
barb_water	barb_water
barb_wine	barb_wine
dk_afr_city_centre	dk_afr_city_centre
dk_all_city	dk_all_city
dk_all_industry	dk_all_industry
dk_all_military_cavalry	dk_all_military_cavalry
dk_all_military_infantry	dk_all_military_infantry
dk_all_minor_settlement	dk_all_minor_settlement
dk_ara_city_centre	dk_ara_city_centre
dk_ara_town_centre	dk_ara_town_centre
dk_gen_sanitation	dk_gen_sanitation
dk_kush_industry	dk_kush_industry
dk_kush_religious	dk_kush_religious
dk_kush_town_centre	dk_kush_town_centre
dk_military_siege	dk_military_siege
dk_military_training	dk_military_training
dk_minor_amber	dk_minor_amber
dk_minor_glass	dk_minor_glass
dk_minor_gold	dk_minor_gold
dk_minor_grain	dk_minor_grain
dk_minor_horse	dk_minor_horse
dk_minor_iron	dk_minor_iron
dk_minor_lead	dk_minor_lead
dk_minor_leather	dk_minor_leather
dk_minor_lumber	dk_minor_lumber
dk_minor_marble	dk_minor_marble
dk_minor_olive	dk_minor_olive
dk_minor_purple_dye	dk_minor_purple_dye
dk_minor_silk	dk_minor_silk
dk_minor_spice	dk_minor_spice
dk_minor_wine	dk_minor_wine
dk_nabatea_religious	dk_nabatea_religious
dk_numidia_religious	dk_numidia_religious
dk_saba_marib_dam	dk_saba_marib_dam
dk_saba_religious	dk_saba_religious
east_agriculture	east_agriculture
east_amber	east_amber
east_city_centre	east_city_centre
east_city	east_city
east_glass	east_glass
east_gold	east_gold
east_grain	east_grain
east_horse	east_horse
east_industry	east_industry
east_iron	east_iron
east_lead	east_lead
east_leather	east_leather
east_lumber	east_lumber
east_marble	east_marble
east_military_buff	east_military_buff
east_military_infantry	east_military_infantry
east_military_siege	east_military_siege
east_military_stables	east_military_stables
east_olive	east_olive
east_port	east_port
east_purple_dye	east_purple_dye
east_religious	east_religious
east_silk	east_silk
east_spice	east_spice
east_tax	east_tax
east_town_centre	east_town_centre
east_town	east_town
east_water	east_water
east_wine	east_wine
greek_agriculture	greek_agriculture
greek_amber	greek_amber
greek_city_centre	greek_city_centre
greek_city	greek_city
greek_glass	greek_glass
greek_gold	greek_gold
greek_grain	greek_grain
greek_horse	greek_horse
greek_industrial	greek_industrial
greek_iron	greek_iron
greek_lead	greek_lead
greek_leather	greek_leather
greek_lumber	greek_lumber
greek_marble	greek_marble
greek_military_buff	greek_military_buff
greek_military_siege	greek_military_siege
greek_military	greek_military
greek_olive	greek_olive
greek_port	greek_port
greek_purple_dye	greek_purple_dye
greek_religious_egypt	greek_religious_egypt
greek_religious_punic	greek_religious_punic
greek_religious	greek_religious
greek_silk	greek_silk
greek_spice	greek_spice
greek_town_centre	greek_town_centre
greek_town	greek_town
greek_water	greek_water
greek_wine	greek_wine
inv_all_capitoline_hill	inv_all_capitoline_hill
inv_all_carthago	inv_all_carthago
inv_barb_amber	inv_barb_amber
inv_barb_gold	inv_barb_gold
inv_barb_grain	inv_barb_grain
inv_barb_horse	inv_barb_horse
inv_barb_iron	inv_barb_iron
inv_barb_lead	inv_barb_lead
inv_barb_leather	inv_barb_leather
inv_barb_lumber	inv_barb_lumber
inv_barb_marble	inv_barb_marble
inv_barb_olive	inv_barb_olive
inv_barb_purple_dye	inv_barb_purple_dye
inv_barb_salt	inv_barb_salt
inv_barb_wine	inv_barb_wine
inv_car_agriculture	inv_car_agriculture
inv_car_amber	inv_car_amber
inv_car_city_centre	inv_car_city_centre
inv_car_city	inv_car_city
inv_car_glass	inv_car_glass
inv_car_gold	inv_car_gold
inv_car_grain	inv_car_grain
inv_car_horse	inv_car_horse
inv_car_industrial	inv_car_industrial
inv_car_iron	inv_car_iron
inv_car_lead	inv_car_lead
inv_car_leather	inv_car_leather
inv_car_lumber	inv_car_lumber
inv_car_marble	inv_car_marble
inv_car_military_buff	inv_car_military_buff
inv_car_military_siege	inv_car_military_siege
inv_car_military	inv_car_military
inv_car_olive	inv_car_olive
inv_car_port	inv_car_port
inv_car_purple_dye	inv_car_purple_dye
inv_car_religious	inv_car_religious
inv_car_silk	inv_car_silk
inv_car_spice	inv_car_spice
inv_car_town	inv_car_town
inv_car_water	inv_car_water
inv_gre_agriculture	inv_gre_agriculture
inv_gre_city_centre_taranto	inv_gre_city_centre_taranto
inv_gre_city_centre	inv_gre_city_centre
inv_gre_industry_major	inv_gre_industry_major
inv_gre_industry_minor	inv_gre_industry_minor
inv_gre_major_town	inv_gre_major_town
inv_gre_military_buff	inv_gre_military_buff
inv_gre_military_recruitment	inv_gre_military_recruitment
inv_gre_minor_town_centre	inv_gre_minor_town_centre
inv_gre_minor_town	inv_gre_minor_town
inv_gre_port	inv_gre_port
inv_gre_religious	inv_gre_religious
inv_gre_sanitation	inv_gre_sanitation
inv_greek_amber	inv_greek_amber
inv_greek_gold	inv_greek_gold
inv_greek_grain	inv_greek_grain
inv_greek_horse	inv_greek_horse
inv_greek_iron	inv_greek_iron
inv_greek_lead	inv_greek_lead
inv_greek_leather	inv_greek_leather
inv_greek_lumber	inv_greek_lumber
inv_greek_marble	inv_greek_marble
inv_greek_olive	inv_greek_olive
inv_greek_purple_dye	inv_greek_purple_dye
inv_greek_salt	inv_greek_salt
inv_greek_wine	inv_greek_wine
inv_ita_agriculture	inv_ita_agriculture
inv_ita_industry_major	inv_ita_industry_major
inv_ita_industry_minor	inv_ita_industry_minor
inv_ita_major_city_centre	inv_ita_major_city_centre
inv_ita_major_city	inv_ita_major_city
inv_ita_military_buff	inv_ita_military_buff
inv_ita_military_recruitment	inv_ita_military_recruitment
inv_ita_minor_town_centre	inv_ita_minor_town_centre
inv_ita_minor_town	inv_ita_minor_town
inv_ita_port	inv_ita_port
inv_ita_religious	inv_ita_religious
inv_ita_sanitation	inv_ita_sanitation
inv_new_barb_agriculture_minor	inv_new_barb_agriculture_minor
inv_new_barb_agriculture	inv_new_barb_agriculture
inv_new_barb_city_centre	inv_new_barb_city_centre
inv_new_barb_city	inv_new_barb_city
inv_new_barb_industry	inv_new_barb_industry
inv_new_barb_military_buff	inv_new_barb_military_buff
inv_new_barb_military_recruitment	inv_new_barb_military_recruitment
inv_new_barb_minor_industry	inv_new_barb_minor_industry
inv_new_barb_minor_town	inv_new_barb_minor_town
inv_new_barb_port	inv_new_barb_port
inv_new_barb_religious	inv_new_barb_religious
inv_new_barb_water	inv_new_barb_water
inv_new_etr_amber	inv_new_etr_amber
inv_new_etr_gold	inv_new_etr_gold
inv_new_etr_grain	inv_new_etr_grain
inv_new_etr_horse	inv_new_etr_horse
inv_new_etr_iron	inv_new_etr_iron
inv_new_etr_lead	inv_new_etr_lead
inv_new_etr_leather	inv_new_etr_leather
inv_new_etr_lumber	inv_new_etr_lumber
inv_new_etr_main_administration	inv_new_etr_main_administration
inv_new_etr_main_agriculture	inv_new_etr_main_agriculture
inv_new_etr_main_city	inv_new_etr_main_city
inv_new_etr_main_industry	inv_new_etr_main_industry
inv_new_etr_main_military	inv_new_etr_main_military
inv_new_etr_main_religion	inv_new_etr_main_religion
inv_new_etr_marble	inv_new_etr_marble
inv_new_etr_minor_agriculture	inv_new_etr_minor_agriculture
inv_new_etr_minor_industry	inv_new_etr_minor_industry
inv_new_etr_minor_military	inv_new_etr_minor_military
inv_new_etr_minor_religion	inv_new_etr_minor_religion
inv_new_etr_minor_town	inv_new_etr_minor_town
inv_new_etr_olive	inv_new_etr_olive
inv_new_etr_port	inv_new_etr_port
inv_new_etr_purple_dye	inv_new_etr_purple_dye
inv_new_etr_salt	inv_new_etr_salt
inv_new_etr_wine	inv_new_etr_wine
inv_nur_agriculture	inv_nur_agriculture
inv_nur_industry_major	inv_nur_industry_major
inv_nur_major_city_centre	inv_nur_major_city_centre
inv_nur_major_city	inv_nur_major_city
inv_nur_military	inv_nur_military
inv_nur_minor_town	inv_nur_minor_town
inv_nur_port	inv_nur_port
inv_nur_religious	inv_nur_religious
inv_nur_sanitation	inv_nur_sanitation
inv_rom_agriculture	inv_rom_agriculture
inv_rom_amber	inv_rom_amber
inv_rom_capital	inv_rom_capital
inv_rom_city_centre	inv_rom_city_centre
inv_rom_gold	inv_rom_gold
inv_rom_grain	inv_rom_grain
inv_rom_horse	inv_rom_horse
inv_rom_industry_major	inv_rom_industry_major
inv_rom_iron	inv_rom_iron
inv_rom_lead	inv_rom_lead
inv_rom_leather	inv_rom_leather
inv_rom_lumber	inv_rom_lumber
inv_rom_marble	inv_rom_marble
inv_rom_military_buff	inv_rom_military_buff
inv_rom_military_recruitment	inv_rom_military_recruitment
inv_rom_minor_town	inv_rom_minor_town
inv_rom_olive	inv_rom_olive
inv_rom_port	inv_rom_port
inv_rom_purple_dye	inv_rom_purple_dye
inv_rom_religious	inv_rom_religious
inv_rom_salt	inv_rom_salt
inv_rom_sanitation	inv_rom_sanitation
inv_rom_town_centre	inv_rom_town_centre
inv_rom_wine	inv_rom_wine
inv_rome_resource_building_dummy	inv_rome_resource_building_drummy
inv_ven_agriculture	inv_ven_agriculture
inv_ven_city_centre	inv_ven_city_centre
inv_ven_industry	inv_ven_industry
inv_ven_major_town	inv_ven_major_town
inv_ven_military_industry	inv_ven_military_industry
inv_ven_military_recruitment	inv_ven_military_recruitment
inv_ven_minor_town	inv_ven_minor_town
inv_ven_port	inv_ven_port
inv_ven_religious	inv_ven_religious
inv_ven_sanitation	inv_ven_sanitation
pel_agriculture_barb	pel_agriculture_barb
pel_agriculture_east	pel_agriculture_east
pel_agriculture	pel_agriculture
pel_barb_artisan	pel_barb_artisan
pel_barb_commons	pel_barb_commons
pel_barb_town	pel_barb_town
pel_barb_water	pel_barb_water
pel_buff	pel_buff
pel_city_centre	pel_city_centre
pel_city	pel_city
pel_east_city_centre	pel_east_city_centre
pel_east_water	pel_east_water
pel_industry	pel_industry
pel_military	pel_military
pel_barb_port	pel_port_barb
pel_east_port	pel_port_east
pel_port	pel_port
pel_religious_barb	pel_religious_barb
pel_religious_east	pel_religious_east
pel_religious	pel_religious
pel_town_bronze	pel_town_bronze
pel_town_centre	pel_town_centre
pel_town_glass	pel_town_glass
pel_town_gold	pel_town_gold
pel_town_grain_barb	pel_town_grain_barb
pel_town_grain_east	pel_town_grain_east
pel_town_grain	pel_town_grain
pel_town_horse_barb	pel_town_horse_barb
pel_town_horse_east	pel_town_horse_east
pel_town_horse	pel_town_horse
pel_town_lead	pel_town_lead
pel_town_marble	pel_town_marble
pel_town_olive_barb	pel_town_olive_barb
pel_town_olive_east	pel_town_olive_east
pel_town_olive	pel_town_olive
pel_town_timber	pel_town_timber
pel_town_wine	pel_town_wine
pel_town	pel_town
pel_water	pel_water
pro_ROMAN_city_major	placeholder
pro_ROMAN_city_major	pro_ROMAN_city_major
pro_ROMAN_military_equipment	pro_ROMAN_military_equipment
pun_ROMAN_military_main	pun_ROMAN_military_main
pun_greek_town_centre	pun_greek_town_centre
pun_rome_town_centre	pun_rome_town_centre
rom_ALL_industry_minor	rom_ALL_industry_minor
rom_BARBARIAN_artisans_major	rom_BARBARIAN_artisans_major
rom_BARBARIAN_city_major	rom_BARBARIAN_city_major
rom_BARBARIAN_city_minor_fish	rom_BARBARIAN_city_minor_fish
rom_BARBARIAN_city_minor_glass	rom_BARBARIAN_city_minor_glass
rom_BARBARIAN_city_minor_gold	rom_BARBARIAN_city_minor_gold
rom_BARBARIAN_city_minor_grain	rom_BARBARIAN_city_minor_grain
rom_BARBARIAN_city_minor_hides	rom_BARBARIAN_city_minor_hides
rom_BARBARIAN_city_minor_iron	rom_BARBARIAN_city_minor_iron
rom_BARBARIAN_city_minor_limestone	rom_BARBARIAN_city_minor_limestone
rom_BARBARIAN_city_minor_marble	rom_BARBARIAN_city_minor_marble
rom_BARBARIAN_city_minor_olives	rom_BARBARIAN_city_minor_olives
rom_BARBARIAN_city_minor_purple_dye	rom_BARBARIAN_city_minor_purple_dye
rom_BARBARIAN_city_minor_silk	rom_BARBARIAN_city_minor_silk
rom_BARBARIAN_city_minor_silver	rom_BARBARIAN_city_minor_silver
rom_BARBARIAN_city_minor_timber	rom_BARBARIAN_city_minor_timber
rom_BARBARIAN_city_minor_township	rom_BARBARIAN_city_minor_township
rom_BARBARIAN_city_minor_wine	rom_BARBARIAN_city_minor_wine
rom_BARBARIAN_commons	rom_BARBARIAN_commons
rom_BARBARIAN_enclosure_minor	rom_BARBARIAN_enclosure_minor
rom_BARBARIAN_enclosure	rom_BARBARIAN_enclosure
rom_BARBARIAN_port_major	rom_BARBARIAN_port_major
rom_BARBARIAN_port_minor	rom_BARBARIAN_port_minor
rom_BARBARIAN_religious_celtic_minor	rom_BARBARIAN_religious_celtic_minor
rom_BARBARIAN_religious_celtic	rom_BARBARIAN_religious_celtic
rom_BARBARIAN_religious_dacian_minor	rom_BARBARIAN_religious_dacian_minor
rom_BARBARIAN_religious_dacian	rom_BARBARIAN_religious_dacian
rom_BARBARIAN_religious_germanic_minor	rom_BARBARIAN_religious_germanic_minor
rom_BARBARIAN_religious_germanic	rom_BARBARIAN_religious_germanic
rom_BARBARIAN_religious_iberian_minor	rom_BARBARIAN_religious_iberian_minor
rom_BARBARIAN_religious_iberian	rom_BARBARIAN_religious_iberian
rom_BARBARIAN_religious_illyrian_minor	rom_BARBARIAN_religious_illyrian_minor
rom_BARBARIAN_religious_illyrian	rom_BARBARIAN_religious_illyrian
rom_BARBARIAN_religious_nomad_minor	rom_BARBARIAN_religious_nomad_minor
rom_BARBARIAN_religious_nomad	rom_BARBARIAN_religious_nomad
rom_BARBARIAN_religious_thracian_minor	rom_BARBARIAN_religious_thracian_minor
rom_BARBARIAN_religious_thracian	rom_BARBARIAN_religious_thracian
rom_EASTERN_buff	rom_EASTERN_buff
rom_EASTERN_city_major	rom_EASTERN_city_major
rom_EASTERN_city_minor_fish	rom_EASTERN_city_minor_fish
rom_EASTERN_city_minor_glass	rom_EASTERN_city_minor_glass
rom_EASTERN_city_minor_gold	rom_EASTERN_city_minor_gold
rom_EASTERN_city_minor_grain	rom_EASTERN_city_minor_grain
rom_EASTERN_city_minor_hides	rom_EASTERN_city_minor_hides
rom_EASTERN_city_minor_iron	rom_EASTERN_city_minor_iron
rom_EASTERN_city_minor_limestone	rom_EASTERN_city_minor_limestone
rom_EASTERN_city_minor_marble	rom_EASTERN_city_minor_marble
rom_EASTERN_city_minor_olives	rom_EASTERN_city_minor_olives
rom_EASTERN_city_minor_purple_dye	rom_EASTERN_city_minor_purple_dye
rom_EASTERN_city_minor_silk	rom_EASTERN_city_minor_silk
rom_EASTERN_city_minor_silver	rom_EASTERN_city_minor_silver
rom_EASTERN_city_minor_timber	rom_EASTERN_city_minor_timber
rom_EASTERN_city_minor_township	rom_EASTERN_city_minor_township
rom_EASTERN_city_minor_wine	rom_EASTERN_city_minor_wine
rom_EASTERN_city_slot	rom_EASTERN_city_slot
rom_EASTERN_levy	rom_EASTERN_levy
rom_EASTERN_local_temple_minor	rom_EASTERN_local_temple_minor
rom_EASTERN_local_temple	rom_EASTERN_local_temple
rom_EASTERN_outskirts_minor	rom_EASTERN_outskirts_minor
rom_EASTERN_outskirts	rom_EASTERN_outskirts
rom_EASTERN_port_major	rom_EASTERN_port_major
rom_EASTERN_port_minor	rom_EASTERN_port_minor
rom_EASTERN_stables	rom_EASTERN_stables
rom_HELLENIC_city_major	rom_HELLENIC_city_major
rom_HELLENIC_city_minor_fish	rom_HELLENIC_city_minor_fish
rom_HELLENIC_city_minor_glass	rom_HELLENIC_city_minor_glass
rom_HELLENIC_city_minor_gold	rom_HELLENIC_city_minor_gold
rom_HELLENIC_city_minor_grain	rom_HELLENIC_city_minor_grain
rom_HELLENIC_city_minor_hides	rom_HELLENIC_city_minor_hides
rom_HELLENIC_city_minor_iron	rom_HELLENIC_city_minor_iron
rom_HELLENIC_city_minor_limestone	rom_HELLENIC_city_minor_limestone
rom_HELLENIC_city_minor_marble	rom_HELLENIC_city_minor_marble
rom_HELLENIC_city_minor_olives	rom_HELLENIC_city_minor_olives
rom_HELLENIC_city_minor_purple_dye	rom_HELLENIC_city_minor_purple_dye
rom_HELLENIC_city_minor_silk	rom_HELLENIC_city_minor_silk
rom_HELLENIC_city_minor_silver	rom_HELLENIC_city_minor_silver
rom_HELLENIC_city_minor_timber	rom_HELLENIC_city_minor_timber
rom_HELLENIC_city_minor_township	rom_HELLENIC_city_minor_township
rom_HELLENIC_city_minor_wine	rom_HELLENIC_city_minor_wine
rom_HELLENIC_city_slot	rom_HELLENIC_city_slot
rom_HELLENIC_military_buff	rom_HELLENIC_military_buff
rom_HELLENIC_military_equipment	rom_HELLENIC_military_equipment
rom_HELLENIC_military_main_PUNIC	rom_HELLENIC_military_main_PUNIC
rom_HELLENIC_military_main	rom_HELLENIC_military_main
rom_HELLENIC_outskirts_minor_MACEDON	rom_HELLENIC_outskirts_minor_MACEDON
rom_HELLENIC_outskirts_minor	rom_HELLENIC_outskirts_minor
rom_HELLENIC_outskirts	rom_HELLENIC_outskirts
rom_HELLENIC_port_major	rom_HELLENIC_port_major
rom_HELLENIC_port_minor	rom_HELLENIC_port_minor
rom_HELLENIC_sanitation_PUNIC	rom_HELLENIC_sanitation_PUNIC
rom_HELLENIC_sanitation	rom_HELLENIC_sanitation
rom_HELLENIC_temple_PTOLEMAIC	rom_HELLENIC_temple_PTOLEMAIC
rom_HELLENIC_temple_PUNIC	rom_HELLENIC_temple_PUNIC
rom_HELLENIC_temple_minor_PTOLEMAIC	rom_HELLENIC_temple_minor_PTOLEMAIC
rom_HELLENIC_temple_minor_PUNIC	rom_HELLENIC_temple_minor_PUNIC
rom_HELLENIC_temple_minor	rom_HELLENIC_temple_minor
rom_HELLENIC_temple	rom_HELLENIC_temple
rom_ROMAN_city_major	rom_ROMAN_city_major
rom_ROMAN_city_minor_fish	rom_ROMAN_city_minor_fish
rom_ROMAN_city_minor_glass	rom_ROMAN_city_minor_glass
rom_ROMAN_city_minor_gold	rom_ROMAN_city_minor_gold
rom_ROMAN_city_minor_grain	rom_ROMAN_city_minor_grain
rom_ROMAN_city_minor_hides	rom_ROMAN_city_minor_hides
rom_ROMAN_city_minor_iron	rom_ROMAN_city_minor_iron
rom_ROMAN_city_minor_limestone	rom_ROMAN_city_minor_limestone
rom_ROMAN_city_minor_marble	rom_ROMAN_city_minor_marble
rom_ROMAN_city_minor_olives	rom_ROMAN_city_minor_olives
rom_ROMAN_city_minor_purple_dye	rom_ROMAN_city_minor_purple_dye
rom_ROMAN_city_minor_silk	rom_ROMAN_city_minor_silk
rom_ROMAN_city_minor_silver	rom_ROMAN_city_minor_silver
rom_ROMAN_city_minor_timber	rom_ROMAN_city_minor_timber
rom_ROMAN_city_minor_township	rom_ROMAN_city_minor_township
rom_ROMAN_city_minor_wine	rom_ROMAN_city_minor_wine
rom_ROMAN_city_slot	rom_ROMAN_city_slot
rom_ROMAN_military_buff	rom_ROMAN_military_buff
rom_ROMAN_military_equipment	rom_ROMAN_military_equipment
rom_ROMAN_military_main	rom_ROMAN_military_main
rom_ROMAN_outskirts_minor	rom_ROMAN_outskirts_minor
rom_ROMAN_outskirts	rom_ROMAN_outskirts
rom_ROMAN_port_major	rom_ROMAN_port_major
rom_ROMAN_port_minor	rom_ROMAN_port_minor
rom_ROMAN_sanitation	rom_ROMAN_sanitation
rom_ROMAN_temple_minor	rom_ROMAN_temple_minor
rom_ROMAN_temple	rom_ROMAN_temple
rom_Slum	rom_Slum
rome_agriculture	rome_agriculture
rome_amber	rome_amber
rome_city_centre	rome_city_centre
rome_city	rome_city
rome_glass	rome_glass
rome_gold	rome_gold
rome_grain	rome_grain
rome_horse	rome_horse
rome_industry	rome_industry
rome_iron	rome_iron
rome_lead	rome_lead
rome_leather	rome_leather
rome_lumber	rome_lumber
rome_marble	rome_marble
rome_military_buff	rome_military_buff
rome_military_pun	rome_military_pun
rome_military_siege	rome_military_siege
rome_military	rome_military
rome_olive	rome_olive
rome_port	rome_port
rome_purple_dye	rome_purple_dye
rome_religious	rome_religious
rome_silk	rome_silk
rome_spice	rome_spice
rome_town_centre	rome_town_centre
rome_town	rome_town
rome_water	rome_water
rome_wine	rome_wine
