region_key	building_path	position_x_map	position_y_map	position_z_height	rotation_cw_radians
pun_hispania_ulterior_carthago_nova	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	199.2990	211.3216	0.3350	5.4223
pun_latium_et_campania_roma	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	444.3610	308.7830	1.5480	5.7075
pun_lusitania_olisipo	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	55.8610	233.6882	-0.0430	0.0457
pun_magna_graecia_tarentum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	524.4150	276.0645	0.4000	3.8048
pun_mauretania_tingis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	115.9210	164.3127	-0.0450	0.6004
pun_numidia_cirta	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	337.6840	178.8734	2.5090	6.1821
pun_samnium_beneventum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	487.1130	289.5687	1.2360	5.4430
pun_sicilia_syracuse	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	487.2070	195.0819	0.2450	4.6526
pun_tripolitana_tacapae	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	397.1670	123.1707	-0.1920	3.1705
pun_turdetania_kartuba	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	133.7870	217.3272	1.3100	4.3650
pun_umbria_et_picenum_corfinium	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	465.3180	315.7158	2.3100	4.6066
rom_aegyptos_ta_mehu	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	356.3130	156.4662	0.0400	2.4307
rom_africa_zeugitana	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	184.1100	212.8480	0.5010	3.3685
rom_aithiops_kush	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	400.3600	42.1591	2.0720	2.4948
rom_aquitania_aquitania	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	101.4240	330.6060	-0.0350	0.8864
rom_arabia_felix_saba	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	493.1910	74.6199	1.8470	-0.0425
rom_arabia_magna_dilmun	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	515.0380	125.6417	0.0230	3.1045
rom_arachosia_arachosia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	628.1000	185.2066	2.7180	1.6146
rom_aria_aria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	619.4680	214.6867	2.2270	2.8919
rom_armenia_armenia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	481.1480	277.0835	2.9680	2.8922
rom_asia_lydia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	343.2870	244.6549	0.0660	-0.0630
rom_bactria_baktria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	646.5570	246.6133	2.4630	2.0753
rom_baetica_baeturia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	58.8480	235.6064	1.3010	0.8984
rom_belgica_silva_carbonaria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	136.2580	416.6182	0.7310	1.3685
rom_bithynia_et_pontus_bythynia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	365.9740	283.7478	0.1570	1.4746
rom_bosporus_taurica	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	409.3630	342.0814	-0.0710	2.8981
rom_britannia_britannia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	110.9270	438.0838	-0.0700	-1.2736
rom_caledonia_et_hibernia_caledonia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	82.3810	488.7628	0.5560	3.0579
rom_carmania_karmania	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	570.0070	140.8953	0.3730	-0.4518
rom_cartaginensis_bastetania	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	91.2860	226.9849	-0.0870	-0.5831
rom_caucasia_iberia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	492.2960	298.0898	2.8430	-0.9328
rom_celtica_lugdunensis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	144.7840	362.3260	2.0430	0.2662
rom_chorasmia_korasmia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	602.7640	302.1784	0.4250	1.0505
rom_cilicia_cilicia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	404.9410	241.0337	0.7570	3.5903
rom_cisalpina_insubria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	184.8610	343.8262	1.4260	-1.1976
rom_corsica_et_sardinia_sardinia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	172.0900	248.7193	0.1590	-1.4799
rom_dacia_dacia_superior	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	304.7050	352.7247	2.2580	-1.5519
rom_galatia_et_cappadocia_galatia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	389.4990	272.3671	2.9310	4.4293
rom_gedrosia_gedrosia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	597.3530	146.0583	1.4640	-0.6518
rom_germania_minor_germania_superior	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	163.1870	379.9406	1.6700	0.2662
rom_hellas_attiki	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	306.6450	250.3672	0.1000	-1.2949
rom_hercynia_hercynia_silva	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	236.2450	410.1328	1.4970	-0.8120
rom_illyria_dalmatia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	265.0350	314.7627	1.3000	-0.5344
rom_italia_latium	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	211.3690	292.1600	0.3720	-0.4280
rom_libue_cyrenaica	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	283.9730	169.6530	0.1070	1.9596
rom_lusitania_celtica	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	31.9290	246.6594	1.5510	0.0468
rom_macedonia_makedonia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	301.0770	284.6053	0.0390	-0.5790
rom_magna_germania_silva_bacenis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	188.4310	437.9211	0.7600	2.9828
rom_magna_graecia_calabria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	246.5420	274.8770	0.1810	3.0350
rom_mauretania_tingitana	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	48.7600	200.1382	0.2000	0.7149
rom_media_magna_media	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	516.8530	221.5265	3.0060	-0.1000
rom_mesopotamia_babylonia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	491.3620	194.1478	0.4590	-0.4088
rom_nabataea_jordan	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	417.3140	156.4397	1.0030	0.0851
rom_pannonia_pannonia_inferior	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	285.8120	332.4478	0.5220	2.4487
rom_parthia_parthia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	558.4370	218.2930	2.1530	4.3315
rom_persis_parsa	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	548.0800	167.8320	3.2510	1.5548
rom_phazania_zinchecra	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	209.3560	133.3040	2.5810	0.7942
rom_ponto_caspia_cimmeria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	406.3300	370.7606	0.2000	2.5712
rom_provincia_transalpina	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	150.6840	308.7389	0.1830	-1.5096
rom_raetia_et_noricum_noricum	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	235.8640	362.9099	1.7000	-1.4848
rom_sarmatia_pripet	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	348.1230	430.1373	1.3910	-0.7538
rom_scythia_turan	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	547.2000	373.9225	-0.0800	1.8999
rom_silesia_silesia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	257.7870	424.5093	0.9000	2.4701
rom_suebia_lusatia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	229.5670	431.5683	0.9000	1.0775
rom_syria_syria	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	416.5850	229.9253	0.1920	1.0117
rom_tarraconensis_tarraconensis	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	115.2920	266.0028	-0.1040	-1.3863
rom_thracia_thracia	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	322.4550	300.2085	1.5760	2.4487
rom_transoxania_sodgiana	RigidModels\campaign\settlements\roman\aqueduct\roman_aqueduct.rigid_model_v2	657.4330	266.6525	1.1800	1.6768
