action_results_additional_outcome_record	bonus_value_id	effect
1275	action_results_additional_outcome_record_value_addition	age_agent_commander_unit_melee_attack_mod_parent_army
1274	action_results_additional_outcome_record_value_addition	age_agent_commander_unit_melee_defence_mod_parent_army
1194	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1195	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1196	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1197	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1198	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1199	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1200	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1201	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1202	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1203	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1204	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1205	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1206	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
1207	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_on_success
68	action_results_additional_outcome_record_value_addition	age_agent_culture_conversion_local_province_passive
1184	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_blood_sacrifice
1185	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_blood_sacrifice
59	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_convert
61	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_convert
1179	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_discredit
1180	action_results_additional_outcome_record_value_addition	age_agent_dignitary_unlock_discredit
1249	action_results_additional_outcome_record_value_addition	age_agent_diplomacy_mod_local_region_owner_deployed_noscale
1219	action_results_additional_outcome_record_value_addition	age_agent_diplomacy_mod_local_region_owner_deployed
1273	action_results_additional_outcome_record_value_addition	age_agent_enable_frenzy_cooldown_mod_parent_army
1064	action_results_additional_outcome_record_value_addition	age_agent_enemy_action_success_chance_mod_local_province_parent_army
1065	action_results_additional_outcome_record_value_addition	age_agent_enemy_action_success_chance_mod_local_province_parent_army
71	action_results_additional_outcome_record_value_addition	age_agent_enemy_action_success_chance_mod_local_province_while_deployed
1054	action_results_additional_outcome_record_value_addition	age_agent_enemy_morale_mod_deployed
1258	action_results_additional_outcome_record_value_addition	age_agent_enemy_morale_mod_deployed
1063	action_results_additional_outcome_record_value_addition	age_agent_experience_distance
1086	action_results_additional_outcome_record_value_addition	age_agent_force_armour_mod_local_region_deployed
1152	action_results_additional_outcome_record_value_addition	age_agent_force_armour_mod_local_region_deployed
1087	action_results_additional_outcome_record_value_addition	age_agent_force_melee_damage_mod_local_region_deployed
1155	action_results_additional_outcome_record_value_addition	age_agent_force_melee_damage_mod_local_region_deployed
1209	action_results_additional_outcome_record_value_addition	age_agent_force_unit_mod_melee_attack_parent_army
1187	action_results_additional_outcome_record_value_addition	age_agent_force_unit_mod_mercenary_melee_attack_parent_army
1188	action_results_additional_outcome_record_value_addition	age_agent_force_unit_mod_mercenary_melee_defence_parent_army
1189	action_results_additional_outcome_record_value_addition	age_agent_force_unit_mod_mercenary_morale_parent_army
1265	action_results_additional_outcome_record_value_addition	age_agent_foreign_culture_penaly_while_deployed
1240	action_results_additional_outcome_record_value_addition	age_agent_gdp_mod_all_local_province_deployed_authority
1254	action_results_additional_outcome_record_value_addition	age_agent_gdp_mod_all_local_province_deployed_subterfuge_dignitary
1239	action_results_additional_outcome_record_value_addition	age_agent_gdp_mod_all_local_province_deployed_subterfuge
1210	action_results_additional_outcome_record_value_addition	age_agent_gdp_mod_all_local_province_deployed_zeal
1235	action_results_additional_outcome_record_value_addition	age_agent_gdp_mod_culture_local_province_deployed
1225	action_results_additional_outcome_record_value_addition	age_agent_gdp_trade_all_mod_local_province_deployed
1035	action_results_additional_outcome_record_value_addition	age_agent_growth_local_province
1237	action_results_additional_outcome_record_value_addition	age_agent_growth_mod_local_province_deployed
1253	action_results_additional_outcome_record_value_addition	age_agent_line_of_sight_mod_parent_army_authority
1128	action_results_additional_outcome_record_value_addition	age_agent_line_of_sight_mod_parent_army
1127	action_results_additional_outcome_record_value_addition	age_agent_line_of_sight_mod
1263	action_results_additional_outcome_record_value_addition	age_agent_local_province_attribute_mod_deployed
57	action_results_additional_outcome_record_value_addition	age_agent_local_region_steal_income_mod_deployed
1163	action_results_additional_outcome_record_value_addition	age_agent_looting_gold_increase
1016	action_results_additional_outcome_record_value_addition	age_agent_melee_attack_inf_spr_parent_army
1162	action_results_additional_outcome_record_value_addition	age_agent_melee_attack_local_province_deployed
1130	action_results_additional_outcome_record_value_addition	age_agent_melee_attack_mod_parent_army_authority
1226	action_results_additional_outcome_record_value_addition	age_agent_melee_damage_mod_local_province_include_enemy_deployed
1220	action_results_additional_outcome_record_value_addition	age_agent_melee_damage_mod_parent_army
1017	action_results_additional_outcome_record_value_addition	age_agent_melee_defence_inf_spr_parent_army
1213	action_results_additional_outcome_record_value_addition	age_agent_melee_defence_parent_army
1217	action_results_additional_outcome_record_value_addition	age_agent_mercenary_cost_mod_local_province_deployed
1223	action_results_additional_outcome_record_value_addition	age_agent_mercenary_province_pool_replenishment_mod_deployed
1088	action_results_additional_outcome_record_value_addition	age_agent_military_research_enemy_region_deployed
1227	action_results_additional_outcome_record_value_addition	age_agent_missile_damage_mod_local_province_include_enemy_deployed
1221	action_results_additional_outcome_record_value_addition	age_agent_missile_damage_mod_parent_army
1302	action_results_additional_outcome_record_value_addition	age_agent_missile_damage_mod_parent_army
1303	action_results_additional_outcome_record_value_addition	age_agent_missile_range_mod_parent_army
1056	action_results_additional_outcome_record_value_addition	age_agent_mod_cooldown_rate_parent_army
1066	action_results_additional_outcome_record_value_addition	age_agent_morale_factionwide_assassination_morale
1067	action_results_additional_outcome_record_value_addition	age_agent_morale_factionwide_assassination_morale
1018	action_results_additional_outcome_record_value_addition	age_agent_morale_inf_spr_parent_army
1161	action_results_additional_outcome_record_value_addition	age_agent_morale_local_province_deployed
1011	action_results_additional_outcome_record_value_addition	age_agent_morale_parent_army
1175	action_results_additional_outcome_record_value_addition	age_agent_morale_parent_army
1208	action_results_additional_outcome_record_value_addition	age_agent_morale_parent_army
1159	action_results_additional_outcome_record_value_addition	age_agent_morale_unarmoured_units_parent_army
1010	action_results_additional_outcome_record_value_addition	age_agent_movement_range_parent_army
1160	action_results_additional_outcome_record_value_addition	age_agent_movement_range_parent_army
69	action_results_additional_outcome_record_value_addition	age_agent_movement_range_parent_army
1276	action_results_additional_outcome_record_value_addition	age_agent_native_recruitment_cost_mod_local_province_deployed
1172	action_results_additional_outcome_record_value_addition	age_agent_negative_public_order_mod_local_province_deployed_hidden
1173	action_results_additional_outcome_record_value_addition	age_agent_negative_public_order_mod_local_province_deployed_hidden
1170	action_results_additional_outcome_record_value_addition	age_agent_negative_public_order_mod_local_province_deployed
1171	action_results_additional_outcome_record_value_addition	age_agent_negative_public_order_mod_local_province_deployed
1055	action_results_additional_outcome_record_value_addition	age_agent_night_battle_parent_army
1222	action_results_additional_outcome_record_value_addition	age_agent_passive_diplomacy_all
1255	action_results_additional_outcome_record_value_addition	age_agent_political_party_loyalty_local_province_while_deployed_noscale
1267	action_results_additional_outcome_record_value_addition	age_agent_political_party_loyalty_local_province_while_deployed_zeal
1238	action_results_additional_outcome_record_value_addition	age_agent_political_party_loyalty_local_province_while_deployed
1228	action_results_additional_outcome_record_value_addition	age_agent_political_party_loyalty_parent_general
1019	action_results_additional_outcome_record_value_addition	age_agent_public_order_assassination
1020	action_results_additional_outcome_record_value_addition	age_agent_public_order_assassination
1232	action_results_additional_outcome_record_value_addition	age_agent_public_order_local_province_deployed_authority
1085	action_results_additional_outcome_record_value_addition	age_agent_public_order_local_province_deployed_negative_zeal
1266	action_results_additional_outcome_record_value_addition	age_agent_public_order_local_province_deployed_negative
1216	action_results_additional_outcome_record_value_addition	age_agent_public_order_local_province_deployed_subterfuge
1077	action_results_additional_outcome_record_value_addition	age_agent_public_order_neighbour_deployed_enemy
1078	action_results_additional_outcome_record_value_addition	age_agent_public_order_neighbour_deployed_enemy
1076	action_results_additional_outcome_record_value_addition	age_agent_public_order_neighbour_deployed
1079	action_results_additional_outcome_record_value_addition	age_agent_public_order_neighbour_deployed
1014	action_results_additional_outcome_record_value_addition	age_agent_raid_income_parent_army
1129	action_results_additional_outcome_record_value_addition	age_agent_recruitment_cost_mod_deployed
1241	action_results_additional_outcome_record_value_addition	age_agent_recruitment_costs_agents_on_bribe_success_all_provinces
1242	action_results_additional_outcome_record_value_addition	age_agent_recruitment_costs_agents_on_bribe_success_all_provinces
1243	action_results_additional_outcome_record_value_addition	age_agent_recruitment_costs_agents_on_bribe_success_all_provinces
1244	action_results_additional_outcome_record_value_addition	age_agent_recruitment_costs_agents_on_bribe_success_all_provinces
1280	action_results_additional_outcome_record_value_addition	age_agent_recruitment_level_mod_deployed_local_province
1132	action_results_additional_outcome_record_value_addition	age_agent_recruitment_mod_local_province_deployed
1186	action_results_additional_outcome_record_value_addition	age_agent_recruitment_mod_local_province_deployed
1260	action_results_additional_outcome_record_value_addition	age_agent_recruitment_slots_local_province_deployed
1218	action_results_additional_outcome_record_value_addition	age_agent_replenishment_rate_local_region_deployed
1093	action_results_additional_outcome_record_value_addition	age_agent_replenishment_rate_local_region_enemy_deployed
1169	action_results_additional_outcome_record_value_addition	age_agent_replenishment_rate_parent_army
1233	action_results_additional_outcome_record_value_addition	age_agent_research_deployed_scale_authority
1234	action_results_additional_outcome_record_value_addition	age_agent_research_deployed_scale_authority
1214	action_results_additional_outcome_record_value_addition	age_agent_research_deployed_scale_zeal
1215	action_results_additional_outcome_record_value_addition	age_agent_research_deployed_scale_zeal
47	action_results_additional_outcome_record_value_addition	age_agent_skill_action_mod_dignitary_army_upkeep_cost
1300	action_results_additional_outcome_record_value_addition	age_agent_slave_capture_parent_army
1083	action_results_additional_outcome_record_value_addition	age_agent_steal_food_enemy_hidden
1256	action_results_additional_outcome_record_value_addition	age_agent_steal_wealth
1257	action_results_additional_outcome_record_value_addition	age_agent_steal_wealth
1176	action_results_additional_outcome_record_value_addition	age_agent_success_chance_enemy_mod_parent_army_general
1177	action_results_additional_outcome_record_value_addition	age_agent_success_chance_enemy_mod_parent_army_general
1133	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1134	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1135	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1136	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1137	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1138	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1139	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1140	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1141	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1142	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1143	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1144	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1145	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1146	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1147	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1148	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1149	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
1150	action_results_additional_outcome_record_value_addition	age_agent_success_chance_mod_all_agents_on_success
49	action_results_additional_outcome_record_value_addition	age_agent_tax_rate_local_province_deployed
1224	action_results_additional_outcome_record_value_addition	age_agent_trade_tariffs_all_passive
1250	action_results_additional_outcome_record_value_addition	age_agent_unit_experience_auxiliary_local_province_deployed
1277	action_results_additional_outcome_record_value_addition	age_agent_unit_experience_native_local_province_deployed
1021	action_results_additional_outcome_record_value_addition	age_agent_unit_mod_bows_missile_damage_parent_army
1022	action_results_additional_outcome_record_value_addition	age_agent_unit_mod_bows_missile_range_parent_army
1024	action_results_additional_outcome_record_value_addition	age_agent_unit_mod_infantry_heavy_melee_attack_parent_army
1025	action_results_additional_outcome_record_value_addition	age_agent_unit_mod_infantry_heavy_melee_defence_parent_army
1026	action_results_additional_outcome_record_value_addition	age_agent_unit_mod_infantry_heavy_morale_parent_army
1068	action_results_additional_outcome_record_value_addition	age_agent_unit_recruitment_cost_local_province
1245	action_results_additional_outcome_record_value_addition	age_agent_unit_recruitment_costs_on_bribe_success_all_provinces
1246	action_results_additional_outcome_record_value_addition	age_agent_unit_recruitment_costs_on_bribe_success_all_provinces
1247	action_results_additional_outcome_record_value_addition	age_agent_unit_recruitment_costs_on_bribe_success_all_provinces
1248	action_results_additional_outcome_record_value_addition	age_agent_unit_recruitment_costs_on_bribe_success_all_provinces
1074	action_results_additional_outcome_record_value_addition	age_agent_unit_training_charge_local_province_deployed
1072	action_results_additional_outcome_record_value_addition	age_agent_unit_training_melee_attack_local_province_deployed
1073	action_results_additional_outcome_record_value_addition	age_agent_unit_training_melee_defence_local_province_deployed
1069	action_results_additional_outcome_record_value_addition	age_agent_unit_upkeep_local_province
42	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_arson
44	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_arson
72	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_burn_ammunition
73	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_burn_ammunition
21	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_harass
24	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_harass
32	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_rally_slaves
34	action_results_additional_outcome_record_value_addition	age_agent_unlock_action_rally_slaves
1268	action_results_additional_outcome_record_value_addition	age_agent_upkeep_while_deployed
1229	action_results_additional_outcome_record_value_addition	age_agent_xp_gain_bribed_agent
1251	action_results_additional_outcome_record_value_addition	age_agent_xp_gain_characters_local_province_deployed
1252	action_results_additional_outcome_record_value_addition	age_agent_xp_gain_characters_local_province_deployed
1027	action_results_additional_outcome_record_value_addition	age_champion_unlock_action_trap_hidden_attribute_reduction
1036	action_results_additional_outcome_record_value_addition	age_champion_unlock_action_trap_hidden_attribute_reduction
1030	action_results_additional_outcome_record_value_addition	age_champion_unlock_action_trap
1039	action_results_additional_outcome_record_value_addition	age_champion_unlock_action_trap
1090	action_results_additional_outcome_record_value_addition	age_spy_action_sabotage_supplies_damage_units_critical_hidden
1089	action_results_additional_outcome_record_value_addition	age_spy_action_sabotage_supplies_damage_units
1123	action_results_additional_outcome_record_value_addition	age_spy_action_success_enemy_mod
1124	action_results_additional_outcome_record_value_addition	age_spy_action_success_mod
1120	action_results_additional_outcome_record_value_addition	age_spy_ambush_chance_success_chance_local_region_deployed
1119	action_results_additional_outcome_record_value_addition	age_spy_ambush_chance_success_chance_parent_army
1099	action_results_additional_outcome_record_value_addition	age_spy_attribute_mod_misdirection_crit_hidden
1100	action_results_additional_outcome_record_value_addition	age_spy_attribute_mod_misdirection_crit_hidden
1101	action_results_additional_outcome_record_value_addition	age_spy_attribute_mod_misdirection_crit_hidden
1096	action_results_additional_outcome_record_value_addition	age_spy_attribute_mod_misdirection
1094	action_results_additional_outcome_record_value_addition	age_spy_cavalry_morale_mod_sabotage_supplies
1095	action_results_additional_outcome_record_value_addition	age_spy_cavalry_morale_mod_sabotage_supplies
1081	action_results_additional_outcome_record_value_addition	age_spy_increase_misdirection_effect
1082	action_results_additional_outcome_record_value_addition	age_spy_increase_misdirection_effect
300	action_results_additional_outcome_record_value_addition	age_spy_increase_sabotage_supplies
310	action_results_additional_outcome_record_value_addition	age_spy_increase_sabotage_supplies
1102	action_results_additional_outcome_record_value_addition	age_spy_melee_attack_mod_enemy_army_sabotage_supplies
1103	action_results_additional_outcome_record_value_addition	age_spy_melee_attack_mod_enemy_army_sabotage_supplies
1104	action_results_additional_outcome_record_value_addition	age_spy_melee_defence_mod_enemy_army_sabotage_supplies
1105	action_results_additional_outcome_record_value_addition	age_spy_melee_defence_mod_enemy_army_sabotage_supplies
1125	action_results_additional_outcome_record_value_addition	age_spy_movement_range_mod_agents_armies_deployed
1126	action_results_additional_outcome_record_value_addition	age_spy_movement_range_mod_agents_armies_deployed
1113	action_results_additional_outcome_record_value_addition	age_spy_movement_range_mod_enemy_forces_while_deployed
1114	action_results_additional_outcome_record_value_addition	age_spy_movement_range_mod_enemy_forces_while_deployed
1116	action_results_additional_outcome_record_value_addition	age_spy_recruitment_constructuion_costs_mod_while_deployed
1117	action_results_additional_outcome_record_value_addition	age_spy_recruitment_constructuion_costs_mod_while_deployed
1115	action_results_additional_outcome_record_value_addition	age_spy_recruitment_constructuion_time_mod_while_deployed
1118	action_results_additional_outcome_record_value_addition	age_spy_recruitment_constructuion_time_mod_while_deployed
80	action_results_additional_outcome_record_value_addition	age_spy_reveal_targets_mod_reconnoitre
82	action_results_additional_outcome_record_value_addition	age_spy_reveal_targets_mod_reconnoitre
1121	action_results_additional_outcome_record_value_addition	age_spy_reveal_targets_neighbour_regions_deployed
1122	action_results_additional_outcome_record_value_addition	age_spy_reveal_targets_neighbour_regions_deployed
1261	action_results_additional_outcome_record_value_addition	age_spy_sabotage_supplies_charge_bonus_cav
1262	action_results_additional_outcome_record_value_addition	age_spy_sabotage_supplies_charge_bonus_cav
1107	action_results_additional_outcome_record_value_addition	age_spy_steal_ancillary
1108	action_results_additional_outcome_record_value_addition	age_spy_steal_ancillary
1084	action_results_additional_outcome_record_value_addition	age_spy_steal_food_mod
1109	action_results_additional_outcome_record_value_addition	age_spy_steal_success_chance_mod
1110	action_results_additional_outcome_record_value_addition	age_spy_steal_success_chance_mod
1111	action_results_additional_outcome_record_value_addition	age_spy_unit_morale_mod_sabotage_supplies
1112	action_results_additional_outcome_record_value_addition	age_spy_unit_morale_mod_sabotage_supplies
1075	action_results_additional_outcome_record_value_addition	inv_rom_agent_parent_general_experience
13	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_army_military_training
30	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_enemy_province_military_action
16	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_own_province_military_fervour
45	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_passive_adventure
18	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_subvert_show_of_force_charge
20	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_subvert_show_of_force_charge
17	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_subvert_show_of_force_morale
19	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_champion_subvert_show_of_force_morale
47	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_army_military_admin
57	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_enemy_province_corruption
65	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_cultural_propaganda
67	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_cultural_propaganda
59	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_cultural_tension
61	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_cultural_tension
62	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_merchant_payoff
63	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_obstruct_merchant_payoff
49	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_own_province_civil_admin
68	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_dignitary_passive_culture
71	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_own_province_counter_intelligence
90	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_commit_arson
93	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_commit_arson
35	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_poison_wells_damage
38	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_poison_wells_damage
76	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_wreck_supply_train
77	action_results_additional_outcome_record_value_addition	rom_agent_skill_action_mod_spy_sabotage_wreck_supply_train
