campaign_key	faction_key	cdir_config_key	value
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_MINOR_FACTION_WEIGHT	0.33
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_PROXIMITY_PCT	0.2
all	all	CDIR_CVN_PLAYER_RIVAL_SCORE_VICTORY_REGIONS_PCT	0.2
all	all	CDIR_CVN_REPLENISH_UNITS_ARMY_MAX_PCT	0.95
all	all	CDIR_CVN_REPLENISH_UNITS_ARMY_MIN_PCT	0.85
all	all	CDIR_CVN_REPLENISH_UNITS_FACTION_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_REPLENISH_UNITS_FACTION_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_REPLENISH_UNITS_MOBILE_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_REPLENISH_UNITS_MOBILE_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_REPLENISH_UNITS_UNIT_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_REPLENISH_UNITS_UNIT_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_TELEPORT_GENERALS_TO_FRONT	1
all	all	CDIR_CVN_TRANSFER_REGION_OWNERSHIP_BASE_CHANCE	0.01
all	all	CDIR_CVN_TRANSFER_REGION_OWNERSHIP_EXTRA_CHANCE_PER_ROUND	0.01
all	all	CDIR_CVN_TRANSFER_REGION_OWNERSHIP_UBER_FACTION_MODIFIER	10.0
all	all	CDIR_CVN_UBER_FACTION	0
all	all	CDIR_CVN_UNIT_BALANCER_FACTION_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_BALANCER_FACTION_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_BALANCER_MOBILE_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_BALANCER_MOBILE_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_BALANCER_UNIT_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_BALANCER_UNIT_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_FACTION_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_FACTION_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_MOBILE_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_MOBILE_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_UNIT_ARMY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_UPGRADER_UNIT_NAVY_ALLOWED	1.0
all	all	CDIR_CVN_UNIT_XP_UPGRADE_ARMY_BASE_CHANCE	0.01
all	all	CDIR_CVN_UNIT_XP_UPGRADE_ARMY_EXTRA_CHANCE_PER_ROUND	0.01
all	all	CDIR_CVN_UNIT_XP_UPGRADE_NAVY_BASE_CHANCE	0.01
all	all	CDIR_CVN_UNIT_XP_UPGRADE_NAVY_EXTRA_CHANCE_PER_ROUND	0.01
