key	animation	entity	mount_armour	variant	audio_armour_type
rome_celtic_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Celtic_Horse	body
rome_celtic_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Celtic_Horse	body
rome_celtic_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Celtic_Horse	body
rome_celtic_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Celtic_Horse	body
rome_celtic_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Celtic_Horse	body
rome_celtic_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Celtic_Horse	body
rome_celtic_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Celtic_Horse	body
rome_celtic_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Celtic_Horse	body
rome_celtic_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Celtic_Horse	body
rome_celtic_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Celtic_Horse	body
rome_celtic_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Celtic_Horse	body
rome_celtic_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Celtic_Horse	body
rome_celtic_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Celtic_Horse	body
rome_celtic_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Celtic_Horse	body
rome_eastern_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Eastern_Heavy_Horse	body
rome_eastern_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Eastern_Horse	body
rome_eastern_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Eastern_Horse	body
rome_eastern_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Eastern_Heavy_Horse	body
rome_eastern_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Eastern_Horse	body
rome_eastern_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Eastern_Horse	body
rome_eastern_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Eastern_Horse	body
rome_eastern_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Eastern_Horse	body
rome_eastern_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Eastern_Horse	body
rome_eastern_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Eastern_Horse	body
rome_eastern_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Eastern_Horse	body
rome_eastern_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Eastern_Horse	body
rome_eastern_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Eastern_Horse	body
rome_eastern_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Eastern_Heavy_Horse	body
rome_eastern_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Eastern_Horse	body
rome_egyptian_chariot_horse	rome_mount_horse_sword	rome_horse_medium	0	Horse_Egyptian_Chariot	body
rome_generic_chariot_horse	rome_mount_horse_sword	rome_horse_medium	0	Horse_Generic_Chariot	body
rome_hellenic_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Hellenic_Horse	body
rome_hellenic_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Hellenic_Horse	body
rome_hellenic_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Hellenic_Horse	body
rome_hellenic_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Hellenic_Horse	body
rome_hellenic_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Hellenic_Horse	body
rome_hellenic_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Hellenic_Horse	body
rome_hellenic_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Hellenic_Horse	body
rome_hellenic_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Hellenic_Horse	body
rome_hellenic_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Hellenic_Horse	body
rome_hellenic_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Hellenic_Horse	body
rome_hellenic_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Hellenic_Horse	body
rome_hellenic_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Hellenic_Heavy_Horse	body
rome_hellenic_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Hellenic_Horse	body
rome_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Roman_Horse	body
rome_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Roman_Horse	body
rome_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Roman_Horse	body
rome_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Roman_Horse	body
rome_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Roman_Horse	body
rome_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Roman_Horse	body
rome_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Roman_Horse	body
rome_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Roman_Horse	body
rome_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Roman_Horse	body
rome_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Roman_Horse	body
rome_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Roman_Horse	body
rome_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Roman_Horse	body
rome_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Roman_Horse	body
rome_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Roman_Horse	body
rome_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Roman_Horse	body
rome_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Roman_Horse	body
rome_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Roman_Horse	body
rome_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Roman_Horse	body
rome_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Roman_Horse	body
rome_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Roman_Horse	body
rome_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Roman_Horse	body
rome_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Roman_Horse	body
rome_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Roman_Horse	body
rome_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Roman_Horse	body
rome_iberian_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Iberian_Horse	body
rome_iberian_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Iberian_Horse	body
rome_iberian_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Iberian_Horse	body
rome_iberian_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Iberian_Horse	body
rome_iberian_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Iberian_Horse	body
rome_iberian_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Iberian_Horse	body
rome_iberian_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Iberian_Horse	body
rome_iberian_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Iberian_Horse	body
rome_iberian_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Iberian_Horse	body
rome_iberian_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Iberian_Horse	body
rome_iberian_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Iberian_Horse	body
rome_iberian_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Iberian_Horse	body
rome_iberian_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Iberian_Horse	body
rome_iberian_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Iberian_Horse	body
rome_numidian_horse_lance_h	rome_mount_horse_lance	rome_horse_numidian_heavy_shock	0	Hellenic_Horse	body
rome_numidian_horse_lance_m	rome_mount_horse_lance	rome_horse_numidian_medium_shock	0	Hellenic_Horse	body
rome_numidian_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_numidian_heavy	0	Hellenic_Heavy_Horse	body
rome_numidian_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_numidian_light	0	Hellenic_Horse	body
rome_numidian_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_numidian_medium	0	Hellenic_Horse	body
rome_scythed_chariot_horse	rome_mount_horse_sword	rome_horse_very_heavy	0	Horse_Scythed_Chariot	body
rome_scythian_horse_lance_h	rome_mount_horse_lance	rome_horse_heavy_shock	0	Scythian_Horse	body
rome_scythian_horse_lance_l	rome_mount_horse_lance	rome_horse_light_shock	0	Scythian_Horse	body
rome_scythian_horse_lance_m	rome_mount_horse_lance	rome_horse_medium_shock	0	Scythian_Horse	body
rome_scythian_horse_lance_sh	rome_mount_horse_lance	rome_horse_super_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_lance_vh	rome_mount_horse_lance	rome_horse_very_heavy_shock	0	Scythian_Royal_Horse	body
rome_scythian_horse_lance_vl	rome_mount_horse_lance	rome_horse_very_light_shock	0	Scythian_Horse	body
rome_scythian_horse_spear_shield_h	rome_mount_horse_spear_shield	rome_horse_heavy	0	Scythian_Horse	body
rome_scythian_horse_spear_shield_l	rome_mount_horse_spear_shield	rome_horse_light	0	Scythian_Horse	body
rome_scythian_horse_spear_shield_m	rome_mount_horse_spear_shield	rome_horse_medium	0	Scythian_Horse	body
rome_scythian_horse_spear_shield_sh	rome_mount_horse_spear_shield	rome_horse_super_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_spear_shield_vh	rome_mount_horse_spear_shield	rome_horse_very_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_spear_shield_vl	rome_mount_horse_spear_shield	rome_horse_very_light	0	Scythian_Horse	body
rome_scythian_horse_sword_h	rome_mount_horse_sword	rome_horse_heavy_missile	0	Scythian_Horse	body
rome_scythian_horse_sword_l	rome_mount_horse_sword	rome_horse_light_missile	0	Scythian_Horse	body
rome_scythian_horse_sword_m	rome_mount_horse_sword	rome_horse_medium_missile	0	Scythian_Horse	body
rome_scythian_horse_sword_sh	rome_mount_horse_sword	rome_horse_super_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_sword_shield_h	rome_mount_horse_sword_shield	rome_horse_heavy	0	Scythian_Horse	body
rome_scythian_horse_sword_shield_l	rome_mount_horse_sword_shield	rome_horse_light	0	Scythian_Horse	body
rome_scythian_horse_sword_shield_m	rome_mount_horse_sword_shield	rome_horse_medium	0	Scythian_Horse	body
rome_scythian_horse_sword_shield_sh	rome_mount_horse_sword_shield	rome_horse_super_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_sword_shield_vh	rome_mount_horse_sword_shield	rome_horse_very_heavy	0	Scythian_Royal_Horse	body
rome_scythian_horse_sword_shield_vl	rome_mount_horse_sword_shield	rome_horse_very_light	0	Scythian_Horse	body
rome_scythian_horse_sword_vh	rome_mount_horse_sword	rome_horse_very_heavy_missile	0	Scythian_Royal_Horse	body
rome_scythian_horse_sword_vl	rome_mount_horse_sword	rome_horse_very_light_missile	0	Scythian_Horse	body
syrian_elephants	rome_mount_elephant	indian_armoured_elephant	0	Elephant_Indian_Armoured	segmented
