effect	icon	priority	icon_negative
3c_faction_trait_armenia_diplomacy_westward	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
3c_faction_trait_armenia_general_experience_base	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
3c_faction_trait_british_heroic_culture	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_positive.png
3c_faction_trait_british_sanitation	data/ui/campaign ui/effect_bundles/3c_squalor_green.png	101	data/ui/campaign ui/effect_bundles/growth_negative.png
3c_faction_trait_eastern_banditry_reduce_all	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_faction_trait_gallicemp_political_action_cost_mod	data/ui/campaign ui/effect_bundles/faction_leader_positive.png	101	data/ui/campaign ui/effect_bundles/faction_leader_positive.png
3c_faction_trait_gallicemp_public_order_latin	data/ui/campaign ui/effect_bundles/public_order_positive.png	100	data/ui/campaign ui/effect_bundles/public_order_negative.png
3c_faction_trait_germanic_looters_raiders	data/ui/campaign ui/effect_bundles/loot_raid_positive.png	101	data/ui/campaign ui/effect_bundles/loot_raid_positive.png
3c_faction_trait_gothi_ancestral_blades	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_faction_trait_nomadic_steppe_dominance	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
3c_faction_trait_nomadic_warlike_people	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_positive.png
3c_faction_trait_palmyra_cult_banditry	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png	101	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_faction_trait_palmyra_cult_bonuses	data/ui/campaign ui/effect_bundles/religion_positive.png	100	data/ui/campaign ui/effect_bundles/religion_negative.png
3c_faction_trait_palmyra_research_rate	data/ui/campaign ui/effect_bundles/technology_positive.png	101	data/ui/campaign ui/effect_bundles/technology_positive.png
3c_faction_trait_palmyra_unseen_christian_bonus		0	
3c_faction_trait_palmyra_unseen_mithraic_bonus		0	
3c_faction_trait_roman_diplomatic_penalty	data/ui/campaign ui/effect_bundles/diplomacy_negative.png	100	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_faction_trait_roman_morale_own_or_allied	data/ui/campaign ui/effect_bundles/morale_positive.png	100	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_faction_trait_sassanid_charge_cavalry	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
3c_faction_trait_sassanid_diplomacy_eastern_nomadic	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
3c_faction_trait_saxoni_settlers	data/ui/campaign ui/effect_bundles/construction_positive.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_faction_trait_saxoni_voyagers	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	101	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png
3c_force_campaign_mod_sack_income	data/ui/campaign ui/effect_bundles/loot_raid_positive.png	101	data/ui/campaign ui/effect_bundles/loot_raid_negative.png
3c_force_enemy_unit_mod_morale	data/ui/campaign ui/effect_bundles/morale_negative.png	101	data/ui/campaign ui/effect_bundles/morale_positive.png
3c_force_mod_income_raiding_sacking	data/ui/campaign ui/effect_bundles/loot_raid_positive.png	102	data/ui/campaign ui/effect_bundles/loot_raid_positive.png
3c_force_mod_income_raiding_sacking_naval_desc	data/ui/campaign ui/effect_bundles/loot_raid_positive.png	101	data/ui/campaign ui/effect_bundles/loot_raid_positive.png
3c_force_unit_mod_armour_cavalry	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_force_unit_mod_armour_chariots	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_force_unit_mod_armour_infantry	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_force_unit_mod_bows_ammunition	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_force_unit_mod_bows_battle_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_cavalry_and_infantry_ammunition	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_force_unit_mod_cavalry_and_infantry_battle_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_cavalry_battle_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_cavalry_heavy_armour	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_force_unit_mod_cavalry_heavy_charge	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
3c_force_unit_mod_cavalry_light_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_charge_bonus_versus_roman_eastern	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
3c_force_unit_mod_commander_recruitment_cost	data/ui/campaign ui/effect_bundles/army_negative.png	0	data/ui/campaign ui/effect_bundles/army_positive.png
3c_force_unit_mod_greuthungi_weapon_damage	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_heavy_armour	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_force_unit_mod_heavy_infantry_battle_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_heavy_infantry_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_heavy_melee_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_heavy_melee_defence	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_heavy_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_infantry_battle_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_infantry_spears_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_melee_attack_defending	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_attack_desert	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_attack_ship_neutral_territory	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_attack_versus_other_romans	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_attack_versus_roman_eastern	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_attack_versus_romans	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_melee_defence_base_stance	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_chariots	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_desert	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_mod_stance	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_own_territory	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_versus_non_barbarians	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_versus_other_romans	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_melee_defence_versus_romans	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_force_unit_mod_mercenary_melee_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	20	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_mercenary_melee_defence	data/ui/campaign ui/effect_bundles/melee_positive.png	20	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_mercenary_weapon_damage	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_missile_damage_defending	data/ui/campaign ui/effect_bundles/accuracy_positive.png	101	data/ui/campaign ui/effect_bundles/accuracy_negative.png
3c_force_unit_mod_missile_range_defending	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_force_unit_mod_missle_rate_ship_neutral_territory	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_force_unit_mod_morale_enemy_territory	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_positive.png
3c_force_unit_mod_morale_own_territory	data/ui/campaign ui/effect_bundles/morale_positive.png	100	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_morale_ship_neutral_territory	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_morale_versus_non_barbarians	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_morale_versus_other_romans	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_morale_versus_romans	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_movement_speed_desert	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_force_unit_mod_ramming_bonus_versus_roman_eastern	data/ui/campaign ui/effect_bundles/naval_assault_positive.png	101	data/ui/campaign ui/effect_bundles/naval_assault_negative.png
3c_force_unit_mod_ship_crew_melee_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_ship_crew_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_siege_attack_melee_attack	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
3c_force_unit_mod_siege_attack_morale	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_tervingi_weapon_damage	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_tier_one_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_force_unit_mod_tier_one_defence	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_general_bodyguard_mod_armour	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
3c_general_bodyguard_mod_charge	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
3c_general_bodyguard_mod_melee_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
3c_general_bodyguard_mod_melee_defense	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
3c_hidden_enable_battering_ram	data/ui/campaign ui/effect_bundles/artillery_positive.png	0	data/ui/campaign ui/effect_bundles/artillery_negative.png
3c_hidden_enable_boiling_oil	data/ui/campaign ui/effect_bundles/siege_defence_positive.png	0	data/ui/campaign ui/effect_bundles/siege_attack_positive.png
3c_hidden_enable_champion_recruitment	data/ui/campaign ui/effect_bundles/champion_positive.png	0	data/ui/campaign ui/effect_bundles/champion_negative.png
3c_hidden_enable_dignitary_recruitment	data/ui/campaign ui/effect_bundles/dignitary_positive.png	0	data/ui/campaign ui/effect_bundles/dignitary_negative.png
3c_hidden_enable_siege_tower	data/ui/campaign ui/effect_bundles/artillery_positive.png	0	data/ui/campaign ui/effect_bundles/artillery_negative.png
3c_hidden_enable_spy_recruitment	data/ui/campaign ui/effect_bundles/spy_positive.png	0	data/ui/campaign ui/effect_bundles/spy_negative.png
3c_hidden_enable_tortoise	data/ui/campaign ui/effect_bundles/artillery_positive.png	0	data/ui/campaign ui/effect_bundles/artillery_negative.png
3c_province_initiative_non_barbarian_taxes_replenishment_base	data/ui/campaign ui/effect_bundles/replenishment_positive.png	1100	data/ui/campaign ui/effect_bundles/replenishment_negative.png
3c_province_initiative_non_barbarian_taxes_replenishment_mod	data/ui/campaign ui/effect_bundles/replenishment_positive.png	1100	data/ui/campaign ui/effect_bundles/replenishment_negative.png
3c_rom_general_force_mod_resistance_to_occupation	data/ui/campaign ui/effect_bundles/zeal_positive.png	101	data/ui/campaign ui/effect_bundles/zeal_negative.png
3c_tech_agent_cap_mod	data/ui/campaign ui/effect_bundles/agent_positive.png	101	data/ui/campaign ui/effect_bundles/agent_negative.png
3c_tech_civil_champion_attributes_mod	data/ui/campaign ui/effect_bundles/agent_positive.png	101	data/ui/campaign ui/effect_bundles/agent_negative.png
3c_tech_civil_culture_christian_wealth	data/ui/campaign ui/effect_bundles/wealth_positive.png	100	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_culture_diplomacy_all	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
3c_tech_civil_culture_diplomacy_arabian	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	102	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_barbarian	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	102	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_eastern	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	102	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_german	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	102	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_latin	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	102	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_mod	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_diplomacy_steppe	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
3c_tech_civil_culture_foreign_culture_penalty	data/ui/campaign ui/effect_bundles/public_order_negative.png	100	data/ui/campaign ui/effect_bundles/public_order_positive.png
3c_tech_civil_culture_foreign_culture_penalty_civilized	data/ui/campaign ui/effect_bundles/public_order_negative.png	101	data/ui/campaign ui/effect_bundles/public_order_positive.png
3c_tech_civil_culture_grant_eunuch_ancillaries	data/ui/campaign ui/effect_bundles/growth_positive.png	1	data/ui/campaign ui/effect_bundles/growth_negative.png
3c_tech_civil_culture_medicinemen_ancillaries	data/ui/campaign ui/effect_bundles/growth_positive.png	1	data/ui/campaign ui/effect_bundles/growth_negative.png
3c_tech_civil_culture_public_order_entertainment_buildings	data/ui/campaign ui/effect_bundles/public_order_positive.png	100	data/ui/campaign ui/effect_bundles/public_order_negative.png
3c_tech_civil_culture_replenishtment_rate_christ_cult	data/ui/campaign ui/effect_bundles/replenishment_positive.png	101	data/ui/campaign ui/effect_bundles/replenishment_negative.png
3c_tech_civil_culture_winemaker_ancillaries	data/ui/campaign ui/effect_bundles/growth_positive.png	1	data/ui/campaign ui/effect_bundles/growth_negative.png
3c_tech_civil_dignitary_attributes_mod	data/ui/campaign ui/effect_bundles/agent_positive.png	101	data/ui/campaign ui/effect_bundles/agent_negative.png
3c_tech_civil_economy_banditry_all	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_tech_civil_economy_banditry_reduce_all	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
3c_tech_civil_economy_food_barb_commons	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
3c_tech_civil_economy_food_cattle	data/ui/campaign ui/effect_bundles/food_positive.png	100	data/ui/campaign ui/effect_bundles/food_negative.png
3c_tech_civil_economy_food_from_farms	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
3c_tech_civil_economy_food_ports	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
3c_tech_civil_economy_imperial_treasury	data/ui/campaign ui/effect_bundles/wealth_positive.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_economy_resource_production	data/ui/campaign ui/effect_bundles/resource_positive.png	1	data/ui/campaign ui/effect_bundles/resource_negative.png
3c_tech_civil_economy_silk_road	data/ui/campaign ui/effect_bundles/resource_positive.png	101	data/ui/campaign ui/effect_bundles/resource_negative.png
3c_tech_civil_economy_tax_nobility	data/ui/campaign ui/effect_bundles/wealth_positive.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_economy_trade_mod_roman_eastern	data/ui/campaign ui/effect_bundles/trade_positive.png	101	data/ui/campaign ui/effect_bundles/trade_negative.png
3c_tech_civil_engineering_building_conversion_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	102	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_civil_buildings_cost_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_cult_buildings_demolition_cost_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_military_build_time_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_port_build_time_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_solinvictus_temple_cost_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	30	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_solinvictus_temple_public_order	data/ui/campaign ui/effect_bundles/public_order_positive.png	100	data/ui/campaign ui/effect_bundles/public_order_negative.png
3c_tech_civil_engineering_wodanaz_temple_build_time_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	30	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_wodanaz_temple_cost_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	30	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_engineering_wodanaz_temple_gdp_mod	data/ui/campaign ui/effect_bundles/wealth_positive.png	30	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_governance_construction_costs_admin	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
3c_tech_civil_governance_force_upkeep_monarchy	data/ui/campaign ui/effect_bundles/army_negative.png	101	data/ui/campaign ui/effect_bundles/army_positive.png
3c_tech_civil_governance_happiness_empire	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
3c_tech_civil_governance_political_party_loyalty_republic	data/ui/campaign ui/effect_bundles/loyalty_positive.png	101	data/ui/campaign ui/effect_bundles/loyalty_negative.png
3c_tech_civil_governance_recruitment_points_hereditary_monarchy	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_negative.png
3c_tech_civil_governance_research_points_military_monarchy	data/ui/campaign ui/effect_bundles/technology_positive.png	101	data/ui/campaign ui/effect_bundles/technology_positive.png
3c_tech_civil_governance_slave_penalty_empire	data/ui/campaign ui/effect_bundles/slaves_negative.png	101	data/ui/campaign ui/effect_bundles/slaves_positive.png
3c_tech_civil_governance_unit_mod_experience_kingdom	data/ui/campaign ui/effect_bundles/experience_positive.png	0	data/ui/campaign ui/effect_bundles/experience_positive.png
3c_tech_civil_income_own_rome	data/ui/campaign ui/effect_bundles/wealth_positive.png	100	data/ui/campaign ui/effect_bundles/wealth_negative.png
3c_tech_civil_trade_tariff_mod_client_states	data/ui/campaign ui/effect_bundles/trade_positive.png	101	data/ui/campaign ui/effect_bundles/trade_negative.png
3c_tech_force_cap_mod	data/ui/campaign ui/effect_bundles/general_positive.png	101	data/ui/campaign ui/effect_bundles/general_negative.png
3c_tech_military_ammunition_mod_cavalry	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_tech_military_ammunition_mod_infantry	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
3c_tech_military_desert_attrition_immunity	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_negative.png
3c_tech_military_enable_defensive_deployables_barricade	data/ui/campaign ui/effect_bundles/fortification_positive.png	101	data/ui/campaign ui/effect_bundles/fortification_negative.png
3c_tech_military_fatigue_resistance_greuthungi	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_tech_military_fatigue_resistance_land_units	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_tech_military_fatigue_resistance_tervingi	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
3c_tech_military_levy_unit_exp_bonus	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
3c_tech_military_morale_own_territory	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_positive.png
3c_tech_military_tactics_ship_armour_mod_versus_roman_eastern	data/ui/campaign ui/effect_bundles/navy_positive.png	101	data/ui/campaign ui/effect_bundles/navy_negative.png
3c_tech_module_economy_gdp_mod	data/ui/campaign ui/effect_bundles/wealth_positive.png	101	data/ui/campaign ui/effect_bundles/wealth_negative.png
3c_technology_cost	data/ui/campaign ui/effect_bundles/wealth_negative.png	100	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
EMPTY_EFFECT	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	1	data/ui/campaign ui/effect_bundles/campaign_movement_negative.png
age_agent_action_cost_mod	data/ui/campaign ui/effect_bundles/agent_negative.png	101	data/ui/campaign ui/effect_bundles/agent_positive.png
