id	mission_key	option_key	value
10319	diplomatic_bar_attack_army_2	GEN_TARGET_MILITARY_FORCE	
1032	senate_eas_research_military_management	CND_ROUNDS_UNTIL_NEXT	32
10328	diplomatic_bar_attack_army_2	GEN_CND_WAR_WITH_ALLY	
10336	diplomatic_bar_attack_army_2	GEN_CND_MIN_REGION_DISTANCE	0
10343	diplomatic_bar_attack_army_2	GEN_CND_MAX_REGION_DISTANCE	2
10345	diplomatic_bar_attack_army_2	VAR_OBJECTIVE_ARMIES_ONLY	
10347	diplomatic_bar_attack_army_3	VAR_CHANCE	50
10354	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MIN	3
1036	senate_eas_research_military_management	CND_MAX_MILITARY_TECHNOLOGY_RATIO	30
10360	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MAX	6
10362	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10368	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10378	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MOD_EASY	2.0
1038	senate_eas_research_military_management	CND_MIN_MILITARY_TECHNOLOGY_RATIO	5
10387	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10389	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MOD_HARD	1.2
10393	diplomatic_bar_attack_army_3	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10399	diplomatic_bar_attack_army_3	CND_CAMPAIGN	main_rome
10408	diplomatic_bar_attack_army_3	CND_FIRST_ROUND	4
10411	diplomatic_bar_attack_army_3	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10412	diplomatic_bar_attack_army_3	CND_ROUNDS_UNTIL_NEXT	24
10420	diplomatic_bar_attack_army_3	CND_MIN_ALLIED	1
10423	diplomatic_bar_attack_army_3	GEN_TARGET_MILITARY_FORCE	
10425	diplomatic_bar_attack_army_3	GEN_CND_WAR_WITH_ALLY	
10434	diplomatic_bar_attack_army_3	GEN_CND_MIN_REGION_DISTANCE	0
10435	diplomatic_bar_attack_army_3	GEN_CND_MAX_REGION_DISTANCE	2
10437	diplomatic_bar_attack_army_3	VAR_OBJECTIVE_ARMIES_ONLY	
10439	diplomatic_bar_attack_in_defence_army_1	VAR_CHANCE	50
10442	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MIN	3
10451	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MAX	6
10460	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10464	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
1047	senate_eas_research_military_management	CND_NOT_RESEARCHING_TECHNOLOGY_MILITARY	
10470	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MOD_EASY	2.0
10480	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10488	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MOD_HARD	1.2
10489	diplomatic_bar_attack_in_defence_army_1	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10493	diplomatic_bar_attack_in_defence_army_1	CND_CAMPAIGN	main_rome
10503	diplomatic_bar_attack_in_defence_army_1	CND_FIRST_ROUND	4
10511	diplomatic_bar_attack_in_defence_army_1	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10512	diplomatic_bar_attack_in_defence_army_1	CND_ROUNDS_UNTIL_NEXT	24
10521	diplomatic_bar_attack_in_defence_army_1	CND_MIN_ALLIED	1
10527	diplomatic_bar_attack_in_defence_army_1	GEN_TARGET_FACTION	
10530	diplomatic_bar_attack_in_defence_army_1	GEN_CND_WAR_WITH_ALLY	
10538	diplomatic_bar_attack_in_defence_army_1	GEN_CND_FACTION_NEIGHBOURS	
10547	diplomatic_bar_attack_in_defence_army_1	GEN_CND_FACTION_NEIGHBOURS	
10557	diplomatic_bar_attack_in_defence_army_1	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
10565	diplomatic_bar_attack_in_defence_army_1	VAR_OBJECTIVE_ARMIES_ONLY	
1057	senate_eas_research_military_management	GEN_TARGET_NONE	
10570	diplomatic_bar_attack_in_defence_army_2	VAR_CHANCE	50
10571	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MIN	3
10577	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MAX	6
10578	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10587	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10594	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MOD_EASY	2.0
10603	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10606	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MOD_HARD	1.2
10608	diplomatic_bar_attack_in_defence_army_2	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10616	diplomatic_bar_attack_in_defence_army_2	CND_CAMPAIGN	main_rome
10618	diplomatic_bar_attack_in_defence_army_2	CND_FIRST_ROUND	4
1062	senate_eas_research_military_management	CND_FACTION	rom_pontus
10625	diplomatic_bar_attack_in_defence_army_2	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10630	diplomatic_bar_attack_in_defence_army_2	CND_ROUNDS_UNTIL_NEXT	24
10631	diplomatic_bar_attack_in_defence_army_2	CND_MIN_ALLIED	1
10641	diplomatic_bar_attack_in_defence_army_2	GEN_TARGET_FACTION	
10646	diplomatic_bar_attack_in_defence_army_2	GEN_CND_WAR_WITH_ALLY	
10656	diplomatic_bar_attack_in_defence_army_2	GEN_CND_FACTION_NEIGHBOURS	
10660	diplomatic_bar_attack_in_defence_army_2	GEN_CND_FACTION_NEIGHBOURS	
10667	diplomatic_bar_attack_in_defence_army_2	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
10672	diplomatic_bar_attack_in_defence_army_2	VAR_OBJECTIVE_ARMIES_ONLY	
10674	diplomatic_bar_attack_in_defence_army_3	VAR_CHANCE	50
10678	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MIN	3
10686	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MAX	6
10694	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10697	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10707	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MOD_EASY	2.0
1071	senate_eas_research_military_management	CND_FACTION	rom_parthia
10710	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10717	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MOD_HARD	1.2
10726	diplomatic_bar_attack_in_defence_army_3	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10728	diplomatic_bar_attack_in_defence_army_3	CND_CAMPAIGN	main_rome
10732	diplomatic_bar_attack_in_defence_army_3	CND_FIRST_ROUND	4
10739	diplomatic_bar_attack_in_defence_army_3	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10744	diplomatic_bar_attack_in_defence_army_3	CND_ROUNDS_UNTIL_NEXT	24
10754	diplomatic_bar_attack_in_defence_army_3	CND_MIN_ALLIED	1
10762	diplomatic_bar_attack_in_defence_army_3	GEN_TARGET_FACTION	
10770	diplomatic_bar_attack_in_defence_army_3	GEN_CND_WAR_WITH_ALLY	
10779	diplomatic_bar_attack_in_defence_army_3	GEN_CND_FACTION_NEIGHBOURS	
10785	diplomatic_bar_attack_in_defence_army_3	GEN_CND_FACTION_NEIGHBOURS	
10788	diplomatic_bar_attack_in_defence_army_3	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
1079	senate_eas_research_military_management	CND_FACTION	rom_ptolemaics
10793	diplomatic_bar_attack_in_defence_army_3	VAR_OBJECTIVE_ARMIES_ONLY	
10801	diplomatic_bar_attack_in_defence_army_4	VAR_CHANCE	50
10802	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MIN	3
10805	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MAX	6
10806	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10816	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10822	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MOD_EASY	2.0
10823	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1083	senate_eas_research_military_siege	VAR_CHANCE	50
10832	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MOD_HARD	1.2
10837	diplomatic_bar_attack_in_defence_army_4	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10843	diplomatic_bar_attack_in_defence_army_4	CND_CAMPAIGN	main_rome
10848	diplomatic_bar_attack_in_defence_army_4	CND_FIRST_ROUND	4
10851	diplomatic_bar_attack_in_defence_army_4	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10852	diplomatic_bar_attack_in_defence_army_4	CND_ROUNDS_UNTIL_NEXT	24
10853	diplomatic_bar_attack_in_defence_army_4	CND_MIN_ALLIED	1
10854	diplomatic_bar_attack_in_defence_army_4	GEN_TARGET_FACTION	
10862	diplomatic_bar_attack_in_defence_army_4	GEN_CND_WAR_WITH_ALLY	
10869	diplomatic_bar_attack_in_defence_army_4	GEN_CND_FACTION_NEIGHBOURS	
10872	diplomatic_bar_attack_in_defence_army_4	GEN_CND_FACTION_NEIGHBOURS	
10880	diplomatic_bar_attack_in_defence_army_4	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
10883	diplomatic_bar_attack_in_defence_army_4	VAR_OBJECTIVE_ARMIES_ONLY	
10886	diplomatic_bar_attack_in_defence_navy_1	VAR_CHANCE	50
10890	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MIN	3
10897	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MAX	6
1090	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MIN	4
10904	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10914	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
10922	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MOD_EASY	2.0
10929	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10932	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MOD_HARD	1.2
10937	diplomatic_bar_attack_in_defence_navy_1	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
10939	diplomatic_bar_attack_in_defence_navy_1	CND_CAMPAIGN	main_rome
10940	diplomatic_bar_attack_in_defence_navy_1	CND_FIRST_ROUND	4
10943	diplomatic_bar_attack_in_defence_navy_1	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
10948	diplomatic_bar_attack_in_defence_navy_1	CND_ROUNDS_UNTIL_NEXT	24
10950	diplomatic_bar_attack_in_defence_navy_1	CND_MIN_ALLIED	1
10957	diplomatic_bar_attack_in_defence_navy_1	GEN_TARGET_FACTION	
10960	diplomatic_bar_attack_in_defence_navy_1	GEN_CND_WAR_WITH_ALLY	
10965	diplomatic_bar_attack_in_defence_navy_1	GEN_CND_FACTION_NEIGHBOURS	
10968	diplomatic_bar_attack_in_defence_navy_1	GEN_CND_FACTION_NEIGHBOURS	
10977	diplomatic_bar_attack_in_defence_navy_1	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
1098	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MAX	6
10986	diplomatic_bar_attack_in_defence_navy_1	VAR_OBJECTIVE_NAVIES_ONLY	
1099	senate_eas_research_military_siege	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10994	diplomatic_bar_attack_in_defence_navy_2	VAR_CHANCE	50
11001	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MIN	3
11006	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MAX	6
11016	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11019	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11024	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MOD_EASY	2.0
11033	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11035	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MOD_HARD	1.2
11045	diplomatic_bar_attack_in_defence_navy_2	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11052	diplomatic_bar_attack_in_defence_navy_2	CND_CAMPAIGN	main_rome
11056	diplomatic_bar_attack_in_defence_navy_2	CND_FIRST_ROUND	4
11059	diplomatic_bar_attack_in_defence_navy_2	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11062	diplomatic_bar_attack_in_defence_navy_2	CND_ROUNDS_UNTIL_NEXT	24
11068	diplomatic_bar_attack_in_defence_navy_2	CND_MIN_ALLIED	1
1107	senate_eas_research_military_siege	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11070	diplomatic_bar_attack_in_defence_navy_2	GEN_TARGET_FACTION	
11073	diplomatic_bar_attack_in_defence_navy_2	GEN_CND_WAR_WITH_ALLY	
11082	diplomatic_bar_attack_in_defence_navy_2	GEN_CND_FACTION_NEIGHBOURS	
11088	diplomatic_bar_attack_in_defence_navy_2	GEN_CND_FACTION_NEIGHBOURS	
11097	diplomatic_bar_attack_in_defence_navy_2	GEN_CND_NOT_TARGET_ARMY_IN_ANY_REGION	
11099	diplomatic_bar_attack_in_defence_navy_2	VAR_OBJECTIVE_NAVIES_ONLY	
11104	diplomatic_bar_attack_navy_1	VAR_CHANCE	50
11108	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MIN	3
11110	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MAX	6
11112	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11119	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11128	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MOD_EASY	2.0
11136	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1114	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MOD_EASY	2.0
11146	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MOD_HARD	1.2
11147	diplomatic_bar_attack_navy_1	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11154	diplomatic_bar_attack_navy_1	CND_CAMPAIGN	main_rome
11156	diplomatic_bar_attack_navy_1	CND_FIRST_ROUND	4
11161	diplomatic_bar_attack_navy_1	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11162	diplomatic_bar_attack_navy_1	CND_ROUNDS_UNTIL_NEXT	24
11167	diplomatic_bar_attack_navy_1	CND_MIN_ALLIED	1
11169	diplomatic_bar_attack_navy_1	GEN_TARGET_MILITARY_FORCE	
11174	diplomatic_bar_attack_navy_1	GEN_CND_WAR_WITH_ALLY	
11182	diplomatic_bar_attack_navy_1	GEN_CND_MIN_REGION_DISTANCE	0
11190	diplomatic_bar_attack_navy_1	GEN_CND_MAX_REGION_DISTANCE	2
11199	diplomatic_bar_attack_navy_1	VAR_OBJECTIVE_NAVIES_ONLY	
11208	diplomatic_bar_attack_navy_2	VAR_CHANCE	50
11212	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MIN	3
11215	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MAX	6
1122	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11223	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11231	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11232	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MOD_EASY	2.0
1124	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MOD_HARD	1.2
11240	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11249	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MOD_HARD	1.2
11251	diplomatic_bar_attack_navy_2	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11257	diplomatic_bar_attack_navy_2	CND_CAMPAIGN	main_rome
11267	diplomatic_bar_attack_navy_2	CND_FIRST_ROUND	4
11275	diplomatic_bar_attack_navy_2	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11278	diplomatic_bar_attack_navy_2	CND_ROUNDS_UNTIL_NEXT	24
11288	diplomatic_bar_attack_navy_2	CND_MIN_ALLIED	1
11293	diplomatic_bar_attack_navy_2	GEN_TARGET_MILITARY_FORCE	
11297	diplomatic_bar_attack_navy_2	GEN_CND_WAR_WITH_ALLY	
11299	diplomatic_bar_attack_navy_2	GEN_CND_MIN_REGION_DISTANCE	0
1130	senate_eas_research_military_siege	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11309	diplomatic_bar_attack_navy_2	GEN_CND_MAX_REGION_DISTANCE	2
11316	diplomatic_bar_attack_navy_2	VAR_OBJECTIVE_NAVIES_ONLY	
11322	diplomatic_bar_attack_settlement_landlocked_1	VAR_CHANCE	50
11329	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MIN	3
11336	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MAX	6
11340	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11346	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11356	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MOD_EASY	2.0
11362	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11368	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MOD_HARD	1.2
11374	diplomatic_bar_attack_settlement_landlocked_1	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11376	diplomatic_bar_attack_settlement_landlocked_1	CND_CAMPAIGN	main_rome
11378	diplomatic_bar_attack_settlement_landlocked_1	CND_FIRST_ROUND	4
11379	diplomatic_bar_attack_settlement_landlocked_1	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11380	diplomatic_bar_attack_settlement_landlocked_1	CND_ROUNDS_UNTIL_NEXT	24
11387	diplomatic_bar_attack_settlement_landlocked_1	CND_MIN_ALLIED	1
1139	senate_eas_research_military_siege	VAR_OBJECTIVE_TECH_CATEGORY	rom_roman_eng_sie
11396	diplomatic_bar_attack_settlement_landlocked_1	GEN_TARGET_REGION	
11404	diplomatic_bar_attack_settlement_landlocked_1	GEN_CND_WAR_WITH_ALLY	
11405	diplomatic_bar_attack_settlement_landlocked_1	GEN_CND_MIN_REGION_DISTANCE	0
11411	diplomatic_bar_attack_settlement_landlocked_1	GEN_CND_MAX_REGION_DISTANCE	2
11415	diplomatic_bar_attack_settlement_landlocked_2	GEN_CND_REGION_NOT_COASTAL	
11416	diplomatic_bar_attack_settlement_landlocked_2	VAR_CHANCE	50
11417	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MIN	3
11419	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MAX	6
11421	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11425	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11433	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MOD_EASY	2.0
11442	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11445	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MOD_HARD	1.2
1145	senate_eas_research_military_siege	CND_CAMPAIGN	main_rome
11451	diplomatic_bar_attack_settlement_landlocked_2	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
11455	diplomatic_bar_attack_settlement_landlocked_2	CND_CAMPAIGN	main_rome
11459	diplomatic_bar_attack_settlement_landlocked_2	CND_FIRST_ROUND	4
11460	diplomatic_bar_attack_settlement_landlocked_2	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11466	diplomatic_bar_attack_settlement_landlocked_2	CND_ROUNDS_UNTIL_NEXT	24
11471	diplomatic_bar_attack_settlement_landlocked_2	CND_MIN_ALLIED	1
11477	diplomatic_bar_attack_settlement_landlocked_2	GEN_TARGET_REGION	
11487	diplomatic_bar_attack_settlement_landlocked_2	GEN_CND_WAR_WITH_ALLY	
1149	senate_eas_research_military_siege	CND_FIRST_ROUND	3
11496	diplomatic_bar_attack_settlement_landlocked_2	GEN_CND_MIN_REGION_DISTANCE	0
11503	diplomatic_bar_attack_settlement_landlocked_2	GEN_CND_MAX_REGION_DISTANCE	2
11504	diplomatic_bar_attack_settlement_landlocked_2	GEN_CND_REGION_NOT_COASTAL	
11512	diplomatic_bar_attack_settlement_landlocked_3	VAR_CHANCE	50
11521	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MIN	3
11529	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MAX	6
11533	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
11542	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_ADDITIONAL_MAX	4
11549	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MOD_EASY	2.0
11558	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
11559	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MOD_HARD	1.2
11569	diplomatic_bar_attack_settlement_landlocked_3	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
1157	senate_eas_research_military_siege	CND_ROUNDS_UNTIL_NEXT	32
11573	diplomatic_bar_attack_settlement_landlocked_3	CND_CAMPAIGN	main_rome
11582	diplomatic_bar_attack_settlement_landlocked_3	CND_FIRST_ROUND	4
11586	diplomatic_bar_attack_settlement_landlocked_3	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
11592	diplomatic_bar_attack_settlement_landlocked_3	CND_ROUNDS_UNTIL_NEXT	24
11596	diplomatic_bar_attack_settlement_landlocked_3	CND_MIN_ALLIED	1
11603	diplomatic_bar_attack_settlement_landlocked_3	GEN_TARGET_REGION	
11610	diplomatic_bar_attack_settlement_landlocked_3	GEN_CND_WAR_WITH_ALLY	
11615	diplomatic_bar_attack_settlement_landlocked_3	GEN_CND_MIN_REGION_DISTANCE	0
11619	diplomatic_bar_attack_settlement_landlocked_3	GEN_CND_MAX_REGION_DISTANCE	2
1162	senate_eas_research_military_siege	CND_MAX_ENGINEERING_TECHNOLOGY_RATIO	30
11621	diplomatic_bar_attack_settlement_landlocked_3	GEN_CND_REGION_NOT_COASTAL	
11623	diplomatic_bar_attack_settlement_port_1	VAR_CHANCE	50
11632	diplomatic_bar_attack_settlement_port_1	VAR_MISSION_LENGTH_MIN	3
