ancillary	agent
r2_sp_anc_all_house_bard_gallic	general
r2_sp_anc_all_house_healer_quack	general
r2_sp_anc_all_house_honest_man	general
r2_sp_anc_all_house_old_man_1	general
r2_sp_anc_all_house_old_man_2	general
r2_sp_anc_all_house_tutor_latin	general
r2_sp_anc_all_house_tutor	general
r2_sp_anc_all_house_wise_man	general
r2_sp_anc_all_item_armour_cuirass_moon	champion
r2_sp_anc_all_item_army_bow_parthian	general
r2_sp_anc_all_item_disguise_leper	champion
r2_sp_anc_all_item_disguise_leper	dignitary
r2_sp_anc_all_item_disguise_leper	spy
r2_sp_anc_all_item_disguise_vestal	champion
r2_sp_anc_all_item_disguise_vestal	dignitary
r2_sp_anc_all_item_disguise_vestal	spy
r2_sp_anc_all_item_falx	champion
r2_sp_anc_all_item_glasses	general
r2_sp_anc_all_item_shield_practice	champion
r2_sp_anc_all_local_bandit	champion
r2_sp_anc_all_local_bandit	dignitary
r2_sp_anc_all_local_bandit	general
r2_sp_anc_all_local_bandit	spy
r2_sp_anc_all_magic_magician	champion
r2_sp_anc_all_magic_magician	dignitary
r2_sp_anc_all_magic_magician	general
r2_sp_anc_all_magic_magician	spy
r2_sp_anc_all_magic_magus_east	champion
r2_sp_anc_all_magic_magus_east	dignitary
r2_sp_anc_all_magic_magus_east	spy
r2_sp_anc_all_magic_soothsayer_1	general
r2_sp_anc_all_magic_soothsayer_2	general
r2_sp_anc_all_magic_witch_1_medical	champion
r2_sp_anc_all_magic_witch_1_medical	dignitary
r2_sp_anc_all_magic_witch_1_medical	spy
r2_sp_anc_all_magic_witch_3_advisor	champion
r2_sp_anc_all_magic_witch_3_advisor	dignitary
r2_sp_anc_all_magic_witch_3_advisor	spy
r2_sp_anc_all_magic_witch_4_celt	champion
r2_sp_anc_all_magic_witch_4_celt	dignitary
r2_sp_anc_all_magic_witch_4_celt	spy
r2_sp_anc_all_magic_witch_5_killer	champion
r2_sp_anc_all_magic_witch_5_killer	dignitary
r2_sp_anc_all_magic_witch_5_killer	spy
r2_sp_anc_all_magic_witch_6_fake	champion
r2_sp_anc_all_magic_witch_6_fake	dignitary
r2_sp_anc_all_magic_witch_6_fake	spy
r2_sp_anc_all_medic_heal_all	champion
r2_sp_anc_all_medic_heal_all	dignitary
r2_sp_anc_all_medic_heal_all	general
r2_sp_anc_all_medic_heal_all	spy
r2_sp_anc_all_medic_herbalist	champion
r2_sp_anc_all_medic_herbalist	dignitary
r2_sp_anc_all_medic_herbalist	general
r2_sp_anc_all_medic_herbalist	spy
r2_sp_anc_all_misc_who	general
r2_sp_anc_all_mistress_barbarian	general
r2_sp_anc_all_mistress_berber	general
r2_sp_anc_all_mistress_civilized	general
r2_sp_anc_all_mistress_dancer	champion
r2_sp_anc_all_mistress_dancer	dignitary
r2_sp_anc_all_mistress_dancer	spy
r2_sp_anc_all_mistress_floozy	general
r2_sp_anc_all_mistress_skilled	champion
r2_sp_anc_all_mistress_skilled	dignitary
r2_sp_anc_all_mistress_skilled	spy
r2_sp_anc_all_mistress_tart	champion
r2_sp_anc_all_mistress_tart	dignitary
r2_sp_anc_all_mistress_tart	spy
r2_sp_anc_all_navy_fisherman_wise	general
r2_sp_anc_all_navy_master_pilot_1	general
r2_sp_anc_all_navy_master_pilot	general
r2_sp_anc_all_navy_master_seaman	general
r2_sp_anc_all_navy_pirate_reformed	general
r2_sp_anc_all_navy_pirate	general
r2_sp_anc_all_navy_shipwright	general
r2_sp_anc_all_one_eyed_veteran	general
r2_sp_anc_all_pet_bear	champion
r2_sp_anc_all_pet_monkey_escape	champion
r2_sp_anc_all_pet_monkey_escape	dignitary
r2_sp_anc_all_pet_monkey_escape	spy
r2_sp_anc_all_pet_monkey_thief	spy
r2_sp_anc_all_pet_sheep	general
r2_sp_anc_all_pet_snake	champion
r2_sp_anc_all_pet_snake	dignitary
r2_sp_anc_all_pet_snake	spy
r2_sp_anc_all_religion_cultist_secret	champion
r2_sp_anc_all_religion_cultist_secret	dignitary
r2_sp_anc_all_religion_cultist_secret	general
r2_sp_anc_all_religion_cultist_secret	spy
r2_sp_anc_all_religion_prophet_desert_1	champion
r2_sp_anc_all_religion_prophet_desert_2	dignitary
r2_sp_anc_all_religion_prophet_desert_2	general
r2_sp_anc_all_religion_prophet_desert_2	spy
r2_sp_anc_all_religion_secret_dreadful	spy
r2_sp_anc_all_slave_exotic	general
r2_sp_anc_all_slave_girl_barbarian	general
r2_sp_anc_all_spy_mentat_1	champion
r2_sp_anc_all_spy_mentat_1	dignitary
r2_sp_anc_all_spy_mentat_1	spy
r2_sp_anc_all_spy_mentat_2	champion
r2_sp_anc_all_spy_mentat_2	dignitary
r2_sp_anc_all_spy_mentat_2	spy
r2_sp_anc_all_spy_poisoner	dignitary
r2_sp_anc_all_thinker_barbarian	general
r2_sp_anc_all_trade_expert	general
r2_sp_anc_all_traitor_barbarian_barb_iberian	general
r2_sp_anc_all_traitor_barbarian_celt	general
r2_sp_anc_all_traitor_barbarian_gaul	general
r2_sp_anc_all_traitor_barbarian_german	general
r2_sp_anc_all_traitor_briton	general
r2_sp_anc_all_traitor_eastern_generic	general
r2_sp_anc_all_traitor_eastern_parthia	general
r2_sp_anc_all_traitor_egypt	general
r2_sp_anc_all_traitor_greek_macedonia	general
r2_sp_anc_all_traitor_greek	general
r2_sp_anc_all_traitor_punic	general
r2_sp_anc_all_traitor_roman_equestrian	general
r2_sp_anc_all_traitor_roman_exile	general
r2_sp_anc_all_traitor_roman_patrician	general
r2_sp_anc_all_traitor_roman_plebian	general
r2_sp_anc_armenian_religion_vahakan	general
r2_sp_anc_barbarian_ambassador	general
r2_sp_anc_barbarian_army_guard	general
r2_sp_anc_barbarian_army_hero_celt	general
r2_sp_anc_barbarian_army_hero_chris_knight	general
r2_sp_anc_barbarian_army_hero_gian	general
r2_sp_anc_barbarian_army_hero_old	general
r2_sp_anc_barbarian_army_hero_tim	general
r2_sp_anc_barbarian_army_hero_will	general
r2_sp_anc_barbarian_army_swordbearer	general
r2_sp_anc_barbarian_army_sword	general
r2_sp_anc_barbarian_army_warrior_famous	general
r2_sp_anc_barbarian_arts_bard_biographer	general
r2_sp_anc_barbarian_arts_bard	general
r2_sp_anc_barbarian_arts_menhir	general
r2_sp_anc_barbarian_astrologer	general
r2_sp_anc_barbarian_astronomer	general
r2_sp_anc_barbarian_bard	general
r2_sp_anc_barbarian_black_cauldron	general
r2_sp_anc_barbarian_childhood_friend	general
r2_sp_anc_barbarian_govt_scribe	dignitary
r2_sp_anc_barbarian_govt_translator	general
r2_sp_anc_barbarian_hazel_shells	general
r2_sp_anc_barbarian_historian	general
r2_sp_anc_barbarian_house_musician_gallic	general
r2_sp_anc_barbarian_house_musician	general
r2_sp_anc_barbarian_house_old_man	general
r2_sp_anc_barbarian_item_bracelet	champion
r2_sp_anc_barbarian_item_bronze_mirror	general
r2_sp_anc_barbarian_item_chainmail_shirt	champion
r2_sp_anc_barbarian_item_drinking_horn	champion
r2_sp_anc_barbarian_item_excalibur	general
r2_sp_anc_barbarian_item_fish_sauce	general
r2_sp_anc_barbarian_item_god_hearth	general
r2_sp_anc_barbarian_item_heart	general
r2_sp_anc_barbarian_item_horn	general
r2_sp_anc_barbarian_item_limed_head	general
r2_sp_anc_barbarian_item_potion	spy
r2_sp_anc_barbarian_item_skull_cup	champion
r2_sp_anc_barbarian_item_solar_wheel_amulet	champion
r2_sp_anc_barbarian_item_spear_wotan	general
r2_sp_anc_barbarian_item_war_helmet	general
r2_sp_anc_barbarian_jeweller	general
r2_sp_anc_barbarian_kate	general
r2_sp_anc_barbarian_magic_crone	general
r2_sp_anc_barbarian_midwife	general
r2_sp_anc_barbarian_pelt_white_stag	general
r2_sp_anc_barbarian_pet_raven	general
r2_sp_anc_barbarian_playwright_1	dignitary
r2_sp_anc_barbarian_playwright_2	dignitary
r2_sp_anc_barbarian_poet	general
r2_sp_anc_barbarian_religion_britannia	general
r2_sp_anc_barbarian_religion_druid_shaman	general
r2_sp_anc_barbarian_religion_mabon	general
r2_sp_anc_barbarian_religion_shaman	general
r2_sp_anc_barbarian_religion_taranis	champion
r2_sp_anc_barbarian_religion_wise_salmon	general
r2_sp_anc_barbarian_road_builder	general
r2_sp_anc_barbarian_sheep	general
r2_sp_anc_barbarian_storyteller	general
r2_sp_anc_briton_army_hero_young_irish	general
r2_sp_anc_briton_army_trumpet_irish	general
r2_sp_anc_briton_army_young_warrior_2	general
r2_sp_anc_briton_champion	general
r2_sp_anc_briton_judge_irish	general
r2_sp_anc_briton_religion_belenus	general
r2_sp_anc_briton_religion_druid_1	general
r2_sp_anc_briton_religion_druid_2	general
r2_sp_anc_celtic_army_trumpet	general
r2_sp_anc_celtic_army_young_warrior	general
r2_sp_anc_civilised_army_baldrick	general
r2_sp_anc_civilised_army_brigand	general
r2_sp_anc_civilised_army_diarist	general
r2_sp_anc_civilised_army_explorer	champion
r2_sp_anc_civilised_army_hero	general
r2_sp_anc_civilised_army_inventor_2	general
r2_sp_anc_civilised_army_inventor	general
r2_sp_anc_civilised_army_master_artillery	general
r2_sp_anc_civilised_army_master_drill	general
r2_sp_anc_civilised_army_master_engineer	general
r2_sp_anc_civilised_army_messenger_galloper	general
r2_sp_anc_civilised_army_messenger_runner	general
r2_sp_anc_civilised_army_quartermaster	general
r2_sp_anc_civilised_army_warrior_veteran	general
r2_sp_anc_civilised_arts_biographer	general
r2_sp_anc_civilised_arts_comedian	general
r2_sp_anc_civilised_arts_historian	general
r2_sp_anc_civilised_arts_jeweller	general
r2_sp_anc_civilised_arts_librarian	general
r2_sp_anc_civilised_arts_playwright	general
r2_sp_anc_civilised_arts_satire	general
r2_sp_anc_civilised_booze_merchant	general
r2_sp_anc_civilised_glassblower	general
r2_sp_anc_civilised_govt_build_architect	general
r2_sp_anc_civilised_govt_build_mason	general
r2_sp_anc_civilised_govt_build_roads	general
r2_sp_anc_civilised_govt_build_surveyor	general
r2_sp_anc_civilised_govt_coin_expert	general
r2_sp_anc_civilised_govt_engineer_mining	general
r2_sp_anc_civilised_govt_engineer_water	general
r2_sp_anc_civilised_govt_farmer	general
r2_sp_anc_civilised_govt_foreigner	general
r2_sp_anc_civilised_govt_inventor	general
r2_sp_anc_civilised_govt_judge_bent_2	general
r2_sp_anc_civilised_govt_judge_bent	general
r2_sp_anc_civilised_govt_judge_honest	general
r2_sp_anc_civilised_govt_judge_magistrate_evil	general
r2_sp_anc_civilised_govt_judge_magistrate	general
r2_sp_anc_civilised_govt_mapmaker	general
r2_sp_anc_civilised_govt_mine_overseer	general
r2_sp_anc_civilised_govt_money_idiot	general
r2_sp_anc_civilised_govt_money_mathematician	general
r2_sp_anc_civilised_govt_money_tax_farmer	general
r2_sp_anc_civilised_govt_orator	general
r2_sp_anc_civilised_govt_scribe_east	general
r2_sp_anc_civilised_govt_scribe_egypt	general
r2_sp_anc_civilised_govt_scribe_greek	general
r2_sp_anc_civilised_govt_scribe_roman	general
r2_sp_anc_civilised_govt_shipping_magnate	general
r2_sp_anc_civilised_govt_spymaster	general
r2_sp_anc_civilised_govt_surveyor_land	general
r2_sp_anc_civilised_govt_trader_grain	general
r2_sp_anc_civilised_govt_trader_greek	general
r2_sp_anc_civilised_govt_translator	dignitary
r2_sp_anc_civilised_house_athlete	general
r2_sp_anc_civilised_house_clerk_freeman	general
r2_sp_anc_civilised_house_foodtaster	general
r2_sp_anc_civilised_house_giant_german	general
r2_sp_anc_civilised_house_guard_wrestler	general
r2_sp_anc_civilised_house_mentor_greek	general
r2_sp_anc_civilised_house_musician	general
r2_sp_anc_civilised_house_wine_steward	general
r2_sp_anc_civilised_infamous_atheist	general
r2_sp_anc_civilised_item_fossil_dinosaur	general
r2_sp_anc_civilised_item_fossil_mammoth	general
r2_sp_anc_civilised_item_lens_medical	general
r2_sp_anc_civilised_item_lens	general
r2_sp_anc_civilised_item_notepad	general
r2_sp_anc_civilised_item_poison_hemlock_2	general
r2_sp_anc_civilised_magic_astrologer_2	general
r2_sp_anc_civilised_magic_astrologer_3	general
r2_sp_anc_civilised_medic_surgeon	general
r2_sp_anc_civilised_mistress_courtesan_top	spy
r2_sp_anc_civilised_mistress_courtesan	spy
r2_sp_anc_civilised_navy_pirate_cilician_reformed	general
r2_sp_anc_civilised_navy_pirate_cilician	general
r2_sp_anc_civilised_navy_sponge_diver	general
r2_sp_anc_civilised_navy_surgeon	general
r2_sp_anc_civilised_pet_hostage	general
r2_sp_anc_civilised_pet_idiot	general
r2_sp_anc_civilised_philosopher_rhetoric	general
r2_sp_anc_civilised_slave_body_1	general
r2_sp_anc_civilised_slave_body_2	general
r2_sp_anc_civilised_slave_bodyguard	general
r2_sp_anc_civilised_spy_lady_killer	champion
r2_sp_anc_civilised_spy_lady_killer	dignitary
r2_sp_anc_civilised_spy_lady_killer	spy
r2_sp_anc_civilised_thinker_cynic	general
r2_sp_anc_civilised_thinker_natural_philosopher	general
r2_sp_anc_civilised_thinker_platonic	general
r2_sp_anc_civilised_thinker_rubbish	general
r2_sp_anc_civilised_thinker_socratic	general
r2_sp_anc_civilised_thinker_stoic	general
r2_sp_anc_civilised_traitor_barbarian_generic	general
r2_sp_anc_dacian_army_standard	general
r2_sp_anc_dacian_religion_zalmoxis	general
r2_sp_anc_east_lizard_god_cultist	general
r2_sp_anc_east_medicineman_civilresearch	general
r2_sp_anc_east_medicineman_replenishmentrate	general
r2_sp_anc_east_medicineman_sanitation	general
r2_sp_anc_eastern_army_armour_arm_bands	general
r2_sp_anc_eastern_army_cataphract	general
r2_sp_anc_eastern_army_dahae_tribesman	general
r2_sp_anc_eastern_army_elamite_archer	general
r2_sp_anc_eastern_army_massagetae_tribesman	general
r2_sp_anc_eastern_army_master_archer	general
r2_sp_anc_eastern_army_master_horse	general
r2_sp_anc_eastern_army_saka_tribesman	general
r2_sp_anc_eastern_army_sword_1	champion
r2_sp_anc_eastern_army_sword_2	champion
r2_sp_anc_eastern_army_temple_guard	general
r2_sp_anc_eastern_chinese_delegate	general
r2_sp_anc_eastern_eastern_stunner_2	general
r2_sp_anc_eastern_govt_dealer_camel	general
r2_sp_anc_eastern_govt_herald	general
r2_sp_anc_eastern_govt_office_bodyguard	general
r2_sp_anc_eastern_govt_office_friend	general
r2_sp_anc_eastern_govt_office_treasurer	general
r2_sp_anc_eastern_govt_royal_bum	general
r2_sp_anc_eastern_house_guard_eunuch	general
r2_sp_anc_eastern_item_dead_guy_2	general
r2_sp_anc_eastern_item_dead_guy	general
r2_sp_anc_eastern_item_headband	general
r2_sp_anc_eastern_item_magic_carpet	champion
r2_sp_anc_eastern_item_magic_carpet	spy
r2_sp_anc_eastern_item_royal_cap	general
r2_sp_anc_eastern_item_royal_tiara	general
r2_sp_anc_eastern_item_stool_prisoner	general
r2_sp_anc_eastern_item_zoroastrian_bundle	general
r2_sp_anc_eastern_item_zoroastrian_mace	general
r2_sp_anc_eastern_leather_scribe	general
r2_sp_anc_eastern_magic_geomancer	general
r2_sp_anc_eastern_minstrel	general
r2_sp_anc_eastern_pet_cat	general
r2_sp_anc_eastern_philosopher_mystic	general
r2_sp_anc_eastern_religion_anahit	general
r2_sp_anc_eastern_religion_armazd	general
r2_sp_anc_eastern_religion_bel	general
r2_sp_anc_eastern_religion_zoroastra	general
r2_sp_anc_eastern_slave_eunuch	general
r2_sp_anc_eastern_torturer_1	general
r2_sp_anc_eastern_torturer_2	general
r2_sp_anc_egyptian_army_sword	general
r2_sp_anc_egyptian_arts_poet_egypt	general
r2_sp_anc_egyptian_barbarian_bodyguard	general
r2_sp_anc_egyptian_chantress	general
r2_sp_anc_egyptian_customs_agent	general
r2_sp_anc_egyptian_dancing_girl	general
r2_sp_anc_egyptian_doctor	champion
r2_sp_anc_egyptian_doctor	dignitary
r2_sp_anc_egyptian_doctor	general
r2_sp_anc_egyptian_doctor	spy
r2_sp_anc_egyptian_eastern_butler	general
r2_sp_anc_egyptian_eastern_slave	general
r2_sp_anc_egyptian_goldsmith	general
r2_sp_anc_egyptian_greek_veteran	general
r2_sp_anc_egyptian_harpist	general
r2_sp_anc_egyptian_item_amulet_ankh	general
r2_sp_anc_egyptian_item_amulet_phallic	general
r2_sp_anc_egyptian_item_amulet_scarab	general
r2_sp_anc_egyptian_item_amulet_serket	champion
r2_sp_anc_egyptian_item_amulet_serket	dignitary
r2_sp_anc_egyptian_item_amulet_serket	general
r2_sp_anc_egyptian_item_amulet_serket	spy
r2_sp_anc_egyptian_item_amulet_udjat	general
r2_sp_anc_egyptian_item_game_board_1	general
r2_sp_anc_egyptian_item_game_board_2	general
r2_sp_anc_egyptian_item_god_isis	champion
r2_sp_anc_egyptian_item_god_isis	dignitary
r2_sp_anc_egyptian_item_god_isis	general
r2_sp_anc_egyptian_item_god_isis	spy
r2_sp_anc_egyptian_item_grave_servant	champion
r2_sp_anc_egyptian_item_grave_servant	dignitary
r2_sp_anc_egyptian_item_grave_servant	general
r2_sp_anc_egyptian_item_grave_servant	spy
r2_sp_anc_egyptian_item_pharaoh_blue_crown	general
r2_sp_anc_egyptian_item_pharaoh_double_crown	general
r2_sp_anc_egyptian_item_pharaoh_false_beard	general
r2_sp_anc_egyptian_item_pharaoh_nemes	general
r2_sp_anc_egyptian_item_pharaoh_staff	general
r2_sp_anc_egyptian_item_pharaoh_white	general
r2_sp_anc_egyptian_item_pharaoh_wig	general
r2_sp_anc_egyptian_jeweller	general
r2_sp_anc_egyptian_magic_embalmer	general
r2_sp_anc_egyptian_religion_bastet	champion
r2_sp_anc_egyptian_religion_bastet	dignitary
r2_sp_anc_egyptian_religion_bastet	general
r2_sp_anc_egyptian_religion_bastet	spy
r2_sp_anc_egyptian_religion_horus_2	general
r2_sp_anc_egyptian_religion_horus	general
r2_sp_anc_egyptian_religion_imhotep	general
r2_sp_anc_egyptian_religion_isis	general
r2_sp_anc_egyptian_religion_osiris	general
r2_sp_anc_egyptian_religion_set	general
r2_sp_anc_egyptian_scrollmaker	general
r2_sp_anc_egyptian_wrestler	champion
r2_sp_anc_garamantian_bodyguard	dignitary
r2_sp_anc_gaul_briton_religion_teutatis	general
r2_sp_anc_gaul_religion_abnoba	general
r2_sp_anc_gaul_religion_brigantia	general
r2_sp_anc_gaul_religion_druid	general
r2_sp_anc_gaul_religion_epona	general
r2_sp_anc_gaul_religion_esus	general
r2_sp_anc_gaul_religion_moulinex	general
r2_sp_anc_gaul_religion_rosmerta	general
r2_sp_anc_german_army_hero	general
r2_sp_anc_german_army_master_axe	general
r2_sp_anc_german_item_god_donar	champion
r2_sp_anc_german_item_god_woden	champion
r2_sp_anc_german_religion_donar	general
r2_sp_anc_german_religion_woden	general
r2_sp_anc_greek_army_armour_helmet_1	general
r2_sp_anc_greek_army_armour_helmet_2	general
r2_sp_anc_greek_army_armour_helmet_3	general
r2_sp_anc_greek_army_armour_helmet_4	general
r2_sp_anc_greek_army_baggage_slave	general
r2_sp_anc_greek_army_bodyguard	general
r2_sp_anc_greek_army_hero_companion	general
r2_sp_anc_greek_army_hero_hoplite	general
r2_sp_anc_greek_army_master_hoplite	general
r2_sp_anc_greek_army_master_slinger_rhodes	general
r2_sp_anc_greek_army_shield_1	general
r2_sp_anc_greek_army_shield_2	general
r2_sp_anc_greek_army_shield_thrower	general
r2_sp_anc_greek_army_spear_1	general
r2_sp_anc_greek_army_spear_2	general
r2_sp_anc_greek_army_sword_1	general
r2_sp_anc_greek_army_sword_2	general
r2_sp_anc_greek_army_trumpet	general
r2_sp_anc_greek_army_young_hoplite	general
r2_sp_anc_greek_arts_actor_chorus	general
r2_sp_anc_greek_arts_actor	general
r2_sp_anc_greek_arts_poet_epic	general
r2_sp_anc_greek_boxer_bodyguard	dignitary
r2_sp_anc_greek_corrupt_coin_forger	general
r2_sp_anc_greek_corrupt_election_rigger	general
r2_sp_anc_greek_eastern_army_fugitive_general	general
r2_sp_anc_greek_eastern_drug_book	general
r2_sp_anc_greek_eastern_religion_cybele	general
r2_sp_anc_greek_eastern_religion_moon_god	general
r2_sp_anc_greek_eastern_religion_sun_god	general
r2_sp_anc_greek_fish_loony	general
r2_sp_anc_greek_games_boxer	dignitary
r2_sp_anc_greek_gym_instructor	general
r2_sp_anc_greek_harpist	general
r2_sp_anc_greek_herm_carver	general
r2_sp_anc_greek_honest_clerk	general
r2_sp_anc_greek_honest_coin_tester	general
r2_sp_anc_greek_honest_legislator	general
r2_sp_anc_greek_item_boots	general
r2_sp_anc_greek_item_boxing_glove	champion
r2_sp_anc_greek_item_curse_tablet	spy
r2_sp_anc_greek_item_drinking_horn_sparta	champion
r2_sp_anc_greek_item_drinking_horn_sparta	spy
r2_sp_anc_greek_item_drinking_horn_thrace	general
r2_sp_anc_greek_item_god_ares	champion
r2_sp_anc_greek_item_god_dionysus	general
r2_sp_anc_greek_item_god_hephaestus	general
r2_sp_anc_greek_item_graven_image	general
r2_sp_anc_greek_item_parasol	dignitary
r2_sp_anc_greek_item_poison_hemlock_1	champion
r2_sp_anc_greek_item_poison_hemlock_1	dignitary
r2_sp_anc_greek_item_poison_hemlock_1	spy
r2_sp_anc_greek_item_sandals	champion
r2_sp_anc_greek_item_sandals	spy
r2_sp_anc_greek_item_sunhat_1	general
r2_sp_anc_greek_item_sunhat_2	champion
r2_sp_anc_greek_item_sunhat_2	general
r2_sp_anc_greek_item_sunhat_2	spy
r2_sp_anc_greek_item_sword_alexander	general
r2_sp_anc_greek_item_wine_bowl	general
r2_sp_anc_greek_item_wine_cup	general
r2_sp_anc_greek_item_wine_jar	general
r2_sp_anc_greek_magic_oracle	champion
r2_sp_anc_greek_magic_oracle	dignitary
r2_sp_anc_greek_magic_oracle	spy
r2_sp_anc_greek_money_changer	general
r2_sp_anc_greek_mysteries_adept	general
r2_sp_anc_greek_mysteries_initiate_1	general
r2_sp_anc_greek_mysteries_initiate_2	general
r2_sp_anc_greek_mysteries_temple_leader	general
r2_sp_anc_greek_mysteries_virgin_athena	general
r2_sp_anc_greek_philosopher_teacher	general
r2_sp_anc_greek_producer_1	general
r2_sp_anc_greek_producer_2	general
r2_sp_anc_greek_racist_advisor	general
r2_sp_anc_greek_religion_aphrodite	general
r2_sp_anc_greek_religion_ares	general
r2_sp_anc_greek_religion_artemis	general
r2_sp_anc_greek_religion_asklepios	champion
r2_sp_anc_greek_religion_asklepios	dignitary
r2_sp_anc_greek_religion_asklepios	spy
r2_sp_anc_greek_religion_athena	general
r2_sp_anc_greek_religion_demeter	general
r2_sp_anc_greek_religion_dionysus	general
r2_sp_anc_greek_religion_hephaestus	champion
r2_sp_anc_greek_religion_hercules	champion
r2_sp_anc_greek_religion_hermes_1	general
r2_sp_anc_greek_religion_hermes_2	general
r2_sp_anc_greek_religion_nike	general
r2_sp_anc_greek_religion_poseidon	general
r2_sp_anc_greek_religion_zeus	general
r2_sp_anc_greek_shieldmaker	general
r2_sp_anc_greek_sycophant	general
r2_sp_anc_iberian_army_sword	champion
r2_sp_anc_iberian_army_sword	general
r2_sp_anc_non_greek_slave_greek	general
r2_sp_anc_pontic_antidotes	general
r2_sp_anc_punic_african_slave	general
r2_sp_anc_punic_african_spy	general
r2_sp_anc_punic_architect	general
r2_sp_anc_punic_army_barbarian_guide	general
r2_sp_anc_punic_army_defeatist	general
r2_sp_anc_punic_army_libyan_groom	general
r2_sp_anc_punic_coinmaker	dignitary
r2_sp_anc_punic_coinmaker	general
r2_sp_anc_punic_elder_council_member_martin	dignitary
r2_sp_anc_punic_elder_council_member_martin	general
r2_sp_anc_punic_emissary	general
r2_sp_anc_punic_executioner	general
r2_sp_anc_punic_greek_army_elephant_rider	general
r2_sp_anc_punic_greek_army_elephant_spike	general
r2_sp_anc_punic_greek_eastern_army_elephant_comman	general
r2_sp_anc_punic_hannibal_companions_surus	general
r2_sp_anc_punic_item_animal_skin	general
r2_sp_anc_punic_item_fancy_mask	spy
r2_sp_anc_punic_item_god_baal	general
r2_sp_anc_punic_item_god_tanit	general
r2_sp_anc_punic_item_ivory_bowl	general
r2_sp_anc_punic_item_lovely_carpet	champion
r2_sp_anc_punic_item_lovely_carpet	dignitary
r2_sp_anc_punic_item_lovely_carpet	spy
r2_sp_anc_punic_item_perfume_burner	general
r2_sp_anc_punic_item_sacred_stone	general
r2_sp_anc_punic_item_sardinian_lamp	dignitary
r2_sp_anc_punic_item_wig	spy
r2_sp_anc_punic_judge	general
r2_sp_anc_punic_masked_mincer	spy
r2_sp_anc_punic_mercenary_gallic	general
r2_sp_anc_punic_mercenary_greek	general
r2_sp_anc_punic_mercenary_iberian	general
r2_sp_anc_punic_mercenary_italian	general
r2_sp_anc_punic_merchant_italian	dignitary
r2_sp_anc_punic_merchant_italian	general
r2_sp_anc_punic_merchant_libyan_garlic	dignitary
