key	outcome	action_result_key	value	effect_record	effect_scope_record	opportune_failure_weighting	authority_value_coefficient	subterfuge_value_coefficient	zeal_value_coefficient
1015	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_charge_bonus	this_agent_parent_army	0	0.0000	0.0000	0.5000
1016	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	age_force_melee_attack_inf_spr	this_agent_parent_army	0	0.0000	0.0000	0.5000
1017	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	age_force_melee_defence_inf_spr	this_agent_parent_army	0	0.0000	0.0000	0.5000
1018	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	age_force_morale_inf_spr	this_agent_parent_army	0	0.0000	0.0000	0.5000
1019	agent_increase_passive_detection	champion_action_hinder_character_success_critical	0.0000	rom_agent_action_target_province_public_order	in_all_your_provinces	0	0.0000	0.0000	0.5000
102	agent_can_perform_action_again_this_turn	agent_action_all_failure_opportune_hinder_province	1.0000			1	0.0000	0.0000	0.0000
1020	agent_increase_passive_detection	champion_action_hinder_character_success	0.0000	rom_agent_action_target_province_public_order	in_all_your_provinces	0	0.0000	0.0000	0.5000
1021	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_bows_missile_damage	this_agent_parent_army	0	0.0000	0.0000	0.5000
1022	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_bows_missile_range	this_agent_parent_army	0	0.0000	0.0000	0.5000
1023	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_unit_training_melee_attack_all	this_province	0	0.0000	0.0000	0.5000
1024	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_infantry_heavy_melee_attack	this_agent_parent_army	0	0.0000	0.0000	0.5000
1025	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_infantry_heavy_melee_defence	this_agent_parent_army	0	0.0000	0.0000	0.5000
1026	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	3c_force_unit_mod_heavy_infantry_morale	this_agent_parent_army	0	0.0000	0.0000	0.5000
1027	target_army_command_attribute_decrease	inv_champion_action_all_trap_character_success	0.0000	age_agent_all_attributes_mod	this_agent	0	0.0000	-0.5000	0.0000
103	agent_additional_experience	agent_action_all_failure_opportune_hinder_province	1.0000			2	0.0000	0.0000	0.0000
1030	target_army_fervour_attribute_decrease	inv_champion_action_all_trap_character_success	0.0000	age_agent_movement_mod	this_agent	0	0.0000	-0.5000	0.0000
1031	agent_intercept_orders	champion_action_hinder_character_success	0.0000			0	0.0000	0.0000	0.0000
1032	agent_intercept_orders	champion_action_hinder_character_success_critical	0.0000			0	0.0000	0.0000	0.0000
1033	agent_gain_research_points	agent_action_champion_hinder_province_zeal_cannot_fail	0.0000	rom_force_campaign_enable_disease_attrition	this_character_local_region	0	0.0000	0.5000	0.0000
1035	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_character_province_growth	this_province	0	0.5000	0.0000	0.0000
1036	target_army_command_attribute_decrease	inv_champion_action_all_trap_character_success_critical	-2.0000	age_agent_all_attributes_mod	this_agent	0	0.0000	-0.5000	0.0000
1039	target_army_fervour_attribute_decrease	inv_champion_action_all_trap_character_success_critical	-30.0000	age_agent_movement_mod	this_agent	0	0.0000	-1.0000	0.0000
104	agent_gain_research_points	agent_action_all_failure_opportune_hinder_province	0.0000			1	0.0000	0.0000	0.0000
1040	agent_instant_income_gain	agent_action_champion_hinder_settlement_authority_success	0.0000			0	0.0000	50.0000	0.0000
1041	agent_instant_income_gain	agent_action_champion_hinder_settlement_authority_success_critical	0.0000			0	0.0000	100.0000	0.0000
1042	agent_instant_income_gain	agent_action_champion_hinder_settlement_subterfuge_success	0.0000			0	0.0000	50.0000	0.0000
1043	agent_instant_income_gain	agent_action_champion_hinder_settlement_subterfuge_success_critical	0.0000			0	0.0000	100.0000	0.0000
1044	agent_instant_income_gain	agent_action_champion_hinder_settlement_zeal_success	0.0000			0	0.0000	50.0000	0.0000
1045	agent_instant_income_gain	agent_action_champion_hinder_settlement_zeal_success_critical	0.0000			0	0.0000	100.0000	0.0000
1046	agent_instant_income_gain	champion_action_hinder_character_success	0.0000			0	0.0000	50.0000	0.0000
1047	agent_instant_income_gain	champion_action_hinder_character_success_critical	0.0000			0	0.0000	100.0000	0.0000
1048	agent_instant_income_gain	agent_action_champion_hinder_army_zeal_success	0.0000			0	0.0000	50.0000	0.0000
1049	agent_instant_income_gain	agent_action_champion_hinder_army_zeal_success_critical	0.0000			0	0.0000	100.0000	0.0000
105	agent_action_zero_cost	agent_action_all_failure_opportune_hinder_army	1.0000			2	0.0000	0.0000	0.0000
1050	agent_instant_income_gain	inv_champion_action_all_trap_character_success	0.0000			0	0.0000	50.0000	0.0000
1051	agent_instant_income_gain	inv_champion_action_all_trap_character_success_critical	0.0000			0	0.0000	100.0000	0.0000
1052	agent_instant_income_gain	agent_action_champion_hinder_army_subterfuge_success	0.0000			0	0.0000	50.0000	0.0000
1053	agent_instant_income_gain	agent_action_champion_hinder_army_subterfuge_success_critical	0.0000			0	0.0000	100.0000	0.0000
1054	agent_gain_research_points	agent_action_champion_hinder_province_zeal_cannot_fail	0.0000	age_force_unit_mod_morale_enemy	this_region_enemy_forces	0	0.0000	-0.5000	0.0000
1055	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_morale_during_night	this_agent_parent_army	0	0.0000	0.5000	0.0000
1056	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_general_mod_cooldown_rate	this_agent_parent_army	0	0.0000	-1.0000	0.0000
1057	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_tech_engineering_siege_offence_attrition_mod	this_agent_parent_army	0	0.0000	0.0000	0.0000
1058	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_tech_engineering_siege_defence_attrition_mod	this_agent_parent_army	0	0.0000	0.0000	0.0000
1059	target_province_public_order_unhappiness_disaffection	agent_action_champion_hinder_settlement_subterfuge_success	0.0000	rom_food_shortage_replenishment_penalty	this_region_enemy_forces	0	0.0000	-0.5000	0.0000
106	agent_can_perform_action_again_this_turn	agent_action_all_failure_opportune_hinder_army	1.0000			1	0.0000	0.0000	0.0000
1060	target_province_public_order_unhappiness_disaffection	agent_action_champion_hinder_settlement_subterfuge_success_critical	0.0000	rom_food_shortage_replenishment_penalty	this_region_enemy_forces	0	0.0000	-0.5000	0.0000
1061	target_province_public_order_unhappiness_disaffection	agent_action_champion_hinder_settlement_subterfuge_success	0.0000	rom_agent_action_target_province_public_order	this_province	0	0.0000	-0.5000	0.0000
1062	target_province_public_order_unhappiness_disaffection	agent_action_champion_hinder_settlement_subterfuge_success_critical	0.0000	rom_agent_action_target_province_public_order	this_province	0	0.0000	-0.5000	0.0000
1063	agent_faction_experience	agent_action_champion_passive_ability_zeal_cannot_fail	0.0000			0	1.0000	0.0000	0.0000
1064	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	age_agent_enemy_action_success_chance_mod	this_agent_parent_general	0	-0.5000	0.0000	0.0000
1065	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	age_agent_enemy_action_success_chance_mod	your_characters_in_this_province	0	-0.5000	0.0000	0.0000
1066	agent_increase_passive_detection	champion_action_hinder_character_success	0.0000	rom_force_unit_mod_morale	this_character_allied_forces	0	0.5000	0.0000	0.0000
1067	agent_increase_passive_detection	champion_action_hinder_character_success_critical	0.0000	rom_force_unit_mod_morale	this_character_allied_forces	0	0.5000	0.0000	0.0000
1068	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_character_faction_leader_global_recruitment_cost_mod	this_character_local_province	0	-0.5000	0.0000	0.0000
1069	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_force_campaign_mod_upkeep_land	this_character_allied_forces	0	-0.5000	0.0000	0.0000
107	agent_additional_experience	agent_action_all_failure_opportune_hinder_army	1.0000			2	0.0000	0.0000	0.0000
1070	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_force_unit_mod_cavalry_morale	this_agent_parent_army	0	0.5000	0.0000	0.0000
1071	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	pel_force_unit_mod_cavalry_upkeep_cost	this_agent_parent_army	0	-0.5000	0.0000	0.0000
1072	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_unit_training_melee_attack_all	this_province	0	0.5000	0.0000	0.0000
1073	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_unit_training_melee_defence_all	this_province	0	0.5000	0.0000	0.0000
1074	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_building_unit_training_charge_all_land	this_province	0	0.5000	0.0000	0.0000
1075	containing_army_unit_xp_gain	agent_action_champion_assist_army_zeal_cannot_fail	0.0000	rom_agent_action_parent_army_general_xp_gain	this_agent_parent_general		0.5000	0.0000	0.0000
1076	agent_gain_research_points	agent_action_champion_hinder_province_zeal_cannot_fail	0.0000	rom_agent_action_target_province_public_order	this_character_neighbour_provinces	0	0.5000	0.0000	0.0000
1077	agent_gain_research_points	agent_action_champion_hinder_province_zeal_cannot_fail	0.0000	rom_agent_action_target_province_public_order	this_character_neighbour_provinces_enemy	0	-0.5000	0.0000	0.0000
1078	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_agent_action_target_province_public_order	this_character_neighbour_provinces_enemy	0	-0.5000	0.0000	0.0000
1079	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_agent_action_target_province_public_order	this_character_neighbour_provinces	0	0.5000	0.0000	0.0000
108	agent_gain_research_points	agent_action_all_failure_opportune_hinder_army	0.0000			1	0.0000	0.0000	0.0000
1080	target_province_militancy_attribute_increase	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_force_campaign_mod_recruitment_cost_auxiliary	this_province	0	-0.5000	0.0000	0.0000
1081	target_army_fervour_attribute_decrease	agent_action_spy_hinder_agent_zeal_success	-30.0000	age_agent_movement_mod	this_agent	0	0.0000	0.0000	-0.5000
1082	target_army_fervour_attribute_decrease	agent_action_spy_hinder_agent_zeal_success_critical	-60.0000	age_agent_movement_mod	this_agent	0	0.0000	0.0000	-0.5000
1083	target_settlement_remove_food	agent_action_spy_hinder_province_subterfuge_cannot_fail	2.0000	age_province_steal_food	this_province	0	0.0000	0.0000	0.2000
1084	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	2.0000	rom_character_food	this_character_faction	0	0.0000	0.0000	0.2000
1085	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_agent_action_target_province_public_order	this_province_any	0	0.0000	0.0000	-0.5000
1086	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_armour	this_character_enemy_forces	0	0.0000	0.0000	-0.5000
1087	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_melee_damage	this_character_enemy_forces	0	0.0000	0.0000	-0.5000
1088	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_building_research_points_mod	this_character_faction	0	0.0000	0.0000	1.0000
1089	target_army_damage_units	agent_action_spy_hinder_army_subterfuge_success	0.0000			0	0.0000	0.0000	0.0000
109	agent_action_zero_cost	agent_action_all_failure_opportune_hinder_agent	1.0000			2	0.0000	0.0000	0.0000
1090	target_army_damage_units	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000			0	0.0000	0.0000	0.0000
1091	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_loot_income	this_agent_parent_army	0	0.0000	0.0000	0.5000
1092	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_raid_income	this_agent_parent_army	0	0.0000	0.0000	0.5000
1093	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_building_replenishment_all	regions_in_this_province_enemy	0	0.0000	0.0000	-0.5000
1094	target_army_command_attribute_decrease	agent_action_spy_hinder_army_subterfuge_success	0.0000	rom_force_unit_mod_cavalry_morale	this_general_force	0	0.0000	0.0000	-0.5000
1095	target_army_command_attribute_decrease	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000	rom_force_unit_mod_cavalry_morale	this_general_force	0	0.0000	0.0000	-0.5000
1096	target_army_supress_reinforcement	agent_action_spy_hinder_agent_zeal_success	0.0000	age_agent_all_attributes_mod	this_agent	0	0.0000	0.0000	0.0000
1099	target_army_supress_reinforcement	agent_action_spy_hinder_agent_zeal_success_critical	0.0000	age_agent_all_attributes_mod	this_agent	0	0.0000	0.0000	0.0000
11	target_agent_wounded	agent_action_all_hinder_character_success	0.0000				0.0000	0.0000	0.0000
110	agent_can_perform_action_again_this_turn	agent_action_all_failure_opportune_hinder_agent	1.0000			1	0.0000	0.0000	0.0000
1100	target_agent_suppress_action_point_replenishment	agent_action_spy_hinder_agent_zeal_success_critical	0.0000	rom_agent_action_target_army_subterfuge	this_agent	0	0.0000	0.0000	0.0000
1101	target_agent_suppress_action_point_replenishment	agent_action_spy_hinder_agent_zeal_success_critical	0.0000	rom_agent_action_target_army_zeal	this_agent	0	0.0000	0.0000	0.0000
1102	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success	0.0000	rom_force_unit_mod_melee_attack	this_army	0	0.0000	-0.5000	0.0000
1103	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000	rom_force_unit_mod_melee_attack	this_army	0	0.0000	-1.0000	0.0000
1104	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success	0.0000	rom_force_unit_mod_melee_defence	this_army	0	0.0000	-0.5000	0.0000
1105	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000	rom_force_unit_mod_melee_defence	this_army	0	0.0000	-1.0000	0.0000
1107	target_steal_ancillary	agent_action_spy_hinder_agent_subterfuge_success	0.0000			0	0.0000	0.0000	0.0000
1108	target_steal_ancillary	agent_action_spy_hinder_agent_subterfuge_success_critical	0.0000			0	0.0000	0.0000	0.0000
1109	target_army_suppress_action_point_replenishment	agent_action_spy_hinder_agent_subterfuge_success	0.0000	rom_agent_action_success_chance_mod	this_agent	0	0.0000	-0.5000	0.0000
111	agent_additional_experience	agent_action_all_failure_opportune_hinder_agent	1.0000			2	0.0000	0.0000	0.0000
1110	target_army_suppress_action_point_replenishment	agent_action_spy_hinder_agent_subterfuge_success_critical	0.0000	rom_agent_action_success_chance_mod	this_agent	0	0.0000	0.6000	0.0000
1111	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success	0.0000	rom_force_unit_mod_morale	this_army	0	0.0000	-0.5000	0.0000
1112	target_army_supress_reinforcement	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000	rom_force_unit_mod_morale	this_army	0	0.0000	-1.0000	0.0000
1113	target_province_public_order_unhappiness_disaffection	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	this_region_enemy_forces	0	0.0000	-0.5000	0.0000
1114	target_province_public_order_unhappiness_disaffection	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	this_region_enemy_forces	0	0.0000	0.0000	0.0000
1115	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_agent_action_target_settlement_construction_time	regions_in_this_province_any	0	0.0000	0.0000	0.0000
1116	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_general_local_mod_construction_costs	regions_in_this_province_any	0	0.0000	0.5000	0.0000
1117	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_recruitment_cost_all	all_enemy_forces_in_this_province	0	0.0000	0.5000	0.0000
1118	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	age_recruitment_time_mod_province	this_province_any	0	0.0000	0.0000	0.0000
1119	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_ambush_attack_success_chance	this_agent_parent_army	0	0.0000	0.5000	0.0000
112	agent_gain_research_points	agent_action_all_failure_opportune_hinder_agent	0.0000			1	0.0000	0.0000	0.0000
1120	agent_gain_research_points	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_ambush_attack_success_chance	your_forces_in_this_region	0	0.0000	1.0000	0.0000
1121	agent_intercept_orders_neighbour_passive	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000			0	0.0000	0.0000	0.0000
1122	agent_intercept_orders_neighbour_passive	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000			0	0.0000	0.0000	0.0000
1123	agent_province_culture_spread	agent_action_spy_passive_ability_subterfuge_cannot_fail	0.0000	age_agent_enemy_action_success_chance_mod	this_agent	0	0.0000	0.5000	0.0000
1124	agent_province_culture_spread	agent_action_spy_passive_ability_subterfuge_cannot_fail	0.0000	rom_agent_action_success_chance_mod	this_agent	0	0.0000	0.5000	0.0000
1125	agent_gain_research_points	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	your_forces_in_this_region	0	0.0000	0.5000	0.0000
1126	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	your_forces_in_this_region	0	0.0000	0.5000	0.0000
1127	agent_province_culture_spread	agent_action_spy_passive_ability_subterfuge_cannot_fail	0.0000	rom_agent_field_line_of_sight_mod	this_agent	0	0.0000	0.5000	0.0000
1128	containing_army_unit_xp_gain	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_line_of_sight	this_agent_parent_general	0	0.0000	0.5000	0.0000
1129	agent_gain_research_points	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_tech_agent_cost_mod	this_province	0	-0.5000	0.0000	0.0000
113	target_steal_ancillary	agent_action_all_failure_opportune_hinder_agent	1.0000			1	0.0000	0.0000	0.0000
1130	containing_army_unit_xp_gain	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_melee_attack	this_agent_parent_army	0	0.5000	0.0000	0.0000
1131	containing_army_unit_xp_gain	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_armour	this_agent_parent_army	0	0.5000	0.0000	0.0000
1132	target_province_intrigue_attribute_increase	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_recruitment_cost_all	this_province	0	0.0000	0.0000	0.0000
1133	agent_gain_research_points	agent_action_spy_hinder_agent_subterfuge_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1134	agent_gain_research_points	agent_action_spy_hinder_agent_subterfuge_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1135	agent_gain_research_points	agent_action_spy_hinder_agent_zeal_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1136	agent_gain_research_points	agent_action_spy_hinder_agent_zeal_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1137	agent_gain_research_points	agent_action_spy_hinder_army_authority_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1138	agent_gain_research_points	agent_action_spy_hinder_army_authority_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1139	agent_gain_research_points	agent_action_spy_hinder_army_subterfuge_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1140	agent_gain_research_points	agent_action_spy_hinder_army_subterfuge_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1141	agent_gain_research_points	agent_action_spy_hinder_army_zeal_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1142	agent_gain_research_points	agent_action_spy_hinder_army_zeal_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1143	agent_gain_research_points	agent_action_spy_hinder_settlement_authority_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1144	agent_gain_research_points	agent_action_spy_hinder_settlement_authority_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1145	agent_gain_research_points	agent_action_spy_hinder_settlement_subterfuge_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1146	agent_gain_research_points	agent_action_spy_hinder_settlement_subterfuge_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1147	agent_gain_research_points	agent_action_spy_hinder_settlement_zeal_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1148	agent_gain_research_points	agent_action_spy_hinder_settlement_zeal_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1149	agent_gain_research_points	agent_action_all_hinder_character_success	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1150	agent_gain_research_points	agent_action_all_hinder_character_success_critical	0.0000	rom_agent_action_success_chance_mod	all_agents		0.5000	0.0000	0.0000
1152	agent_gain_research_points	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_armour	this_character_enemy_forces	0	0.0000	0.0000	-0.5000
1155	agent_gain_research_points	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_melee_damage	this_character_enemy_forces	0	0.0000	0.0000	-0.5000
1158	containing_army_unit_xp_gain	agent_action_dignitary_assist_army_authority_cannot_fail	0.0000	rom_general_force_mod_slave_capture	this_agent_parent_army	0	0.0000	0.0000	1.0000
1159	containing_army_unit_xp_gain	agent_action_dignitary_assist_army_authority_cannot_fail	0.0000	age_morale_unarmoured_units	this_agent_parent_army	0	0.5000	0.0000	0.0000
1160	containing_army_unit_xp_gain	agent_action_dignitary_assist_army_authority_cannot_fail	0.0000	rom_force_campaign_mod_movement_range	this_agent_parent_army	0	0.5000	0.0000	0.0000
1161	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_force_unit_mod_morale	your_forces_in_this_region	0	0.5000	0.0000	0.0000
1162	agent_gain_research_points	agent_action_champion_assist_province_zeal_cannot_fail	0.0000	rom_force_unit_mod_melee_attack	your_forces_in_this_region	0	0.5000	0.0000	0.0000
1163	containing_army_unit_xp_gain	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_loot_income	this_agent_parent_army	0	0.0000	0.0000	1.0000
1169	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_campaign_mod_replenishment_rate	this_agent_parent_army	0	0.5000	0.0000	0.0000
1170	target_province_intrigue_attribute_increase	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	age_agent_negative_public_order_mod	this_province		0.5000	0.0000	0.0000
1171	target_province_intrigue_attribute_increase	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	age_agent_negative_public_order_mod	this_province		-0.5000	0.0000	0.0000
1172	target_province_intrigue_attribute_increase	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	age_agent_negative_public_order_mod_hidden	this_province		0.5000	0.0000	0.0000
1173	target_province_intrigue_attribute_increase	agent_action_spy_assist_province_subterfuge_cannot_fail	0.0000	age_agent_negative_public_order_mod_hidden	this_province		0.5000	0.0000	0.0000
1174	agent_gain_research_points	agent_action_spy_hinder_province_subterfuge_cannot_fail	0.0000	rom_building_research_points_mod_civil	this_character_faction	0	0.5000	0.0000	0.0000
1175	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	rom_force_unit_mod_morale	this_agent_parent_army	0	0.5000	0.0000	0.0000
1176	containing_army_enemy_action_success_chance_reduction	agent_action_spy_assist_army_subterfuge_cannot_fail	0.0000	age_agent_enemy_action_success_chance_mod	this_agent_parent_army	0	-0.5000	0.0000	0.0000
