culture_key	faction_key	subculture_key	unit_key
	3c_armenia		3c_Arm_Noble_Horse_Archers_commander
	3c_armenia_civil_war		3c_Arm_Noble_Horse_Archers_commander
	3c_armenia_secession		3c_Arm_Noble_Horse_Archers_commander
	3c_armenia		3c_Arm_Tower_Penteres_commander
	3c_armenia_civil_war		3c_Arm_Tower_Penteres_commander
	3c_armenia_secession		3c_Arm_Tower_Penteres_commander
	3c_caledoni		3c_Cal_Armoured_Chariots_commander
	3c_caledoni_civil_war		3c_Cal_Armoured_Chariots_commander
	3c_caledoni_secession		3c_Cal_Armoured_Chariots_commander
	3c_caledoni		3c_Cal_Caledonian_Heroic_Riders_commander
	3c_caledoni_civil_war		3c_Cal_Caledonian_Heroic_Riders_commander
	3c_caledoni_secession		3c_Cal_Caledonian_Heroic_Riders_commander
	3c_caledoni		3c_Cal_Caledonian_Oathsworn_commander
	3c_caledoni_civil_war		3c_Cal_Caledonian_Oathsworn_commander
	3c_caledoni_secession		3c_Cal_Caledonian_Oathsworn_commander
	3c_caledoni		3c_Cal_Heavy_Assault_Raider_commander
	3c_caledoni_civil_war		3c_Cal_Heavy_Assault_Raider_commander
	3c_caledoni_secession		3c_Cal_Heavy_Assault_Raider_commander
	3c_caledoni		3c_Cal_Medium_Assault_Raider_commander
	3c_caledoni_civil_war		3c_Cal_Medium_Assault_Raider_commander
	3c_caledoni_secession		3c_Cal_Medium_Assault_Raider_commander
	3c_ebdani		3c_Cel_Celtic_Nobles_commander
	3c_rebel_celtic		3c_Cel_Celtic_Nobles_commander
	3c_ebdani		3c_Cel_Chariots_commander
	3c_rebel_celtic		3c_Cel_Chariots_commander
	3c_ebdani		3c_Cel_Heavy_Assault_Raider_commander
	3c_ardhan		3c_Eas_Assault_Trieres_commander
	3c_baktria		3c_Eas_Assault_Trieres_commander
	3c_bosporou		3c_Eas_Assault_Trieres_commander
	3c_colchis		3c_Eas_Assault_Trieres_commander
	3c_kartli		3c_Eas_Assault_Trieres_commander
	3c_ardhan		3c_Eas_Eastern_Cataphracts_commander
	3c_baktria		3c_Eas_Eastern_Cataphracts_commander
	3c_bosporou		3c_Eas_Eastern_Cataphracts_commander
	3c_colchis		3c_Eas_Eastern_Cataphracts_commander
	3c_kartli		3c_Eas_Eastern_Cataphracts_commander
	3c_rebel_eastern		3c_Eas_Eastern_Cataphracts_commander
	3c_ardhan		3c_Eas_Eastern_Nobles_commander
	3c_baktria		3c_Eas_Eastern_Nobles_commander
	3c_bosporou		3c_Eas_Eastern_Nobles_commander
	3c_colchis		3c_Eas_Eastern_Nobles_commander
	3c_kartli		3c_Eas_Eastern_Nobles_commander
	3c_rebel_eastern		3c_Eas_Eastern_Nobles_commander
	3c_gallicemp		3c_Gal_Assault_Quadreme_commander
	3c_gallicemp_civil_war		3c_Gal_Assault_Quadreme_commander
	3c_gallicemp_secession		3c_Gal_Assault_Quadreme_commander
	3c_gallicemp		3c_Gal_Gallic_Imperial_Guard_commander
	3c_gallicemp_civil_war		3c_Gal_Gallic_Imperial_Guard_commander
	3c_gallicemp_secession		3c_Gal_Gallic_Imperial_Guard_commander
	3c_alemanni		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_burgundii		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_buri		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_franci		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_heruli		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_langobardi		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_nahanarvali		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_quadi		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_rebel_germanic		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_rugii		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_semnones		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_vandali		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_varini		3c_Ger_Armoured_Germanic_Swordsmen_commander
	3c_alemanni		3c_Ger_Germanic_Nobles_commander
	3c_burgundii		3c_Ger_Germanic_Nobles_commander
	3c_buri		3c_Ger_Germanic_Nobles_commander
	3c_franci		3c_Ger_Germanic_Nobles_commander
	3c_heruli		3c_Ger_Germanic_Nobles_commander
	3c_langobardi		3c_Ger_Germanic_Nobles_commander
	3c_nahanarvali		3c_Ger_Germanic_Nobles_commander
	3c_quadi		3c_Ger_Germanic_Nobles_commander
	3c_rebel_germanic		3c_Ger_Germanic_Nobles_commander
	3c_rugii		3c_Ger_Germanic_Nobles_commander
	3c_semnones		3c_Ger_Germanic_Nobles_commander
	3c_vandali		3c_Ger_Germanic_Nobles_commander
	3c_varini		3c_Ger_Germanic_Nobles_commander
	3c_alemanni		3c_Ger_Heavy_Assault_Raider_commander
	3c_burgundii		3c_Ger_Heavy_Assault_Raider_commander
	3c_buri		3c_Ger_Heavy_Assault_Raider_commander
	3c_franci		3c_Ger_Heavy_Assault_Raider_commander
	3c_heruli		3c_Ger_Heavy_Assault_Raider_commander
	3c_langobardi		3c_Ger_Heavy_Assault_Raider_commander
	3c_nahanarvali		3c_Ger_Heavy_Assault_Raider_commander
	3c_quadi		3c_Ger_Heavy_Assault_Raider_commander
	3c_rugii		3c_Ger_Heavy_Assault_Raider_commander
	3c_semnones		3c_Ger_Heavy_Assault_Raider_commander
	3c_vandali		3c_Ger_Heavy_Assault_Raider_commander
	3c_varini		3c_Ger_Heavy_Assault_Raider_commander
	3c_gothi		3c_Goth_Greuthungi_Elite_Spears_commander
	3c_gothi_civil_war		3c_Goth_Greuthungi_Elite_Spears_commander
	3c_gothi_secession		3c_Goth_Greuthungi_Elite_Spears_commander
	3c_gothi		3c_Goth_Greuthungi_Lancers_commander
	3c_gothi_civil_war		3c_Goth_Greuthungi_Lancers_commander
	3c_gothi_secession		3c_Goth_Greuthungi_Lancers_commander
	3c_gothi		3c_Goth_Greuthungi_Noble_Cavalry_commander
	3c_gothi_civil_war		3c_Goth_Greuthungi_Noble_Cavalry_commander
	3c_gothi_secession		3c_Goth_Greuthungi_Noble_Cavalry_commander
	3c_gothi		3c_Goth_Heavy_Assault_Raider_commander
	3c_gothi_civil_war		3c_Goth_Heavy_Assault_Raider_commander
	3c_gothi_secession		3c_Goth_Heavy_Assault_Raider_commander
	3c_gothi		3c_Goth_Medium_Missile_Raider_commander
	3c_gothi_civil_war		3c_Goth_Medium_Missile_Raider_commander
	3c_gothi_secession		3c_Goth_Medium_Missile_Raider_commander
	3c_gothi		3c_Goth_Tervingi_Oathsworn_commander
	3c_gothi_civil_war		3c_Goth_Tervingi_Oathsworn_commander
	3c_gothi_secession		3c_Goth_Tervingi_Oathsworn_commander
	3c_marcomanni		3c_Marc_Germanic_Noble_Guard_commander
	3c_marcomanni_civil_war		3c_Marc_Germanic_Noble_Guard_commander
	3c_marcomanni_secession		3c_Marc_Germanic_Noble_Guard_commander
	3c_marcomanni		3c_Marc_Heavy_Assault_Raider_commander
	3c_marcomanni_civil_war		3c_Marc_Heavy_Assault_Raider_commander
	3c_marcomanni_secession		3c_Marc_Heavy_Assault_Raider_commander
	3c_marcomanni		3c_Marc_Medium_Missile_Raider_commander
	3c_marcomanni_civil_war		3c_Marc_Medium_Missile_Raider_commander
	3c_marcomanni_secession		3c_Marc_Medium_Missile_Raider_commander
	3c_marcomanni		3c_Marc_Wodanaz_Spears_commander
	3c_marcomanni_civil_war		3c_Marc_Wodanaz_Spears_commander
	3c_marcomanni_secession		3c_Marc_Wodanaz_Spears_commander
	3c_garamantia		3c_Num_Missile_Trieres_commander
	3c_mauretania		3c_Num_Missile_Trieres_commander
	3c_mauri		3c_Num_Missile_Trieres_commander
	3c_nasamones		3c_Num_Missile_Trieres_commander
	3c_garamantia		3c_Num_Numidian_Noble_Cavalry_commander
	3c_mauretania		3c_Num_Numidian_Noble_Cavalry_commander
	3c_mauri		3c_Num_Numidian_Noble_Cavalry_commander
	3c_nasamones		3c_Num_Numidian_Noble_Cavalry_commander
	3c_rebel_african		3c_Num_Numidian_Noble_Cavalry_commander
	3c_palmyra		3c_Pal_Assault_Hexeres_commander
	3c_palmyra_civil_war		3c_Pal_Assault_Hexeres_commander
	3c_palmyra_secession		3c_Pal_Assault_Hexeres_commander
	3c_palmyra		3c_Pal_Heavy_Tower_Octeres_commander
	3c_palmyra_civil_war		3c_Pal_Heavy_Tower_Octeres_commander
	3c_palmyra_secession		3c_Pal_Heavy_Tower_Octeres_commander
	3c_palmyra		3c_Pal_Imperial_Palmyrene_Cataphracts_commander
	3c_palmyra_civil_war		3c_Pal_Imperial_Palmyrene_Cataphracts_commander
	3c_palmyra_secession		3c_Pal_Imperial_Palmyrene_Cataphracts_commander
	3c_palmyra		3c_Pal_Imperial_Pikemen_commander
	3c_palmyra_civil_war		3c_Pal_Imperial_Pikemen_commander
	3c_palmyra_secession		3c_Pal_Imperial_Pikemen_commander
	3c_palmyra		3c_Pal_Missile_Hepteres_commander
	3c_palmyra_civil_war		3c_Pal_Missile_Hepteres_commander
	3c_palmyra_secession		3c_Pal_Missile_Hepteres_commander
	3c_palmyra		3c_Pal_Palmyrene_Palace_Guard_commander
	3c_palmyra_civil_war		3c_Pal_Palmyrene_Palace_Guard_commander
	3c_palmyra_secession		3c_Pal_Palmyrene_Palace_Guard_commander
	3c_palmyra		3c_Pal_Scythed_Chariots_commander
	3c_palmyra_civil_war		3c_Pal_Scythed_Chariots_commander
	3c_palmyra_secession		3c_Pal_Scythed_Chariots_commander
	3c_margiana		3c_Per_Assault_Trieres_commander
	3c_media		3c_Per_Assault_Trieres_commander
	3c_sakastan		3c_Per_Assault_Trieres_commander
	3c_margiana		3c_Per_Persian_Cataphracts_commander
	3c_media		3c_Per_Persian_Cataphracts_commander
	3c_sakastan		3c_Per_Persian_Cataphracts_commander
	3c_margiana		3c_Per_Persian_Nobles_commander
	3c_media		3c_Per_Persian_Nobles_commander
	3c_sakastan		3c_Per_Persian_Nobles_commander
	3c_britannia		3c_Rom_Assault_Quadreme_commander
	3c_egypt		3c_Rom_Assault_Quadreme_commander
	3c_galatia		3c_Rom_Assault_Quadreme_commander
	3c_hispania		3c_Rom_Assault_Quadreme_commander
	3c_lusitania		3c_Rom_Assault_Quadreme_commander
	3c_lydia		3c_Rom_Assault_Quadreme_commander
	3c_numidia		3c_Rom_Assault_Quadreme_commander
	3c_roman_pretender		3c_Rom_Equites_Catafractarii_commander
	3c_roman_secession		3c_Rom_Equites_Catafractarii_commander
	3c_rome		3c_Rom_Equites_Catafractarii_commander
	3c_gallicemp		3c_Rom_Equites_Scutarii_commander
	3c_gallicemp_civil_war		3c_Rom_Equites_Scutarii_commander
	3c_gallicemp_secession		3c_Rom_Equites_Scutarii_commander
	3c_roman_pretender		3c_Rom_Equites_Scutarii_commander
	3c_roman_secession		3c_Rom_Equites_Scutarii_commander
	3c_rome		3c_Rom_Equites_Scutarii_commander
	3c_britannia		3c_Rom_Evocati_Cohort_commander
	3c_egypt		3c_Rom_Evocati_Cohort_commander
	3c_galatia		3c_Rom_Evocati_Cohort_commander
	3c_hispania		3c_Rom_Evocati_Cohort_commander
	3c_lusitania		3c_Rom_Evocati_Cohort_commander
	3c_lydia		3c_Rom_Evocati_Cohort_commander
	3c_numidia		3c_Rom_Evocati_Cohort_commander
	3c_rebel_latin		3c_Rom_Evocati_Cohort_commander
	3c_roman_pretender		3c_Rom_Missile_Quinquereme_commander
	3c_roman_secession		3c_Rom_Missile_Quinquereme_commander
	3c_rome		3c_Rom_Missile_Quinquereme_commander
	3c_roman_pretender		3c_Rom_Praetorian_Cavalry_commander
	3c_roman_secession		3c_Rom_Praetorian_Cavalry_commander
	3c_rome		3c_Rom_Praetorian_Cavalry_commander
	3c_britannia		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_egypt		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_galatia		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_hispania		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_lusitania		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_lydia		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_numidia		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_rebel_latin		3c_Rom_Roman_Legionary_Cavalry_commander
	3c_roman_pretender		3c_Rom_Tower_Hexareme_commander
	3c_roman_secession		3c_Rom_Tower_Hexareme_commander
	3c_rome		3c_Rom_Tower_Hexareme_commander
	3c_axum		3c_Sab_Assault_Trieres_commander
	3c_blemmyes		3c_Sab_Assault_Trieres_commander
	3c_himyar		3c_Sab_Assault_Trieres_commander
	3c_mascat		3c_Sab_Assault_Trieres_commander
	3c_meroe		3c_Sab_Assault_Trieres_commander
	3c_saba		3c_Sab_Assault_Trieres_commander
	3c_axum		3c_Sab_Sabean_Cavalry_commander
	3c_blemmyes		3c_Sab_Sabean_Cavalry_commander
	3c_himyar		3c_Sab_Sabean_Cavalry_commander
	3c_mascat		3c_Sab_Sabean_Cavalry_commander
	3c_meroe		3c_Sab_Sabean_Cavalry_commander
	3c_rebel_arabian		3c_Sab_Sabean_Cavalry_commander
	3c_saba		3c_Sab_Sabean_Cavalry_commander
	3c_sassanid		3c_Sas_Armoured_Indian_War_Elephants_commander
	3c_sassanid_civil_war		3c_Sas_Armoured_Indian_War_Elephants_commander
	3c_sassanid_secession		3c_Sas_Armoured_Indian_War_Elephants_commander
	3c_sassanid		3c_Sas_Assault_Hexeres_commander
	3c_sassanid_civil_war		3c_Sas_Assault_Hexeres_commander
	3c_sassanid_secession		3c_Sas_Assault_Hexeres_commander
	3c_sassanid		3c_Sas_Gyan_Avspar_commander
	3c_sassanid_civil_war		3c_Sas_Gyan_Avspar_commander
	3c_sassanid_secession		3c_Sas_Gyan_Avspar_commander
	3c_sassanid		3c_Sas_Missile_Penteres_commander
	3c_sassanid_civil_war		3c_Sas_Missile_Penteres_commander
	3c_sassanid_secession		3c_Sas_Missile_Penteres_commander
	3c_sassanid		3c_Sas_Royal_Sassanian_Archers_commander
	3c_sassanid_civil_war		3c_Sas_Royal_Sassanian_Archers_commander
	3c_sassanid_secession		3c_Sas_Royal_Sassanian_Archers_commander
	3c_sassanid		3c_Sas_Zhayedan_Immortals_commander
	3c_sassanid_civil_war		3c_Sas_Zhayedan_Immortals_commander
	3c_sassanid_secession		3c_Sas_Zhayedan_Immortals_commander
	3c_saxoni		3c_Sax_Gedriht_Spearmen_commander
	3c_saxoni_civil_war		3c_Sax_Gedriht_Spearmen_commander
	3c_saxoni_secession		3c_Sax_Gedriht_Spearmen_commander
	3c_saxoni		3c_Sax_Gedriht_Swordsmen_commander
	3c_saxoni_civil_war		3c_Sax_Gedriht_Swordsmen_commander
	3c_saxoni_secession		3c_Sax_Gedriht_Swordsmen_commander
	3c_saxoni		3c_Sax_Heavy_Assault_Raider_Gedriht
	3c_saxoni		3c_Sax_Heavy_Assault_Raider_commander
	3c_saxoni_civil_war		3c_Sax_Heavy_Assault_Raider_commander
	3c_saxoni_secession		3c_Sax_Heavy_Assault_Raider_commander
	3c_saxoni		3c_Sax_Medium_Missile_Raider_commander
	3c_saxoni_civil_war		3c_Sax_Medium_Missile_Raider_commander
	3c_saxoni_secession		3c_Sax_Medium_Missile_Raider_commander
	3c_saxoni		3c_Sax_Noble_Saxon_Cavalry_commander
	3c_saxoni_civil_war		3c_Sax_Noble_Saxon_Cavalry_commander
	3c_saxoni_secession		3c_Sax_Noble_Saxon_Cavalry_commander
	3c_dahae		3c_Ste_Missile_Raider_commander
	3c_iastae		3c_Ste_Missile_Raider_commander
	3c_kwarezm		3c_Ste_Missile_Raider_commander
	3c_roxolani		3c_Ste_Missile_Raider_commander
	3c_dahae		3c_Ste_Steppe_Nobles_commander
	3c_iastae		3c_Ste_Steppe_Nobles_commander
	3c_kwarezm		3c_Ste_Steppe_Nobles_commander
	3c_rebel_nomadic		3c_Ste_Steppe_Nobles_commander
	3c_roxolani		3c_Ste_Steppe_Nobles_commander
	emp_axum		Aet_Cav
	emp_blemmyes		Aet_Cav
	emp_meroe		Aet_Cav
	rom_axum		Aet_Cav
	rom_blemmyes		Aet_Cav
	rom_meroe		Aet_Cav
	emp_axum		Aet_Sword_Six
	emp_blemmyes		Aet_Sword_Six
	emp_meroe		Aet_Sword_Six
	rom_axum		Aet_Sword_Six
	rom_blemmyes		Aet_Sword_Six
	rom_kush		Aet_Sword_Six
	rom_kush_civil_war		Aet_Sword_Six
	rom_kush_secession		Aet_Sword_Six
	rom_meroe		Aet_Sword_Six
	emp_axum		Aet_Sword
	emp_blemmyes		Aet_Sword
	emp_meroe		Aet_Sword
	rom_axum		Aet_Sword
	rom_blemmyes		Aet_Sword
	rom_meroe		Aet_Sword
	emp_gerrhea		Afr_Archers_Five
	emp_himyar		Afr_Archers_Five
	emp_ma_in		Afr_Archers_Five
	emp_mascat		Afr_Archers_Five
	emp_nabatea		Afr_Archers_Five
	emp_persia		Afr_Archers_Five
	emp_qidri		Afr_Archers_Five
	emp_saba		Afr_Archers_Five
	rom_gerrhaea		Afr_Archers_Five
	rom_himyar		Afr_Archers_Five
	rom_ma_in		Afr_Archers_Five
	rom_mascat		Afr_Archers_Five
	rom_persia		Afr_Archers_Five
	rom_qidri		Afr_Archers_Five
	emp_garamantia		Afr_Chariot_Raiders
	emp_nasamones		Afr_Chariot_Raiders
	emp_rebel_african		Afr_Chariot_Raiders
	pun_garamantia		Afr_Chariot_Raiders
	pun_rebel_african		Afr_Chariot_Raiders
	rom_garamantia		Afr_Chariot_Raiders
	rom_nasamones		Afr_Chariot_Raiders
	rom_rebel_african		Afr_Chariot_Raiders
	emp_rebel_egyptian		Afr_Elephants
	rom_rebel_egyptian		Afr_Elephants
	emp_garamantia		Afr_Large_Shield_Warriors
	emp_nasamones		Afr_Large_Shield_Warriors
	emp_rebel_african		Afr_Large_Shield_Warriors
	pun_garamantia		Afr_Large_Shield_Warriors
	pun_rebel_african		Afr_Large_Shield_Warriors
	rom_garamantia		Afr_Large_Shield_Warriors
	rom_nasamones		Afr_Large_Shield_Warriors
	rom_rebel_african		Afr_Large_Shield_Warriors
	emp_gaetuli		Afr_Numidian_Noble_Cav
	emp_mauri		Afr_Numidian_Noble_Cav
	emp_numidia		Afr_Numidian_Noble_Cav
	inv_inc_massylii		Afr_Numidian_Noble_Cav
	pun_gaetuli		Afr_Numidian_Noble_Cav
	pun_masaesyli		Afr_Numidian_Noble_Cav
	pun_massyli		Afr_Numidian_Noble_Cav
	pun_mauri		Afr_Numidian_Noble_Cav
	rom_gaetuli		Afr_Numidian_Noble_Cav
	rom_masaesyli		Afr_Numidian_Noble_Cav
	rom_masaesyli_civil_war		Afr_Numidian_Noble_Cav
	rom_masaesyli_secession		Afr_Numidian_Noble_Cav
	emp_axum		Afr_Slingers_Three_Scorpio
	emp_blemmyes		Afr_Slingers_Three_Scorpio
	emp_gaetuli		Afr_Slingers_Three_Scorpio
	emp_garamantia		Afr_Slingers_Three_Scorpio
	emp_mauri		Afr_Slingers_Three_Scorpio
	emp_meroe		Afr_Slingers_Three_Scorpio
	emp_nasamones		Afr_Slingers_Three_Scorpio
	emp_numidia		Afr_Slingers_Three_Scorpio
	emp_rebel_african		Afr_Slingers_Three_Scorpio
	inv_inc_massylii		Afr_Slingers_Three_Scorpio
	pun_gaetuli		Afr_Slingers_Three_Scorpio
	pun_garamantia		Afr_Slingers_Three_Scorpio
	pun_masaesyli		Afr_Slingers_Three_Scorpio
	pun_massyli		Afr_Slingers_Three_Scorpio
	pun_mauri		Afr_Slingers_Three_Scorpio
	pun_rebel_african		Afr_Slingers_Three_Scorpio
	rom_axum		Afr_Slingers_Three_Scorpio
	rom_blemmyes		Afr_Slingers_Three_Scorpio
	rom_gaetuli		Afr_Slingers_Three_Scorpio
	rom_garamantia		Afr_Slingers_Three_Scorpio
	rom_masaesyli		Afr_Slingers_Three_Scorpio
	rom_masaesyli_civil_war		Afr_Slingers_Three_Scorpio
	rom_masaesyli_secession		Afr_Slingers_Three_Scorpio
	rom_meroe		Afr_Slingers_Three_Scorpio
	rom_nasamones		Afr_Slingers_Three_Scorpio
	rom_rebel_african		Afr_Slingers_Three_Scorpio
	emp_egypt		Afr_War_Elephants
	emp_egypt_civil_war		Afr_War_Elephants
	emp_egypt_secession		Afr_War_Elephants
	emp_rebel_egyptian		Afr_War_Elephants
	emp_rebel_punic		Afr_War_Elephants
	pun_carthage		Afr_War_Elephants
	pun_carthage_civil_war		Afr_War_Elephants
	pun_carthage_secession		Afr_War_Elephants
	pun_libya		Afr_War_Elephants
	pun_rebel_punic		Afr_War_Elephants
	rom_carthage		Afr_War_Elephants
	rom_carthage_civil_war		Afr_War_Elephants
	rom_carthage_secession		Afr_War_Elephants
	rom_cyprus		Afr_War_Elephants
	rom_cyrenaica		Afr_War_Elephants
	rom_libya		Afr_War_Elephants
	rom_nova_carthago		Afr_War_Elephants
	rom_ptolemaics		Afr_War_Elephants
	rom_ptolemaics_civil_war		Afr_War_Elephants
	rom_ptolemaics_secession		Afr_War_Elephants
	rom_rebel_egyptian		Afr_War_Elephants
	rom_rebel_punic		Afr_War_Elephants
	test_easterners		Afr_War_Elephants
	test_islanders		Afr_War_Elephants
	test_northerners		Afr_War_Elephants
	test_southerners		Afr_War_Elephants
	test_westerners		Afr_War_Elephants
	emp_garamantia		Afr_Warriors_Six
	emp_nasamones		Afr_Warriors_Six
	emp_rebel_african		Afr_Warriors_Six
	pun_garamantia		Afr_Warriors_Six
	pun_rebel_african		Afr_Warriors_Six
	rom_garamantia		Afr_Warriors_Six
	rom_nasamones		Afr_Warriors_Six
	rom_rebel_african		Afr_Warriors_Six
	emp_gerrhea		Ara_Noble_Sword
	emp_himyar		Ara_Noble_Sword
	emp_ma_in		Ara_Noble_Sword
	emp_mascat		Ara_Noble_Sword
	emp_nabatea		Ara_Noble_Sword
	emp_qidri		Ara_Noble_Sword
	emp_rebel_arabian		Ara_Noble_Sword
	emp_saba		Ara_Noble_Sword
	rom_gerrhaea		Ara_Noble_Sword
	rom_himyar		Ara_Noble_Sword
	rom_ma_in		Ara_Noble_Sword
	rom_mascat		Ara_Noble_Sword
	rom_nabatea		Ara_Noble_Sword
	rom_nabatea_civil_war		Ara_Noble_Sword
	rom_nabatea_secession		Ara_Noble_Sword
	rom_qidri		Ara_Noble_Sword
	rom_rebel_arabian		Ara_Noble_Sword
	rom_saba		Ara_Noble_Sword
	rom_saba_civil_war		Ara_Noble_Sword
	rom_saba_secession		Ara_Noble_Sword
	rom_nabatea		Ara_Skirm_Three_Scorpio
	rom_nabatea_civil_war		Ara_Skirm_Three_Scorpio
	rom_nabatea_secession		Ara_Skirm_Three_Scorpio
	rom_baktria		Bac_Hillmen_Four
	rom_baktria_civil_war		Bac_Hillmen_Four
	rom_baktria_secession		Bac_Hillmen_Four
	rom_baktria		Bac_Horse_Archers
	rom_baktria_civil_war		Bac_Horse_Archers
	rom_baktria_secession		Bac_Horse_Archers
	rom_baktria		Bac_Royal_Cav
	rom_baktria_civil_war		Bac_Royal_Cav
	rom_baktria_secession		Bac_Royal_Cav
	rom_baktria		Bac_Royal_Guard
	rom_baktria_civil_war		Bac_Royal_Guard
	rom_baktria_secession		Bac_Royal_Guard
	emp_brigantes		Bri_Chariots
	emp_caledones		Bri_Chariots
	emp_corieltauvi		Bri_Chariots
	emp_demetae		Bri_Chariots
	emp_dumonii		Bri_Chariots
	emp_ebdani		Bri_Chariots
	emp_iceni		Bri_Chariots
	emp_iceni_civil_war		Bri_Chariots
	emp_iceni_secession		Bri_Chariots
	emp_rebel_briton		Bri_Chariots
	gaul_cantiaci		Bri_Chariots
	gaul_dumnonii		Bri_Chariots
	gaul_rebel_briton		Bri_Chariots
	rom_brigantes		Bri_Chariots
	rom_caledones		Bri_Chariots
	rom_demetae		Bri_Chariots
	rom_dumnonii		Bri_Chariots
	rom_ebdani		Bri_Chariots
	rom_iceni		Bri_Chariots
	rom_iceni_civil_war		Bri_Chariots
	rom_iceni_secession		Bri_Chariots
	rom_rebel_briton		Bri_Chariots
	emp_brigantes		Bri_Heroic_Nobles
	emp_caledones		Bri_Heroic_Nobles
	emp_corieltauvi		Bri_Heroic_Nobles
	emp_demetae		Bri_Heroic_Nobles
	emp_dumonii		Bri_Heroic_Nobles
	emp_ebdani		Bri_Heroic_Nobles
	emp_iceni		Bri_Heroic_Nobles
	emp_iceni_civil_war		Bri_Heroic_Nobles
	emp_iceni_secession		Bri_Heroic_Nobles
	emp_rebel_briton		Bri_Heroic_Nobles
	gaul_cantiaci		Bri_Heroic_Nobles
	gaul_dumnonii		Bri_Heroic_Nobles
	gaul_rebel_briton		Bri_Heroic_Nobles
	rom_brigantes		Bri_Heroic_Nobles
	rom_caledones		Bri_Heroic_Nobles
	rom_demetae		Bri_Heroic_Nobles
	rom_dumnonii		Bri_Heroic_Nobles
	rom_ebdani		Bri_Heroic_Nobles
	rom_iceni		Bri_Heroic_Nobles
