max_tier	technology_node_set	effect_bundle	min_tier
1	3c_british_military_campaign	3c_tech_module_campaign_1	0
3	3c_british_military_campaign	3c_tech_module_campaign_2	2
5	3c_british_military_campaign	3c_tech_module_campaign_3	4
1	3c_british_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_british_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_british_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_caledoni_civil_culture	3c_tech_module_culture_1	0
3	3c_caledoni_civil_culture	3c_tech_module_culture_2	2
5	3c_caledoni_civil_culture	3c_tech_module_culture_3	4
1	3c_caledoni_civil_economy	3c_tech_module_economy_1	0
3	3c_caledoni_civil_economy	3c_tech_module_economy_2	2
5	3c_caledoni_civil_economy	3c_tech_module_economy_3	4
1	3c_caledoni_civil_governance	3c_tech_module_governance_1	0
3	3c_caledoni_civil_governance	3c_tech_module_governance_2	2
5	3c_caledoni_civil_governance	3c_tech_module_governance_3	4
1	3c_caledoni_military_battle	3c_tech_module_battle_1	0
3	3c_caledoni_military_battle	3c_tech_module_battle_2	2
5	3c_caledoni_military_battle	3c_tech_module_battle_3	4
1	3c_caledoni_military_campaign	3c_tech_module_campaign_1	0
3	3c_caledoni_military_campaign	3c_tech_module_campaign_2	2
5	3c_caledoni_military_campaign	3c_tech_module_campaign_3	4
1	3c_caledoni_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_caledoni_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_caledoni_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_east_civil_culture	3c_tech_module_culture_1	0
3	3c_east_civil_culture	3c_tech_module_culture_2	2
5	3c_east_civil_culture	3c_tech_module_culture_3	4
1	3c_east_civil_economy	3c_tech_module_economy_1	0
3	3c_east_civil_economy	3c_tech_module_economy_2	2
5	3c_east_civil_economy	3c_tech_module_economy_3	4
1	3c_east_civil_governance	3c_tech_module_governance_1	0
3	3c_east_civil_governance	3c_tech_module_governance_2	2
5	3c_east_civil_governance	3c_tech_module_governance_3	4
1	3c_east_military_battle	3c_tech_module_battle_1	0
3	3c_east_military_battle	3c_tech_module_battle_2	2
5	3c_east_military_battle	3c_tech_module_battle_3	4
1	3c_east_military_campaign	3c_tech_module_campaign_1	0
3	3c_east_military_campaign	3c_tech_module_campaign_2	2
5	3c_east_military_campaign	3c_tech_module_campaign_3	4
1	3c_east_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_east_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_east_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_gallicemp_civil_culture	3c_tech_module_culture_1	0
3	3c_gallicemp_civil_culture	3c_tech_module_culture_2	2
5	3c_gallicemp_civil_culture	3c_tech_module_culture_3	4
1	3c_gallicemp_civil_economy	3c_tech_module_economy_1	0
3	3c_gallicemp_civil_economy	3c_tech_module_economy_2	2
5	3c_gallicemp_civil_economy	3c_tech_module_economy_3	4
1	3c_gallicemp_civil_governance	3c_tech_module_governance_1	0
3	3c_gallicemp_civil_governance	3c_tech_module_governance_2	2
5	3c_gallicemp_civil_governance	3c_tech_module_governance_3	4
1	3c_gallicemp_military_battle	3c_tech_module_battle_1	0
3	3c_gallicemp_military_battle	3c_tech_module_battle_2	2
5	3c_gallicemp_military_battle	3c_tech_module_battle_3	4
1	3c_gallicemp_military_campaign	3c_tech_module_campaign_1	0
3	3c_gallicemp_military_campaign	3c_tech_module_campaign_2	2
5	3c_gallicemp_military_campaign	3c_tech_module_campaign_3	4
1	3c_gallicemp_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_gallicemp_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_gallicemp_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_germanic_civil_culture	3c_tech_module_culture_1	0
3	3c_germanic_civil_culture	3c_tech_module_culture_2	2
5	3c_germanic_civil_culture	3c_tech_module_culture_3	4
1	3c_germanic_civil_economy	3c_tech_module_economy_1	0
3	3c_germanic_civil_economy	3c_tech_module_economy_2	2
5	3c_germanic_civil_economy	3c_tech_module_economy_3	4
1	3c_germanic_civil_governance	3c_tech_module_governance_1	0
3	3c_germanic_civil_governance	3c_tech_module_governance_2	2
5	3c_germanic_civil_governance	3c_tech_module_governance_3	4
1	3c_germanic_military_battle	3c_tech_module_battle_1	0
3	3c_germanic_military_battle	3c_tech_module_battle_2	2
5	3c_germanic_military_battle	3c_tech_module_battle_3	4
1	3c_germanic_military_campaign	3c_tech_module_campaign_1	0
3	3c_germanic_military_campaign	3c_tech_module_campaign_2	2
5	3c_germanic_military_campaign	3c_tech_module_campaign_3	4
1	3c_germanic_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_germanic_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_germanic_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_gothi_civil_culture	3c_tech_module_culture_1	0
3	3c_gothi_civil_culture	3c_tech_module_culture_2	2
5	3c_gothi_civil_culture	3c_tech_module_culture_3	4
1	3c_gothi_civil_economy	3c_tech_module_economy_1	0
3	3c_gothi_civil_economy	3c_tech_module_economy_2	2
5	3c_gothi_civil_economy	3c_tech_module_economy_3	4
1	3c_gothi_civil_governance	3c_tech_module_governance_1	0
3	3c_gothi_civil_governance	3c_tech_module_governance_2	2
5	3c_gothi_civil_governance	3c_tech_module_governance_3	4
1	3c_gothi_military_battle	3c_tech_module_battle_1	0
3	3c_gothi_military_battle	3c_tech_module_battle_2	2
5	3c_gothi_military_battle	3c_tech_module_battle_3	4
1	3c_gothi_military_campaign	3c_tech_module_campaign_1	0
3	3c_gothi_military_campaign	3c_tech_module_campaign_2	2
5	3c_gothi_military_campaign	3c_tech_module_campaign_3	4
1	3c_gothi_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_gothi_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_gothi_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_marcomanni_civil_culture	3c_tech_module_culture_1	0
3	3c_marcomanni_civil_culture	3c_tech_module_culture_2	2
5	3c_marcomanni_civil_culture	3c_tech_module_culture_3	4
1	3c_marcomanni_civil_economy	3c_tech_module_economy_1	0
3	3c_marcomanni_civil_economy	3c_tech_module_economy_2	2
5	3c_marcomanni_civil_economy	3c_tech_module_economy_3	4
1	3c_marcomanni_civil_governance	3c_tech_module_governance_1	0
3	3c_marcomanni_civil_governance	3c_tech_module_governance_2	2
5	3c_marcomanni_civil_governance	3c_tech_module_governance_3	4
1	3c_marcomanni_military_battle	3c_tech_module_battle_1	0
3	3c_marcomanni_military_battle	3c_tech_module_battle_2	2
5	3c_marcomanni_military_battle	3c_tech_module_battle_3	4
1	3c_marcomanni_military_campaign	3c_tech_module_campaign_1	0
3	3c_marcomanni_military_campaign	3c_tech_module_campaign_2	2
5	3c_marcomanni_military_campaign	3c_tech_module_campaign_3	4
1	3c_marcomanni_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_marcomanni_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_marcomanni_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_nomad_civil_culture	3c_tech_module_culture_1	0
3	3c_nomad_civil_culture	3c_tech_module_culture_2	2
5	3c_nomad_civil_culture	3c_tech_module_culture_3	4
1	3c_nomad_civil_economy	3c_tech_module_economy_1	0
3	3c_nomad_civil_economy	3c_tech_module_economy_2	2
5	3c_nomad_civil_economy	3c_tech_module_economy_3	4
1	3c_nomad_civil_governance	3c_tech_module_governance_1	0
3	3c_nomad_civil_governance	3c_tech_module_governance_2	2
5	3c_nomad_civil_governance	3c_tech_module_governance_3	4
1	3c_nomad_military_battle	3c_tech_module_battle_1	0
3	3c_nomad_military_battle	3c_tech_module_battle_2	2
5	3c_nomad_military_battle	3c_tech_module_battle_3	4
1	3c_nomad_military_campaign	3c_tech_module_campaign_1	0
3	3c_nomad_military_campaign	3c_tech_module_campaign_2	2
5	3c_nomad_military_campaign	3c_tech_module_campaign_3	4
1	3c_nomad_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_nomad_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_nomad_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_palmyra_civil_culture	3c_tech_module_culture_1	0
3	3c_palmyra_civil_culture	3c_tech_module_culture_2	2
5	3c_palmyra_civil_culture	3c_tech_module_culture_3	4
1	3c_palmyra_civil_economy	3c_tech_module_economy_1	0
3	3c_palmyra_civil_economy	3c_tech_module_economy_2	2
5	3c_palmyra_civil_economy	3c_tech_module_economy_3	4
1	3c_palmyra_civil_governance	3c_tech_module_governance_1	0
3	3c_palmyra_civil_governance	3c_tech_module_governance_2	2
5	3c_palmyra_civil_governance	3c_tech_module_governance_3	4
1	3c_palmyra_military_battle	3c_tech_module_battle_1	0
3	3c_palmyra_military_battle	3c_tech_module_battle_2	2
5	3c_palmyra_military_battle	3c_tech_module_battle_3	4
1	3c_palmyra_military_campaign	3c_tech_module_campaign_1	0
3	3c_palmyra_military_campaign	3c_tech_module_campaign_2	2
5	3c_palmyra_military_campaign	3c_tech_module_campaign_3	4
1	3c_palmyra_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_palmyra_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_palmyra_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_rome_civil_culture	3c_tech_module_culture_1	0
3	3c_rome_civil_culture	3c_tech_module_culture_2	2
5	3c_rome_civil_culture	3c_tech_module_culture_3	4
1	3c_rome_civil_economy	3c_tech_module_economy_1	0
3	3c_rome_civil_economy	3c_tech_module_economy_2	2
5	3c_rome_civil_economy	3c_tech_module_economy_3	4
1	3c_rome_civil_governance	3c_tech_module_governance_1	0
3	3c_rome_civil_governance	3c_tech_module_governance_2	2
5	3c_rome_civil_governance	3c_tech_module_governance_3	4
1	3c_rome_military_battle	3c_tech_module_battle_1	0
3	3c_rome_military_battle	3c_tech_module_battle_2	2
5	3c_rome_military_battle	3c_tech_module_battle_3	4
1	3c_rome_military_campaign	3c_tech_module_campaign_1	0
3	3c_rome_military_campaign	3c_tech_module_campaign_2	2
5	3c_rome_military_campaign	3c_tech_module_campaign_3	4
1	3c_rome_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_rome_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_rome_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_rome_n_civil_culture	3c_tech_module_culture_1	0
3	3c_rome_n_civil_culture	3c_tech_module_culture_2	2
5	3c_rome_n_civil_culture	3c_tech_module_culture_3	4
1	3c_rome_n_civil_economy	3c_tech_module_economy_1	0
3	3c_rome_n_civil_economy	3c_tech_module_economy_2	2
5	3c_rome_n_civil_economy	3c_tech_module_economy_3	4
1	3c_rome_n_civil_governance	3c_tech_module_governance_1	0
3	3c_rome_n_civil_governance	3c_tech_module_governance_2	2
5	3c_rome_n_civil_governance	3c_tech_module_governance_3	4
1	3c_rome_n_military_battle	3c_tech_module_battle_1	0
3	3c_rome_n_military_battle	3c_tech_module_battle_2	2
5	3c_rome_n_military_battle	3c_tech_module_battle_3	4
1	3c_rome_n_military_campaign	3c_tech_module_campaign_1	0
3	3c_rome_n_military_campaign	3c_tech_module_campaign_2	2
5	3c_rome_n_military_campaign	3c_tech_module_campaign_3	4
1	3c_rome_n_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_rome_n_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_rome_n_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_sassanid_civil_culture	3c_tech_module_culture_1	0
3	3c_sassanid_civil_culture	3c_tech_module_culture_2	2
5	3c_sassanid_civil_culture	3c_tech_module_culture_3	4
1	3c_sassanid_civil_economy	3c_tech_module_economy_1	0
3	3c_sassanid_civil_economy	3c_tech_module_economy_2	2
5	3c_sassanid_civil_economy	3c_tech_module_economy_3	4
1	3c_sassanid_civil_governance	3c_tech_module_governance_1	0
3	3c_sassanid_civil_governance	3c_tech_module_governance_2	2
5	3c_sassanid_civil_governance	3c_tech_module_governance_3	4
1	3c_sassanid_military_battle	3c_tech_module_battle_1	0
3	3c_sassanid_military_battle	3c_tech_module_battle_2	2
5	3c_sassanid_military_battle	3c_tech_module_battle_3	4
1	3c_sassanid_military_campaign	3c_tech_module_campaign_1	0
3	3c_sassanid_military_campaign	3c_tech_module_campaign_2	2
5	3c_sassanid_military_campaign	3c_tech_module_campaign_3	4
1	3c_sassanid_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_sassanid_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_sassanid_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_saxoni_military_battle	3c_tech_module_battle_1	0
3	3c_saxoni_military_battle	3c_tech_module_battle_2	2
5	3c_saxoni_military_battle	3c_tech_module_battle_3	4
1	3c_saxoni_military_campaign	3c_tech_module_campaign_1	0
3	3c_saxoni_military_campaign	3c_tech_module_campaign_2	2
5	3c_saxoni_military_campaign	3c_tech_module_campaign_3	4
1	3c_saxoni_military_recruitment	3c_tech_module_military_recruitment_1	0
3	3c_saxoni_military_recruitment	3c_tech_module_military_recruitment_2	2
5	3c_saxoni_military_recruitment	3c_tech_module_military_recruitment_3	4
1	3c_saxons_civil_culture	3c_tech_module_culture_1	0
3	3c_saxons_civil_culture	3c_tech_module_culture_2	2
5	3c_saxons_civil_culture	3c_tech_module_culture_3	4
1	3c_saxons_civil_economy	3c_tech_module_economy_1	0
3	3c_saxons_civil_economy	3c_tech_module_economy_2	2
5	3c_saxons_civil_economy	3c_tech_module_economy_3	4
1	3c_saxons_civil_governance	3c_tech_module_governance_1	0
3	3c_saxons_civil_governance	3c_tech_module_governance_2	2
5	3c_saxons_civil_governance	3c_tech_module_governance_3	4
1	dk_kush_civil_construction	rom_tech_module_construction_1	0
3	dk_kush_civil_construction	rom_tech_module_construction_2	2
5	dk_kush_civil_construction	rom_tech_module_construction_3	4
1	dk_kush_civil_economy	rom_tech_module_economy_1	0
3	dk_kush_civil_economy	rom_tech_module_economy_2	2
5	dk_kush_civil_economy	rom_tech_module_economy_3	4
1	dk_kush_civil_philosophy	rom_tech_module_philosophy_1	0
3	dk_kush_civil_philosophy	rom_tech_module_philosophy_2	2
5	dk_kush_civil_philosophy	rom_tech_module_philosophy_3	4
1	dk_kush_military_management	rom_tech_module_management_1	0
3	dk_kush_military_management	rom_tech_module_management_2	2
5	dk_kush_military_management	rom_tech_module_management_3	4
1	dk_kush_military_siege	rom_tech_module_siege_1	0
3	dk_kush_military_siege	rom_tech_module_siege_2	2
5	dk_kush_military_siege	rom_tech_module_siege_3	4
1	dk_kush_military_tactics	rom_tech_module_tactics_1	0
3	dk_kush_military_tactics	rom_tech_module_tactics_2	2
5	dk_kush_military_tactics	rom_tech_module_tactics_3	4
1	dk_nab_civil_construction	rom_tech_module_construction_1	0
3	dk_nab_civil_construction	rom_tech_module_construction_2	2
5	dk_nab_civil_construction	rom_tech_module_construction_3	4
1	dk_nab_civil_economy	rom_tech_module_economy_1	0
3	dk_nab_civil_economy	rom_tech_module_economy_2	2
5	dk_nab_civil_economy	rom_tech_module_economy_3	4
1	dk_nab_civil_philosophy	rom_tech_module_philosophy_1	0
3	dk_nab_civil_philosophy	rom_tech_module_philosophy_2	2
5	dk_nab_civil_philosophy	rom_tech_module_philosophy_3	4
1	dk_nab_military_management	rom_tech_module_management_1	0
3	dk_nab_military_management	rom_tech_module_management_2	2
5	dk_nab_military_management	rom_tech_module_management_3	4
1	dk_nab_military_siege	rom_tech_module_siege_1	0
3	dk_nab_military_siege	rom_tech_module_siege_2	2
5	dk_nab_military_siege	rom_tech_module_siege_3	4
1	dk_nab_military_tactics	rom_tech_module_tactics_1	0
3	dk_nab_military_tactics	rom_tech_module_tactics_2	2
5	dk_nab_military_tactics	rom_tech_module_tactics_3	4
1	dk_num_civil_construction	rom_tech_module_construction_1	0
3	dk_num_civil_construction	rom_tech_module_construction_2	2
5	dk_num_civil_construction	rom_tech_module_construction_3	4
1	dk_num_civil_economy	rom_tech_module_economy_1	0
3	dk_num_civil_economy	rom_tech_module_economy_2	2
5	dk_num_civil_economy	rom_tech_module_economy_3	4
1	dk_num_civil_philosophy	rom_tech_module_philosophy_1	0
3	dk_num_civil_philosophy	rom_tech_module_philosophy_2	2
5	dk_num_civil_philosophy	rom_tech_module_philosophy_3	4
1	dk_num_military_management	rom_tech_module_management_1	0
3	dk_num_military_management	rom_tech_module_management_2	2
5	dk_num_military_management	rom_tech_module_management_3	4
1	dk_num_military_siege	rom_tech_module_siege_1	0
3	dk_num_military_siege	rom_tech_module_siege_2	2
5	dk_num_military_siege	rom_tech_module_siege_3	4
1	dk_num_military_tactics	rom_tech_module_tactics_1	0
3	dk_num_military_tactics	rom_tech_module_tactics_2	2
5	dk_num_military_tactics	rom_tech_module_tactics_3	4
1	dk_saba_civil_construction	rom_tech_module_construction_1	0
3	dk_saba_civil_construction	rom_tech_module_construction_2	2
5	dk_saba_civil_construction	rom_tech_module_construction_3	4
1	dk_saba_civil_economy	rom_tech_module_economy_1	0
3	dk_saba_civil_economy	rom_tech_module_economy_2	2
5	dk_saba_civil_economy	rom_tech_module_economy_3	4
1	dk_saba_civil_philosophy	rom_tech_module_philosophy_1	0
3	dk_saba_civil_philosophy	rom_tech_module_philosophy_2	2
5	dk_saba_civil_philosophy	rom_tech_module_philosophy_3	4
1	dk_saba_military_management	rom_tech_module_management_1	0
3	dk_saba_military_management	rom_tech_module_management_2	2
5	dk_saba_military_management	rom_tech_module_management_3	4
1	dk_saba_military_siege	rom_tech_module_siege_1	0
3	dk_saba_military_siege	rom_tech_module_siege_2	2
5	dk_saba_military_siege	rom_tech_module_siege_3	4
1	dk_saba_military_tactics	rom_tech_module_tactics_1	0
3	dk_saba_military_tactics	rom_tech_module_tactics_2	2
5	dk_saba_military_tactics	rom_tech_module_tactics_3	4
1	inv_etruscan_civil_piety	inv_tech_module_order_1	0
3	inv_etruscan_civil_piety	inv_tech_module_order_2	2
5	inv_etruscan_civil_piety	inv_tech_module_order_3	4
1	inv_etruscan_civil_productivity	inv_tech_module_food_1	0
3	inv_etruscan_civil_productivity	inv_tech_module_food_2	2
5	inv_etruscan_civil_productivity	inv_tech_module_food_3	4
1	inv_etruscan_civil_prosperity	inv_tech_module_culture_1	0
3	inv_etruscan_civil_prosperity	inv_tech_module_culture_2	2
5	inv_etruscan_civil_prosperity	inv_tech_module_culture_3	4
1	inv_etruscan_military_dominance	inv_tech_module_navy_slots_1	0
3	inv_etruscan_military_dominance	inv_tech_module_navy_slots_2	2
5	inv_etruscan_military_dominance	inv_tech_module_navy_slots_3	4
1	inv_etruscan_military_strategy	inv_tech_module_map_range_1	0
3	inv_etruscan_military_strategy	inv_tech_module_map_range_2	2
5	inv_etruscan_military_strategy	inv_tech_module_map_range_3	4
1	inv_etruscan_military_strength	inv_tech_module_replenishment_1	0
3	inv_etruscan_military_strength	inv_tech_module_replenishment_2	2
5	inv_etruscan_military_strength	inv_tech_module_replenishment_3	4
1	inv_insubres_civil_piety	inv_tech_module_order_1	0
3	inv_insubres_civil_piety	inv_tech_module_order_2	2
5	inv_insubres_civil_piety	inv_tech_module_order_3	4
1	inv_insubres_civil_productivity	inv_tech_module_food_1	0
3	inv_insubres_civil_productivity	inv_tech_module_food_2	2
5	inv_insubres_civil_productivity	inv_tech_module_food_3	4
1	inv_insubres_civil_prosperity	inv_tech_module_culture_1	0
3	inv_insubres_civil_prosperity	inv_tech_module_culture_2	2
5	inv_insubres_civil_prosperity	inv_tech_module_culture_3	4
1	inv_insubres_military_dominance	inv_tech_module_replenishment_1	0
3	inv_insubres_military_dominance	inv_tech_module_replenishment_2	2
5	inv_insubres_military_dominance	inv_tech_module_replenishment_3	4
1	inv_insubres_military_strategy	inv_tech_module_map_range_1	0
3	inv_insubres_military_strategy	inv_tech_module_map_range_2	2
5	inv_insubres_military_strategy	inv_tech_module_map_range_3	4
1	inv_insubres_military_strength	inv_tech_module_charge_inf_1	0
3	inv_insubres_military_strength	inv_tech_module_charge_inf_2	2
5	inv_insubres_military_strength	inv_tech_module_charge_inf_3	4
1	inv_iolei_civil_piety	inv_tech_module_order_1	0
3	inv_iolei_civil_piety	inv_tech_module_order_2	2
5	inv_iolei_civil_piety	inv_tech_module_order_3	4
1	inv_iolei_civil_productivity	inv_tech_module_food_1	0
3	inv_iolei_civil_productivity	inv_tech_module_food_2	2
5	inv_iolei_civil_productivity	inv_tech_module_food_3	4
1	inv_iolei_civil_prosperity	inv_tech_module_culture_1	0
3	inv_iolei_civil_prosperity	inv_tech_module_culture_2	2
5	inv_iolei_civil_prosperity	inv_tech_module_culture_3	4
1	inv_iolei_military_dominance	inv_tech_module_replenishment_1	0
3	inv_iolei_military_dominance	inv_tech_module_replenishment_2	2
5	inv_iolei_military_dominance	inv_tech_module_replenishment_3	4
1	inv_iolei_military_strategy	inv_tech_module_map_range_1	0
3	inv_iolei_military_strategy	inv_tech_module_map_range_2	2
5	inv_iolei_military_strategy	inv_tech_module_map_range_3	4
1	inv_iolei_military_strength	inv_tech_module_fire_rate_1	0
3	inv_iolei_military_strength	inv_tech_module_fire_rate_2	2
5	inv_iolei_military_strength	inv_tech_module_fire_rate_3	4
1	inv_roman_civil_via_labos	inv_tech_module_food_1	0
3	inv_roman_civil_via_labos	inv_tech_module_food_2	2
5	inv_roman_civil_via_labos	inv_tech_module_food_3	4
1	inv_roman_civil_via_magisterium	inv_tech_module_order_1	0
3	inv_roman_civil_via_magisterium	inv_tech_module_order_2	2
5	inv_roman_civil_via_magisterium	inv_tech_module_order_3	4
1	inv_roman_civil_via_vitae	inv_tech_module_culture_1	0
3	inv_roman_civil_via_vitae	inv_tech_module_culture_2	2
5	inv_roman_civil_via_vitae	inv_tech_module_culture_3	4
1	inv_roman_military_via_dominatae	inv_tech_module_replenishment_1	0
3	inv_roman_military_via_dominatae	inv_tech_module_replenishment_2	2
5	inv_roman_military_via_dominatae	inv_tech_module_replenishment_3	4
1	inv_roman_military_via_exercitae	inv_tech_module_exp_infantry_1	0
3	inv_roman_military_via_exercitae	inv_tech_module_exp_infantry_2	2
5	inv_roman_military_via_exercitae	inv_tech_module_exp_infantry_3	4
1	inv_roman_military_via_strategematum	inv_tech_module_map_range_1	0
3	inv_roman_military_via_strategematum	inv_tech_module_map_range_2	2
5	inv_roman_military_via_strategematum	inv_tech_module_map_range_3	4
1	inv_samnites_civil_via_labos	inv_tech_module_food_1	0
3	inv_samnites_civil_via_labos	inv_tech_module_food_2	2
5	inv_samnites_civil_via_labos	inv_tech_module_food_3	4
1	inv_samnites_civil_via_magisterium	inv_tech_module_order_1	0
3	inv_samnites_civil_via_magisterium	inv_tech_module_order_2	2
5	inv_samnites_civil_via_magisterium	inv_tech_module_order_3	4
1	inv_samnites_civil_via_vitae	inv_tech_module_culture_1	0
3	inv_samnites_civil_via_vitae	inv_tech_module_culture_2	2
5	inv_samnites_civil_via_vitae	inv_tech_module_culture_3	4
1	inv_samnites_military_via_dominatae	inv_tech_module_replenishment_1	0
3	inv_samnites_military_via_dominatae	inv_tech_module_replenishment_2	2
5	inv_samnites_military_via_dominatae	inv_tech_module_replenishment_3	4
1	inv_samnites_military_via_exercitae	inv_tech_module_attack_swords_1	0
3	inv_samnites_military_via_exercitae	inv_tech_module_attack_swords_2	2
5	inv_samnites_military_via_exercitae	inv_tech_module_attack_swords_3	4
1	inv_samnites_military_via_strategematum	inv_tech_module_map_range_1	0
3	inv_samnites_military_via_strategematum	inv_tech_module_map_range_2	2
5	inv_samnites_military_via_strategematum	inv_tech_module_map_range_3	4
1	inv_senones_civil_piety	inv_tech_module_order_1	0
3	inv_senones_civil_piety	inv_tech_module_order_2	2
5	inv_senones_civil_piety	inv_tech_module_order_3	4
1	inv_senones_civil_productivity	inv_tech_module_food_1	0
3	inv_senones_civil_productivity	inv_tech_module_food_2	2
5	inv_senones_civil_productivity	inv_tech_module_food_3	4
1	inv_senones_civil_prosperity	inv_tech_module_culture_1	0
3	inv_senones_civil_prosperity	inv_tech_module_culture_2	2
5	inv_senones_civil_prosperity	inv_tech_module_culture_3	4
1	inv_senones_military_dominance	inv_tech_module_replenishment_1	0
3	inv_senones_military_dominance	inv_tech_module_replenishment_2	2
5	inv_senones_military_dominance	inv_tech_module_replenishment_3	4
1	inv_senones_military_strategy	inv_tech_module_map_range_1	0
3	inv_senones_military_strategy	inv_tech_module_map_range_2	2
5	inv_senones_military_strategy	inv_tech_module_map_range_3	4
1	inv_senones_military_strength	inv_tech_module_damage_inf_1	0
3	inv_senones_military_strength	inv_tech_module_damage_inf_2	2
5	inv_senones_military_strength	inv_tech_module_damage_inf_3	4
1	inv_syracuse_civil_diacheirisy	inv_tech_module_order_1	0
