event	source	target	turns_ago
TRESSPASSING	gaul_arverni	gaul_bituriges	2
BATTLE_ATTACK	gaul_arverni	gaul_lemovices	10
TRESSPASSING	gaul_arverni	gaul_lemovices	10
TRESSPASSING	gaul_arverni	gaul_lemovices	5
STATE_GIFT_MEDIUM	gaul_arverni	gaul_rome	12
BATTLE_ATTACK	gaul_arverni	gaul_vocontii	3
STATE_GIFT_SMALL	gaul_arverni	gaul_vocontii	3
TROOPS_ENSLAVED	gaul_arverni	gaul_vocontii	2
STATE_GIFT_LARGE	gaul_atrebates	gaul_belgae	5
TRESSPASSING	gaul_atrebates	gaul_bellovaci	1
STATE_GIFT_MEDIUM	gaul_atrebates	gaul_nervii	5
NON_AGGRESSION_PACT	gaul_atrebates	gaul_suessiones	100
NON_AGGRESSION_PACT_BROKEN	gaul_atrebates	gaul_suessiones	1
TRESSPASSING	gaul_atrebates	gaul_suessiones	1
TRESSPASSING	gaul_atrebates	gaul_suessiones	4
BATTLE_ATTACK	gaul_ausci	gaul_volcae	2
TRESSPASSING	gaul_ausci	gaul_volcae	3
STATE_GIFT_LARGE	gaul_belgae	gaul_atrebates	5
STATE_GIFT_MEDIUM	gaul_belgae	gaul_unelli	4
HOSTILE_AGENT_ACTION	gaul_bellovaci	gaul_atrebates	4
TRESSPASSING	gaul_bellovaci	gaul_atrebates	3
TRESSPASSING	gaul_bituriges	gaul_arverni	11
TRESSPASSING	gaul_bituriges	gaul_arverni	2
TRESSPASSING	gaul_bituriges	gaul_lemovices	2
TRESSPASSING	gaul_bituriges	gaul_lemovices	5
STATE_GIFT_MEDIUM	gaul_bituriges	gaul_senones	2
HOSTILE_AGENT_ACTION	gaul_bituriges	gaul_turones	3
RAIDING	gaul_bituriges	gaul_turones	3
RAIDING	gaul_bituriges	gaul_turones	4
RAIDING	gaul_bituriges	gaul_turones	5
TRESSPASSING	gaul_bituriges	gaul_turones	6
TRESSPASSING	gaul_cadurci	gaul_rome	2
HOSTILE_AGENT_ACTION	gaul_carnutes	gaul_lexovii	2
TRESSPASSING	gaul_carnutes	gaul_lexovii	6
HOSTILE_AGENT_ACTION	gaul_carnutes	gaul_senones	8
TRESSPASSING	gaul_carnutes	gaul_senones	4
TRESSPASSING	gaul_carnutes	gaul_senones	5
STATE_GIFT_MEDIUM	gaul_carnutes	gaul_turones	2
BATTLE_ATTACK	gaul_cenomani	gaul_redones	3
BATTLE_ATTACK	gaul_cenomani	gaul_redones	5
TRESSPASSING	gaul_cenomani	gaul_redones	7
RAIDING	gaul_dumnonii	gaul_unelli	2
RAIDING	gaul_dumnonii	gaul_unelli	5
STATE_GIFT_MEDIUM	gaul_eburones	gaul_morini	5
TRESSPASSING	gaul_helvetii	gaul_aedui	1
TRESSPASSING	gaul_helvetii	gaul_pictones	2
TRESSPASSING	gaul_helvetii	gaul_pictones	8
STATE_GIFT_MEDIUM	gaul_helvetii	gaul_sequani	2
STATE_GIFT_SMALL	gaul_helvetii	gaul_sequani	4
STATE_GIFT_MEDIUM	gaul_helvetii	gaul_tulingi	1
TRESSPASSING	gaul_lemovices	gaul_arverni	10
TRESSPASSING	gaul_lemovices	gaul_arverni	2
HOSTILE_AGENT_ACTION	gaul_lemovices	gaul_bituriges	3
RAIDING	gaul_lemovices	gaul_bituriges	4
TRESSPASSING	gaul_lemovices	gaul_bituriges	4
TRESSPASSING	gaul_lemovices	gaul_bituriges	5
STATE_GIFT_SMALL	gaul_lemovices	gaul_vivisci	1
TRESSPASSING	gaul_lexovii	gaul_carnutes	4
TRESSPASSING	gaul_lexovii	gaul_carnutes	8
HOSTILE_AGENT_ACTION	gaul_mediomatrici	gaul_nemetes	5
TRESSPASSING	gaul_mediomatrici	gaul_nemetes	1
STATE_GIFT_MEDIUM	gaul_morini	gaul_eburones	3
STATE_GIFT_MEDIUM	gaul_namnetes	gaul_pictones	2
HOSTILE_AGENT_ACTION	gaul_namnetes	gaul_senones	2
HOSTILE_AGENT_ACTION	gaul_namnetes	gaul_senones	6
TRESSPASSING	gaul_namnetes	gaul_senones	5
HOSTILE_AGENT_ACTION	gaul_nemetes	gaul_mediomatrici	1
TRESSPASSING	gaul_nemetes	gaul_mediomatrici	5
STATE_GIFT_MEDIUM	gaul_nervii	gaul_atrebates	5
TRESSPASSING	gaul_nervii	gaul_remi	1
TRESSPASSING	gaul_nervii	gaul_remi	10
TRESSPASSING	gaul_nervii	gaul_remi	2
TRESSPASSING	gaul_nervii	gaul_treverii	1
TRESSPASSING	gaul_nervii	gaul_treverii	10
TRESSPASSING	gaul_nervii	gaul_treverii	2
HOSTILE_AGENT_ACTION	gaul_osismii	gaul_veneti	5
TRESSPASSING	gaul_osismii	gaul_veneti	5
HOSTILE_AGENT_ACTION	gaul_pictones	gaul_helvetii	5
TRESSPASSING	gaul_pictones	gaul_helvetii	10
STATE_GIFT_MEDIUM	gaul_pictones	gaul_namnetes	1
BATTLE_ATTACK	gaul_pictones	gaul_turones	4
BATTLE_ATTACK	gaul_pictones	gaul_turones	8
TRESSPASSING	gaul_pictones	gaul_turones	5
HOSTILE_AGENT_ACTION	gaul_pictones	gaul_veneti	1
TRESSPASSING	gaul_pictones	gaul_veneti	1
TRESSPASSING	gaul_raurici	gaul_suebi	5
TRESSPASSING	gaul_raurici	gaul_suebi	7
BATTLE_ATTACK	gaul_redones	gaul_cenomani	2
BATTLE_ATTACK	gaul_redones	gaul_cenomani	4
TRESSPASSING	gaul_redones	gaul_cenomani	6
TRESSPASSING	gaul_remi	gaul_nervii	1
TRESSPASSING	gaul_remi	gaul_nervii	10
STATE_GIFT_LARGE	gaul_remi	gaul_rome	10
HOSTILE_AGENT_ACTION	gaul_remi	gaul_senones	3
TRESSPASSING	gaul_remi	gaul_senones	6
TRESSPASSING	gaul_remi	gaul_suessiones	15
STATE_GIFT_LARGE	gaul_rome	gaul_aedui	1
STATE_GIFT_MEDIUM	gaul_rome	gaul_allobroges	22
TRESSPASSING	gaul_rome	gaul_allobroges	15
STATE_GIFT_MEDIUM	gaul_rome	gaul_arverni	15
HOSTILE_AGENT_ACTION	gaul_rome	gaul_cadurci	10
NON_AGGRESSION_PACT	gaul_rome	gaul_cadurci	100
NON_AGGRESSION_PACT_BROKEN	gaul_rome	gaul_cadurci	2
TRESSPASSING	gaul_rome	gaul_cadurci	3
STATE_GIFT_SMALL	gaul_rome	gaul_massilia	5
STATE_GIFT_LARGE	gaul_rome	gaul_remi	5
STATE_GIFT_LARGE	gaul_rome	gaul_sequani	5
STATE_GIFT_SMALL	gaul_rome	gaul_sequani	4
STATE_GIFT_MEDIUM	gaul_rome	gaul_vocontii	5
TRESSPASSING	gaul_rome	gaul_vocontii	10
STATE_GIFT_MEDIUM	gaul_senones	gaul_bituriges	3
HOSTILE_AGENT_ACTION	gaul_senones	gaul_carnutes	1
HOSTILE_AGENT_ACTION	gaul_senones	gaul_carnutes	2
HOSTILE_AGENT_ACTION	gaul_senones	gaul_carnutes	3
HOSTILE_AGENT_ACTION	gaul_senones	gaul_namnetes	3
TRADE_AGREEMENT	gaul_senones	gaul_namnetes	100
TRADE_AGREEMENT_BROKEN	gaul_senones	gaul_namnetes	2
HOSTILE_AGENT_ACTION	gaul_senones	gaul_remi	10
TRADE_AGREEMENT	gaul_senones	gaul_remi	100
TRADE_AGREEMENT_BROKEN	gaul_senones	gaul_remi	5
TRESSPASSING	gaul_senones	gaul_remi	2
STATE_GIFT_MEDIUM	gaul_sequani	gaul_helvetii	3
STATE_GIFT_SMALL	gaul_sequani	gaul_helvetii	5
STATE_GIFT_MEDIUM	gaul_sequani	gaul_rome	5
STATE_GIFT_MEDIUM	gaul_sotiates	gaul_tarbelli	2
BATTLE_ATTACK	gaul_sotiates	gaul_vivisci	2
BATTLE_ATTACK	gaul_sotiates	gaul_vivisci	5
HOSTILE_AGENT_ACTION	gaul_sotiates	gaul_vivisci	4
HOSTILE_AGENT_ACTION	gaul_suebi	gaul_aedui	4
HOSTILE_AGENT_ACTION	gaul_suebi	gaul_aedui	5
BATTLE_ATTACK	gaul_suebi	gaul_raurici	5
TRESSPASSING	gaul_suebi	gaul_raurici	2
TRESSPASSING	gaul_suebi	gaul_raurici	5
STATE_GIFT_SMALL	gaul_suebi	gaul_treverii	5
TRADE_AGREEMENT	gaul_suessiones	gaul_atrebates	100
TRADE_AGREEMENT_BROKEN	gaul_suessiones	gaul_atrebates	2
TRESSPASSING	gaul_suessiones	gaul_atrebates	1
TRESSPASSING	gaul_suessiones	gaul_atrebates	2
TRESSPASSING	gaul_suessiones	gaul_remi	15
STATE_GIFT_MEDIUM	gaul_tarbelli	gaul_sotiates	3
TRESSPASSING	gaul_treverii	gaul_nervii	1
TRESSPASSING	gaul_treverii	gaul_nervii	10
STATE_GIFT_SMALL	gaul_treverii	gaul_suebi	5
STATE_GIFT_MEDIUM	gaul_tulingi	gaul_helvetii	5
HOSTILE_AGENT_ACTION	gaul_turones	gaul_bituriges	4
TRESSPASSING	gaul_turones	gaul_bituriges	2
STATE_GIFT_MEDIUM	gaul_turones	gaul_carnutes	3
BATTLE_ATTACK	gaul_turones	gaul_pictones	1
BATTLE_ATTACK	gaul_turones	gaul_pictones	3
STATE_GIFT_MEDIUM	gaul_unelli	gaul_belgae	5
TRESSPASSING	gaul_unelli	gaul_dumnonii	4
HOSTILE_AGENT_ACTION	gaul_veneti	gaul_osismii	5
TRESSPASSING	gaul_veneti	gaul_osismii	5
HOSTILE_AGENT_ACTION	gaul_veneti	gaul_pictones	10
TRESSPASSING	gaul_veneti	gaul_pictones	10
STATE_GIFT_SMALL	gaul_vivisci	gaul_lemovices	2
BATTLE_ATTACK	gaul_vivisci	gaul_sotiates	2
CITY_BESIEGED	gaul_vivisci	gaul_sotiates	5
HOSTILE_AGENT_ACTION	gaul_vivisci	gaul_sotiates	3
STATE_GIFT_MEDIUM	gaul_vocontii	gaul_arverni	5
TRESSPASSING	gaul_vocontii	gaul_arverni	12
HOSTILE_AGENT_ACTION	gaul_vocontii	gaul_rome	15
STATE_GIFT_MEDIUM	gaul_vocontii	gaul_rome	2
BATTLE_ATTACK	gaul_volcae	gaul_ausci	1
RAIDING	gaul_volcae	gaul_ausci	1
HOSTILE_AGENT_ACTION_TOWARDS_ALLY	gaul_volcae	gaul_massilia	20
TRESSPASSING	gaul_volcae	gaul_massilia	20
NON_AGGRESSION_PACT_PAST	inv_aequi	inv_marrucini	12
RAIDING	inv_aequi	inv_sabines	6
DIPLOMAT_CRITICAL_FAILURE	inv_agyrion	inv_syracuse	3
CITY_BESIEGED	inv_aleria	inv_corsi	8
RAIDING	inv_aleria	inv_tarchuna	3
RAIDING	inv_aleria	inv_tarchuna	4
TRESSPASSING	inv_aleria	inv_tarchuna	5
TROOPS_ENSLAVED	inv_aleria	inv_tarchuna	4
WAR_PAST	inv_aleria	inv_tarchuna	6
EXPANSIONISM	inv_aritim	inv_felathri	2
TRESSPASSING	inv_aritim	inv_felathri	2
RAIDING	inv_aritim	inv_umbri	4
DIPLOMAT_FAILURE	inv_aritim	inv_veii	10
NON_AGGRESSION_PACT_BROKEN	inv_aritim	inv_veii	1
DIPLOMAT_FAILURE	inv_bituriges	inv_insubres	5
STATE_GIFT_REFUSED	inv_bituriges	inv_insubres	3
RAIDING	inv_boii	inv_veneti	20
RAIDING	inv_boii	inv_viesul	2
RAIDING	inv_boii	inv_viesul	6
BATTLE_ATTACK	inv_carni	inv_raeti	4
BATTLE_ATTACK	inv_carnutes	inv_viesul	12
STATE_GIFT_SMALL	inv_carthage	inv_agyrion	2
BATTLE_ATTACK	inv_carthage	inv_balari	4
BATTLE_ATTACK	inv_carthage	inv_iolei	9
STATE_GIFT_SMALL	inv_carthage	inv_taranto	2
RAIDING	inv_corsi	inv_aleria	4
TRESSPASSING	inv_croton	inv_rhegion	5
BATTLE_ALLY_SUPPORT_REFUSED	inv_felathri	inv_aritim	1
STATE_GIFT_REFUSED	inv_felathri	inv_veii	2
DIPLOMAT_FAILURE	inv_insubres	inv_bituriges	6
STATE_GIFT_REFUSED	inv_insubres	inv_bituriges	4
BATTLE_SUPPORT	inv_insubres	inv_carnutes	12
DIPLOMAT_FAILURE	inv_insubres	inv_cenomani	10
WAR_PAST	inv_insubres	inv_lepontii	12
NON_AGGRESSION_PACT_PAST	inv_insubres	inv_ligures	12
STATE_GIFT_REFUSED	inv_insubres	inv_ligures	3
STATE_GIFT_REFUSED	inv_insubres	inv_raeti	10
BATTLE_ATTACK	inv_insubres	inv_viesul	12
BATTLE_SUPPORT	inv_iolei	inv_balari	4
BATTLE_ATTACK	inv_iolei	inv_carthage	7
TROOPS_ENSLAVED	inv_iolei	inv_carthage	16
TRADE_AGREEMENT_PAST	inv_iolei	inv_corsi	10
HOSTILE_AGENT_ACTION	inv_lepontii	inv_insubres	2
RAIDING	inv_picentes	inv_marrucini	2
TRADE_AGREEMENT_PAST	inv_picentes	inv_sabines	32
BATTLE_ATTACK	inv_raeti	inv_carni	3
TROOPS_ENSLAVED	inv_raeti	inv_carni	3
BATTLE_ATTACK	inv_raeti	inv_insubres	9
RAIDING	inv_raeti	inv_veneti	12
RAIDING	inv_raeti	inv_veneti	8
STATE_GIFT_REFUSED	inv_rhegion	inv_croton	6
CITY_BESIEGED	inv_rome	inv_aequi	12
RAIDING	inv_rome	inv_aequi	11
TRADE_AGREEMENT_PAST	inv_rome	inv_hernici	5
DIPLOMAT_FAILURE	inv_rome	inv_sabines	5
RAIDING	inv_rome	inv_sabines	10
STATE_GIFT_SMALL	inv_rome	inv_tarchuna	12
BATTLE_ATTACK	inv_rome	inv_veii	12
WAR_PAST	inv_rome	inv_volsci	12
WAR_PAST	inv_rome	inv_volsci	20
HOSTILE_AGENT_ACTION	inv_samnites	inv_aequi	6
NON_AGGRESSION_PACT_PAST	inv_samnites	inv_frentani	4
BATTLE_SUPPORT	inv_samnites	inv_paeligni	5
TRADE_AGREEMENT_PAST	inv_samnites	inv_paeligni	2
RAIDING	inv_samnites	inv_volsci	2
BATTLE_SUPPORT	inv_senones	inv_boii	4
RAIDING	inv_senones	inv_picentes	4
RAIDING	inv_senones	inv_picentes	6
RAIDING	inv_senones	inv_umbri	2
HOSTILE_AGENT_ACTION	inv_syracuse	inv_agyrion	2
DIPLOMAT_CRITICAL_FAILURE	inv_syracuse	inv_croton	3
BATTLE_ALLY_SUPPORT_REFUSED	inv_syracuse	inv_rhegion	4
NON_AGGRESSION_PACT_BROKEN	inv_syracuse	inv_taranto	6
STATE_GIFT_SMALL	inv_taranto	inv_croton	2
TRADE_AGREEMENT_PAST	inv_taranto	inv_neapolis	8
BATTLE_SUPPORT	inv_taranto	inv_rhegion	4
RAIDING	inv_tarchuna	inv_aleria	2
TRESSPASSING	inv_tarchuna	inv_aleria	4
TROOPS_EXECUTED	inv_tarchuna	inv_aleria	6
WAR_PAST	inv_tarchuna	inv_aleria	5
HOSTILE_AGENT_ACTION	inv_tarchuna	inv_aritim	2
STATE_GIFT_REFUSED	inv_tarchuna	inv_aritim	1
TRADE_AGREEMENT_PAST	inv_tarchuna	inv_carthage	12
DIPLOMAT_FAILURE	inv_tarchuna	inv_sabines	16
DIPLOMAT_FAILURE	inv_tarchuna	inv_umbri	2
ALLY_REFUSED_TO_JOIN_WAR	inv_tarchuna	inv_veii	2
CULTURAL_DIFFERENCES	inv_tarchuna	inv_veii	2
CULTURAL_DIFFERENCES	inv_tarchuna	inv_veii	4
DIPLOMAT_CRITICAL_FAILURE	inv_tarchuna	inv_veii	8
EXPANSIONISM	inv_tarchuna	inv_veii	3
MILITARY_ACCESS_BROKEN	inv_tarchuna	inv_veii	4
WAR_PAST	inv_tarchuna	inv_veii	12
HOSTILE_AGENT_ACTION	inv_umbri	inv_senones	1
DIPLOMAT_FAILURE	inv_umbri	inv_tarchuna	4
BATTLE_ALLY_SUPPORT_REFUSED	inv_veii	inv_aritim	8
TRADE_AGREEMENT_BROKEN	inv_veii	inv_aritim	1
DIPLOMAT_CRITICAL_FAILURE	inv_veii	inv_felathri	3
DIPLOMAT_CRITICAL_FAILURE	inv_veii	inv_sabines	3
CULTURAL_DIFFERENCES	inv_veii	inv_tarchuna	2
DIPLOMAT_CRITICAL_FAILURE	inv_veii	inv_tarchuna	5
MILITARY_ACCESS_BROKEN	inv_veii	inv_tarchuna	4
BATTLE_ATTACK	inv_veneti	inv_boii	30
DIPLOMAT_FAILURE	inv_veneti	inv_insubres	32
BATTLE_ATTACK	inv_veneti	inv_raeti	7
BATTLE_SUPPORT	inv_volsci	inv_aequi	8
MILITARY_ACCESS	inv_volsci	inv_aequi	16
RAIDING	inv_volsci	inv_hernici	6
WAR_PAST	inv_volsci	inv_rome	8
RAIDING	inv_volsci	inv_samnites	6
CITY_LOOTED	pel_athenai	pel_elis	1
TRESSPASSING	pel_athenai	pel_elis	1
WAR	pel_athenai	pel_elis	1
CITY_BESIEGED	pel_athenai	pel_ionian	20
EXPANSIONISM	pel_athenai	pel_korinthos	1
EXPANSIONISM	pel_athenai	pel_sparta	1
EXPANSIONISM	pel_korinthos	pel_athenai	1
WAR	pel_korinthos	pel_athenai	1
WAR	pel_korinthos	pel_korkyra	1
HOSTILE_AGENT_ACTION	pun_allobroges	pun_massilia	15
HOSTILE_AGENT_ACTION	pun_allobroges	pun_massilia	9
TRESSPASSING	pun_allobroges	pun_massilia	8
RAIDING	pun_arevaci	pun_oretani	20
STATE_GIFT_MEDIUM	pun_arevaci	pun_vaccaei	5
STATE_GIFT_SMALL	pun_arevaci	pun_vascones	20
HOSTILE_AGENT_ACTION	pun_boii	pun_etruscan	11
TRESSPASSING	pun_boii	pun_etruscan	16
BATTLE_ATTACK	pun_boii	pun_rome	5
CITY_BESIEGED	pun_boii	pun_rome	50
RAIDING	pun_boii	pun_rome	50
TRESSPASSING	pun_boii	pun_rome	5
TRESSPASSING	pun_boii	pun_veneti	18
TRESSPASSING	pun_boii	pun_veneti	20
TRESSPASSING	pun_cantrabri	pun_astures	25
STATE_GIFT_SMALL	pun_cantrabri	pun_vascones	20
TRESSPASSING	pun_carpetani	pun_arevaci	15
BATTLE_ATTACK	pun_carpetani	pun_vettones	10
TRESSPASSING	pun_carthage	pun_arevaci	12
TRESSPASSING	pun_carthage	pun_arevaci	9
BATTLE_ATTACK	pun_carthage	pun_celtici	8
BATTLE_ATTACK	pun_carthage	pun_cessetani	5
HOSTILE_AGENT_ACTION	pun_carthage	pun_cessetani	7
HOSTILE_AGENT_ACTION	pun_carthage	pun_emporion	5
TRESSPASSING	pun_carthage	pun_emporion	12
BATTLE_SUPPORT	pun_carthage	pun_gaetuli	19
BATTLE_ATTACK	pun_carthage	pun_illercavones	5
HOSTILE_AGENT_ACTION	pun_carthage	pun_illercavones	12
HOSTILE_AGENT_ACTION	pun_carthage	pun_illercavones	7
TROOPS_ENSLAVED	pun_carthage	pun_illercavones	5
BATTLE_ATTACK	pun_carthage	pun_libya	25
CITY_BESIEGED	pun_carthage	pun_libya	25
TRESSPASSING	pun_carthage	pun_masaesyli	20
STATE_GIFT_MEDIUM	pun_carthage	pun_massyli	5
