bonus_value_id	effect	unit_set
morale	rom_building_unit_training_morale_light_inf_global	infantry_units_light
cost_mod	rom_faction_trait_black_sea_pergmamon_military_underdogs	all_units_regulars
morale	rom_faction_trait_carthage_barcid_loyal_troops	all_units_mercenary
upkeep_mod	rom_faction_trait_carthage_core_mercenaries	all_units_mercenary
cost_mod	rom_faction_trait_carthage_hannonid_military_underdogs	all_units_regulars
upkeep_mod	rom_faction_trait_carthage_magonid_military_reforms	all_units_auxiliary
upkeep_mod	rom_faction_trait_carthage_magonid_military_reforms	all_units_regulars
unit_xp_mod	rom_faction_trait_carthage_magonid_phoenician_prowess	naval_all
unit_xp_mod	rom_faction_trait_celtiberian_core_cavalry	cavalry_units
upkeep_mod	rom_faction_trait_daco_thracian_core_warrior_society	all_units_mercenary
accuracy_mod	rom_faction_trait_desert_kush_land_of_the_bow	missile_units_bows
reload	rom_faction_trait_desert_numidia_cavalry	cavalry_units
cost_mod	rom_faction_trait_eastern_armenia_landlocked	naval_all
cost_mod	rom_faction_trait_eastern_parthia_cavalry_new	cavalry_units
unit_xp_mod	rom_faction_trait_eastern_parthia_cavalry	cavalry_units
melee_attack_mod	rom_faction_trait_gallic_core_horsemanship_new	cavalry_units
unit_xp_mod	rom_faction_trait_gallic_core_horsemanship	cavalry_units
cost_mod	rom_faction_trait_gallic_galatia_isolated	all_units_regulars
cost_mod	rom_faction_trait_greek_athens_military_decline	all_units_regulars
unit_xp_mod	rom_faction_trait_greek_athens_naval_prowess	naval_units_hellenic
unit_xp_mod	rom_faction_trait_greek_sparta_spartiate	infantry_units_spartan
unit_xp_mod	rom_faction_trait_nomadic_core_horsemanship	cavalry_units
unit_xp_mod	rom_faction_trait_odrysia_deadly_aim	missile_units
upkeep_mod	rom_faction_trait_rome_cornelia_all_will_serve	all_units_auxiliary
unit_xp_mod	rom_faction_trait_successor_egypt_naval_prowess	naval_units_egyptian
charge_bonus	rom_faction_trait_successor_macedon_thessalian_pride	cavalry_units
unit_xp_mod	rom_faction_trait_tylis_live_sword	infantry_units
cost_mod	rom_force_campaign_mod_recruitment_cost_auxiliary	all_units_auxiliary
cost_mod	rom_force_campaign_mod_recruitment_cost_cavalry	cavalry_units
cost_mod	rom_force_campaign_mod_recruitment_cost_infantry	infantry_units
cost_mod	rom_force_campaign_mod_recruitment_cost_native	inv_native_units
cost_mod	rom_force_campaign_mod_recruitment_cost_naval	naval_all
cost_mod	rom_force_campaign_mod_recruitment_cost_non_merc	all_units_auxiliary
cost_mod	rom_force_campaign_mod_recruitment_cost_non_merc	all_units_regulars
accuracy_mod	rom_force_unit_mod_artillery_damage	all_land_artillery
melee_defence_mod	rom_force_unit_mod_artillery_melee_defence	artillery_units
shield_defence_mod	rom_force_unit_mod_artillery_melee_defence	artillery_units
range_mod	rom_force_unit_mod_artillery_range	artillery_units
reload	rom_force_unit_mod_artillery_rate	artillery_units
accuracy_mod	rom_force_unit_mod_artillery_ship_damage	naval_units_artillery
reload	rom_force_unit_mod_artillery_ship_missile_rate	naval_units_artillery
melee_damage_mod	rom_force_unit_mod_assault_ship_melee_damage	naval_units_assault
melee_attack_mod	rom_force_unit_mod_auxiliary_melee_attack	all_units_auxiliary
melee_defence_mod	rom_force_unit_mod_auxiliary_melee_defence	all_units_auxiliary
shield_defence_mod	rom_force_unit_mod_auxiliary_melee_defence	all_units_auxiliary
reload	rom_force_unit_mod_auxiliary_missile_rate	all_units_auxiliary
accuracy_mod	rom_force_unit_mod_bows_missile_damage	missile_units_bows
range_mod	rom_force_unit_mod_bows_missile_range	missile_units_bows
reload	rom_force_unit_mod_bows_missile_rate	missile_units_bows
charge_bonus	rom_force_unit_mod_cavalry_charge_bonus	cavalry_units
melee_attack_mod	rom_force_unit_mod_cavalry_heavy_melee_attack	cavalry_units_heavy
melee_defence_mod	rom_force_unit_mod_cavalry_heavy_melee_defence	cavalry_units_heavy
shield_defence_mod	rom_force_unit_mod_cavalry_heavy_melee_defence	cavalry_units_heavy
reload	rom_force_unit_mod_cavalry_heavy_missile_rate	cavalry_units_heavy
charge_bonus	rom_force_unit_mod_cavalry_hellenic_charge_bonus	cavalry_units_hellenic
melee_attack_mod	rom_force_unit_mod_cavalry_hellenic_melee_attack	cavalry_units_hellenic
melee_defence_mod	rom_force_unit_mod_cavalry_hellenic_melee_defence	cavalry_units_hellenic
shield_defence_mod	rom_force_unit_mod_cavalry_hellenic_melee_defence	cavalry_units_hellenic
melee_attack_mod	rom_force_unit_mod_cavalry_light_melee_attack	cavalry_units_light
melee_defence_mod	rom_force_unit_mod_cavalry_light_melee_defence	cavalry_units_light
shield_defence_mod	rom_force_unit_mod_cavalry_light_melee_defence	cavalry_units_light
range_mod	rom_force_unit_mod_cavalry_light_missile_range	cavalry_units_light
reload	rom_force_unit_mod_cavalry_light_missile_rate	cavalry_units_light
mod_land_movement_battle	rom_force_unit_mod_cavalry_light_movement_speed	cavalry_units_light
melee_attack_mod	rom_force_unit_mod_cavalry_melee_attack	cavalry_units
melee_defence_mod	rom_force_unit_mod_cavalry_melee_defence	cavalry_units
shield_defence_mod	rom_force_unit_mod_cavalry_melee_defence	cavalry_units
range_mod	rom_force_unit_mod_cavalry_missile_range	cavalry_units
reload	rom_force_unit_mod_cavalry_missile_rate	cavalry_units
morale	rom_force_unit_mod_cavalry_morale	cavalry_units
charge_bonus	rom_force_unit_mod_chariot_charge_bonus	chariots
unit_xp_mod	rom_force_unit_mod_experience_base_artillery	all_land_artillery
unit_xp_mod	rom_force_unit_mod_experience_base_cavalry	cavalry_units
unit_xp_mod	rom_force_unit_mod_experience_base_infantry	infantry_units
unit_xp_mod	rom_force_unit_mod_experience_base_naval	naval_all
unit_xp_mod	rom_force_unit_mod_experience_base_ships_artillery	naval_units_artillery
unit_xp_mod	rom_force_unit_mod_experience_base_ships_assault	naval_units_assault
unit_xp_mod	rom_force_unit_mod_experience_base_ships_support	naval_units_support
unit_xp_mod	rom_force_unit_mod_experience_base	all_units
ship_health_mod	rom_force_unit_mod_hull_armour	naval_all
charge_bonus	rom_force_unit_mod_infantry_charge_bonus	infantry_units
melee_attack_mod	rom_force_unit_mod_infantry_heavy_melee_attack	infantry_units_heavy
melee_damage_mod	rom_force_unit_mod_infantry_heavy_melee_damage	infantry_units_heavy
melee_defence_mod	rom_force_unit_mod_infantry_heavy_melee_defence	infantry_units_heavy
shield_defence_mod	rom_force_unit_mod_infantry_heavy_melee_defence	infantry_units_heavy
reload	rom_force_unit_mod_infantry_heavy_missile_rate	infantry_units_heavy
charge_bonus	rom_force_unit_mod_infantry_hellenic_charge_bonus	infantry_units_hellenic
melee_attack_mod	rom_force_unit_mod_infantry_hellenic_melee_attack	infantry_units_hellenic
melee_defence_mod	rom_force_unit_mod_infantry_hellenic_melee_defence	infantry_units_hellenic
shield_defence_mod	rom_force_unit_mod_infantry_hellenic_melee_defence	infantry_units_hellenic
melee_defence_mod	rom_force_unit_mod_infantry_light_very_light_melee_defence	infantry_units_light
shield_defence_mod	rom_force_unit_mod_infantry_light_very_light_melee_defence	infantry_units_light
mod_land_movement_battle	rom_force_unit_mod_infantry_light_very_light_movement_speed	infantry_units_light
melee_attack_mod	rom_force_unit_mod_infantry_melee_attack	infantry_units
melee_defence_mod	rom_force_unit_mod_infantry_melee_defence	infantry_units
shield_defence_mod	rom_force_unit_mod_infantry_melee_defence	infantry_units
range_mod	rom_force_unit_mod_infantry_missile_range	infantry_units
reload	rom_force_unit_mod_infantry_missile_rate	infantry_units
morale	rom_force_unit_mod_infantry_morale	infantry_units
armour_mod	rom_force_unit_mod_infantry_spears_armour	infantry_units_spears
melee_attack_mod	rom_force_unit_mod_infantry_spears_melee_attack	infantry_units_spears
melee_defence_mod	rom_force_unit_mod_infantry_spears_melee_defence	infantry_units_spears
shield_defence_mod	rom_force_unit_mod_infantry_spears_melee_defence	infantry_units_spears
melee_damage_mod	rom_force_unit_mod_melee_damage	all_units
accuracy_mod	rom_force_unit_mod_missile_damage	all_units
range_mod	rom_force_unit_mod_missile_range_navy_missile_and_artillery	naval_ranged
range_mod	rom_force_unit_mod_missile_range	missile_units
morale	rom_force_unit_mod_morale_auxiliary	all_units_auxiliary
morale	rom_force_unit_mod_morale_mercenary	all_units_mercenary
morale	rom_force_unit_mod_morale_native	inv_native_units
mod_land_movement_battle	rom_force_unit_mod_movement_speed	all_units
ship_ram_damage_mod	rom_force_unit_mod_ramming_bonus	naval_all
melee_attack_mod	rom_force_unit_mod_spears_melee_attack	melee_units_spears
melee_damage_mod	rom_force_unit_mod_spears_melee_damage	melee_units_spears
melee_defence_mod	rom_force_unit_mod_spears_melee_defence	melee_units_spears
shield_defence_mod	rom_force_unit_mod_spears_melee_defence	melee_units_spears
accuracy_mod	rom_force_unit_mod_support_ship_missile_damage	naval_units_support
reload	rom_force_unit_mod_support_ship_missile_rate	naval_units_support
melee_damage_mod	rom_force_unit_mod_swords_melee_damage	melee_units_swords
melee_attack_mod	rom_force_unit_swords_mod_melee_attack	melee_units_swords
melee_defence_mod	rom_force_unit_swords_mod_melee_defence	melee_units_swords
shield_defence_mod	rom_force_unit_swords_mod_melee_defence	melee_units_swords
upkeep_mod	rom_general_force_mod_auxiliary_upkeep_costs	all_units_auxiliary
upkeep_mod	rom_general_force_mod_mercenary_upkeep_costs	all_units_mercenary
upkeep_mod	rom_general_force_mod_native_upkeep_costs	inv_native_units
upkeep_mod	rom_general_force_mod_non_merc_upkeep_costs	all_units_auxiliary
upkeep_mod	rom_general_force_mod_non_merc_upkeep_costs	all_units_regulars
general_aoe_mod	rom_general_mod_personal_aura_size	bodyguard_units_admirals
general_aoe_mod	rom_general_mod_personal_aura_size	bodyguard_units_generals
melee_damage_mod	rom_general_personal_mod_melee_damage	bodyguard_units_admirals
melee_damage_mod	rom_general_personal_mod_melee_damage	bodyguard_units_generals
accuracy_mod	rom_general_personal_mod_missile_damage	bodyguard_units_admirals
accuracy_mod	rom_general_personal_mod_missile_damage	bodyguard_units_generals
cost_mod	rom_province_initiative_roman_romanisation_base_aux_recruitment_cost	all_units_auxiliary
melee_attack_mod	rom_tech_engineering_siege_elephant_damage_mod	elephants
melee_damage_mod	rom_tech_engineering_siege_elephant_melee_defence_mod	elephants
morale	rom_tech_engineering_siege_elephant_morale_mod	elephants
cost_mod	rom_tech_engineering_siege_machine_cost_mod	all_land_artillery
armour_mod	rom_tech_engineering_siege_unlock_siege_machine_armour	all_land_artillery
cost_mod	rom_tech_military_management_chariot_cost_mod	chariots
upkeep_mod	rom_tech_military_management_chariot_upkeep_mod	chariots
melee_attack_mod	rom_tech_military_management_melee_infantry_attack_skill_mod	infantry_units_roman
upkeep_mod	rom_tech_military_management_mercenary_upkeep	all_units_mercenary
recruit_time_mod	rom_tech_military_navy_recruitment_mod	naval_all
accuracy_mod	rom_tech_military_navy_ship_artillary_accuracy_mod	naval_all
ship_health_mod	rom_tech_military_navy_ship_hp_mod	naval_all
accuracy_mod	rom_tech_military_tactics_accuracy_mod	all_land_units_exluding_artillery
accuracy_mod	rom_tech_military_tactics_accuracy_siege_mod	all_land_artillery
ship_ram_damage_mod	rom_tech_military_tactics_naval_charge_mod	naval_all
reload	rom_tech_military_tactics_reload_mod	all_land_units_exluding_artillery
reload	rom_tech_military_tactics_reload_ship_mod	naval_all
reload	rom_tech_military_tactics_reload_siege_mod	all_land_artillery
mod_land_movement_battle	rom_tech_military_tactics_run_speed_mod	all_land_units
cost_mod	rom_tech_module_engineering_siege	all_land_artillery
