ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localised_action_description	your_message_events_male	your_message_events_female	their_message_events_male	their_message_events_female	enabled_by_effect
hinder_character	champion	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Marksmanship	[[col:green]]Kills the target[[/col]] character from afar before they have a chance to react.	champion_yours_male_hinder_character_subterfuge	champion_yours_female_hinder_character_subterfuge	champion_theirs_male_hinder_character_subterfuge	champion_theirs_female_hinder_character_subterfuge	age_dummy_hide_action
hinder_character	champion	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	champion_action_hinder_character_success_critical	champion_action_failure_hinder_character	champion_action_failure_opportune_hinder_character	champion_action_hinder_character_success	Slaughter	[[col:green]]Kills the target[[/col]] character through swift and merciless brutality (zeal-based).	champion_yours_male_hinder_character_zeal	champion_yours_female_hinder_character_zeal	champion_theirs_male_hinder_character_zeal	champion_theirs_female_hinder_character_zeal	
hinder_province	champion	zeal	agent_action_champion_hinder_province_zeal_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Rile Populace	Wreaks [[col:green]]despair amongst the populace[[/col]] with small-scale military actions. (cunning-based)	champion_yours_male_hinder_province_zeal	champion_yours_female_hinder_province_zeal	champion_theirs_male_hinder_province_zeal	champion_theirs_female_hinder_province_zeal	
hinder_settlement	champion	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_champion_hinder_settlement_authority_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_champion_hinder_settlement_authority_success	Rally Slaves	[[col:green]]Intensifies servile disorder[[/col]] in the target settlement, leading to a slave revolt. Has a chance to cause an instant rebellion (authority-based).	champion_yours_male_hinder_settlement_authority	champion_yours_female_hinder_settlement_authority	champion_theirs_male_hinder_settlement_authority	champion_theirs_female_hinder_settlement_authority	age_agent_unlock_action_rally_slaves
hinder_settlement	champion	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_champion_hinder_settlement_subterfuge_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_champion_hinder_settlement_subterfuge_success	Raid	Causes [[col:green]]casualties[[/col]] across the target settlement's garrison (cunning-based).	champion_yours_male_hinder_settlement_subterfuge	champion_yours_female_hinder_settlement_subterfuge	champion_theirs_male_hinder_settlement_subterfuge	champion_theirs_female_hinder_settlement_subterfuge	
hinder_settlement	champion	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_champion_hinder_settlement_zeal_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_champion_hinder_settlement_zeal_success	Commit Arson	Causes [[col:green]]major damage[[/col]] to a single building in the target settlement. (zeal-based)	champion_yours_male_hinder_settlement_zeal	champion_yours_female_hinder_settlement_zeal	champion_theirs_male_hinder_settlement_zeal	champion_theirs_female_hinder_settlement_zeal	age_agent_unlock_action_arson
passive_ability	champion	zeal	agent_action_champion_passive_ability_zeal_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Adventuring	Acquires a [[col:green]]small amount of wealth[[/col]], increasing as the champion wanders further from friendly territory.	champion_yours_male_passive_ability_zeal	champion_yours_female_passive_ability_zeal	champion_theirs_male_passive_ability_zeal	champion_theirs_female_passive_ability_zeal	
assist_army	dignitary	authority	agent_action_dignitary_assist_army_authority_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Military Administration	[[col:green]]Increases the authority[[/col]] of the parent army's general and [[col:green]]reduces upkeep costs[[/col]]. (authority-based)	dignitary_yours_male_assist_army_authority	dignitary_yours_female_assist_army_authority	dignitary_theirs_male_assist_army_authority	dignitary_theirs_female_assist_army_authority	
assist_province	dignitary	authority	agent_action_dignitary_assist_province_authority_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Administration	Advises local officials, thereby [[col:green]]increasing tax rates[[/col]] while helping [[col:green]]protect local settlements against authoritarian agent actions[[/col]]. (cunning-based)	dignitary_yours_male_assist_province_authority	dignitary_yours_female_assist_province_authority	dignitary_theirs_male_assist_province_authority	dignitary_theirs_female_assist_province_authority	
hinder_agent	dignitary	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_authority_success	Recruit Agent	Manipulates the target agent into [[col:green]]joining your cause[[/col]]. (authority-based)	dignitary_yours_male_hinder_agent_authority	dignitary_yours_female_hinder_agent_authority	dignitary_theirs_male_hinder_agent_authority	dignitary_theirs_female_hinder_agent_authority	
hinder_agent	dignitary	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_subterfuge_success	Temptation	Manipulates the target agent into [[col:green]]joining your cause[[/col]] by exploiting to their greed and vanity.	dignitary_yours_male_hinder_agent_subterfuge	dignitary_yours_female_hinder_agent_subterfuge	dignitary_theirs_male_hinder_agent_subterfuge	dignitary_theirs_female_hinder_agent_subterfuge	age_dummy_hide_action
hinder_agent	dignitary	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_zeal_success	Coercion	Manipulates the target agent into [[col:green]]joining your cause[[/col]] by exploiting their fears and weaknesses.	dignitary_yours_male_hinder_agent_zeal	dignitary_yours_female_hinder_agent_zeal	dignitary_theirs_male_hinder_agent_zeal	dignitary_theirs_female_hinder_agent_zeal	age_dummy_hide_action
hinder_army	dignitary	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_dignitary_hinder_army_authority_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_dignitary_hinder_army_authority_success	Bribe Commander	Attempt to bribe the commander of an army, either making them [[col:green]]join your faction[[/col]] or have them killed by their troops. (authority-based)	dignitary_yours_male_hinder_army_authority	dignitary_yours_female_hinder_army_authority	dignitary_theirs_male_hinder_army_authority	dignitary_theirs_female_hinder_army_authority	age_agent_dignitary_unlock_bribe_general
hinder_army	dignitary	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_dignitary_hinder_army_subterfuge_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_dignitary_hinder_army_subterfuge_success	Bribe General	Attempt to bribe the general of an army, either making them join your faction or have them killed by their troops.	dignitary_yours_male_hinder_army_subterfuge	dignitary_yours_female_hinder_army_subterfuge	dignitary_theirs_male_hinder_army_subterfuge	dignitary_theirs_female_hinder_army_subterfuge	age_dummy_hide_action
hinder_army	dignitary	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_dignitary_hinder_army_zeal_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_dignitary_hinder_army_zeal_success	Bribe Unit	Attempt to [[col:green]]bribe a unit[[/col]] into disbanding from their army. Ineffective if there is only a general's bodyguard unit in the army. (zeal-based)	dignitary_yours_male_hinder_army_zeal	dignitary_yours_female_hinder_army_zeal	dignitary_theirs_male_hinder_army_zeal	dignitary_theirs_female_hinder_army_zeal	
hinder_character	dignitary	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Hire Assassins	[[col:green]]Kills the target[[/col]] character by putting a bounty on their head.	dignitary_yours_male_hinder_character_authority	dignitary_yours_female_hinder_character_authority	dignitary_theirs_male_hinder_character_authority	dignitary_theirs_female_hinder_character_authority	age_dummy_hide_action
hinder_character	dignitary	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_dignitary_hinder_character_subterfuge_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_dignitary_hinder_character_subterfuge_success	Blood Sacrifice	[[col:green]]Kills the target[[/col]] as a tribute to the gods, which raises the people's spirit and grants [[col:green]]public order[[/col]] in all provinces. (cunning-based)	dignitary_yours_male_hinder_character_subterfuge	dignitary_yours_female_hinder_character_subterfuge	dignitary_theirs_male_hinder_character_subterfuge	dignitary_theirs_female_hinder_character_subterfuge	age_agent_dignitary_unlock_blood_sacrifice
hinder_character	dignitary	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_dignitary_hinder_character_zeal_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_dignitary_hinder_character_zeal_success	Discredit	Slander and degrade an enemy agent or general, reducing their [[col:green]]attributes[[/col]]. (zeal-based)	dignitary_yours_male_hinder_character_zeal	dignitary_yours_female_hinder_character_zeal	dignitary_theirs_male_hinder_character_zeal	dignitary_theirs_female_hinder_character_zeal	age_agent_dignitary_unlock_discredit
hinder_province	dignitary	authority	agent_action_dignitary_hinder_province_authority_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Steal Income	Corrupts local officials, forcing them to give you [[col:green]]gold[[/col]] from the taxes in the settlement. The settlement's records do not reflect this, of course. (cunning-based)	dignitary_yours_male_hinder_province_authority	dignitary_yours_female_hinder_province_authority	dignitary_theirs_male_hinder_province_authority	dignitary_theirs_female_hinder_province_authority	
hinder_settlement	dignitary	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_dignitary_hinder_settlement_authority_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_dignitary_hinder_settlement_authority_success	Convert	Increase the presence of [[col:green]]your faction's culture[[/col]] within the target settlement. (authority-based)	dignitary_yours_male_hinder_settlement_authority	dignitary_yours_female_hinder_settlement_authority	dignitary_theirs_male_hinder_settlement_authority	dignitary_theirs_female_hinder_settlement_authority	age_agent_dignitary_unlock_convert
hinder_settlement	dignitary	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_dignitary_hinder_settlement_subterfuge_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_dignitary_hinder_settlement_subterfuge_success	Buy-off Merchants	[[col:green]]Impedes commerce[[/col]] in the target settlement.	dignitary_yours_male_hinder_settlement_subterfuge	dignitary_yours_female_hinder_settlement_subterfuge	dignitary_theirs_male_hinder_settlement_subterfuge	dignitary_theirs_female_hinder_settlement_subterfuge	age_dummy_hide_action
hinder_settlement	dignitary	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_dignitary_hinder_settlement_zeal_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_dignitary_hinder_settlement_zeal_success	Incite Unrest	[[col:green]]Spreads unhappiness[[/col]] in the target settlement, potentially driving the population to revolt. (zeal-based)	dignitary_yours_male_hinder_settlement_zeal	dignitary_yours_female_hinder_settlement_zeal	dignitary_theirs_male_hinder_settlement_zeal	dignitary_theirs_female_hinder_settlement_zeal	
passive_ability	dignitary	authority	agent_action_dignitary_passive_ability_authority_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Culture	Gradually [[col:green]]spreads your culture[[/col]] throughout the local province.\n[[col:yellow]]Ineffective where your culture is already dominant.[[/col]]	dignitary_yours_male_passive_ability_authority	dignitary_yours_female_passive_ability_authority	dignitary_theirs_male_passive_ability_authority	dignitary_theirs_female_passive_ability_authority	
assist_army	spy	subterfuge	agent_action_spy_assist_army_subterfuge_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Guide	Increases the [[col:green]]movement range[[/col]] of the parent army. (cunning-based)	spy_yours_male_assist_army_subterfuge	spy_yours_female_assist_army_subterfuge	spy_theirs_male_assist_army_subterfuge	spy_theirs_female_assist_army_subterfuge	
assist_province	spy	subterfuge	agent_action_spy_assist_province_subterfuge_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Counter-intelligence	Establishes a local spy network, improving the [[col:green]]chance of detecting hidden agents and armies[[/col]] in the area whilst [[col:green]]protecting local settlements from agent actions[[/col]]. (authority-based)	spy_yours_male_assist_province_subterfuge	spy_yours_female_assist_province_subterfuge	spy_theirs_male_assist_province_subterfuge	spy_theirs_female_assist_province_subterfuge	
hinder_agent	spy	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_agent_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_agent_authority_success	Persuasion	Manipulates the target agent into [[col:green]]joining your cause[[/col]] by appealing to their sense of reason.	spy_yours_male_hinder_agent_authority	spy_yours_female_hinder_agent_authority	spy_theirs_male_hinder_agent_authority	spy_theirs_female_hinder_agent_authority	age_dummy_hide_action
hinder_agent	spy	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_spy_hinder_agent_subterfuge_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_spy_hinder_agent_subterfuge_success	Steal	Robs the enemy agent blind, stealing [[col:green]]gold and an ancillary[[/col]], as well as reducing their [[col:green]]chance of success[[/col]]. (cunning-based)	spy_yours_male_hinder_agent_subterfuge	spy_yours_female_hinder_agent_subterfuge	spy_theirs_male_hinder_agent_subterfuge	spy_theirs_female_hinder_agent_subterfuge	age_spy_steal_unlock
hinder_agent	spy	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_spy_hinder_agent_zeal_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_spy_hinder_agent_zeal_success	Misdirection	Distracts an enemy agent from their mission, reducing [[col:green]]their movement[[/col]]. (zeal-based)	spy_yours_male_hinder_agent_zeal	spy_yours_female_hinder_agent_zeal	spy_theirs_male_hinder_agent_zeal	spy_theirs_female_hinder_agent_zeal	
hinder_army	spy	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_spy_hinder_army_authority_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_spy_hinder_army_authority_success	Destroy Ammunition	Burns arrows, rocks and other projectiles, reducing [[col:green]]the ammunition[[/col]] of all units in target army. (authority-based)	spy_yours_male_hinder_army_authority	spy_yours_female_hinder_army_authority	spy_theirs_male_hinder_army_authority	spy_theirs_female_hinder_army_authority	age_agent_unlock_action_burn_ammunition
hinder_army	spy	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_spy_hinder_army_subterfuge_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_spy_hinder_army_subterfuge_success	Sabotage Supplies	Reduces [[col:green]]movement range[[/col]] of an enemy army. (cunning-based)	spy_yours_male_hinder_army_subterfuge	spy_yours_female_hinder_army_subterfuge	spy_theirs_male_hinder_army_subterfuge	spy_theirs_female_hinder_army_subterfuge	
hinder_army	spy	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_army	agent_action_spy_hinder_army_zeal_success_critical	agent_action_all_failure_hinder_army	agent_action_all_failure_opportune_hinder_army	agent_action_spy_hinder_army_zeal_success	Wreck Baggage Train	[[col:green]]Reduces equipment bonuses[[/col]] for all units in the army.\n[[col:yellow]]Ineffective where units have no equipment bonuses.[[/col]]	spy_yours_male_hinder_army_zeal	spy_yours_female_hinder_army_zeal	spy_theirs_male_hinder_army_zeal	spy_theirs_female_hinder_army_zeal	age_dummy_hide_action
hinder_character	spy	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Solicit Traitor	[[col:green]]Kills the target[[/col]] character by manipulating somebody close to them.	spy_yours_male_hinder_character_authority	spy_yours_female_hinder_character_authority	spy_theirs_male_hinder_character_authority	spy_theirs_female_hinder_character_authority	age_dummy_hide_action
hinder_character	spy	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Poison	[[col:green]]Kills the target[[/col]] character by tainting their food or drink.	spy_yours_male_hinder_character_subterfuge	spy_yours_female_hinder_character_subterfuge	spy_theirs_male_hinder_character_subterfuge	spy_theirs_female_hinder_character_subterfuge	age_dummy_hide_action
hinder_character	spy	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_character	agent_action_all_hinder_character_success_critical	agent_action_all_failure_hinder_character	agent_action_all_failure_opportune_hinder_character	agent_action_all_hinder_character_success	Assassinate	[[col:green]]Kills the target[[/col]] character face to face.	spy_yours_male_hinder_character_zeal	spy_yours_female_hinder_character_zeal	spy_theirs_male_hinder_character_zeal	spy_theirs_female_hinder_character_zeal	age_spy_unlock_assassinate
hinder_province	spy	subterfuge	agent_action_spy_hinder_province_subterfuge_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Steal Food	Steals [[col:green]]food[[/col]] from the local region, adding it to your reserves and possibly causing starvation in enemy lands. (zeal-based)	spy_yours_male_hinder_province_subterfuge	spy_yours_female_hinder_province_subterfuge	spy_theirs_male_hinder_province_subterfuge	spy_theirs_female_hinder_province_subterfuge	
hinder_settlement	spy	authority	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_spy_hinder_settlement_authority_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_spy_hinder_settlement_authority_success	Reconnoitre	Reveals [[col:green]] as-yet undiscovered armies, settlements and/or agents[[/col]] belonging to the target army's faction. (authority-based)	spy_yours_male_hinder_settlement_authority	spy_yours_male_hinder_settlement_authority	spy_theirs_male_hinder_settlement_authority	spy_theirs_female_hinder_settlement_authority	
hinder_settlement	spy	subterfuge	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_spy_hinder_settlement_subterfuge_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_spy_hinder_settlement_subterfuge_success	Steal Food	Steals food from target settlement, selling it for a profit and potentially causing attrition.	spy_yours_male_hinder_settlement_subterfuge	spy_yours_female_hinder_settlement_subterfuge	spy_theirs_male_hinder_settlement_subterfuge	spy_theirs_female_hinder_settlement_subterfuge	age_dummy_hide_action
hinder_settlement	spy	zeal	dummy_cannot_fail	agent_action_all_failure_critical_hinder_province	agent_action_spy_hinder_settlement_zeal_success_critical	agent_action_all_failure_hinder_province	agent_action_all_failure_opportune_hinder_province	agent_action_spy_hinder_settlement_zeal_success	Commit Arson	Causes [[col:green]]major damage[[/col]] to a single building in the target settlement.	spy_yours_male_hinder_settlement_zeal	spy_yours_female_hinder_settlement_zeal	spy_theirs_male_hinder_settlement_zeal	spy_theirs_female_hinder_settlement_zeal	age_dummy_hide_action
passive_ability	spy	subterfuge	agent_action_spy_passive_ability_subterfuge_cannot_fail	dummy_failure_critical	dummy_success_critical	dummy_failure	dummy_failure_opportune	dummy_success	Infiltration	Allows [[col:green]]covert movement[[/col]] about the campaign map, unseen unless spotted by keen-eyed rivals.	spy_yours_male_passive_ability_subterfuge	spy_yours_female_passive_ability_subterfuge	spy_theirs_male_passive_ability_subterfuge	spy_theirs_female_passive_ability_subterfuge	
