key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate
cinematic_cart2_crate	generic	cinematic_cart2_crate	stone	20			100		false	0	true		false	false	1.0000
cinematic_cauldron	generic	cinematic_cauldron	stone	15			100		false	0	true		false	false	1.0000
cinematic_cauldron_seat	generic	cinematic_cauldron_seat	stone	15			100		false	0	true		false	false	1.0000
cinematic_chariot_quadriga	generic	cinematic_chariot_quadriga	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_colosseum	incidental	cinematic_colosseum	stone	10			100		false	0	true		false	false	1.0000
cinematic_column_large	generic	cinematic_column_large	stone	15			100		false	0	true		false	false	1.0000
cinematic_column_large2	generic	cinematic_column_large2	stone	15			100		false	0	true		false	false	1.0000
cinematic_column_large3	generic	cinematic_column_large3	stone	15			100		false	0	true		false	false	1.0000
cinematic_column_medium	generic	cinematic_column_medium	stone	15			100		false	0	true		false	false	1.0000
cinematic_column_small	generic	cinematic_column_small	stone	15			100		false	0	true		false	false	1.0000
cinematic_column_tiny	generic	cinematic_column_tiny	stone	15			100		false	0	true		false	false	1.0000
cinematic_couch_no_person	incidental	cinematic_couch_no_person	stone	10			100		false	0	true		false	false	1.0000
cinematic_deployable_barricade	generic	cinematic_deployable_barricade	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_eagle_standard	incidental	cinematic_eagle_standard	stone	10			100		false	0	true		false	false	1.0000
cinematic_eagle_standard_flag	incidental	cinematic_eagle_standard_flag	stone	10			100		false	0	true		false	false	1.0000
cinematic_eagle_standard_no_flag	incidental	cinematic_eagle_standard_no_flag	stone	10			100		false	0	true		false	false	1.0000
cinematic_eastern_funerary_slab	incidental	cinematic_eastern_funerary_slab	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_eastern_urn_plant	generic	cinematic_eastern_urn_plant	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_egyptian_bust	incidental	cinematic_egyptian_bust	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_elephant_pot	incidental	cinematic_elephant_pot	stone	15			100		false	0	true		false	false	1.0000
cinematic_fig	generic	cinematic_fig	stone	15			100		false	0	true		false	false	1.0000
cinematic_floor_tile_desert_forest_2	generic	cinematic_floor_tile_desert_forest_2	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_floor_tile_urban_0	generic	cinematic_floor_tile_urban_0	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_floor_tile_urban_2	generic	cinematic_floor_tile_urban_2	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_funeral_room_eastern	generic	cinematic_funeral_room_eastern	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_funeral_room_egyptian	generic	cinematic_funeral_room_egyptian	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_funeral_room_hellenistic	generic	cinematic_funeral_room_hellenistic	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_funeral_room_roman	generic	cinematic_funeral_room_roman	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_greek_temple	generic	cinematic_greek_temple	stone	15			100		false	0	true		false	false	1.0000
cinematic_greek_throne	incidental	cinematic_greek_throne	stone	15			100		false	0	true		false	false	1.0000
cinematic_hellenistic_funerary_couch	incidental	cinematic_hellenistic_funerary_couch	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_helmet_01	generic	cinematic_helmet_01	stone	15			100		false	0	true		false	false	1.0000
cinematic_helmet_02	generic	cinematic_helmet_02	stone	15			100		false	0	true		false	false	1.0000
cinematic_helmet_03	generic	cinematic_helmet_03	stone	15			100		false	0	true		false	false	1.0000
cinematic_helmet_04	generic	cinematic_helmet_04	stone	15			100		false	0	true		false	false	1.0000
cinematic_helmet_groups	generic	cinematic_helmet_groups	stone	15			100		false	0	true		false	false	1.0000
cinematic_ionic_column_gold_capital	incidental	cinematic_ionic_column_gold_capital	stone	15			100		false	0	true		false	false	1.0000
cinematic_lekythos	generic	cinematic_lekythos	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_pit	incidental	cinematic_pit	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_01	generic	cinematic_pot_01	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_02	generic	cinematic_pot_02	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_03	generic	cinematic_pot_03	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_04	generic	cinematic_pot_04	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_05	generic	cinematic_pot_05	stone	15			100		false	0	true		false	false	1.0000
cinematic_pot_06	generic	cinematic_pot_06	stone	15			100		false	0	true		false	false	1.0000
cinematic_ramses_ii_head	generic	cinematic_ramses_ii_head	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_rock_painted	generic	cinematic_rock_painted	stone	15			100		false	0	true		false	false	1.0000
cinematic_roman_bust_1	incidental	cinematic_roman_bust_1	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_roman_circumvallations_concave_destroyed	generic	cinematic_roman_circumvallations_concave_destroyed	stone	15			100		false	0	true		false	false	1.0000
cinematic_roman_colonnade_straight	generic	cinematic_roman_colonnade_straight	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_eagle_standard	generic	cinematic_roman_eagle_standard	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_flat_roof_2_storey_d	generic	cinematic_roman_flat_roof_2_storey_d	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_funerary_couch	generic	cinematic_roman_funerary_couch	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_lion_statue	incidental	cinematic_roman_lion_statue	stone	10		building	100		false	0	true		false	false	1.0000
cinematic_roman_senate	generic	cinematic_roman_senate	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_senate_int_and_ext	generic	cinematic_roman_senate_int_and_ext	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_senate_interior	generic	cinematic_roman_senate_interior	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_senate_interior_death_scene	generic	cinematic_roman_senate_interior_death_scene	stone	15			100		false	0	true		false	false	1.0000
cinematic_roman_senate_wallmap	generic	cinematic_roman_senate_wallmap	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_roman_temple_opendoors	generic	cinematic_roman_temple_opendoors	stone	15			100		false	0	true		false	false	1.0000
cinematic_scale_man_senator	generic	cinematic_scale_man_senator	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_scarecrow	generic	cinematic_scarecrow	stone	15			100		false	0	true		false	false	1.0000
cinematic_slave_gates_closed	generic	cinematic_slave_gates_closed	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_slave_mining_cart	generic	cinematic_slave_mining_cart	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_slave_mining_gold_rock	generic	cinematic_slave_mining_gold_rock	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_slave_mining_tunnel	generic	cinematic_slave_mining_tunnel	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_spartan_audience_room	incidental	cinematic_spartan_audience_room	stone	15			100		false	0	true		false	false	1.0000
cinematic_statue_of_augustus	generic	cinematic_statue_of_augustus	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_sticks_hanging_01	generic	cinematic_sticks_hanging_01	stone	15			100		false	0	true		false	false	1.0000
cinematic_sticks_hanging_02	generic	cinematic_sticks_hanging_02	stone	15			100		false	0	true		false	false	1.0000
cinematic_sticks_hanging_03	generic	cinematic_sticks_hanging_03	stone	15			100		false	0	true		false	false	1.0000
cinematic_sunset_sky_small	generic	cinematic_sunset_sky_small	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_tall_roman_candlestick	generic	cinematic_tall_roman_candlestick	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_torch_2	generic	cinematic_torch_2	stone	15			100		false	0	true		false	false	1.0000
cinematic_torch_jones	generic	cinematic_torch_jones	stone	15			100		false	0	true		false	false	1.0000
cinematic_torch_sconce	generic	cinematic_torch_sconce	stone	15		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_triumphal_arch	generic	cinematic_triumphal_arch	stone	100		building	500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_walkway	generic	cinematic_walkway	stone	15			100		false	0	true		false	false	1.0000
cinematic_wicker_man	incidental	cinematic_wicker_man	stone	15			100		false	0	true		false	false	1.0000
cinematic_wicker_man_ladder	incidental	cinematic_wicker_man_ladder	stone	15			100		false	0	true		false	false	1.0000
cinematic_wicker_man_plateform	incidental	cinematic_wicker_man_plateform	stone	15			100		false	0	true		false	false	1.0000
cinematic_wickerman_platform	generic	cinematic_wickerman_platform	stone	15			100		false	0	true		false	false	1.0000
cinematic_wind_chimes	generic	cinematic_wind_chimes	stone	15			100		false	0	true		false	false	1.0000
cinematic_wood_structure	generic	cinematic_wood_structure	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cinematic_wooden_cup	generic	cinematic_wooden_cup	stone	15			100		false	0	true		false	false	1.0000
cinematics_cleopatra_balcony	generic	cinematics_cleopatra_balcony	stone	15			500	placeholder.tga	false	0	true		false	false	1.0000
cliff	incidental	cliff	stone	10		building	100		false	0	true		false	false	1.0000
cliff02	incidental	cliff02	stone	10		building	100		false	0	true		false	false	1.0000
cliff_01_small_l	generic	cliff_01_small_l	stone	500			500	placeholder.tga	false	0	true		false	false	1.0000
cliff_01_small_m	generic	cliff_01_small_m	stone	500			500	placeholder.tga	false	0	true		false	false	1.0000
cliff_01_small_r	generic	cliff_01_small_r	stone	500			500	placeholder.tga	false	0	true		false	false	1.0000
colosseum_rope	generic	colosseum_rope	stone	500			500	placeholder.tga	false	0	true		false	false	1.0000
colossus_base_platform	generic	colossus_base_platform	stone	500			100		false	0	true		false	false	1.0000
crane	incidental	crane	wood	50		building	100		false	0	true		false	false	1.0000
crane_cinematics	incidental	crane_cinematics	stone	10		building	100		false	0	true		false	false	1.0000
crate	incidental	crate	wood	10		building	100		false	0	true		false	false	1.0000
dock_amphoras	incidental	dock_amphoras	stone	10		building	100		false	0	true		false	false	1.0000
dock_barrels	incidental	dock_barrels	wood	10		building	100		false	0	true		false	false	1.0000
dock_cargo_1	incidental	dock_cargo_1	wood	10		building	100		false	0	true		false	false	1.0000
dock_cargo_2	incidental	dock_cargo_2	wood	10		building	100		false	0	true		false	false	1.0000
dock_cargo_3	incidental	dock_cargo_3	stone	10		building	100		false	0	true		false	false	1.0000
dock_corner_concav_1	ground_platform	dock_corner_concav_1	stone	500		building	100		false	0	true		false	false	1.0000
dock_corner_convex_1	ground_platform	dock_corner_convex_1	stone	500		building	100		false	0	true		false	false	1.0000
dock_end_left	ground_platform	dock_end_left	stone	500		building	100		false	0	true		false	false	1.0000
dock_end_right	ground_platform	dock_end_right	stone	500		building	100		false	0	true		false	false	1.0000
dock_fishing_shed_1	generic	dock_fishing_shed_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_fishing_shed_2	generic	dock_fishing_shed_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_fishing_shed_3	generic	dock_fishing_shed_3	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_fishing_shed_platform_1	generic	dock_fishing_shed_platform_1	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_fishing_shed_platform_2	generic	dock_fishing_shed_platform_2	wood	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_offset_left_1	ground_platform	dock_offset_left_1	stone	500		building	100		false	0	true		false	false	1.0000
dock_offset_left_2	ground_platform	dock_offset_left_2	stone	500		building	100		false	0	true		false	false	1.0000
dock_offset_right_1	ground_platform	dock_offset_right_1	stone	500		building	100		false	0	true		false	false	1.0000
dock_offset_right_2	ground_platform	dock_offset_right_2	stone	500		building	100		false	0	true		false	false	1.0000
dock_ship_shed_large	generic	dock_ship_shed_large	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_ship_shed_small	generic	dock_ship_shed_small	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_straight_1	ground_platform	dock_straight_1	stone	500		building	100		false	0	true		false	false	1.0000
dock_straight_2	ground_platform	dock_straight_2	stone	500		building	100		false	0	true		false	false	1.0000
dock_straight_3	ground_platform	dock_straight_3	stone	500		building	100		false	0	true		false	false	1.0000
dock_straight_4	ground_platform	dock_straight_4	stone	500		building	100		false	0	true		false	false	1.0000
dock_straight_5	ground_platform	dock_straight_5	stone	500		building	100		false	0	true		false	false	1.0000
dock_warehouse_1	generic	dock_warehouse_1	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_warehouse_2	generic	dock_warehouse_2	stone	500		building	500	placeholder.tga	false	0	true		false	false	1.0000
dock_wood_1	incidental	dock_wood_1	wood	10		building	100		false	0	true		false	false	1.0000
dock_wood_2	incidental	dock_wood_2	wood	10		building	100		false	0	true		false	false	1.0000
dock_wood_3	incidental	dock_wood_3	wood	10		building	100		false	0	true		false	false	1.0000
eastern_marchingcamp_equipment01	incidental	eastern_marchingcamp_equipment01	stone	10		building	100		false	0	true		false	false	1.0000
eastern_marchingcamp_table	incidental	eastern_marchingcamp_table	wood	10		building	100		false	0	true		false	false	1.0000
egyptian_city_building_1	generic	egyptian_city_building_1	stone	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
egyptian_city_building_2	generic	egyptian_city_building_2	stone	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
egyptian_city_building_3	generic	egyptian_city_building_3	stone	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
egyptian_city_building_4	generic	egyptian_city_building_4	stone	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
egyptian_city_building_5	generic	egyptian_city_building_5	stone	200		building	500	placeholder.tga	false	0	true		false	false	1.0000
