effect	bonus_value_id	agent
rom_agent_action_cost_mod	action_cost_mod	champion
rom_agent_action_cost_mod	action_cost_mod	dignitary
rom_agent_action_cost_mod	action_cost_mod	spy
rom_agent_action_failure_chance_critical_mod_enemy_hinder_agent	critical_failure_mod_hinder_agent_opponent	champion
rom_agent_action_failure_chance_critical_mod_enemy_hinder_agent	critical_failure_mod_hinder_agent_opponent	dignitary
rom_agent_action_failure_chance_critical_mod_enemy_hinder_agent	critical_failure_mod_hinder_agent_opponent	spy
rom_agent_action_failure_chance_critical_mod_enemy_hinder_character	critical_failure_mod_hinder_character_opponent	champion
rom_agent_action_failure_chance_critical_mod_enemy_hinder_character	critical_failure_mod_hinder_character_opponent	dignitary
rom_agent_action_failure_chance_critical_mod_enemy_hinder_character	critical_failure_mod_hinder_character_opponent	spy
rom_agent_action_failure_chance_critical_mod_hinder_agent	critical_failure_mod_hinder_agent	champion
rom_agent_action_failure_chance_critical_mod_hinder_agent	critical_failure_mod_hinder_agent	dignitary
rom_agent_action_failure_chance_critical_mod_hinder_agent	critical_failure_mod_hinder_agent	spy
rom_agent_action_failure_chance_critical_mod_hinder_character	critical_failure_mod_hinder_character	champion
rom_agent_action_failure_chance_critical_mod_hinder_character	critical_failure_mod_hinder_character	dignitary
rom_agent_action_failure_chance_critical_mod_hinder_character	critical_failure_mod_hinder_character	spy
rom_agent_action_failure_chance_critical_mod	critical_failure_mod	champion
rom_agent_action_failure_chance_critical_mod	critical_failure_mod	dignitary
rom_agent_action_failure_chance_critical_mod	critical_failure_mod	spy
rom_agent_action_success_chance_critical_mod_enemy_champion_hinder_agent	success_mod_opponent_hinder_agent	champion
rom_agent_action_success_chance_critical_mod_enemy_champion_hinder_character	success_mod_opponent_hinder_character	champion
rom_agent_action_success_chance_critical_mod_enemy_dignitary_hinder_agent	success_mod_opponent_hinder_agent	dignitary
rom_agent_action_success_chance_critical_mod_enemy_dignitary_hinder_character	success_mod_opponent_hinder_character	dignitary
rom_agent_action_success_chance_critical_mod_enemy_hinder_agent	critical_success_mod_hinder_agent_opponent	champion
rom_agent_action_success_chance_critical_mod_enemy_hinder_agent	critical_success_mod_hinder_agent_opponent	dignitary
rom_agent_action_success_chance_critical_mod_enemy_hinder_agent	critical_success_mod_hinder_agent_opponent	spy
rom_agent_action_success_chance_critical_mod_enemy_hinder_character	critical_success_mod_hinder_character_opponent	champion
rom_agent_action_success_chance_critical_mod_enemy_hinder_character	critical_success_mod_hinder_character_opponent	dignitary
rom_agent_action_success_chance_critical_mod_enemy_hinder_character	critical_success_mod_hinder_character_opponent	spy
rom_agent_action_success_chance_critical_mod_enemy_spy_hinder_agent	success_mod_opponent_hinder_agent	spy
rom_agent_action_success_chance_critical_mod_enemy_spy_hinder_character	success_mod_opponent_hinder_character	spy
rom_agent_action_success_chance_critical_mod_hinder_agent	critical_success_mod_hinder_agent	champion
rom_agent_action_success_chance_critical_mod_hinder_agent	critical_success_mod_hinder_agent	dignitary
rom_agent_action_success_chance_critical_mod_hinder_agent	critical_success_mod_hinder_agent	spy
rom_agent_action_success_chance_critical_mod_hinder_character	critical_success_mod_hinder_character	champion
rom_agent_action_success_chance_critical_mod_hinder_character	critical_success_mod_hinder_character	dignitary
rom_agent_action_success_chance_critical_mod_hinder_character	critical_success_mod_hinder_character	spy
rom_agent_action_success_chance_critical_mod	critical_success_mod	champion
rom_agent_action_success_chance_critical_mod	critical_success_mod	dignitary
rom_agent_action_success_chance_critical_mod	critical_success_mod	spy
rom_agent_action_success_chance_mod_enemy	success_mod_opponent	champion
rom_agent_action_success_chance_mod_enemy	success_mod_opponent	dignitary
rom_agent_action_success_chance_mod_enemy	success_mod_opponent	spy
rom_agent_action_success_chance_mod_hinder_agent	success_mod_opponent_hinder_agent	champion
rom_agent_action_success_chance_mod_hinder_agent	success_mod_opponent_hinder_agent	dignitary
rom_agent_action_success_chance_mod_hinder_agent	success_mod_opponent_hinder_agent	spy
rom_agent_action_success_chance_mod_hinder_character	success_mod_opponent_hinder_character	champion
rom_agent_action_success_chance_mod_hinder_character	success_mod_opponent_hinder_character	dignitary
rom_agent_action_success_chance_mod_hinder_character	success_mod_opponent_hinder_character	spy
rom_agent_action_success_chance_mod	success_mod	champion
rom_agent_action_success_chance_mod	success_mod	dignitary
rom_agent_action_success_chance_mod	success_mod	spy
rom_agent_attribute_authority_mod	attribute_authority_mod	champion
rom_agent_attribute_authority_mod	attribute_authority_mod	dignitary
rom_agent_attribute_authority_mod	attribute_authority_mod	general
rom_agent_attribute_authority_mod	attribute_authority_mod	spy
rom_agent_attribute_subterfuge_mod	attribute_subterfuge_mod	champion
rom_agent_attribute_subterfuge_mod	attribute_subterfuge_mod	dignitary
rom_agent_attribute_subterfuge_mod	attribute_subterfuge_mod	general
rom_agent_attribute_subterfuge_mod	attribute_subterfuge_mod	spy
rom_agent_attribute_zeal_mod	attribute_zeal_mod	champion
rom_agent_attribute_zeal_mod	attribute_zeal_mod	dignitary
rom_agent_attribute_zeal_mod	attribute_zeal_mod	general
rom_agent_attribute_zeal_mod	attribute_zeal_mod	spy
rom_agent_defence_wound_chance_mod	critical_failure_mod_opponent	champion
rom_agent_defence_wound_chance_mod	critical_failure_mod_opponent	dignitary
rom_agent_defence_wound_chance_mod	critical_failure_mod_opponent	spy
rom_agent_skill_action_mod_all_manipulate_coerce	success_mod	champion
rom_agent_skill_action_mod_all_manipulate_coerce	success_mod	dignitary
rom_agent_skill_action_mod_all_manipulate_coerce	success_mod	spy
rom_agent_skill_action_mod_all_manipulate_persuade	success_mod	champion
rom_agent_skill_action_mod_all_manipulate_persuade	success_mod	dignitary
rom_agent_skill_action_mod_all_manipulate_persuade	success_mod	spy
rom_agent_skill_action_mod_all_manipulate_tempt	success_mod	champion
rom_agent_skill_action_mod_all_manipulate_tempt	success_mod	dignitary
rom_agent_skill_action_mod_all_manipulate_tempt	success_mod	spy
rom_agent_skill_action_mod_champion_assassinate_brutalise	success_mod_hinder_character	champion
rom_agent_skill_action_mod_champion_assassinate_marksmanship	success_mod	champion
rom_agent_skill_action_mod_champion_assassinate_single_combat	success_mod	champion
rom_building_agent_champion_cost_mod	recruit_cost_mod	champion
rom_building_agent_cost_mod	recruit_cost_mod	champion
rom_building_agent_cost_mod	recruit_cost_mod	dignitary
rom_building_agent_cost_mod	recruit_cost_mod	spy
rom_building_agent_dignitary_cost_mod	recruit_cost_mod	dignitary
rom_building_agent_dignitary_spy_cost_mod	recruit_cost_mod	dignitary
rom_building_agent_dignitary_spy_cost_mod	recruit_cost_mod	spy
rom_building_agent_spy_cost_mod	recruit_cost_mod	spy
rom_building_champion_availibility	availability	champion
rom_building_champion_cap	cap	champion
rom_building_dignitary_availibility	availability	dignitary
rom_building_dignitary_cap	cap	dignitary
rom_building_general_availibility	availability	general
rom_building_general_cap	cap	general
rom_building_politician_availibility	availability	minister
rom_building_politician_cap	cap	minister
rom_building_recruitment_agent_level_all	recruitment_level	champion
rom_building_recruitment_agent_level_all	recruitment_level	dignitary
rom_building_recruitment_agent_level_all	recruitment_level	spy
rom_building_recruitment_agent_level_champion	recruitment_level	champion
rom_building_recruitment_agent_level_dignitary	recruitment_level	dignitary
rom_building_recruitment_agent_level_spy	recruitment_level	spy
rom_building_spy_availibility	availability	spy
rom_building_spy_cap	cap	spy
rom_building_temp_ninja_cap	cap	champion
rom_building_temp_ninja_cap	cap	dignitary
rom_building_temp_ninja_cap	cap	general
rom_building_temp_ninja_cap	cap	minister
rom_building_temp_ninja_cap	cap	spy
rom_faction_trait_eastern_pontus_shrewd_operators	action_cost_mod	champion
rom_faction_trait_eastern_pontus_shrewd_operators	action_cost_mod	dignitary
rom_faction_trait_eastern_pontus_shrewd_operators	action_cost_mod	spy
rom_general_attribute_mod_authority_land	attribute_authority_mod	general
rom_general_attribute_mod_authority_naval	attribute_authority_mod	general
rom_general_attribute_mod_authority	attribute_authority_mod	general
rom_general_attribute_mod_subterfuge_land	attribute_subterfuge_mod	general
rom_general_attribute_mod_subterfuge_naval	attribute_subterfuge_mod	general
rom_general_attribute_mod_subterfuge	attribute_subterfuge_mod	general
rom_general_attribute_mod_zeal_land	attribute_zeal_mod	general
rom_general_attribute_mod_zeal_naval	attribute_zeal_mod	general
rom_general_attribute_mod_zeal	attribute_zeal_mod	general
rom_placeholder_ninja_recruitment_car	availability	champion
rom_placeholder_ninja_recruitment_car	availability	dignitary
rom_placeholder_ninja_recruitment_car	availability	general
rom_placeholder_ninja_recruitment_car	availability	minister
rom_placeholder_ninja_recruitment_car	availability	spy
rom_placeholder_ninja_recruitment_rom	availability	champion
rom_placeholder_ninja_recruitment_rom	availability	dignitary
rom_placeholder_ninja_recruitment_rom	availability	general
rom_placeholder_ninja_recruitment_rom	availability	minister
rom_placeholder_ninja_recruitment_rom	availability	spy
rom_prologue_roman_general_attribute_buff	attribute_authority_mod	general
rom_prologue_roman_general_attribute_buff	attribute_subterfuge_mod	general
rom_prologue_roman_general_attribute_buff	attribute_zeal_mod	general
rom_tech_agent_action_cost_mod	action_cost_mod	champion
rom_tech_agent_action_cost_mod	action_cost_mod	dignitary
rom_tech_agent_action_cost_mod	action_cost_mod	spy
rom_tech_agent_champion_action_cost_mod	action_cost_mod	champion
rom_tech_agent_champion_cost_mod	recruit_cost_mod	champion
rom_tech_agent_champion_success_mod	success_mod	champion
rom_tech_agent_cost_mod	recruit_cost_mod	champion
rom_tech_agent_cost_mod	recruit_cost_mod	dignitary
rom_tech_agent_cost_mod	recruit_cost_mod	spy
rom_tech_agent_dignitary_action_cost_mod	action_cost_mod	dignitary
rom_tech_agent_dignitary_cost_mod	recruit_cost_mod	dignitary
rom_tech_agent_dignitary_success_mod	success_mod	dignitary
rom_tech_agent_scout_action_cost_mod	action_cost_mod	spy
rom_tech_agent_scout_cost_mod	recruit_cost_mod	spy
rom_tech_agent_scout_success_mod	success_mod	spy
