climate_type	season	weather_type	key	probability	heat_fatigue	cold_fatigue	spotting_scalar
ROME_Desert	season_summer	fog	japan_lowland_fog_summer	40	1	0	0.8000
ROME_Desert	season_summer	rain	japan_lowland_rain_summer	150	0	0	0.9000
ROME_Desert	season_winter	dry	japan_lowland_dry_winter	300	1	0	1.0000
ROME_Desert	season_winter	fog	japan_lowland_fog_winter	40	0	0	0.8000
ROME_Desert	season_winter	snow	japan_lowland_snow_winter	0	0	0	0.9500
ROME_East_Desert	season_autumn	dry	japan_alpine_dry_autumn	250	0	0	1.0000
ROME_East_Desert	season_autumn	fog	japan_alpine_fog_autumn	60	0	0	0.8000
ROME_East_Desert	season_autumn	rain	japan_alpine_rain_autumn	100	0	0	0.9000
ROME_East_Desert	season_spring	dry	japan_alpine_dry_spring	250	1	0	1.0000
ROME_East_Desert	season_spring	fog	japan_alpine_fog_spring	60	0	0	0.8000
ROME_East_Desert	season_spring	rain	japan_alpine_rain_spring	100	1	0	0.9000
ROME_East_Desert	season_summer	dry	japan_alpine_dry_summer	250	1	0	1.0000
ROME_East_Desert	season_summer	fog	japan_alpine_fog_summer	60	1	0	0.8000
ROME_East_Desert	season_summer	rain	japan_alpine_rain_summer	100	0	0	0.9000
ROME_East_Desert	season_winter	dry	japan_alpine_dry_winter	250	0	0	1.0000
ROME_East_Desert	season_winter	fog	japan_alpine_fog_winter	60	0	0	0.8000
ROME_East_Desert	season_winter	snow	japan_alpine_snow_winter	0	0	0	0.9500
ROME_Med	season_autumn	dry	japan_mix_dry_autumn	300	0	0	1.0000
ROME_Med	season_autumn	fog	japan_mix_fog_autumn	80	0	0	0.8000
ROME_Med	season_autumn	rain	japan_mix_rain_autumn	150	0	0	0.9000
ROME_Med	season_spring	dry	japan_mix_dry_spring	300	0	0	1.0000
ROME_Med	season_spring	fog	japan_mix_fog_spring	80	0	0	0.8000
ROME_Med	season_spring	rain	japan_mix_rain_spring	150	0	0	0.9000
ROME_Med	season_summer	dry	japan_mix_dry_summer	300	0	0	1.0000
ROME_Med	season_summer	fog	japan_mix_fog_summer	80	0	0	0.8000
ROME_Med	season_summer	rain	japan_mix_rain_summer	150	0	0	0.9000
ROME_Med	season_winter	dry	japan_mix_dry_winter	300	0	0	1.0000
ROME_Med	season_winter	fog	japan_mix_fog_winter	80	0	0	0.8000
ROME_Med	season_winter	snow	japan_mix_snow_winter	50	0	1	0.9500
default	season_autumn	dry	japan_default_dry_autumn	350	0	0	1.0000
default	season_autumn	fog	japan_default_fog_autumn	100	0	0	0.8000
default	season_autumn	rain	japan_default_rain_autumn	150	0	0	0.9000
default	season_spring	dry	japan_default_dry_spring	350	0	0	1.0000
default	season_spring	fog	japan_default_fog_spring	100	0	0	0.8000
default	season_spring	rain	japan_default_rain_spring	150	0	0	0.9000
default	season_summer	dry	japan_default_dry_summer	350	0	0	1.0000
default	season_summer	fog	japan_default_fog_summer	100	0	0	0.8000
default	season_summer	rain	japan_default_rain_summer	150	0	0	0.9000
default	season_winter	dry	japan_default_dry_winter	350	0	0	1.0000
default	season_winter	fog	japan_default_fog_winter	100	0	0	0.8000
default	season_winter	snow	japan_default_snow_winter	20	0	0	0.9500
