character	related_to	relationship	bastard	adopted
2140783235	2140782883	child	false	true
2140783260	2140782937	child	false	true
2140783267	2140782937	child	false	true
2140783293	2140788107	child	false	false
2140783293	2140788122	spouse	false	false
2140783296	2140788107	child	false	false
2140783303	2140788107	child	false	false
2140783309	2140788138	child	false	false
2140783309	2140788165	spouse	false	false
2140783317	2140783309	child	false	false
2140783360	2140788240	child	false	false
2140783369	2140788250	child	false	false
2140783369	2140788265	child	false	false
2140783409	2140788305	child	false	false
2140783639	2140788203	spouse	false	false
2140783639	2140788211	child	false	false
2140783641	2140783783	child	false	false
2140783783	2140783639	child	false	false
2140783783	2140788196	spouse	false	false
2140783857	2140787870	child	false	true
2140783857	2140787887	spouse	false	true
2140783862	2140787998	child	false	false
2140783862	2140788027	spouse	false	false
2140783890	2140787801	child	false	false
2140783890	2140787808	child	false	false
2140783966	2140787735	child	false	false
2140783966	2140787744	spouse	false	false
2140784044	2140787706	child	false	false
2140784079	2140787955	child	false	false
2140784079	2140787978	spouse	false	false
2140784083	2140787683	child	false	false
2140784083	2140787684	child	false	false
2140784135	2140787851	child	false	false
2140784135	2140787863	spouse	false	false
2140784144	2140787932	child	false	false
2140784244	2140787717	child	false	false
2140784244	2140787719	child	false	false
2140784244	2140787725	spouse	false	false
2140784261	2140787683	child	false	false
2140784261	2140787684	child	false	false
2140784311	2140783966	child	false	false
2140784369	2140784135	child	false	false
2140784372	2140784135	child	false	false
2140784472	2140784079	child	false	false
2140784472	2140787993	spouse	false	false
2140784532	2140787232	child	false	false
2140784570	2140788975	child	false	false
2140784570	2140788982	child	false	false
2140784570	2140788983	spouse	false	false
2140784575	2140789042	child	false	false
2140784575	2140789051	child	false	false
2140784575	2140789063	spouse	false	false
2140784672	2140789072	spouse	false	false
2140784791	2140784672	child	false	false
2140784791	2140789072	child	false	false
2140784882	2140788513	child	false	false
2140784882	2140788522	spouse	false	false
2140784884	2140788358	spouse	false	false
2140785194	2140788384	spouse	false	false
2140785199	2140785194	child	false	false
2140785230	2140788372	spouse	false	false
2140785297	2140788437	child	false	false
2140785339	2140788478	child	false	false
2140785339	2140788493	spouse	false	false
2140785358	2140788533	child	false	false
2140785379	2140788539	child	false	false
2140785386	2140788572	child	false	false
2140785400	2140785386	child	false	false
2140785400	2140788594	child	false	false
2140785402	2140788629	child	false	false
2140785402	2140788641	spouse	false	false
2140785412	2140788629	child	false	false
2140785415	2140788604	spouse	false	false
2140785496	2140786754	child	false	false
2140785513	2140786708	child	false	false
2140785513	2140786717	spouse	false	false
2140785518	2140788046	child	false	false
2140785518	2140788094	spouse	false	false
2140785530	2140786393	child	false	false
2140785562	2140788926	child	false	false
2140785562	2140788927	child	false	false
2140785562	2140788933	spouse	false	false
2140785573	2140788887	child	false	false
2140785573	2140788895	child	false	false
2140785573	2140788906	spouse	false	false
2140785575	2140788670	spouse	false	false
2140785582	2140788664	child	false	false
2140785582	2140788667	child	false	false
2140785693	2140788705	spouse	false	false
2140785932	2140788953	spouse	false	false
2140786110	2140788855	child	false	false
2140786110	2140788860	child	false	false
2140786166	2140788753	child	false	false
2140786166	2140788758	child	false	false
2140786294	2140788795	child	false	false
2140786294	2140788797	child	false	false
2140786294	2140788800	spouse	false	false
2140786343	2140788731	child	false	false
2140786343	2140788741	child	false	false
2140786363	2140781720	child	false	false
2140786380	2140786391	child	false	false
2140786387	2140782703	child	false	false
2140786391	2140786375	spouse	false	false
2140786393	2140786396	spouse	false	false
2140786405	2140785530	spouse	false	false
2140786415	2140786405	child	false	false
2140786425	2140782040	child	false	false
2140786441	2140786436	spouse	false	false
2140786443	2140782040	child	false	false
2140786476	2140786483	spouse	false	false
2140786493	2140786476	child	false	false
2140786493	2140786483	child	false	false
2140786493	2140786495	spouse	false	false
2140786510	2140782328	child	false	false
2140786518	2140786521	spouse	false	false
2140786530	2140786518	child	false	false
2140786530	2140786533	spouse	false	false
2140786538	2140786518	child	false	false
2140786542	2140786518	child	false	false
2140786551	2140786530	child	false	false
2140786551	2140786561	spouse	false	false
2140786573	2140781922	child	false	false
2140786577	2140786589	child	false	false
2140786577	2140786599	child	false	false
2140786585	2140786589	child	false	false
2140786585	2140786599	child	false	false
2140786599	2140786589	spouse	false	false
2140786622	2140786629	spouse	false	false
2140786622	2140786699	child	false	false
2140786635	2140786622	child	false	false
2140786635	2140786642	spouse	false	false
2140786648	2140786635	child	false	false
2140786658	2140781687	child	false	false
2140786660	2140786662	spouse	false	false
2140786666	2140782675	child	false	false
2140786669	2140786675	spouse	false	false
2140786699	2140786705	spouse	false	false
2140786708	2140786712	spouse	false	false
2140786725	2140785513	child	false	false
2140786730	2140786731	spouse	false	false
2140786740	2140786730	child	false	false
2140786746	2140786730	child	false	false
2140786754	2140786755	spouse	false	false
2140786759	2140785496	spouse	false	false
2140786768	2140785496	child	false	false
2140786776	2140786786	spouse	false	false
2140786794	2140786776	child	false	false
2140786796	2140786776	child	false	false
2140786888	2140786896	spouse	false	false
2140786905	2140786888	child	false	false
2140786905	2140786906	spouse	false	false
2140786920	2140781802	child	false	false
2140786926	2140786905	child	false	false
2140786926	2140786908	spouse	false	false
2140786931	2140786933	spouse	false	false
2140786944	2140782692	child	false	false
2140786988	2140782238	child	false	false
2140786988	2140786998	spouse	false	false
2140787008	2140782238	child	false	false
2140787013	2140786988	child	false	false
2140787023	2140787026	spouse	false	false
2140787046	2140781849	child	false	false
2140787055	2140781849	child	false	false
2140787074	2140787079	spouse	false	false
2140787080	2140782020	child	false	false
2140787084	2140787087	spouse	false	false
2140787091	2140787084	child	false	false
2140787095	2140787104	sibling	false	false
2140787104	2140787110	spouse	false	false
2140787117	2140787126	spouse	false	false
2140787128	2140787117	child	false	false
2140787138	2140787147	spouse	false	false
2140787157	2140787138	child	false	false
2140787157	2140787158	spouse	false	false
2140787166	2140787157	child	false	false
2140787172	2140787157	child	false	false
2140787182	2140781993	child	false	false
2140787192	2140781993	child	false	false
2140787199	2140781993	child	false	false
2140787206	2140781993	child	false	false
2140787232	2140787240	spouse	false	false
2140787242	2140787232	child	false	false
2140787242	2140787248	spouse	false	false
2140787250	2140787258	spouse	false	false
2140787265	2140787250	child	false	false
2140787265	2140787269	spouse	false	false
2140787288	2140787296	spouse	false	false
2140787306	2140782358	child	false	false
2140787316	2140787322	spouse	false	false
2140787331	2140787316	child	false	false
2140787331	2140787339	spouse	false	false
2140787349	2140787316	child	false	false
2140787352	2140787331	child	false	false
2140787354	2140787362	spouse	false	false
2140787371	2140782120	child	false	false
2140787381	2140782120	child	false	false
2140787389	2140782148	child	false	false
2140787393	2140782148	child	false	false
2140787395	2140782148	child	false	false
2140787401	2140782148	child	false	false
2140787410	2140787411	spouse	false	false
2140787418	2140787410	child	false	false
2140787418	2140787427	spouse	false	false
2140787437	2140787440	spouse	false	false
2140787457	2140787437	child	false	false
2140787457	2140787461	spouse	false	false
2140787480	2140787457	child	false	false
2140787489	2140787437	child	false	false
2140787489	2140787447	spouse	false	false
2140787494	2140782279	child	false	false
2140787518	2140787521	spouse	false	false
2140787528	2140787518	child	false	false
2140787538	2140787546	spouse	false	false
2140787555	2140787558	spouse	false	false
2140787564	2140787555	child	false	false
2140787572	2140783200	child	false	false
2140787576	2140787578	spouse	false	false
2140787588	2140781731	child	false	false
2140787595	2140781731	child	false	false
2140787598	2140781731	child	false	false
2140787599	2140787608	spouse	false	false
2140787610	2140787599	child	false	false
2140787610	2140787614	spouse	false	false
2140787632	2140781723	child	false	false
2140787635	2140787599	child	false	false
2140787639	2140781736	child	false	false
2140787640	2140781736	child	false	false
2140787641	2140781736	child	false	false
2140787649	2140781736	child	false	false
2140787652	2140781736	child	false	false
2140787669	2140787666	spouse	false	false
2140787673	2140787678	spouse	false	false
2140787680	2140787673	child	false	false
2140787683	2140787673	child	false	false
2140787683	2140787678	child	false	false
2140787683	2140787684	spouse	false	false
2140787688	2140787683	child	false	false
2140787688	2140787684	child	false	false
2140787690	2140787698	spouse	false	false
2140787706	2140787690	child	false	false
2140787706	2140787714	spouse	false	false
2140787717	2140787690	child	false	false
2140787717	2140787719	spouse	false	false
2140787727	2140784244	child	false	false
2140787727	2140787725	child	false	false
2140787735	2140787743	spouse	false	false
2140787753	2140783966	child	false	false
2140787758	2140787763	spouse	false	false
2140787769	2140787758	child	false	false
2140787769	2140787763	child	false	false
2140787776	2140787758	child	false	false
2140787777	2140787758	child	false	false
2140787781	2140787758	child	false	false
2140787781	2140787783	spouse	false	false
2140787788	2140787758	child	false	false
2140787788	2140787763	child	false	false
2140787794	2140787758	child	false	false
2140787794	2140787763	child	false	false
2140787801	2140787781	child	false	false
2140787801	2140787783	child	false	false
2140787801	2140787808	spouse	false	false
2140787814	2140787801	child	false	false
2140787814	2140787808	child	false	false
2140787823	2140787801	child	false	false
2140787823	2140787808	child	false	false
2140787832	2140787801	child	false	false
2140787832	2140787808	child	false	false
2140787839	2140787801	child	false	false
2140787839	2140787808	child	false	false
2140787841	2140787848	spouse	false	false
2140787851	2140787841	child	false	false
2140787851	2140787852	spouse	false	false
2140787862	2140787851	child	false	false
2140787865	2140787877	spouse	false	false
2140787870	2140787865	child	false	false
2140787870	2140787878	spouse	false	false
2140787895	2140787865	child	false	false
2140787903	2140787865	child	false	false
2140787904	2140787912	spouse	false	false
2140787922	2140787904	child	false	false
2140787922	2140787912	child	false	false
2140787932	2140787904	child	false	false
2140787932	2140787912	child	false	false
2140787932	2140787950	spouse	false	false
2140787936	2140787932	child	false	false
2140787936	2140787950	child	false	false
2140787943	2140787932	child	false	false
2140787943	2140787950	child	false	false
2140787955	2140787961	spouse	false	false
2140787968	2140787955	child	false	false
2140787968	2140787961	child	false	false
2140787968	2140787976	spouse	false	false
2140787986	2140787968	child	false	false
2140787986	2140787976	child	false	false
2140787998	2140788006	spouse	false	false
2140788013	2140787998	child	false	false
2140788013	2140788006	child	false	false
2140788019	2140787998	child	false	false
2140788019	2140788006	child	false	false
2140788030	2140783862	child	false	false
2140788031	2140783862	child	false	false
2140788041	2140783862	child	false	false
2140788046	2140788052	spouse	false	false
2140788059	2140788046	child	false	false
2140788059	2140788052	child	false	false
2140788069	2140788046	child	false	false
2140788069	2140788052	child	false	false
2140788071	2140788046	child	false	false
2140788071	2140788052	child	false	false
2140788076	2140788046	child	false	false
2140788076	2140788052	child	false	false
2140788084	2140785518	child	false	false
2140788100	2140788101	spouse	false	false
2140788107	2140788100	child	false	false
2140788107	2140788101	child	false	false
2140788107	2140788117	spouse	false	false
2140788123	2140788133	spouse	false	false
2140788138	2140788123	child	false	false
2140788138	2140788133	child	false	false
2140788138	2140788144	spouse	false	false
2140788152	2140788138	child	false	false
2140788152	2140788144	child	false	false
2140788152	2140788160	spouse	false	false
2140788163	2140788152	child	false	false
2140788163	2140788160	child	false	false
2140788175	2140783309	child	false	false
2140788182	2140783783	child	false	false
2140788191	2140783639	child	false	false
2140788192	2140783639	child	false	false
2140788211	2140788208	spouse	false	false
2140788218	2140788228	child	false	false
2140788218	2140788229	child	false	false
2140788218	2140788232	spouse	false	false
2140788228	2140788229	spouse	false	false
2140788240	2140788218	child	false	false
2140788240	2140788232	child	false	false
2140788240	2140788260	spouse	false	false
2140788250	2140788218	child	false	false
2140788250	2140788232	child	false	false
2140788265	2140788250	spouse	false	false
2140788266	2140788276	spouse	false	false
2140788284	2140788266	child	false	false
2140788284	2140788276	child	false	false
2140788284	2140788291	spouse	false	false
2140788295	2140788266	child	false	false
2140788295	2140788276	child	false	false
2140788295	2140788299	spouse	false	false
2140788305	2140788284	child	false	false
2140788305	2140788291	child	false	false
2140788305	2140788315	spouse	false	false
2140788317	2140788284	child	false	false
2140788317	2140788291	child	false	false
2140788326	2140788295	child	false	false
2140788326	2140788299	child	false	false
2140788335	2140788305	child	false	false
2140788335	2140788315	child	false	false
2140788342	2140788305	child	false	false
2140788342	2140788315	child	false	false
2140788361	2140784884	child	false	false
2140788375	2140785230	child	false	false
2140788425	2140788431	spouse	false	false
2140788437	2140788425	child	false	false
2140788437	2140788431	child	false	false
2140788437	2140788441	spouse	false	false
2140788447	2140788437	child	false	false
2140788447	2140788441	child	false	false
2140788449	2140788437	child	false	false
2140788449	2140788441	child	false	false
2140788458	2140788467	spouse	false	false
2140788470	2140788458	child	false	false
2140788470	2140788467	child	false	false
2140788478	2140788458	child	false	false
2140788478	2140788467	child	false	false
2140788478	2140788483	spouse	false	false
2140788502	2140788506	spouse	false	false
2140788513	2140788502	child	false	false
2140788513	2140788506	child	false	false
2140788513	2140788516	spouse	false	false
2140788525	2140784882	child	false	false
2140788530	2140784882	child	false	false
2140788533	2140788536	spouse	false	false
2140788539	2140788533	child	false	false
2140788539	2140788536	child	false	false
2140788539	2140788549	spouse	false	false
2140788558	2140788533	child	false	false
2140788558	2140788536	child	false	false
2140788572	2140788577	spouse	false	false
2140788586	2140788572	child	false	false
2140788586	2140788577	child	false	false
2140788594	2140785386	spouse	false	false
2140788596	2140788572	child	false	false
2140788596	2140788577	child	false	false
2140788611	2140785415	child	false	false
2140788616	2140785415	child	false	false
2140788623	2140785415	child	false	false
2140788629	2140788634	spouse	false	false
2140788648	2140785402	child	false	false
2140788656	2140785402	child	false	false
2140788664	2140788667	spouse	false	false
2140788672	2140785575	child	false	false
2140788672	2140788670	child	false	false
2140788678	2140785575	child	false	false
2140788678	2140788670	child	false	false
2140788686	2140785693	child	false	false
2140788686	2140788705	child	false	false
2140788710	2140788722	child	false	false
2140788710	2140788723	child	false	false
2140788716	2140788722	child	false	false
2140788716	2140788723	child	false	false
2140788723	2140788722	spouse	false	false
2140788723	2140788747	child	false	false
2140788723	2140788750	child	false	false
2140788741	2140788731	spouse	false	false
2140788741	2140788747	child	false	false
2140788741	2140788750	child	false	false
2140788750	2140788747	spouse	false	false
2140788753	2140788758	spouse	false	false
2140788768	2140788753	child	false	false
2140788768	2140788758	child	false	false
2140788768	2140788778	spouse	false	false
2140788782	2140788768	child	false	false
2140788782	2140788778	child	false	false
2140788789	2140788753	child	false	false
2140788789	2140788758	child	false	false
2140788793	2140788753	child	false	false
2140788793	2140788758	child	false	false
2140788795	2140788797	spouse	false	false
2140788802	2140788795	child	false	false
2140788802	2140788797	child	false	false
2140788802	2140788811	spouse	false	false
2140788821	2140786294	child	false	false
2140788821	2140788800	child	false	false
2140788831	2140786294	child	false	false
2140788831	2140788800	child	false	false
2140788839	2140788846	spouse	false	false
2140788848	2140788839	child	false	false
2140788848	2140788846	child	false	false
2140788855	2140788839	child	false	false
2140788855	2140788846	child	false	false
2140788855	2140788860	spouse	false	false
2140788869	2140788855	child	false	false
2140788869	2140788860	child	false	false
2140788869	2140788870	spouse	false	false
2140788873	2140788869	child	false	false
2140788873	2140788870	child	false	false
2140788878	2140788883	spouse	false	false
2140788887	2140788878	child	false	false
2140788887	2140788883	child	false	false
2140788887	2140788895	spouse	false	false
2140788896	2140788887	child	false	false
2140788896	2140788895	child	false	false
2140788908	2140788887	child	false	false
2140788908	2140788895	child	false	false
2140788913	2140785573	child	false	false
2140788913	2140788906	child	false	false
2140788922	2140785573	child	false	false
2140788922	2140788906	child	false	false
2140788926	2140788927	spouse	false	false
2140788943	2140785562	child	false	false
2140788943	2140788933	child	false	false
2140788946	2140788926	child	false	false
2140788946	2140788927	child	false	false
2140788957	2140785932	child	false	false
2140788957	2140788953	child	false	false
2140788958	2140785932	child	false	false
2140788958	2140788953	child	false	false
2140788959	2140788966	spouse	false	false
2140788975	2140788959	child	false	false
2140788975	2140788966	child	false	false
2140788975	2140788982	spouse	false	false
2140788985	2140788975	child	false	false
2140788985	2140788982	child	false	false
2140788988	2140784570	child	false	false
2140788988	2140788983	child	false	false
2140788990	2140788996	spouse	false	false
2140789005	2140788990	child	false	false
2140789005	2140788996	child	false	false
2140789005	2140789006	spouse	false	false
2140789008	2140788990	child	false	false
2140789008	2140788996	child	false	false
2140789017	2140788990	child	false	false
2140789017	2140788996	child	false	false
2140789025	2140788990	child	false	false
2140789025	2140788996	child	false	false
2140789025	2140789033	spouse	false	false
2140789042	2140789005	child	false	false
2140789042	2140789006	child	false	false
2140789042	2140789051	spouse	false	false
2140789061	2140789025	child	false	false
2140789061	2140789033	child	false	false
2140789069	2140784575	child	false	false
2140789069	2140789063	child	false	false
2140789095	2140783890	child	false	false
2140789095	2140789104	child	false	false
2140789097	2140783890	child	false	false
2140789097	2140789104	child	false	false
2140789104	2140783890	spouse	false	false
2140789119	2140784654	child	false	false
2140789119	2140789133	child	false	false
2140789127	2140784654	child	false	false
2140789127	2140789133	child	false	false
2140789130	2140784654	child	false	false
2140789130	2140789133	child	false	false
2140789133	2140784654	spouse	false	false
2140789159	2140782219	child	false	false
2140789159	2140786499	child	false	false
2140789168	2140782219	child	false	false
2140789168	2140786499	child	false	false
2140789277	2140789287	child	false	false
