mercenary_set	province	optional_campaign_key
rom_province_pool_caucasia	emp_caucasia	main_emperor
3c_province_pool_steppe	emp_chorasmia	main_3c
rom_province_pool_chorasmia	emp_chorasmia	main_emperor
3c_province_pool_italia	emp_cisalpina	main_3c
3c_province_pool_naval_roman	emp_cisalpina	main_3c
rom_province_pool_cisalpina	emp_cisalpina	main_emperor
3c_province_pool_italia	emp_corsica_et_sardinia	main_3c
3c_province_pool_naval_roman	emp_corsica_et_sardinia	main_3c
rom_province_pool_corsica_et_sardinia	emp_corsica_et_sardinia	main_emperor
3c_province_pool_germanic	emp_dacia	main_3c
rom_province_pool_dacia	emp_dacia	main_emperor
3c_province_pool_galatia	emp_galatia_et_cappadocia	main_3c
rom_province_pool_galatia_et_cappadocia	emp_galatia_et_cappadocia	main_emperor
3c_province_pool_galia	emp_gallia	main_3c
3c_province_pool_naval_aquitania_and_britannia	emp_gallia	main_3c
rom_province_pool_celtica	emp_gallia	main_emperor
3c_province_pool_aria_and_gedrosia	emp_gedrosia	main_3c
rom_province_pool_gedrosia	emp_gedrosia	main_emperor
3c_province_pool_germanic	emp_germania_minor	main_3c
rom_province_pool_germania_minor	emp_germania_minor	main_emperor
3c_province_pool_germanic	emp_hercynia	main_3c
rom_province_pool_hercynia	emp_hercynia	main_emperor
3c_province_pool_hispania	emp_hispania	main_3c
rom_province_pool_cartaginensis	emp_hispania	main_emperor
3c_province_pool_illyria	emp_illyricum	main_3c
rom_province_pool_illyria	emp_illyricum	main_emperor
rom_province_pool_naval_illyria	emp_illyricum	main_emperor
3c_province_pool_italia	emp_italia	main_3c
rom_province_pool_italia	emp_italia	main_emperor
3c_province_pool_arabia	emp_judea	main_3c
rom_province_pool_nabataea	emp_judea	main_emperor
3c_province_pool_italia	emp_latium	main_3c
3c_province_pool_naval_roman	emp_latium	main_3c
rom_province_pool_italia	emp_latium	main_emperor
3c_province_pool_libya	emp_libya	main_3c
rom_province_pool_libya	emp_libya	main_emperor
3c_province_pool_germanic	emp_lugii	main_3c
rom_province_pool_sarmatia	emp_lugii	main_emperor
3c_province_pool_hispania	emp_lusitania	main_3c
rom_province_pool_lusitania	emp_lusitania	main_emperor
rom_province_pool_naval_lusitania	emp_lusitania	main_emperor
3c_province_pool_hellas	emp_macedonia	main_3c
3c_province_pool_naval_roman	emp_macedonia	main_3c
rom_province_pool_macedonia	emp_macedonia	main_emperor
rom_province_pool_naval_macedonia	emp_macedonia	main_emperor
3c_province_pool_germanic	emp_magna_germania	main_3c
3c_province_pool_naval_germania	emp_magna_germania	main_3c
rom_province_pool_magna_germania	emp_magna_germania	main_emperor
rom_province_pool_naval_magna_germania	emp_magna_germania	main_emperor
3c_province_pool_africa	emp_mauretania	main_3c
rom_province_pool_mauretania	emp_mauretania	main_emperor
3c_province_pool_persia	emp_media_magna	main_3c
rom_province_pool_media_magna	emp_media_magna	main_emperor
3c_province_pool_persia	emp_mesopotamia	main_3c
rom_province_pool_mesopotamia	emp_mesopotamia	main_emperor
rom_province_pool_naval_mesopotamia	emp_mesopotamia	main_emperor
3c_province_pool_arabia	emp_nabataea	main_3c
rom_province_pool_nabataea	emp_nabataea	main_emperor
rom_province_pool_naval_nabatea	emp_nabataea	main_emperor
3c_province_pool_galia	emp_narbonensis	main_3c
3c_province_pool_naval_iberian	emp_narbonensis	main_3c
rom_province_pool_provincia	emp_narbonensis	main_emperor
3c_province_pool_africa	emp_numidia	main_3c
3c_province_pool_naval_africa	emp_numidia	main_3c
rom_province_pool_mauretania	emp_numidia	main_emperor
3c_province_ppol_syria	emp_palmyra	main_3c
rom_province_pool_syria	emp_palmyra	main_emperor
3c_province_pool_germanic	emp_pannonia	main_3c
rom_province_pool_pannonia	emp_pannonia	main_emperor
3c_province_pool_persia	emp_parthia	main_3c
rom_province_pool_parthia	emp_parthia	main_emperor
3c_province_pool_persia	emp_persis	main_3c
rom_province_pool_naval_persis	emp_persis	main_emperor
rom_province_pool_persis	emp_persis	main_emperor
3c_province_pool_africa	emp_phazania	main_3c
rom_province_pool_phazania	emp_phazania	main_emperor
3c_province_pool_britannia	emp_pretanic_isles	main_3c
3c_province_pool_naval_pretanic_isles	emp_pretanic_isles	main_3c
rom_province_pool_caledonia_et_hibernia	emp_pretanic_isles	main_emperor
rom_province_pool_naval_caledonia	emp_pretanic_isles	main_emperor
3c_province_pool_germanic	emp_raetia_et_noricum	main_3c
rom_province_pool_raetia_et_noricum	emp_raetia_et_noricum	main_emperor
3c_province_pool_naval_sarmatia_and_bosporous	emp_sarmatia	main_3c
3c_province_pool_steppe	emp_sarmatia	main_3c
rom_province_pool_naval_ponto_caspia	emp_sarmatia	main_emperor
rom_province_pool_pontocaspia	emp_sarmatia	main_emperor
3c_province_pool_steppe	emp_scythia	main_3c
rom_province_pool_scythia	emp_scythia	main_emperor
3c_province_pool_italia	emp_sicily	main_3c
rom_province_pool_magna_graecia	emp_sicily	main_emperor
3c_province_pool_germanic	emp_suebia	main_3c
3c_province_pool_naval_germania	emp_suebia	main_3c
rom_province_pool_naval_suebia	emp_suebia	main_emperor
rom_province_pool_suebia	emp_suebia	main_emperor
3c_province_pool_naval_roman	emp_syria	main_3c
3c_province_ppol_syria	emp_syria	main_3c
rom_province_pool_naval_cilicia	emp_syria	main_emperor
rom_province_pool_syria	emp_syria	main_emperor
3c_province_pool_hispania	emp_tarraconensis	main_3c
3c_province_pool_naval_iberian	emp_tarraconensis	main_3c
rom_province_pool_tarraconensis	emp_tarraconensis	main_emperor
3c_province_pool_naval_pontus_and_thracia	emp_thracia	main_3c
3c_province_pool_thracia	emp_thracia	main_3c
rom_province_pool_thracia	emp_thracia	main_emperor
3c_province_pool_steppe	emp_transoxania	main_3c
rom_province_pool_transoxania	emp_transoxania	main_emperor
gaul_province_pool_aquitania	gaul_main_aquitania	
gaul_province_pool_naval_sinus_aquitanus	gaul_main_aquitania	
gaul_province_pool_arduenna_silva	gaul_main_arduenna_silva	
gaul_province_pool_aremorica	gaul_main_aremorica	
gaul_province_pool_britannia	gaul_main_britannia	
gaul_province_pool_naval_oceanus_britannicus	gaul_main_britannia	
gaul_province_pool_gergovia	gaul_main_gergovia	
gaul_province_pool_germania_inferior	gaul_main_germania_inferior	
gaul_province_pool_helvetia	gaul_main_helvetia	
gaul_province_pool_insubria	gaul_main_insubria	
gaul_province_pool_liguria	gaul_main_liguria	
gaul_province_pool_naval_sinus_gallicus	gaul_main_liguria	
gaul_province_pool_lugdunensis	gaul_main_lugdunensis	
gaul_province_pool_lutetia	gaul_main_lutetia	
gaul_province_pool_maxima_sequanorum	gaul_main_maxima_sequanorum	
gaul_province_pool_narbonensis	gaul_main_narbonensis	
gaul_province_pool_pictavis	gaul_main_pictavis	
gaul_province_pool_senonia	gaul_main_senonia	
gaul_province_pool_silva_carbonaria	gaul_main_silva_carbonaria	
gaul_province_pool_silva_nigra	gaul_main_silva_nigra	
gaul_province_pool_naval_sinus_aquitanus	gaul_main_transalpina	
gaul_province_pool_naval_sinus_gallicus	gaul_main_transalpina	
gaul_province_pool_transalpina	gaul_main_transalpina	
inv_province_pool_apulia	inv_apulia	main_invasion
inv_province_pool_greek	inv_apulia	main_invasion
inv_province_pool_illyrian	inv_apulia	main_invasion
inv_province_pool_naval_illyria	inv_apulia	main_invasion
inv_province_pool_sardinia	inv_balaria	main_invasion
inv_province_pool_bruttium	inv_bruttium	main_invasion
inv_province_pool_greek	inv_bruttium	main_invasion
inv_province_pool_italic	inv_bruttium	main_invasion
inv_province_pool_naval_greek	inv_bruttium	main_invasion
inv_province_pool_apulia	inv_calabria	main_invasion
inv_province_pool_greek	inv_calabria	main_invasion
inv_province_pool_illyrian	inv_calabria	main_invasion
inv_province_pool_campania	inv_campania	main_invasion
inv_province_pool_carthago	inv_carthago	main_invasion
inv_province_pool_naval_carthago	inv_carthago	main_invasion
inv_province_pool_corsica	inv_corsica	main_invasion
inv_province_pool_naval_etruscan	inv_corsica	main_invasion
inv_province_pool_elymia	inv_elymia	main_invasion
inv_province_pool_naval_syracuse	inv_elymia	main_invasion
inv_province_pool_etruscan	inv_etruria	main_invasion
inv_province_pool_illyrian	inv_frentania	main_invasion
inv_province_pool_italic	inv_frentania	main_invasion
inv_province_pool_gallic	inv_gallia_cispadana	main_invasion
inv_province_pool_gallic	inv_gallia_transpadana	main_invasion
inv_province_pool_naval_carthago	inv_ioleia	main_invasion
inv_province_pool_sardinia	inv_ioleia	main_invasion
inv_province_pool_greek	inv_italia	main_invasion
inv_province_pool_latium	inv_latium	main_invasion
inv_province_pool_gallic	inv_lepontii	main_invasion
inv_province_pool_liguria	inv_liguria	main_invasion
inv_province_pool_naval_liguria	inv_liguria	main_invasion
inv_province_pool_lucania	inv_lucania	main_invasion
inv_province_pool_illyrian	inv_picenum	main_invasion
inv_province_pool_italic	inv_picenum	main_invasion
inv_province_pool_naval_illyria	inv_picenum	main_invasion
inv_province_pool_etruscan	inv_raetia	main_invasion
inv_province_pool_gallic	inv_raetia	main_invasion
inv_province_pool_roma	inv_roma	main_invasion
inv_province_pool_sabinium	inv_sabinium	main_invasion
inv_province_pool_samnium	inv_samnium	main_invasion
inv_province_pool_gallic	inv_senonia	main_invasion
inv_province_pool_senonia	inv_senonia	main_invasion
inv_province_pool_sicania	inv_sicania	main_invasion
inv_province_pool_naval_syracuse	inv_sikelia	main_invasion
inv_province_pool_sicania	inv_sikelia	main_invasion
inv_province_pool_etruscan	inv_tarchuna	main_invasion
inv_province_pool_etruscan	inv_tuscia	main_invasion
inv_province_pool_italic	inv_umbria	main_invasion
inv_province_pool_umbria	inv_umbria	main_invasion
inv_province_pool_etruscan	inv_vei	main_invasion
inv_province_pool_naval_etruscan	inv_vei	main_invasion
inv_province_pool_naval_illyria	inv_venetia	main_invasion
inv_province_pool_venetia	inv_venetia	main_invasion
pel_generic	pel_aigian	
pel_generic	pel_aitolia	
pel_generic	pel_ambrakia	
pel_generic	pel_amphipolis	
pel_generic	pel_argolis	
pel_generic	pel_attike	
pel_generic	pel_boiotia	
pel_generic	pel_dodekanisa	
pel_generic	pel_elis	
pel_generic	pel_epeiros	
pel_generic	pel_euboia	
pel_generic	pel_hellespontos	
pel_generic	pel_ionia	
pel_generic	pel_kalkidike	
pel_generic	pel_karia	
pel_generic	pel_krete	
pel_generic	pel_lakedaimon	
pel_generic	pel_lydia	
pel_generic	pel_makedon	
pel_generic	pel_mysia	
pel_generic	pel_thessaly	
pel_generic	pel_thraike	
pun_province_pool_africa	pun_main_africa	
pun_province_pool_aquitania	pun_main_aquitania	
pun_province_pool_celtiberia	pun_main_celtiberia	
pun_province_pool_corsica_et_sardinia	pun_main_corsica_et_sardinia	
pun_province_pool_etruria	pun_main_etruria	
pun_province_pool_gallaecia	pun_main_gallaecia	
pun_province_pool_gallia_cisalpina	pun_main_gallia_cisalpina	
pun_province_pool_gallia_transalpina	pun_main_gallia_transalpina	
pun_province_pool_hispania_citerior	pun_main_hispania_citerior	
pun_province_pool_hispania_ulterior	pun_main_hispania_ulterior	
pun_province_pool_latium_et_campania	pun_main_latium_et_campania	
pun_province_pool_lusitania	pun_main_lusitania	
pun_province_pool_magna_graecia	pun_main_magna_graecia	
pun_province_pool_mauretania	pun_main_mauretania	
pun_province_pool_numidia	pun_main_numidia	
pun_province_pool_samnium	pun_main_samnium	
pun_province_pool_sicilia	pun_main_sicilia	
pun_province_pool_tripolitana	pun_main_tripolitana	
pun_province_pool_turdetania	pun_main_turdetania	
pun_province_pool_umbria_et_picenum	pun_main_umbria_et_picenum	
rom_province_pool_aegyptos	rome_main_aegyptos	
rom_province_pool_naval_aegyptos	rome_main_aegyptos	
rom_province_pool_africa	rome_main_africa	
rom_province_pool_aethiopia	rome_main_aithiops	
rom_province_pool_naval_aithiops	rome_main_aithiops	
rom_province_pool_aquitania	rome_main_aquitania	
rom_province_pool_arabia_felix	rome_main_arabia_felix	
rom_province_pool_naval_arabia_felix	rome_main_arabia_felix	
rom_province_pool_arabia_magna	rome_main_arabia_magna	
rom_province_pool_naval_arabia_magna	rome_main_arabia_magna	
rom_province_pool_arachosia	rome_main_arachosia	
rom_province_pool_aria	rome_main_aria	
rom_province_pool_armenia	rome_main_armenia	
rom_province_pool_asia	rome_main_asia	
rom_province_pool_naval_asia	rome_main_asia	
rom_province_pool_bactria	rome_main_bactria	
rom_province_pool_baetica	rome_main_baetica	
rom_province_pool_belgica	rome_main_belgica	
rom_province_pool_bithynia_et_pontus	rome_main_bithynia_et_pontus	
rom_province_pool_naval_bithynia	rome_main_bithynia_et_pontus	
rom_province_pool_bosporus	rome_main_bosporus	
rom_province_pool_naval_bosporus	rome_main_bosporus	
Test_Pool_1	rome_main_britannia	
rom_province_pool_britannia	rome_main_britannia	
rom_province_pool_caledonia_et_hibernia	rome_main_caledonia_et_hibernia	
rom_province_pool_naval_caledonia	rome_main_caledonia_et_hibernia	
rom_province_pool_carmania	rome_main_carmania	
rom_province_pool_cartaginensis	rome_main_cartaginensis	
rom_province_pool_caucasia	rome_main_caucasia	
rom_province_pool_celtica	rome_main_celtica	
rom_province_pool_chorasmia	rome_main_chorasmia	
rom_province_pool_cilicia	rome_main_cilicia	
rom_province_pool_naval_cilicia	rome_main_cilicia	
rom_province_pool_cisalpina	rome_main_cisalpina	
rom_province_pool_corsica_et_sardinia	rome_main_corsica_et_sardinia	
rom_province_pool_dacia	rome_main_dacia	
rom_province_pool_galatia_et_cappadocia	rome_main_galatia_et_cappadocia	
rom_province_pool_gedrosia	rome_main_gedrosia	
rom_province_pool_germania_minor	rome_main_germania_minor	
rom_province_pool_hellas	rome_main_hellas	
rom_province_pool_naval_hellas	rome_main_hellas	
rom_province_pool_hercynia	rome_main_hercynia	
rom_province_pool_illyria	rome_main_illyria	
rom_province_pool_naval_illyria	rome_main_illyria	
rom_province_pool_italia	rome_main_italia	
rom_province_pool_libya	rome_main_libue	
rom_province_pool_lusitania	rome_main_lusitania	
rom_province_pool_naval_lusitania	rome_main_lusitania	
rom_province_pool_macedonia	rome_main_macedonia	
rom_province_pool_naval_macedonia	rome_main_macedonia	
rom_province_pool_magna_germania	rome_main_magna_germania	
rom_province_pool_naval_magna_germania	rome_main_magna_germania	
rom_province_pool_magna_graecia	rome_main_magna_graecia	
rom_province_pool_mauretania	rome_main_mauretania	
rom_province_pool_media_magna	rome_main_media_magna	
rom_province_pool_mesopotamia	rome_main_mesopotamia	
rom_province_pool_naval_mesopotamia	rome_main_mesopotamia	
rom_province_pool_nabataea	rome_main_nabataea	
rom_province_pool_naval_nabatea	rome_main_nabataea	
rom_province_pool_pannonia	rome_main_pannonia	
rom_province_pool_parthia	rome_main_parthia	
rom_province_pool_naval_persis	rome_main_persis	
rom_province_pool_persis	rome_main_persis	
rom_province_pool_phazania	rome_main_phazania	
rom_province_pool_naval_ponto_caspia	rome_main_ponto_caspia	
rom_province_pool_pontocaspia	rome_main_ponto_caspia	
rom_province_pool_provincia	rome_main_provincia	
rom_province_pool_raetia_et_noricum	rome_main_raetia_et_noricum	
rom_province_pool_sarmatia	rome_main_sarmatia	
rom_province_pool_scythia	rome_main_scythia	
rom_province_pool_silesia	rome_main_silesia	
rom_province_pool_naval_suebia	rome_main_suebia	
rom_province_pool_suebia	rome_main_suebia	
rom_province_pool_syria	rome_main_syria	
rom_province_pool_tarraconensis	rome_main_tarraconensis	
rom_province_pool_thracia	rome_main_thracia	
rom_province_pool_transoxania	rome_main_transoxania	
rom_faction_pool_italian	rome_pro_campania	
rom_faction_pool_italian	rome_pro_latium	
rom_faction_pool_italian	rome_pro_magna_grecia	
rom_faction_pool_naval_italian	rome_pro_magna_grecia	
rom_faction_pool_italian	rome_pro_samnium	
