id	incident_key	payload_key	value
10343	3c_alani_smoke_visions_i_B	3c_alani_smoke_visions_i_B	DURATION[4]
10345	3c_alani_smoke_visions_i_C	3c_alani_smoke_visions_i_C	DURATION[4]
10349	3c_alani_smoke_visions_i_D	3c_alani_smoke_visions_i_D	DURATION[4]
10353	3c_east_sassanian_sculptor_i_A	3c_east_sassanian_sculptor_i_A	DURATION[4]
10357	3c_east_sassanian_sculptor_i_B	3c_east_sassanian_sculptor_i_B	DURATION[4]
1036	rom_subject_hellenic_profession_7_Miner_i_A	TARGET	EVENT
10376	3c_east_sassanian_sculptor_i_D	3c_east_sassanian_sculptor_i_D	DURATION[4]
10377	3c_east_ardashir_testament_i_A	3c_east_ardashir_testament_i_A	DURATION[4]
10387	3c_east_ardashir_testament_i_B	3c_east_ardashir_testament_i_B	DURATION[4]
10392	3c_east_ardashir_testament_i_C	3c_east_ardashir_testament_i_C	DURATION[4]
10397	3c_east_ardashir_testament_i_D	3c_east_ardashir_testament_i_D	DURATION[4]
10421	3c_east_sassanian_sculptor_i_A	TARGET	EVENT
10424	3c_east_sassanian_sculptor_i_B	TARGET	EVENT
1043	rom_subject_hellenic_profession_7_Miner_i_B	TARGET	EVENT
10433	3c_east_sassanian_sculptor_i_D	TARGET	EVENT
10438	3c_east_ardashir_testament_i_A	TARGET	EVENT
1044	rom_subject_hellenic_magistrate_1_Barren_land_i_A	TARGET	EVENT
10441	3c_east_ardashir_testament_i_B	TARGET	EVENT
10447	3c_east_ardashir_testament_i_C	TARGET	EVENT
1045	rom_subject_hellenic_magistrate_1_Barren_land_i_B	TARGET	EVENT
10453	3c_east_ardashir_testament_i_D	TARGET	EVENT
1046	rom_subject_hellenic_magistrate_1_Barren_land_i_C	TARGET	EVENT
1048	rom_subject_hellenic_magistrate_1_Barren_land_i_D	TARGET	EVENT
10516	3c_east_sassanian_sculptor_i_C	GIVE_TRAIT	TRAIT_KEY[3c_event_sassanian_sculptor]
10517	3c_rom_Sibylline_Books_i_Burned	TARGET	EVENT
10522	send_diplomat_wounded	WOUND_CHARACTER	DURATION[2]
10528	3c_cult_christianity_easter	3c_cult_christianity_easter	DURATION[2]
10533	3c_cult_christianity_easter	TARGET	EVENT
10543	3c_rom_Sibylline_Books_i_Burned	PERSIST_VALUE	KEY[BURNED]; AMOUNT[1]
10552	3c_Faction_Leader_Zenobia_1_i_A	CHANGE_ZEAL	AMOUNT[1]
10555	3c_Faction_Leader_Zenobia_1_i_B	CHANGE_SUBTERFUGE	AMOUNT[1]
1056	rom_subject_hellenic_magistrate_2_Wine_i_A	TARGET	EVENT
10560	3c_Faction_Leader_Zenobia_1_i_C	CHANGE_AUTHORITY	AMOUNT[1]
10569	3c_Faction_Leader_Zenobia_1_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10576	3c_Faction_Leader_Zenobia_2_i_A	CHANGE_AUTHORITY	AMOUNT[1]
10583	3c_Faction_Leader_Zenobia_2_i_B	CHANGE_SUBTERFUGE	AMOUNT[1]
10591	3c_Faction_Leader_Zenobia_2_i_C	CHANGE_ZEAL	AMOUNT[1]
10599	3c_Faction_Leader_Zenobia_2_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10605	3c_Faction_Leader_Zenobia_3_i_A	CHANGE_AUTHORITY	AMOUNT[1]
10611	3c_Faction_Leader_Zenobia_3_i_B	CHANGE_SUBTERFUGE	AMOUNT[1]
10618	3c_Faction_Leader_Zenobia_3_i_C	CHANGE_ZEAL	AMOUNT[1]
10620	3c_Faction_Leader_Zenobia_3_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10627	3c_Faction_Leader_Zenobia_4_i_A	CHANGE_AUTHORITY	AMOUNT[1]
10637	3c_Faction_Leader_Zenobia_4_i_B	CHANGE_SUBTERFUGE	AMOUNT[1]
1064	rom_subject_hellenic_magistrate_2_Wine_i_B	TARGET	EVENT
10647	3c_Faction_Leader_Zenobia_4_i_C	CHANGE_ZEAL	AMOUNT[1]
10650	3c_Faction_Leader_Zenobia_4_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10663	3c_east_royal_crown_i_A	GIVE_TRAIT	TRAIT_KEY[3c_event_royal_crown_simurgh]
10669	3c_east_royal_crown_i_B	GIVE_TRAIT	TRAIT_KEY[3c_event_royal_crown_faravahar]
10675	3c_east_royal_crown_i_C	GIVE_TRAIT	TRAIT_KEY[3c_event_royal_crown_verethragna]
10676	3c_east_royal_crown_i_D	GIVE_TRAIT	TRAIT_KEY[3c_event_royal_crown_sacred_fire]
10685	3c_east_royal_crown_i_A	TARGET	EVENT
10688	3c_east_royal_crown_i_B	TARGET	EVENT
10689	3c_east_royal_crown_i_C	TARGET	EVENT
1069	rom_subject_hellenic_magistrate_3_lack_slaves_i_A	TARGET	EVENT
10699	3c_east_royal_crown_i_D	TARGET	EVENT
10707	3c_east_sassanian_sculptor_i_C	GIVE_ANCILLARY	ANCILLARY_KEY[3c_event_sassanian_sculptor]
10709	3c_Faction_Leader_Cannabaudes_1_i_A	CHANGE_ZEAL	AMOUNT[1]
10717	3c_Faction_Leader_Cannabaudes_1_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10726	3c_Faction_Leader_Cannabaudes_1_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10730	3c_Faction_Leader_Cannabaudes_1_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10740	3c_Faction_Leader_Cannabaudes_2_i_A	CHANGE_ZEAL	AMOUNT[1]
10741	3c_Faction_Leader_Cannabaudes_2_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10743	3c_Faction_Leader_Cannabaudes_2_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10749	3c_Faction_Leader_Cannabaudes_2_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10757	3c_Faction_Leader_Cannabaudes_3_i_A	CHANGE_ZEAL	AMOUNT[1]
1076	rom_subject_hellenic_magistrate_3_lack_slaves_i_B	TARGET	EVENT
10764	3c_Faction_Leader_Cannabaudes_3_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10770	3c_Faction_Leader_Cannabaudes_3_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10778	3c_Faction_Leader_Cannabaudes_3_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10785	3c_Faction_Leader_Cannabaudes_4_i_A	CHANGE_ZEAL	AMOUNT[1]
10795	3c_Faction_Leader_Cannabaudes_4_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10798	3c_Faction_Leader_Cannabaudes_4_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10802	3c_Faction_Leader_Cannabaudes_4_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10806	3c_Faction_Leader_Cannabaudes_outro	3c_Faction_Leader_Cannabaudes_Outro	DURATION[5]
10809	3c_Faction_Leader_Hormizd_1_i_A	CHANGE_ZEAL	AMOUNT[1]
1081	rom_subject_hellenic_magistrate_3_lack_slaves_i_C	TARGET	EVENT
10812	3c_Faction_Leader_Hormizd_1_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10821	3c_Faction_Leader_Hormizd_1_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10828	3c_Faction_Leader_Hormizd_1_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10836	3c_Faction_Leader_Hormizd_2_i_A	CHANGE_ZEAL	AMOUNT[1]
1084	rom_subject_hellenic_magistrate_4_plenty_slaves_i_A	TARGET	EVENT
10845	3c_Faction_Leader_Hormizd_2_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10847	3c_Faction_Leader_Hormizd_2_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10850	3c_Faction_Leader_Hormizd_2_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10852	3c_Faction_Leader_Hormizd_3_i_A	CHANGE_ZEAL	AMOUNT[1]
10859	3c_Faction_Leader_Hormizd_3_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10860	3c_Faction_Leader_Hormizd_3_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10862	3c_Faction_Leader_Hormizd_3_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10865	3c_Faction_Leader_Hormizd_4_i_A	CHANGE_ZEAL	AMOUNT[1]
10872	3c_Faction_Leader_Hormizd_4_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10880	3c_Faction_Leader_Hormizd_4_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10882	3c_Faction_Leader_Hormizd_4_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10883	3c_Faction_Leader_Hormizd_outro	3c_Faction_Leader_Hormizd_Outro	DURATION[15]
10889	3c_Faction_Leader_Aurelian_outro	3c_Faction_Leader_Aurelian_outro	DURATION[10]
10892	3c_Faction_Leader_Tetricus_1_i_A	CHANGE_ZEAL	AMOUNT[1]
10898	3c_Faction_Leader_Tetricus_1_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10907	3c_Faction_Leader_Tetricus_1_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10915	3c_Faction_Leader_Tetricus_1_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10918	3c_Faction_Leader_Tetricus_2_i_A	CHANGE_ZEAL	AMOUNT[1]
1092	rom_subject_hellenic_magistrate_4_plenty_slaves_i_B	TARGET	EVENT
10926	3c_Faction_Leader_Tetricus_2_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10935	3c_Faction_Leader_Tetricus_2_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10937	3c_Faction_Leader_Tetricus_2_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10946	3c_Faction_Leader_Tetricus_3_i_A	CHANGE_ZEAL	AMOUNT[1]
1095	rom_subject_hellenic_magistrate_4_plenty_slaves_i_C	TARGET	EVENT
10950	3c_Faction_Leader_Tetricus_3_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10952	3c_Faction_Leader_Tetricus_3_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10962	3c_Faction_Leader_Tetricus_3_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10969	3c_Faction_Leader_Tetricus_4_i_A	CHANGE_ZEAL	AMOUNT[1]
10972	3c_Faction_Leader_Tetricus_4_i_B	CHANGE_AUTHORITY	AMOUNT[1]
10973	3c_Faction_Leader_Tetricus_4_i_C	CHANGE_SUBTERFUGE	AMOUNT[1]
10981	3c_Faction_Leader_Tetricus_4_i_D	CHANGE_GRAVITAS	AMOUNT[5]
10991	3c_Faction_Leader_Tetricus_outro	3c_Faction_Leader_Tetricus_outro	DURATION[10]
11003	3c_Faction_Leader_Zenobia_outro_A	GIVE_TRAIT	TRAIT_KEY[3c_event_vaballathus_authority]
11012	3c_Faction_Leader_Zenobia_outro_G	GIVE_TRAIT	TRAIT_KEY[3c_event_vaballathus_balanced]
11022	3c_Faction_Leader_Zenobia_outro_S	GIVE_TRAIT	TRAIT_KEY[3c_event_vaballathus_subterfuge]
11024	3c_Faction_Leader_Zenobia_outro_Z	GIVE_TRAIT	TRAIT_KEY[3c_event_vaballathus_zeal]
11026	3c_east_sassanian_sculptor_i_C	TARGET	EVENT
11030	dk_suspicious_merchant_A1	dk_suspicious_merchant_A1	DURATION[10]
11032	incident_roman_zenobia_triumph_1	GIVE_TRAIT	TRAIT_KEY[r2_sp_trait_roman_victor]
11034	incident_roman_zenobia_triumph_2	GIVE_TRAIT	TRAIT_KEY[r2_sp_trait_roman_victor]
11037	dk_suspicious_merchant_A2	dk_suspicious_merchant_A2	DURATION[10]
11038	incident_roman_zenobia_triumph_3	GIVE_TRAIT	TRAIT_KEY[r2_sp_trait_roman_victor]
11039	dk_suspicious_merchant_B	dk_suspicious_merchant_B	DURATION[10]
11043	incident_roman_zenobia_triumph_1	TARGET	EVENT
11046	incident_roman_zenobia_triumph_2	TARGET	EVENT
11048	dk_locusts_A	dk_locusts_A	DURATION[8]
11053	incident_roman_zenobia_triumph_3	TARGET	EVENT
11055	dk_locusts_B	dk_locusts_B	DURATION[8]
11056	dk_lost_caravan_A	dk_lost_caravan_fail	DURATION[8]
11058	dk_unhappy_workers_A	dk_unhappy_workers_A	DURATION[8]
11065	dk_unhappy_workers_B	dk_unhappy_workers_B	DURATION[8]
11070	dk_camel_disease_A	dk_camel_decease_A	DURATION[10]
11077	dk_camel_disease_B	dk_camel_decease_B	DURATION[5]
11083	dk_camel_disease_C	dk_camel_decease_C	DURATION[10]
1109	rom_subject_hellenic_slaves_1_secrets_i_C	TARGET	EVENT
1112	rom_subject_hellenic_family_member_1_debt_i_A	TARGET	EVENT
11123	dk_dig_A1	dk_dig_A1	DURATION[10]
11130	dk_dig_A2	dk_dig_A2	DURATION[8]
11136	dk_dig_B	dk_dig_B	DURATION[8]
11144	dk_mercernaries_A	dk_mercernaries_i	DURATION[10]
11151	dk_mercernaries_B	dk_mercernaries_i	DURATION[10]
11153	dk_merchants_plea_B	dk_merchants_plea_B	DURATION[10]
11156	dk_merchants_plea_C	dk_merchants_plea_C	DURATION[10]
11162	dk_slavers_ship_A	dk_slavers_ship_A	DURATION[5]
11168	dk_slavers_ship_B	dk_slavers_ship_B	DURATION[8]
11173	dk_slavers_ship_C	dk_slavers_ship_C	DURATION[8]
11182	dk_survivors_A	dk_survivors_i_A	DURATION[10]
11186	dk_survivors_B	dk_survivors_i_B	DURATION[10]
11193	dk_survivors_D	dk_survivors_i_D	DURATION[10]
11196	dk_monster_A	dk_monster_i_A	DURATION[10]
11205	dk_monster_B	dk_monster_i_B	DURATION[10]
11206	dk_monster_C	dk_monster_i_C	DURATION[10]
11210	dk_monster_D	dk_monster_i_D	DURATION[6]
11215	dk_glorious_past_A	dk_glorious_past_A	DURATION[12]
11221	dk_glorious_past_B	dk_glorious_past_B	DURATION[12]
11229	dk_glorious_past_C	dk_glorious_past_C	DURATION[10]
11232	dk_sand_storm_A	dk_sand_storm_A	DURATION[8]
11237	female_leader_boudica_rom	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[800]
11241	female_leader_boudica_emp	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[801]
11244	dk_business_venture_A1	TREASURY	AMOUNT[10000]
11250	dk_business_venture_B1	TREASURY	AMOUNT[4000]
11257	dk_business_venture_B2	GIVE_ANCILLARY	ANCILLARY_KEY[r2_sp_anc_all_govt_merchant_adventurer]
11267	dk_lost_caravan_B	dk_lost_caravan_fail	DURATION[8]
1127	rom_subject_hellenic_family_member_1_debt_i_C	CHANGE_POLITICAL_POWER	AMOUNT[1]
11275	dk_numidia_dreams_B	3c_mystic_dreams_i_B_political	DURATION[6]
11283	dk_numidia_dreams_C	3c_mystic_dreams_i_C_morale	DURATION[6]
11298	dk_numidia_dreams_A	3c_mystic_dreams_i_A_recruitment	DURATION[6]
11316	dk_dig_B	TARGET	EVENT
11317	dk_slavers_ship_A	TARGET	EVENT
11327	dk_slavers_ship_B	TARGET	EVENT
11336	dk_slavers_ship_C	TARGET	EVENT
11337	dk_slavers_ship_A	TARGET	EVENT
11345	dk_slavers_ship_C	TARGET	EVENT
11346	dk_survivors_A	TARGET	EVENT
11351	dk_survivors_B	TARGET	EVENT
11353	dk_survivors_D	TARGET	EVENT
11357	dk_sand_storm_A	TARGET	EVENT
11358	dk_numidia_raid_A1	dk_numidia_raid_A1	DURATION[10]
11366	dk_numidia_raid_A1	TARGET	EVENT
11372	dk_numidia_raid_A2	dk_numidia_raid_A2	DURATION[10]
11381	dk_numidia_raid_A2	TARGET	EVENT
11382	dk_numidia_raid_B1	dk_numidia_raid_B1	DURATION[10]
11385	dk_numidia_raid_B1	TARGET	EVENT
11390	dk_numidia_raid_B2	TARGET	EVENT
11395	dk_numidia_raid_B2	dk_numidia_raid_B2	DURATION[10]
11405	dk_kush_priests_suicide_A	dk_kush_priests_suicide_A	DURATION[8]
11418	dk_kush_priests_suicide_B	dk_kush_priests_suicide_B	DURATION[8]
11436	dk_suspicious_merchant_A1	TARGET	EVENT
11442	dk_suspicious_merchant_A2	TARGET	EVENT
1145	rom_subject_hellenic_slaves_2_Thracian_i_C	TARGET	EVENT
11450	dk_suspicious_merchant_B	TARGET	EVENT
11458	dk_dig_A2	TARGET	EVENT
11471	dk_numidia_dreams_D	CHANGE_AUTHORITY	AMOUNT[-1]
11478	dk_numidia_dreams_D	CHANGE_ZEAL	AMOUNT[-1]
11484	dk_numidia_dreams_D	TARGET	EVENT
11487	dk_locusts_B	TARGET	EVENT
11494	dk_locusts_A	TARGET	EVENT
11495	dk_kush_nile_A_flood	dk_kush_nile_A_flood	DURATION[8]
11499	dk_kush_nile_A_draught	dk_kush_nile_A_draught	DURATION[8]
11508	dk_kush_nile_B_draught	dk_kush_nile_B_draught	DURATION[8]
1151	rom_subject_hellenic_family_member_debt_own_i_B	CHANGE_POLITICAL_POWER	AMOUNT[-1]
11515	dk_kush_nile_B_flood	dk_kush_nile_B_flood	DURATION[8]
11516	dk_kush_nile_A_flood	TARGET	EVENT
11524	dk_kush_nile_A_draught	TARGET	EVENT
11530	dk_kush_nile_B_draught	TARGET	EVENT
11538	dk_kush_nile_B_flood	TARGET	EVENT
1154	rom_subject_hellenic_family_member_debt_own_i_C	TARGET	EVENT
11543	dk_historical_queen_01	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[901]
11552	dk_historical_queen_02	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[902]
11559	dk_historical_queen_03	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[903]
11568	dk_historical_queen_04	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[906]
1157	rom_subject_hellenic_family_member_3_promising_i_A	TARGET	EVENT
11578	dk_historical_queen_05	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[907]
11584	dk_historical_queen_06	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[909]
11589	dk_historical_queen_07	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[910]
11590	dk_historical_queen_08	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[911]
11591	dk_historical_queen_09	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[916]
11594	dk_historical_queen_10	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[918]
11597	dk_historical_queen_11	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[923]
11600	dk_historical_queen_12	SPAWN_AGENT	AGENT[general];HISTORICAL_CHARACTER[921]
1162	rom_subject_hellenic_family_member_3_promising_i_C	TARGET	EVENT
1163	rom_subject_hellenic_slaves_3_slavedriver_i_A	TARGET	EVENT
1170	rom_subject_hellenic_slaves_3_slavedriver_i_B	TARGET	EVENT
11739	inv_geographical_massalia_merchants_B	inv_massalia_jewelry	DURATION[6];GLOBAL
1174	rom_subject_hellenic_slaves_3_slavedriver_i_C	TARGET	EVENT
11741	inv_geographical_massalia_merchants_A	inv_massalian_amber	DURATION[6];GLOBAL
1175	rom_subject_hellenic_family_member_4_Agamemnon_i_A	TARGET	EVENT
11786	inv_geographical_massalia_merchants_C	inv_massalia_wine	DURATION[6];GLOBAL
11793	inv_geographical_massalia_merchants_D	inv_massalia_local_profit	DURATION[6];GLOBAL
11813	inv_geographical_massalia_cure_all_C_2	inv_massalia_cure_all_noblemen_neg	DURATION[4];GLOBAL
11814	inv_geographical_massalia_cure_all_C_1	inv_massalia_cure_all_noblemen_pos	DURATION[4];GLOBAL
1182	rom_subject_hellenic_family_member_4_Agamemnon_i_C	TARGET	EVENT
11823	inv_geographical_massalia_cure_all_B_2	inv_massalia_cure_all_populace_neg	DURATION[4];GLOBAL
11830	inv_geographical_massalia_cure_all_B_1	inv_massalia_cure_all_populace_pos	DURATION[4];GLOBAL
11831	inv_geographical_massalia_cure_all_A_2	inv_massalia_cure_all_army_neg	DURATION[4];GLOBAL
11840	inv_geographical_massalia_cure_all_A_1	inv_massalia_cure_all_army_pos	DURATION[4];GLOBAL
11845	inv_geographical_massalia_request_A	TREASURY	AMOUNT[2000]
11847	inv_geographical_massalia_request_A	inv_massalia_civilians_sent	DURATION[4];GLOBAL
11855	inv_geographical_massalia_request_B	TREASURY	AMOUNT[4000]
11859	inv_geographical_massalia_request_B	inv_massalia_engineers_sent	DURATION[4];GLOBAL
11865	inv_geographical_massalia_request_C	inv_massalia_request_denied	DURATION[4];GLOBAL
11878	inv_geographical_massalia_trading_rights_A	TREASURY	AMOUNT[3000]
1188	rom_subject_hellenic_magistrate_5_bad_wife_i_A	TARGET	EVENT
11881	inv_geographical_massalia_trading_rights_A	inv_massalia_trade_rights	DURATION[4];GLOBAL
11886	inv_geographical_massalia_trading_rights_B	inv_massalia_trade_rights_denied	DURATION[4];GLOBAL
11896	inv_geographical_massalia_trading_rights_C	inv_massalia_trade_rights_sabotaged	DURATION[4];GLOBAL
1199	rom_subject_hellenic_magistrate_5_bad_wife_i_C	TARGET	EVENT
120	rom_subject_hellenic_religious_2_Dodona_i_A	rom_subject_payload_good_omen	DURATION[4]
1201	rom_subject_roman_creature_dolphin_1_i_A	TARGET	EVENT
12092	inv_geographical_Carthaginian_Politician_A	TREASURY	AMOUNT[2000]
12097	inv_geographical_Carthaginian_Politician_A	inv_geographical_carthage_1_A	DURATION[15]
12106	inv_geographical_Carthaginian_Politician_B	inv_geographical_carthage_1_B	DURATION[15]
1211	rom_subject_roman_creature_dolphin_1_i_B	TARGET	EVENT
12116	inv_geographical_Carthaginian_Slaves_A	inv_geographical_carthage_2_A	DURATION[15]
12123	inv_geographical_Carthaginian_Slaves_B	TREASURY	AMOUNT[2000]
12125	inv_geographical_Carthaginian_Slaves_B	inv_geographical_carthage_2_B	DURATION[15]
12135	inv_geographical_Carthaginian_Slaves_C	inv_geographical_carthage_2_C	DURATION[15]
12142	inv_geographical_Carthaginian_Slaves_D	inv_geographical_carthage_1_A	DURATION[15]
12158	inv_geographical_Carthaginian_Religion_A	inv_geographical_carthage_3_A	DURATION[15]
12162	inv_geographical_Carthaginian_Religion_B	inv_geographical_carthage_3_B	DURATION[15]
12163	inv_geographical_Carthaginian_captain_A	inv_geographical_carthage_4_A	DURATION[15]
12170	inv_geographical_Carthaginian_captain_B	inv_geographical_carthage_4_B	DURATION[15]
12172	inv_geographical_carthage_merchant_A	inv_geographical_carthage_5_A	DURATION[15]
12175	inv_geographical_carthage_merchant_B	inv_geographical_carthage_1_A	DURATION[15]
12178	inv_geographical_carthage_merchant_B	TREASURY	AMOUNT[2000]
12179	inv_faction_etruscans_01_A	inv_public_order_incr	DURATION[8]
1218	rom_subject_roman_creature_dolphin_1_i_C	TARGET	EVENT
12180	inv_faction_etruscans_01_A	inv_growth_decr	DURATION[8]
12186	inv_faction_etruscans_01_B	inv_public_order_incr	DURATION[8]
12192	inv_faction_etruscans_01_C	TREASURY	AMOUNT[2000]
