deal_component	personality_component	best_friends_value	bitter_enemies_value	friendly_value	neutral_value	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value
OFFER_CANCEL_VASSALAGE	default	-100.0000	15.0000	-40.0000	-25.0000	20.0000	20.0000	-20.0000	-60.0000	0.0000	15.0000	15.0000	15.0000	-1.0000
OFFER_CLIENT_STATE	default	-60.0000	-65.0000	-60.0000	-60.0000	40.0000	50.0000	-60.0000	-60.0000	-60.0000	30.0000	20.0000	10.0000	3.0000
OFFER_DECLARE_WAR	default	-100.0000	-7.0000	-35.0000	-25.0000	15.0000	15.0000	-15.0000	-72.0000	-10.0000	15.0000	20.0000	30.0000	1.0000
OFFER_DIPLOMATIC_MARRIAGE	default	-3.0000	-40.0000	-5.0000	-10.0000	4.0000	5.0000	-15.0000	-5.0000	-25.0000	3.0000	3.0000	2.0000	1.0000
OFFER_GIFT	default	2.0000	-50.0000	-3.0000	-7.0000	1.0000	1.0000	-10.0000	0.0000	-20.0000	1.0000	1.0000	1.0000	1.0000
OFFER_JOIN_CONFEDERATION	default	-65.0000	-75.0000	-65.0000	-65.0000	45.0000	50.0000	-65.0000	-65.0000	-70.0000	40.0000	35.0000	35.0000	0.0000
OFFER_JOIN_WAR	default	-40.0000	-1.0000	-20.0000	-14.0000	-4.0000	-9.0000	-9.0000	-25.0000	-5.0000	5.0000	25.0000	45.0000	0.0000
OFFER_VASSALAGE	default	-70.0000	-90.0000	-70.0000	-75.0000	55.0000	55.0000	-75.0000	-70.0000	-80.0000	40.0000	20.0000	10.0000	3.0000
PEACE	default	-5.0000	-36.0000	-9.0000	-11.0000	45.0000	50.0000	-16.0000	-7.0000	-25.0000	24.0000	20.0000	15.0000	1.0000
REQUEST_BREAK_DEFENSIVE_ALLIANCE	default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_BREAK_MILITARY_ALLIANCE	default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_BREAK_NON_AGGRESSION_PACT	default	-12.0000	4.0000	-3.0000	0.0000	65.0000	75.0000	1.0000	-6.0000	2.0000	40.0000	20.0000	10.0000	0.0000
REQUEST_CANCEL_CLIENT_STATE	default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_CANCEL_MILITARY_ACCESS	default	-12.0000	4.0000	-3.0000	0.0000	40.0000	50.0000	1.0000	-6.0000	2.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_CANCEL_TRADE_AGREEMENT	default	-12.0000	4.0000	-3.0000	0.0000	8.0000	10.0000	1.0000	-6.0000	2.0000	6.0000	5.0000	5.0000	0.0000
REQUEST_CANCEL_VASSALAGE	default	-12.0000	8.0000	-3.0000	0.0000	40.0000	50.0000	2.0000	-6.0000	4.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_CLIENT_STATE	default	0.0000	-45.0000	-10.0000	-15.0000	40.0000	50.0000	-25.0000	-5.0000	-35.0000	30.0000	20.0000	10.0000	0.0000
REQUEST_DECLARE_WAR	default	-5.0000	-2.0000	-5.0000	-5.0000	7.0000	8.0000	-4.0000	-5.0000	-2.0000	5.0000	5.0000	5.0000	0.5000
REQUEST_DIPLOMATIC_MARRIAGE	default	-1.0000	-40.0000	-2.0000	-6.0000	5.0000	5.0000	-15.0000	-2.0000	-25.0000	5.0000	5.0000	5.0000	1.0000
REQUEST_GIFT	default	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.0000
REQUEST_JOIN_CONFEDERATION	default	0.0000	0.0000	0.0000	0.0000	30.0000	30.0000	0.0000	0.0000	0.0000	30.0000	30.0000	30.0000	0.0000
REQUEST_JOIN_WAR	default	-5.0000	-2.0000	-5.0000	-5.0000	7.0000	8.0000	-4.0000	-5.0000	-2.0000	5.0000	5.0000	5.0000	0.5000
REQUEST_VASSALAGE	default	-10.0000	-10.0000	-10.0000	-10.0000	40.0000	50.0000	-10.0000	-10.0000	-10.0000	30.0000	20.0000	10.0000	0.0000
STRATEGIC_BALANCE_CHANGE	default	0.0000	0.0000	0.0000	0.0000	70.0000	90.0000	0.0000	0.0000	0.0000	55.0000	40.0000	35.0000	0.0000
TRADE_AGREEMENT	default	-11.0000	-70.0000	-11.0000	-17.0000	6.0000	6.0000	-25.0000	-11.0000	-55.0000	6.0000	6.0000	6.0000	1.0000
WAR	default	-40.0000	3.0000	-20.0000	-14.0000	-20.0000	-30.0000	-9.0000	-25.0000	-5.0000	-14.0000	15.0000	65.0000	0.0000
DEFENSIVE_ALLIANCE	friendly	-11.0000	-300.0000	-22.0000	-32.0000	20.0000	25.0000	-40.0000	-17.0000	-55.0000	18.0000	15.0000	15.0000	0.5000
MILITARY_ACCESS	friendly	-1.0000	-100.0000	-3.0000	-8.0000	6.0000	6.0000	-20.0000	-1.0000	-40.0000	5.0000	4.0000	3.0000	0.5000
MILITARY_ALLIANCE	friendly	-23.0000	-500.0000	-38.0000	-50.0000	25.0000	35.0000	-60.0000	-30.0000	-200.0000	15.0000	10.0000	10.0000	0.5000
NON_AGGRESSION_PACT	friendly	-4.0000	-40.0000	-1.0000	-2.0000	6.0000	7.0000	-7.0000	-3.0000	-20.0000	6.0000	5.0000	4.0000	0.5000
OFFER_BREAK_DEFENSIVE_ALLIANCE	friendly	-75.0000	12.0000	-15.0000	2.0000	40.0000	50.0000	4.0000	-45.0000	9.0000	30.0000	20.0000	10.0000	0.5000
OFFER_BREAK_MILITARY_ALLIANCE	friendly	-100.0000	14.0000	-15.0000	2.0000	40.0000	50.0000	10.0000	-60.0000	12.0000	30.0000	20.0000	10.0000	0.5000
OFFER_BREAK_NON_AGGRESSION_PACT	friendly	-50.0000	12.0000	-10.0000	0.0000	8.0000	10.0000	4.0000	-25.0000	9.0000	6.0000	5.0000	5.0000	0.5000
OFFER_CANCEL_CLIENT_STATE	friendly	-75.0000	5.0000	-35.0000	-20.0000	40.0000	50.0000	0.0000	-45.0000	2.0000	30.0000	20.0000	10.0000	0.5000
OFFER_CANCEL_MILITARY_ACCESS	friendly	-50.0000	-5.0000	-25.0000	-15.0000	40.0000	50.0000	-10.0000	-30.0000	-5.0000	30.0000	20.0000	10.0000	0.5000
OFFER_CANCEL_TRADE_AGREEMENT	friendly	-40.0000	25.0000	-20.0000	-5.0000	8.0000	10.0000	12.0000	-30.0000	20.0000	6.0000	5.0000	5.0000	0.5000
OFFER_CANCEL_VASSALAGE	friendly	-100.0000	0.0000	-40.0000	-25.0000	40.0000	50.0000	-20.0000	-60.0000	-3.0000	30.0000	20.0000	10.0000	0.5000
OFFER_CLIENT_STATE	friendly	-50.0000	-55.0000	-50.0000	-50.0000	45.0000	55.0000	-50.0000	-50.0000	-50.0000	30.0000	20.0000	10.0000	2.0000
OFFER_DECLARE_WAR	friendly	-100.0000	-7.0000	-35.0000	-25.0000	15.0000	15.0000	-15.0000	-72.0000	-10.0000	15.0000	20.0000	30.0000	0.5000
OFFER_GIFT	friendly	4.0000	-50.0000	-1.0000	-6.0000	1.0000	1.0000	-10.0000	1.0000	-20.0000	1.0000	1.0000	1.0000	0.5000
OFFER_VASSALAGE	friendly	-65.0000	-85.0000	-65.0000	-70.0000	45.0000	45.0000	-70.0000	-65.0000	-75.0000	40.0000	20.0000	10.0000	2.0000
PEACE	friendly	-5.0000	-34.0000	-7.0000	-9.0000	45.0000	50.0000	-16.0000	-6.0000	-23.0000	24.0000	20.0000	15.0000	0.5000
TRADE_AGREEMENT	friendly	-7.0000	-70.0000	-7.0000	-13.0000	5.0000	5.0000	-20.0000	-7.0000	-55.0000	5.0000	5.0000	5.0000	0.5000
OFFER_CLIENT_STATE	pel_greek	-60.0000	-65.0000	-60.0000	-55.0000	40.0000	50.0000	-55.0000	-60.0000	-60.0000	30.0000	20.0000	10.0000	3.0000
OFFER_GIFT	pel_greek	-8.0000	-50.0000	-13.0000	-15.0000	1.0000	1.0000	-10.0000	-8.0000	-20.0000	1.0000	1.0000	1.0000	0.0000
TRADE_AGREEMENT	pel_greek	-15.0000	-70.0000	-19.0000	-17.0000	6.0000	6.0000	-25.0000	-18.0000	-55.0000	6.0000	6.0000	6.0000	1.0000
BREAK_MILITARY_ALLIANCE	pel_tricky_allies	35.0000	60.0000	15.0000	30.0000	20.0000	20.0000	40.0000	25.0000	50.0000	15.0000	15.0000	15.0000	-1.0000
OFFER_CLIENT_STATE	pel_tricky_allies	-60.0000	-65.0000	-60.0000	-55.0000	40.0000	50.0000	-55.0000	-60.0000	-60.0000	30.0000	20.0000	10.0000	3.0000
OFFER_GIFT	pel_tricky_allies	-8.0000	-50.0000	-13.0000	-15.0000	1.0000	1.0000	-10.0000	-8.0000	-20.0000	1.0000	1.0000	1.0000	0.0000
TRADE_AGREEMENT	pel_tricky_allies	-15.0000	-70.0000	-19.0000	-17.0000	6.0000	6.0000	-25.0000	-18.0000	-55.0000	6.0000	6.0000	6.0000	1.0000
WAR	pel_tricky_allies	-40.0000	80.0000	50.0000	55.0000	-20.0000	-10.0000	60.0000	-25.0000	70.0000	-14.0000	15.0000	0.0000	0.0000
OFFER_DECLARE_WAR	pro_passive	-100.0000	-7.0000	-35.0000	-25.0000	0.0000	0.0000	-15.0000	-72.0000	-10.0000	0.0000	0.0000	0.0000	1.0000
TRADE_AGREEMENT	pro_passive	5.0000	-70.0000	5.0000	-8.0000	0.0000	0.0000	-20.0000	5.0000	-55.0000	0.0000	0.0000	0.0000	1.0000
WAR	pro_passive	-30.0000	15.0000	-15.0000	-11.0000	0.0000	0.0000	-7.0000	-20.0000	8.0000	0.0000	0.0000	0.0000	0.0000
TRADE_AGREEMENT	trader	-7.0000	-70.0000	-7.0000	-6.0000	8.0000	8.0000	-12.0000	-7.0000	-40.0000	8.0000	8.0000	8.0000	0.5000
OFFER_CLIENT_STATE	warlike	-60.0000	-70.0000	-60.0000	-60.0000	35.0000	40.0000	-60.0000	-60.0000	-65.0000	20.0000	20.0000	10.0000	3.0000
OFFER_VASSALAGE	warlike	-75.0000	-95.0000	-75.0000	-80.0000	40.0000	40.0000	-80.0000	-75.0000	-85.0000	35.0000	20.0000	10.0000	3.0000
PEACE	warlike	-5.0000	-40.0000	-15.0000	-20.0000	20.0000	20.0000	-30.0000	-10.0000	-32.0000	15.0000	10.0000	10.0000	1.0000
STRATEGIC_BALANCE_CHANGE	warlike	0.0000	0.0000	0.0000	0.0000	60.0000	60.0000	0.0000	0.0000	0.0000	45.0000	35.0000	25.0000	0.0000
WAR	warlike	-30.0000	6.0000	-15.0000	-11.0000	-10.0000	-15.0000	-5.0000	-20.0000	-1.0000	-5.0000	30.0000	65.0000	0.0000
