child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position
3c_armenia_civil_economy_005_extend_royal_benevolence	3c_armenia_civil_economy_002_hire_roman_translators	0	2	4
3c_armenia_civil_economy_006_plan_grand_canals	3c_armenia_civil_economy_004_plan_irrigation_infrastructure	0	3	4
3c_armenia_civil_economy_007_implement_terraced_fields	3c_armenia_civil_economy_004_plan_irrigation_infrastructure	0	2	4
3c_armenia_civil_economy_008_create_royal_bazaars	3c_armenia_civil_economy_005_extend_royal_benevolence	0	2	4
3c_armenia_civil_economy_009_control_silk_roads	3c_armenia_civil_economy_008_create_royal_bazaars	0	2	3
3c_armenia_civil_governance_002_demand_zealous_labour	3c_armenia_civil_governance_001_assume_the_crown_authority	0	3	1
3c_armenia_civil_governance_003_control_urban_development	3c_armenia_civil_governance_001_assume_the_crown_authority	0	2	1
3c_armenia_civil_governance_004_complie_code_laws	3c_armenia_civil_governance_001_assume_the_crown_authority	0	2	4
3c_armenia_civil_governance_005_extend_peasant_class_rights	3c_armenia_civil_governance_004_complie_code_laws	0	3	1
3c_armenia_civil_governance_006_glorify_illoustrous_lineage	3c_armenia_civil_governance_004_complie_code_laws	0	2	1
3c_armenia_civil_governance_007_establish_vigorous_administration	3c_armenia_civil_governance_004_complie_code_laws	0	2	4
3c_armenia_civil_governance_008_promote_trusted_councillors	3c_armenia_civil_governance_007_establish_vigorous_administration	0	3	1
3c_armenia_civil_governance_009_proclaim_grand_armenia	3c_armenia_civil_governance_007_establish_vigorous_administration	0	2	1
3c_armenia_military_battle_001_adhere_greek_warfare_traditions	3c_armenia_military_battle_002_issue_composite_bows	0	1	4
3c_armenia_military_battle_003_train_marines	3c_armenia_military_battle_002_issue_composite_bows	0	3	4
3c_armenia_military_battle_007_praise_armenian_nobility	3c_armenia_military_battle_002_issue_composite_bows	0	2	4
3c_armenia_military_battle_005_dominate_the_crossroads	3c_armenia_military_battle_004_reward_the_kataphractoi	0	1	4
3c_armenia_military_battle_009_glorify_hayk_legacy	3c_armenia_military_battle_004_reward_the_kataphractoi	0	3	4
3c_armenia_military_battle_004_reward_the_kataphractoi	3c_armenia_military_battle_007_praise_armenian_nobility	0	2	4
3c_armenia_military_battle_006_refine_naval_artillery	3c_armenia_military_battle_007_praise_armenian_nobility	0	3	4
3c_armenia_military_battle_008_research_machines_of_war	3c_armenia_military_battle_007_praise_armenian_nobility	0	1	4
3c_armenia_military_campaign_002_improve_mercenary_administration	3c_armenia_military_campaign_001_employ_mardomard_champions	0	1	4
3c_armenia_military_campaign_003_call_noblemen_to_arms	3c_armenia_military_campaign_001_employ_mardomard_champions	0	3	4
3c_armenia_military_campaign_004_enforce_voluntary_service	3c_armenia_military_campaign_001_employ_mardomard_champions	0	2	4
3c_armenia_military_campaign_006_reorganize_zoranamak	3c_armenia_military_campaign_004_enforce_voluntary_service	0	3	4
3c_armenia_military_campaign_007_enforce_conscription	3c_armenia_military_campaign_004_enforce_voluntary_service	0	2	4
3c_armenia_military_campaign_008_improve_siege_management	3c_armenia_military_campaign_004_enforce_voluntary_service	0	1	4
3c_armenia_military_campaign_005_hire_nisean_breeders	3c_armenia_military_campaign_007_enforce_conscription	0	3	4
3c_armenia_military_campaign_009_elevate_noble_houses	3c_armenia_military_campaign_007_enforce_conscription	0	1	4
3c_armenia_military_recruitment_004_emphasize_on_cavalry	3c_armenia_military_recruitment_001_exact_levies	0	2	4
3c_armenia_military_recruitment_005_improve_harbour_infrastructure	3c_armenia_military_recruitment_002_hire_skilled_engineers	0	2	4
3c_armenia_military_recruitment_006_expand_tactical_exercises	3c_armenia_military_recruitment_003_intensify_physical_conditioning	0	2	4
3c_armenia_military_recruitment_007_reorganize_military_hierarchy	3c_armenia_military_recruitment_004_emphasize_on_cavalry	0	2	4
3c_armenia_military_recruitment_008_undertake_epic_naval_architecture	3c_armenia_military_recruitment_005_improve_harbour_infrastructure	0	2	4
3c_armenia_military_recruitment_009_practice_strategic_maneouvres	3c_armenia_military_recruitment_006_expand_tactical_exercises	0	2	4
3c_british_civil_culture_002_ressurect_druidic_order	3c_british_civil_culture_001_organize_feasts	0	3	4
3c_british_civil_culture_004_organize_fairs	3c_british_civil_culture_001_organize_feasts	0	2	4
3c_british_civil_culture_006_seek_ancient_knowledge	3c_british_civil_culture_001_organize_feasts	0	1	4
3c_british_civil_culture_003_seek_out_sacred_places	3c_british_civil_culture_002_ressurect_druidic_order	0	2	4
3c_british_civil_culture_009_promote_druidic_traditions	3c_british_civil_culture_003_seek_out_sacred_places	0	2	4
3c_british_civil_culture_007_uphold_the_old_ways	3c_british_civil_culture_004_organize_fairs	0	2	4
3c_british_civil_culture_008_embrace_civilization	3c_british_civil_culture_005_adopt_civilization	0	2	4
3c_british_civil_culture_005_adopt_civilization	3c_british_civil_culture_006_seek_ancient_knowledge	0	2	4
3c_british_civil_economy_003_focus_on_agriculture	3c_british_civil_economy_001_allocate_land	0	3	4
3c_british_civil_economy_004_organize_labour	3c_british_civil_economy_001_allocate_land	0	2	4
3c_british_civil_economy_005_set_up_markets	3c_british_civil_economy_002_oversee_natural_economy	0	2	4
3c_british_civil_economy_006_concentrate_on_agriculture	3c_british_civil_economy_004_organize_labour	0	3	4
3c_british_civil_economy_007_improve_infrastructure	3c_british_civil_economy_004_organize_labour	0	3	4
3c_british_civil_economy_008_introduce_king_currency	3c_british_civil_economy_005_set_up_markets	0	2	4
3c_british_civil_economy_009_subsidize_merchantmen	3c_british_civil_economy_008_introduce_king_currency	0	2	3
3c_british_civil_governance_002_adopt_city_planning_practices	3c_british_civil_governance_001_gain_recognition	0	3	1
3c_british_civil_governance_003_promise_glory	3c_british_civil_governance_001_gain_recognition	0	2	1
3c_british_civil_governance_004_gather_retinue	3c_british_civil_governance_001_gain_recognition	0	2	4
3c_british_civil_governance_005_intimidate_the_opposition	3c_british_civil_governance_004_gather_retinue	0	3	1
3c_british_civil_governance_006_demand_oaths_of_fealty	3c_british_civil_governance_004_gather_retinue	0	2	1
3c_british_civil_governance_007_appoint_lawgivers	3c_british_civil_governance_004_gather_retinue	0	2	4
3c_british_civil_governance_008_command_hygiene	3c_british_civil_governance_007_appoint_lawgivers	0	3	1
3c_british_civil_governance_009_proclaim_legendary_kingdom	3c_british_civil_governance_007_appoint_lawgivers	0	2	1
3c_british_military_battle_004_improve_chariots	3c_british_military_battle_001_issue_royal_war_horns	0	1	4
3c_british_military_battle_006_issue_oaken_ship_hulls	3c_british_military_battle_001_issue_royal_war_horns	0	3	4
3c_british_military_battle_008_practice_war_dances	3c_british_military_battle_001_issue_royal_war_horns	0	2	4
3c_british_military_battle_001_issue_royal_war_horns	3c_british_military_battle_005_assemble_the_footmen	0	2	4
3c_british_military_battle_002_train_with_longbows	3c_british_military_battle_005_assemble_the_footmen	0	1	4
3c_british_military_battle_003_train_crews	3c_british_military_battle_005_assemble_the_footmen	0	3	4
3c_british_military_battle_007_craft_tribal_totems	3c_british_military_battle_008_practice_war_dances	0	3	4
3c_british_military_battle_009_gather_votive_offerings	3c_british_military_battle_008_practice_war_dances	0	1	4
3c_british_military_campaign_002_motivate_hirelings	3c_british_military_campaign_001_encourage_oneonone_training	0	1	4
3c_british_military_campaign_005_copy_roman_arms_manufacturing	3c_british_military_campaign_001_encourage_oneonone_training	0	3	4
3c_british_military_campaign_006_live_off_the_land	3c_british_military_campaign_001_encourage_oneonone_training	0	2	4
3c_british_military_campaign_003_authorize_pillaging	3c_british_military_campaign_006_live_off_the_land	0	3	4
3c_british_military_campaign_004_organize_forage_parties	3c_british_military_campaign_006_live_off_the_land	0	1	4
3c_british_military_campaign_007_expand_warleader_retinue	3c_british_military_campaign_006_live_off_the_land	0	2	4
3c_british_military_campaign_008_kidnap_foreign_siege_specialists	3c_british_military_campaign_007_expand_warleader_retinue	0	3	4
3c_british_military_campaign_009_become_one_with_land	3c_british_military_campaign_007_expand_warleader_retinue	0	1	4
3c_british_military_recruitment_004_lead_by_example	3c_british_military_recruitment_001_gather_brave_souls	0	2	4
3c_british_military_recruitment_005_implement_iron_anchors	3c_british_military_recruitment_002_enchance_boat_construction	0	2	4
3c_british_military_recruitment_006_improve_cavalry_tactics	3c_british_military_recruitment_003_intensify_physical_conditioning	0	2	4
3c_british_military_recruitment_007_instill_military_discipline	3c_british_military_recruitment_004_lead_by_example	0	2	4
3c_british_military_recruitment_008_adopt_clinkerbuilt_ships	3c_british_military_recruitment_005_implement_iron_anchors	0	2	4
3c_british_military_recruitment_009_assign_retainers_to_elite	3c_british_military_recruitment_006_improve_cavalry_tactics	0	2	4
3c_caledoni_civil_culture_002_ressurect_druidic_order	3c_caledoni_civil_culture_001_organize_feasts	0	3	4
3c_caledoni_civil_culture_004_organize_fairs	3c_caledoni_civil_culture_001_organize_feasts	0	2	4
3c_caledoni_civil_culture_006_seek_ancient_knowledge	3c_caledoni_civil_culture_001_organize_feasts	0	1	4
3c_caledoni_civil_culture_003_seek_out_sacred_places	3c_caledoni_civil_culture_002_ressurect_druidic_order	0	2	4
3c_caledoni_civil_culture_009_promote_druidic_traditions	3c_caledoni_civil_culture_003_seek_out_sacred_places	0	2	4
3c_caledoni_civil_culture_007_uphold_the_old_ways	3c_caledoni_civil_culture_004_organize_fairs	0	2	4
3c_caledoni_civil_culture_008_embrace_civilization	3c_caledoni_civil_culture_005_adopt_civilization	0	2	4
3c_caledoni_civil_culture_005_adopt_civilization	3c_caledoni_civil_culture_006_seek_ancient_knowledge	0	2	4
3c_caledoni_civil_economy_003_focus_on_agriculture	3c_caledoni_civil_economy_001_allocate_land	0	3	4
3c_caledoni_civil_economy_004_organize_labour	3c_caledoni_civil_economy_001_allocate_land	0	2	4
3c_caledoni_civil_economy_005_set_up_markets	3c_caledoni_civil_economy_002_oversee_natural_economy	0	2	4
3c_caledoni_civil_economy_006_concentrate_on_agriculture	3c_caledoni_civil_economy_004_organize_labour	0	3	4
3c_caledoni_civil_economy_007_improve_infrastructure	3c_caledoni_civil_economy_004_organize_labour	0	3	4
3c_caledoni_civil_economy_008_introduce_king_currency	3c_caledoni_civil_economy_005_set_up_markets	0	2	4
3c_caledoni_civil_economy_009_subsidize_merchantmen	3c_caledoni_civil_economy_008_introduce_king_currency	0	2	3
3c_caledoni_civil_governance_002_adopt_city_planning_practices	3c_caledoni_civil_governance_001_gain_recognition	0	3	1
3c_caledoni_civil_governance_003_promise_glory	3c_caledoni_civil_governance_001_gain_recognition	0	2	1
3c_caledoni_civil_governance_004_gather_retinue	3c_caledoni_civil_governance_001_gain_recognition	0	2	4
3c_caledoni_civil_governance_005_intimidate_the_opposition	3c_caledoni_civil_governance_004_gather_retinue	0	3	1
3c_caledoni_civil_governance_006_demand_oaths_of_fealty	3c_caledoni_civil_governance_004_gather_retinue	0	2	1
3c_caledoni_civil_governance_007_appoint_lawgivers	3c_caledoni_civil_governance_004_gather_retinue	0	2	4
3c_caledoni_civil_governance_008_command_hygiene	3c_caledoni_civil_governance_007_appoint_lawgivers	0	3	1
3c_caledoni_civil_governance_009_proclaim_legendary_kingdom	3c_caledoni_civil_governance_007_appoint_lawgivers	0	2	1
3c_caledoni_military_battle_004_improve_chariots	3c_caledoni_military_battle_001_issue_royal_war_horns	0	1	4
3c_caledoni_military_battle_006_issue_oaken_ship_hulls	3c_caledoni_military_battle_001_issue_royal_war_horns	0	3	4
3c_caledoni_military_battle_008_practice_war_dances	3c_caledoni_military_battle_001_issue_royal_war_horns	0	2	4
3c_caledoni_military_battle_001_issue_royal_war_horns	3c_caledoni_military_battle_005_assemble_the_footmen	0	2	4
3c_caledoni_military_battle_002_train_with_longbows	3c_caledoni_military_battle_005_assemble_the_footmen	0	1	4
3c_caledoni_military_battle_003_train_crews	3c_caledoni_military_battle_005_assemble_the_footmen	0	3	4
3c_caledoni_military_battle_007_craft_tribal_totems	3c_caledoni_military_battle_008_practice_war_dances	0	3	4
3c_caledoni_military_battle_009_gather_votive_offerings	3c_caledoni_military_battle_008_practice_war_dances	0	1	4
3c_caledoni_military_campaign_002_motivate_hirelings	3c_caledoni_military_campaign_001_encourage_oneonone_training	0	1	4
3c_caledoni_military_campaign_005_copy_roman_arms_manufacturing	3c_caledoni_military_campaign_001_encourage_oneonone_training	0	3	4
3c_caledoni_military_campaign_006_live_off_the_land	3c_caledoni_military_campaign_001_encourage_oneonone_training	0	2	4
3c_caledoni_military_campaign_003_authorize_pillaging	3c_caledoni_military_campaign_006_live_off_the_land	0	3	4
3c_caledoni_military_campaign_004_organize_forage_parties	3c_caledoni_military_campaign_006_live_off_the_land	0	1	4
3c_caledoni_military_campaign_007_expand_warleader_retinue	3c_caledoni_military_campaign_006_live_off_the_land	0	2	4
3c_caledoni_military_campaign_008_kidnap_foreign_siege_specialists	3c_caledoni_military_campaign_007_expand_warleader_retinue	0	3	4
3c_caledoni_military_campaign_009_become_one_with_land	3c_caledoni_military_campaign_007_expand_warleader_retinue	0	1	4
3c_caledoni_military_recruitment_004_lead_by_example	3c_caledoni_military_recruitment_001_gather_brave_souls	0	2	4
3c_caledoni_military_recruitment_005_implement_iron_anchors	3c_caledoni_military_recruitment_002_enchance_boat_construction	0	2	4
3c_caledoni_military_recruitment_006_improve_cavalry_tactics	3c_caledoni_military_recruitment_003_intensify_physical_conditioning	0	2	4
3c_caledoni_military_recruitment_007_instill_military_discipline	3c_caledoni_military_recruitment_004_lead_by_example	0	2	4
3c_caledoni_military_recruitment_008_adopt_clinkerbuilt_ships	3c_caledoni_military_recruitment_005_implement_iron_anchors	0	2	4
3c_caledoni_military_recruitment_009_assign_retainers_to_elite	3c_caledoni_military_recruitment_006_improve_cavalry_tactics	0	2	4
3c_east_civil_culture_002_proclaim_support_kartir	3c_east_civil_culture_001_preserve_zendavesta	0	3	4
3c_east_civil_culture_003_expand_your_royal_harems	3c_east_civil_culture_001_preserve_zendavesta	0	1	4
3c_east_civil_culture_004_restructure_order_magi	3c_east_civil_culture_001_preserve_zendavesta	0	2	4
3c_east_civil_culture_005_impress_your_magnificence	3c_east_civil_culture_002_proclaim_support_kartir	0	2	4
3c_east_civil_culture_006_hire_royal_astronomers	3c_east_civil_culture_003_expand_your_royal_harems	0	2	4
3c_east_civil_culture_007_institute_festival_fire	3c_east_civil_culture_004_restructure_order_magi	0	2	4
3c_east_civil_culture_008_persecute_manicheans	3c_east_civil_culture_005_impress_your_magnificence	0	2	4
3c_east_civil_culture_009_venerate_Shapur_I	3c_east_civil_culture_006_hire_royal_astronomers	0	2	4
3c_east_civil_economy_004_plan_your_irrigation_infrastructure	3c_east_civil_economy_001_reclaim_your_desert	0	2	4
3c_east_civil_economy_003_tax_your_nobility	3c_east_civil_economy_002_hire_roman_translators	0	1	4
3c_east_civil_economy_005_extend_your_royal_benevolence	3c_east_civil_economy_002_hire_roman_translators	0	2	4
3c_east_civil_economy_006_plan_your_grand_canals	3c_east_civil_economy_004_plan_your_irrigation_infrastructure	0	3	4
3c_east_civil_economy_007_implementt_your_terraced_fields	3c_east_civil_economy_004_plan_your_irrigation_infrastructure	0	3	4
3c_east_civil_economy_008_create_your_royal_bazaars	3c_east_civil_economy_005_extend_your_royal_benevolence	0	2	4
3c_east_civil_economy_009_control_silk_roads	3c_east_civil_economy_008_create_your_royal_bazaars	0	2	3
3c_east_civil_governance_002_demand_zealous_labour	3c_east_civil_governance_001_claim_your_crown	0	3	1
3c_east_civil_governance_003_control_your_urban_development	3c_east_civil_governance_001_claim_your_crown	0	2	1
3c_east_civil_governance_004_compile_your_code_of_laws	3c_east_civil_governance_001_claim_your_crown	0	2	4
3c_east_civil_governance_005_extend_peasant_class_rights	3c_east_civil_governance_004_compile_your_code_of_laws	0	3	1
3c_east_civil_governance_006_glorify_illoustrous_lineage	3c_east_civil_governance_004_compile_your_code_of_laws	0	2	1
3c_east_civil_governance_007_establish_vigorous_administration	3c_east_civil_governance_004_compile_your_code_of_laws	0	2	4
3c_east_civil_governance_008_promote_your_trusted_councillors	3c_east_civil_governance_007_establish_vigorous_administration	0	3	1
3c_east_civil_governance_009_proclaim_your_empire_east_west	3c_east_civil_governance_007_establish_vigorous_administration	0	2	1
3c_east_military_battle_002_motivate_hirelings	3c_east_military_battle_001_praise_the_outriders	0	1	4
3c_east_military_battle_003_train_marines	3c_east_military_battle_001_praise_the_outriders	0	3	4
3c_east_military_battle_005_order_additional_pack_camels	3c_east_military_battle_001_praise_the_outriders	0	2	4
3c_east_military_battle_006_refine_naval_artillery	3c_east_military_battle_005_order_additional_pack_camels	0	3	4
3c_east_military_battle_007_rekindle_old_rivalry	3c_east_military_battle_005_order_additional_pack_camels	0	2	4
3c_east_military_battle_008_research_machines_of_war	3c_east_military_battle_005_order_additional_pack_camels	0	1	4
3c_east_military_battle_004_reward_the_kataphractoi	3c_east_military_battle_007_rekindle_old_rivalry	0	1	4
3c_east_military_battle_009_summon_the_immortals	3c_east_military_battle_007_rekindle_old_rivalry	0	3	4
3c_east_military_campaign_002_improve_mercenary_administration	3c_east_military_campaign_001_employ_mardomard_champions	0	1	4
3c_east_military_campaign_003_optimize_shahrab_system	3c_east_military_campaign_001_employ_mardomard_champions	0	3	4
3c_east_military_campaign_004_enforce_voluntary_service	3c_east_military_campaign_001_employ_mardomard_champions	0	2	4
3c_east_military_campaign_006_hasten_military_expanse	3c_east_military_campaign_004_enforce_voluntary_service	0	3	4
3c_east_military_campaign_007_enforce_conscription	3c_east_military_campaign_004_enforce_voluntary_service	0	2	4
3c_east_military_campaign_008_improve_siege_management	3c_east_military_campaign_004_enforce_voluntary_service	0	1	4
3c_east_military_campaign_005_hire_nisean_breeders	3c_east_military_campaign_007_enforce_conscription	0	3	4
3c_east_military_campaign_009_conquer_the_sands	3c_east_military_campaign_007_enforce_conscription	0	1	4
3c_east_military_recruitment_004_emphasize_on_cavalry	3c_east_military_recruitment_001_exact_levies	0	2	4
3c_east_military_recruitment_005_improve_harbour_infrastructure	3c_east_military_recruitment_002_hire_skilled_engineers	0	2	4
3c_east_military_recruitment_006_expand_tactical_exercises	3c_east_military_recruitment_003_intensify_physical_conditioning	0	2	4
3c_east_military_recruitment_007_reorganize_military_hierarchy	3c_east_military_recruitment_004_emphasize_on_cavalry	0	2	4
3c_east_military_recruitment_008_undertake_epic_naval_architecture	3c_east_military_recruitment_005_improve_harbour_infrastructure	0	2	4
3c_east_military_recruitment_009_practice_strategic_maneouvres	3c_east_military_recruitment_006_expand_tactical_exercises	0	2	4
3c_gallicemp_civil_culture_002_gain_frumentarii_allegiance	3c_gallicemp_civil_culture_001_appease_the_masses	0	3	4
3c_gallicemp_civil_culture_003_facilitate_urbanization	3c_gallicemp_civil_culture_001_appease_the_masses	0	1	4
3c_gallicemp_civil_culture_004_promote_roman_traditions	3c_gallicemp_civil_culture_001_appease_the_masses	0	2	4
3c_gallicemp_civil_culture_005_pacify_the_chieftains	3c_gallicemp_civil_culture_002_gain_frumentarii_allegiance	0	2	4
3c_gallicemp_civil_culture_006_conduct_latinization_campaign	3c_gallicemp_civil_culture_003_facilitate_urbanization	0	2	4
3c_gallicemp_civil_culture_007_elevate_roman_culture	3c_gallicemp_civil_culture_004_promote_roman_traditions	0	2	4
3c_gallicemp_civil_culture_008_send_gifts	3c_gallicemp_civil_culture_005_pacify_the_chieftains	0	2	4
3c_gallicemp_civil_culture_009_glorify_roman_heritage	3c_gallicemp_civil_culture_006_conduct_latinization_campaign	0	2	4
3c_gallicemp_civil_economy_004_extend_labour_facilities	3c_gallicemp_civil_economy_001_focus_on_local_production	0	2	4
3c_gallicemp_civil_economy_003_seize_the_imperial_treasury	3c_gallicemp_civil_economy_002_restore_markets	0	1	4
3c_gallicemp_civil_economy_005_regulate_commerce	3c_gallicemp_civil_economy_002_restore_markets	0	2	4
3c_gallicemp_civil_economy_006_procure_egyptian_grain	3c_gallicemp_civil_economy_004_extend_labour_facilities	0	2	1
3c_gallicemp_civil_economy_007_restrict_the_coloni	3c_gallicemp_civil_economy_004_extend_labour_facilities	0	3	4
3c_gallicemp_civil_economy_008_implement_monetary_reformation	3c_gallicemp_civil_economy_005_regulate_commerce	0	2	4
3c_gallicemp_civil_economy_009_invest_in_agriculture	3c_gallicemp_civil_economy_007_restrict_the_coloni	0	2	1
3c_gallicemp_civil_governance_002_expand_city_planning	3c_gallicemp_civil_governance_001_assume_power	0	3	1
3c_gallicemp_civil_governance_003_ogranize_construction_projects	3c_gallicemp_civil_governance_001_assume_power	0	2	1
3c_gallicemp_civil_governance_004_consolidate_authority	3c_gallicemp_civil_governance_001_assume_power	0	2	4
3c_gallicemp_civil_governance_005_restore_city_of_rome	3c_gallicemp_civil_governance_004_consolidate_authority	0	3	1
3c_gallicemp_civil_governance_007_improve_administration	3c_gallicemp_civil_governance_004_consolidate_authority	0	2	4
3c_gallicemp_civil_governance_008_fund_communal_garbage_service	3c_gallicemp_civil_governance_004_consolidate_authority	0	2	1
3c_gallicemp_civil_governance_006_prosecute_official_misconduct	3c_gallicemp_civil_governance_007_improve_administration	0	3	1
3c_gallicemp_civil_governance_009_reinstitute_the_republic	3c_gallicemp_civil_governance_007_improve_administration	0	2	1
3c_gallicemp_military_battle_003_train_boarding_parties	3c_gallicemp_military_battle_001_integrate_foederati	0	3	4
3c_gallicemp_military_battle_004_conscript_elite_alae	3c_gallicemp_military_battle_001_integrate_foederati	0	2	4
3c_gallicemp_military_battle_005_adopt_foreign_tactics	3c_gallicemp_military_battle_001_integrate_foederati	0	1	4
3c_gallicemp_military_battle_002_motivate_hirelings	3c_gallicemp_military_battle_004_conscript_elite_alae	0	1	4
3c_gallicemp_military_battle_006_refine_naval_artillery	3c_gallicemp_military_battle_004_conscript_elite_alae	0	3	4
