key	character_for_vo
Rom.HB.SC.Pre_02	narrator
Rom.HB.SC.Pre_03	narrator
Rom.HB.SC.Pre_04	narrator
Rom.HB.SC.Pre_05	narrator
Rom.HB.SR.Intro_01	none
Rom.HB.SR.Intro_02	narrator
Rom.HB.SR.Intro_03	narrator
Rom.HB.SR.Intro_04	narrator
Rom.HB.SR.Intro_05	narrator
Rom.HB.SR.Intro_06	narrator
Rom.HB.SR.Post_01	narrator
Rom.HB.SR.Post_02	narrator
Rom.HB.SR.Pre_01	narrator
Rom.HB.SR.Pre_02	narrator
Rom.HB.SR.Pre_03	narrator
Rom.HB.SR.Pre_04	narrator
Rom.HB.SR.Pre_05	narrator
Rom.HB.SR.Pre_06	narrator
Rom.HB.TF.Intro_01	narrator
Rom.HB.TF.Intro_02	narrator
Rom.HB.TF.Intro_03	narrator
Rom.HB.TF.Intro_04	narrator
Rom.HB.TF.Intro_05	narrator
Rom.HB.TF.Intro_06	narrator
Rom.HB.TF.Outro_01	narrator
Rom.HB.TF.Outro_02	narrator
Rom.HB.TF.Outro_03	narrator
Rom.HB.TF.Outro_04	narrator
Rom.HB.TF.Pre_01	narrator
Rom.HB.TF.Pre_02	narrator
Rom.HB.TF.Pre_03	narrator
Rom.HB.TF.Pre_04	narrator
Rom.HB.WS.Intro_01	none
Rom.HB.WS.Intro_02	narrator
Rom.HB.WS.Intro_03	narrator
Rom.HB.WS.Intro_04	narrator
Rom.HB.WS.Intro_05	narrator
Rom.HB.WS.Post_01	narrator
Rom.HB.WS.Post_02	narrator
Rom.HB.WS.Post_03	narrator
Rom.HB.WS.Pre_01	narrator
Rom.HB.WS.Pre_02	narrator
Rom.HB.WS.Pre_03	narrator
Rom.HB.WS.Pre_04	narrator
Rom.HB.WS.Pre_05	narrator
Rom.HB.ZA.Intro_01	none
Rom.HB.ZA.Intro_02	narrator
Rom.HB.ZA.Intro_03	narrator
Rom.HB.ZA.Intro_04	narrator
Rom.HB.ZA.Intro_05	narrator
Rom.HB.ZA.Intro_06	narrator
Rom.HB.ZA.Intro_07	narrator
Rom.HB.ZA.Post_01	narrator
Rom.HB.ZA.Post_02	narrator
Rom.HB.ZA.Post_03	narrator
Rom.HB.ZA.Pre_01	narrator
Rom.HB.ZA.Pre_02	narrator
Rom.HB.ZA.Pre_03	narrator
Rom.HB.ZA.Pre_04	narrator
Rom.HB.ZA.Pre_05	narrator
Rom.HB.ZE.Intro_01	none
Rom.HB.ZE.Intro_02	narrator
Rom.HB.ZE.Intro_03	narrator
Rom.HB.ZE.Intro_04	narrator
Rom.HB.ZE.Intro_05	narrator
Rom.HB.ZE.Post_01	narrator
Rom.HB.ZE.Post_02	narrator
Rom.HB.ZE.Pre_01	narrator
Rom.HB.ZE.Pre_02	narrator
Rom.HB.ZE.Pre_03	narrator
Rom.Pro.Camp2.Rom.Outro_01	prologue_roman_01
Rom.Pro.Camp2.Rut.Outro_01	prologue_rutilus
Rom.Pro.Camp2.SI.Outro_01	prologue_silanus
Rom.Pro.Camp2.SI.Outro_02	prologue_silanus
Rom.Pro.Capua.Leanas_01	prologue_leanas
Rom.Pro.Capua.SI.Intro_01	none
Rom.Pro.Capua.SI.Intro_02	prologue_silanus
Rom.Pro.Capua.SI.Intro_03	prologue_silanus
Rom.Pro.Capua.SI.Intro_04	prologue_silanus
Rom.Pro.Capua.SI.Intro_05	prologue_silanus
Rom.Pro.Capua.SI.Intro_06	prologue_silanus
Rom.Pro.SI.Outro_01	prologue_silanus
Rom.Pro.SI.Outro_02	prologue_silanus
Rom.Pro.SI.Outro_03	prologue_silanus
Rom.Pro.SI.Outro_04	prologue_silanus
Rom.Pro.SI.Outro_05	prologue_silanus
Rom.Pro.SI.Outro_06	prologue_silanus
Rom.Pro.SI.Outro_07	prologue_silanus
Rom.Pro.SI.Outro_08	prologue_silanus
Rom.Pro.SI.Outro_09	prologue_silanus
Rom.Pro.SI.Outro_10	prologue_silanus
Rom.Pro.SI.Outro_11	prologue_silanus
Rom.Pro.SI.Outro_12	prologue_silanus
