key	nobility	gender	agent_type	faction	spawning_window_start	spawning_window_end	spawn_conditions	name_key	surname_key	art_set_id	clan_name_key	other_name_key	political_party	age_start
513	false	m	general	pel_rebels_dorian	345	347	1	2147345874						0
514	false	m	general	pel_rebels_dorian	347	349	1	2147345336						0
515	false	m	general	pel_rebels_dorian	349	351	1	2147345478						0
516	false	m	general	pel_rebels_dorian	351	353	1	2147345961						0
52	false	m	general	rom_arverni	694	703	1	2147343243		Cel_General_03			rom_politics_arverni_ruler	0
53	false	m	general	rom_sequani	694	703	1	2147343101		Cel_General_04				0
54	false	m	general	rom_sequani	673	728	1	2147343117		Cel_General_05				0
55	false	m	dignitary	rom_aedui	695	723	1	2147343139		rom_agent_barbarian_dignitary_male_gaul_01				0
56	false	m	dignitary	rom_aedui	689	718	1	2147343237		rom_agent_barbarian_dignitary_male_gaul_01				0
57	false	m	general	rom_carthage	526	570	1	2147331980	2147343273	Car_General_02			rom_politics_carthage_barcid	0
6	false	m	general	rom_rome	544	593	1	2147319505	2147319639	Rom_General_05	2147319579		rom_politics_rome_council	0
600	false	m	general	pel_athenai	343	344	1	2147345292						0
601	false	m	general	pel_athenai	337	338	1	2147345354					pel_politics_athenai_alkmaionid	0
602	false	m	general	pel_athenai	350	351	1	2147345818						0
603	false	m	general	pel_athenai	322	323	1	2147346302						0
604	false	m	general	pel_athenai	336	337	1	2147346859					pel_politics_athenai_populist	0
605	false	m	general	pel_sparta	344	345	1	2147346858						0
606	false	m	general	pel_boiotia	341	342	1	2147346914					pel_politics_boiotia_thebai	0
607	false	m	general	pel_sparta	342	343	1	2147346852						0
608	false	m	general	pel_sparta	336	337	1	2147346882						0
609	false	m	general	pel_sparta	332	333	1	2147346889						0
610	false	m	general	pel_sparta	340	341	1	2147346922						0
666	false	m	general	3c_palmyra	1031	1031	1	2147346945		3c_Vaballathus			3c_politics_palmyra_ruler	0
667	false	m	general	3c_palmyra	1031	1031	1	2147346945		3c_Vaballathus			3c_politics_palmyra_ruler	0
668	false	m	general	3c_palmyra	1031	1031	1	2147346945		3c_Vaballathus			3c_politics_palmyra_ruler	0
669	false	m	general	3c_palmyra	1031	1031	1	2147346945		3c_Vaballathus			3c_politics_palmyra_ruler	0
7	false	m	general	rom_rome	635	675	1	2147319505	2147328227	Rom_General_06	2147319553		rom_politics_rome_cornelia	0
700	false	f	general	rom_iceni	565	580	1	2147335504						20
701	false	f	general	rom_nabatea	588	624	1	2147347949						19
702	false	f	general	rom_persia	588	624	1	2147324734						19
703	false	f	general	rom_athens	588	624	1	2147341641						25
704	false	f	general	rom_rome	588	624	1	2147330618						24
705	false	f	general	rom_iceni	588	624	1	2147335338						21
706	false	f	general	rom_kush	588	624	1	2147347620						22
707	false	f	general	rom_ptolemaics	588	624	1	2147321668						19
708	false	f	general	rom_ardiaei	588	624	1	2147335182						19
709	false	f	general	rom_kush	588	624	1	2147347962						19
710	false	f	general	rom_parthia	588	624	1	2147325868						19
711	false	f	general	rom_athens	588	624	1	2147341895						19
712	false	f	general	rom_rome	588	624	1	2147330930						20
713	false	f	general	rom_boii	588	624	1	2147335432						22
714	false	f	general	rom_kush	588	624	1	2147324586						22
715	false	f	general	rom_persia	588	624	1	2147325707						23
716	false	f	general	rom_athens	588	624	1	2147342900						22
717	false	f	general	rom_rome	588	624	1	2147331104						25
718	false	f	general	rom_iceni	588	624	1	2147323529						20
719	false	f	general	rom_kush	588	624	1	2147324638						20
720	false	f	general	rom_ptolemaics	588	624	1	2147322163						20
721	false	f	general	rom_iceni	588	624	1	2147323906						20
722	false	f	general	rom_kush	588	624	1	2147324638						20
723	false	f	general	rom_persia	588	624	1	2147325861						20
724	false	f	general	rom_athens	588	624	1	2147342916						20
725	false	f	general	rom_rome	588	624	1	2147331124						22
726	false	f	general	rom_iceni	588	624	1	2147335315						25
727	false	f	general	rom_kush	588	624	1	2147324586						26
728	false	f	general	rom_persia	588	624	1	2147326022						25
729	false	f	general	rom_athens	588	624	1	2147342106						24
730	false	f	general	rom_rome	588	624	1	2147331241						27
731	false	f	general	rom_boii	588	624	1	2147335712						21
732	false	f	general	rom_kush	588	624	1	2147347971						21
733	false	f	general	rom_ptolemaics	588	624	1	2147341574						21
8	false	m	general	rom_rome	624	666	1	2147319538	2147328700	Rom_General_07	2147326956		rom_politics_rome_council	0
800	false	f	general	rom_iceni	1	1	1	2147348012		FemGen_Boudica				17
801	false	f	general	emp_iceni	1	1	1	2147348012		FemGen_Boudica				17
9	false	m	general	rom_rome	588	624	1	2147319515	2147319597	Scipio_Africanus_Punic	2147319553		rom_politics_rome_cornelia	0
901	false	f	general	rom_ptolemaics	1	1	1	2147321706		dk_fem_egy_general_01			rom_politics_egypt_ptolemaic	20
902	false	f	general	rom_ptolemaics	1	1	1	2147322221		dk_fem_egy_general_01			rom_politics_egypt_ptolemaic	18
903	false	f	general	rom_ptolemaics	1	1	1	2147348243		dk_fem_egy_general_02			rom_politics_egypt_ptolemaic	23
904	false	f	general	rom_ptolemaics	610	640	1	2147322221		dk_fem_egy_general_01			rom_politics_egypt_ptolemaic	0
905	false	f	general	rom_ptolemaics	680	710	1	2147322221		dk_fem_egy_general_02			rom_politics_egypt_ptolemaic	0
906	false	f	general	rom_ptolemaics	1	1	1	2147322191		dk_fem_egy_general_01			rom_politics_egypt_ptolemaic	27
907	false	f	general	rom_seleucid	1	1	1	2147348257		dk_fem_hel_general_01			rom_politics_seleucid_seleucids	23
908	false	f	general	rom_bithynia	450	505	1	2147348100						0
909	false	f	general	rom_epirus	1	1	1	2147319809		dk_fem_hel_general_02				24
910	false	f	general	rom_pontus	1	1	1	2147321696		dk_fem_hel_general_03			rom_politics_pontus_mithridatic	22
911	false	f	general	rom_pontus	1	1	1	2147321696		dk_fem_hel_general_01			rom_politics_pontus_mithridatic	24
912	false	f	general	rom_kush	700	750	1	2147324296					rom_politics_kush_ruler	0
913	false	f	general	emp_meroe	750	800	1	2147324296						0
914	false	f	general	emp_meroe	735	765	1	2147324615						0
916	false	f	general	emp_armenia	1	1	1	2147348263		dk_fem_east_general_01				19
917	false	f	general	emp_pontus	762	800	1	2147348109						0
918	false	f	general	emp_parthia	1	1	1	2147348120		dk_fem_hel_general_02				22
919	false	f	general	emp_pontus	763	800	1	2147348127						0
920	false	f	general	emp_thrace	781	810	1	2147348132						0
921	false	f	general	rom_kush	1	1	1	2147348280					rom_politics_kush_ruler	24
922	false	f	general	rom_kush	742	770	1	2147324615					rom_politics_kush_ruler	0
923	false	f	general	rom_kush	1	1	1	2147324621		dk_fem_kush_general_01			rom_politics_kush_ruler	25
924	false	f	general	3c_meroe	1042	1070	1	2147324356						0
925	false	f	general	rom_cimmeria	686	710	1	2147348150					rom_politics_cimmeria_ruler	0
926	false	f	general	emp_pontus	712	740	1	2147348150						0
