event	instant_open	layout	requires_response	priority
agent_their_dignitary_discredit_fail	true	standard	false	100
agent_their_dignitary_kill_character_authority_success	true	standard	false	100
agent_their_dignitary_kill_character_authority_wound	true	standard	false	100
agent_their_dignitary_kill_character_subterfuge_success	true	standard	false	100
agent_their_dignitary_kill_character_subterfuge_wound	true	standard	false	100
agent_their_dignitary_kill_character_zeal_success	true	standard	false	100
agent_their_dignitary_kill_character_zeal_wound	true	standard	false	100
agent_their_dignitary_steal_character_authority_stop	true	standard	false	100
agent_their_dignitary_steal_character_authority_success	true	standard	false	100
agent_their_dignitary_steal_character_subterfuge_stop	true	standard	false	100
agent_their_dignitary_steal_character_subterfuge_success	true	standard	false	100
agent_their_dignitary_steal_character_zeal_stop	true	standard	false	100
agent_their_dignitary_steal_character_zeal_success	true	standard	false	100
agent_their_spy_anti_army_authority_success	true	standard	false	100
agent_their_spy_anti_army_fail	false	standard	false	100
agent_their_spy_anti_army_subterfuge_success	true	standard	false	100
agent_their_spy_anti_army_zeal_success	true	standard	false	100
agent_their_spy_anti_settlement_authority_success	true	standard	false	100
agent_their_spy_anti_settlement_fail	false	standard	false	100
agent_their_spy_anti_settlement_subterfuge_success	true	standard	false	100
agent_their_spy_anti_settlement_zeal_success	true	standard	false	100
agent_their_spy_kill_character_authority_success	true	standard	false	100
agent_their_spy_kill_character_authority_wound	true	standard	false	100
agent_their_spy_kill_character_subterfuge_success	true	standard	false	100
agent_their_spy_kill_character_subterfuge_wound	true	standard	false	100
agent_their_spy_kill_character_zeal_success	true	standard	false	100
agent_their_spy_kill_character_zeal_wound	true	standard	false	100
agent_their_spy_slow_character_fail	true	standard	false	100
agent_their_spy_slow_character_zeal_critical_success	true	standard	false	100
agent_their_spy_slow_character_zeal_success	true	standard	false	100
agent_their_spy_steal_character_authority_stop	true	standard	false	100
agent_their_spy_steal_character_authority_success	true	standard	false	100
agent_their_spy_steal_character_subterfuge_stop	true	standard	false	100
agent_their_spy_steal_character_subterfuge_success	true	standard	false	100
agent_their_spy_steal_character_zeal_stop	true	standard	false	100
agent_their_spy_steal_character_zeal_success	true	standard	false	100
agent_theirs_spy_steal_character_fail	true	standard	false	100
agent_theirs_spy_steal_character_success	true	standard	false	100
agent_theirs_spy_steal_character_success_critical	true	standard	false	100
agent_wounded	true	standard	false	100
agent_wounded_female	true	standard	false	100
agent_wounded_theirs	true	standard	false	100
agent_your_any_kill_character_fail	true	standard	false	100
agent_your_any_kill_character_success	true	standard	false	100
agent_your_any_kill_character_wound	true	standard	false	100
agent_your_any_steal_character_fail	true	standard	false	100
agent_your_any_steal_character_kill	true	standard	false	100
agent_your_any_steal_character_stop	true	standard	false	100
agent_your_any_steal_character_success	true	standard	false	100
agent_your_champion_anti_army_authority_success	true	standard	false	100
agent_your_champion_anti_army_fail	true	standard	false	100
agent_your_champion_anti_army_subterfuge_success	true	standard	false	100
agent_your_champion_anti_army_zeal_success	true	standard	false	100
agent_your_champion_anti_settlement_authority_success	true	standard	false	100
agent_your_champion_anti_settlement_fail	true	standard	false	100
agent_your_champion_anti_settlement_subterfuge_success	true	standard	false	100
agent_your_champion_anti_settlement_zeal_success	true	standard	false	100
agent_your_champion_kill_character_authority_success	true	standard	false	100
agent_your_champion_kill_character_authority_wound	true	standard	false	100
agent_your_champion_kill_character_subterfuge_success	true	standard	false	100
agent_your_champion_kill_character_subterfuge_wound	true	standard	false	100
agent_your_champion_kill_character_zeal_success	true	standard	false	100
agent_your_champion_kill_character_zeal_wound	true	standard	false	100
agent_your_champion_steal_character_authority_stop	true	standard	false	100
agent_your_champion_steal_character_authority_success	true	standard	false	100
agent_your_champion_steal_character_subterfuge_stop	true	standard	false	100
agent_your_champion_steal_character_subterfuge_success	true	standard	false	100
agent_your_champion_steal_character_zeal_stop	true	standard	false	100
agent_your_champion_steal_character_zeal_success	true	standard	false	100
agent_your_dignitary_anti_army_authority_success	true	standard	false	100
agent_your_dignitary_anti_army_authority_success_critical	true	standard	false	100
agent_your_dignitary_anti_army_bribery_fail	true	standard	false	100
agent_your_dignitary_anti_army_fail	true	standard	false	100
agent_your_dignitary_anti_army_subterfuge_success	true	standard	false	100
agent_your_dignitary_anti_army_zeal_success	true	standard	false	100
agent_your_dignitary_anti_settlement_authority_success	true	standard	false	100
agent_your_dignitary_anti_settlement_fail	true	standard	false	100
agent_your_dignitary_anti_settlement_subterfuge_success	true	standard	false	100
agent_your_dignitary_anti_settlement_zeal_success	true	standard	false	100
agent_your_dignitary_discredit_fail	true	standard	false	100
agent_your_dignitary_kill_character_authority_success	true	standard	false	100
agent_your_dignitary_kill_character_authority_wound	true	standard	false	100
agent_your_dignitary_kill_character_subterfuge_success	true	standard	false	100
agent_your_dignitary_kill_character_subterfuge_wound	true	standard	false	100
agent_your_dignitary_kill_character_zeal_success	true	standard	false	100
agent_your_dignitary_kill_character_zeal_wound	true	standard	false	100
agent_your_dignitary_steal_character_authority_stop	true	standard	false	100
agent_your_dignitary_steal_character_authority_success	true	standard	false	100
agent_your_dignitary_steal_character_subterfuge_stop	true	standard	false	100
agent_your_dignitary_steal_character_subterfuge_success	true	standard	false	100
agent_your_dignitary_steal_character_zeal_stop	true	standard	false	100
agent_your_dignitary_steal_character_zeal_success	true	standard	false	100
agent_your_spy_anti_army_authority_success	true	standard	false	100
agent_your_spy_anti_army_fail	true	standard	false	100
agent_your_spy_anti_army_subterfuge_success	true	standard	false	100
agent_your_spy_anti_army_zeal_success	true	standard	false	100
agent_your_spy_anti_settlement_authority_success	true	standard	false	100
agent_your_spy_anti_settlement_fail	true	standard	false	100
agent_your_spy_anti_settlement_subterfuge_success	true	standard	false	100
agent_your_spy_anti_settlement_zeal_success	true	standard	false	100
agent_your_spy_kill_character_authority_success	true	standard	false	100
agent_your_spy_kill_character_authority_wound	true	standard	false	100
agent_your_spy_kill_character_subterfuge_success	true	standard	false	100
agent_your_spy_kill_character_subterfuge_wound	true	standard	false	100
agent_your_spy_kill_character_zeal_success	true	standard	false	100
agent_your_spy_kill_character_zeal_wound	true	standard	false	100
agent_your_spy_slow_character_fail	true	standard	false	100
agent_your_spy_slow_character_zeal_critical_success	true	standard	false	100
agent_your_spy_slow_character_zeal_success	true	standard	false	100
agent_your_spy_steal_character_authority_stop	true	standard	false	100
agent_your_spy_steal_character_authority_success	true	standard	false	100
agent_your_spy_steal_character_fail	true	standard	false	100
agent_your_spy_steal_character_subterfuge_stop	true	standard	false	100
agent_your_spy_steal_character_subterfuge_success	true	standard	false	100
agent_your_spy_steal_character_zeal_stop	true	standard	false	100
agent_your_spy_steal_character_zeal_success	true	standard	false	100
agent_yours_spy_steal_character_success	true	standard	false	100
agent_yours_spy_steal_character_success_critical	true	standard	false	100
alliance_broken	true	diplomacy_notification	false	100
alliance_broken_yours_manipulated	true	diplomacy_notification	false	100
alliance_declared	false	diplomacy_notification	false	100
ally_attacked	true	ally_attacked	true	100
ambush_failed	true	standard	false	100
ambusher_discovered_theirs	false	standard	false	100
ambusher_discovered_yours	true	standard	false	100
ancillary_gained_character_with_ancillary	false	trait_ancillary_gained	false	100
ancillary_gained_character_without_ancillary	false	trait_ancillary_gained	false	100
ancillary_gained_other	false	custom_list	false	100
ancillary_lost_destroyed	false	standard	false	100
ancillary_lost_destroyed_with_character	false	standard	false	100
ancillary_lost_killed	false	standard	false	100
ancillary_lost_killed_with_character	false	standard	false	100
ancillary_lost_natural_causes	false	standard	false	100
attrition_besieged	false	standard	false	100
attrition_besieging	false	standard	false	100
attrition_blockaded	false	standard	false	100
attrition_blockading	false	standard	false	100
attrition_desert	false	standard	false	100
attrition_discipline	false	standard	false	100
attrition_disease	false	standard	false	100
attrition_high_seas	false	standard	false	100
attrition_mountain	false	standard	false	100
attrition_swamp	false	standard	false	100
attrition_winter	false	standard	false	100
battlemap_allied_general_killed	false	standard	false	100
battlemap_allied_general_wounded	false	standard	false	100
battlemap_building_captured	false	standard	false	100
battlemap_building_captured_allies	false	standard	false	100
battlemap_building_captured_enemy	false	standard	false	100
battlemap_enemy_general_killed	false	standard	false	100
battlemap_enemy_general_wounded	false	standard	false	100
battlemap_reinforcements_arrive	true	standard	false	100
battlemap_reinforcements_delayed	false	standard	false	100
battlemap_unit_routs	false	standard	false	100
battlemap_your_general_killed	false	standard	false	100
battlemap_your_general_wounded	false	standard	false	100
building_constructed	false	building_constructed	false	100
building_your_legendary_built_generic	false	building_constructed	false	100
camp_unrest_imminent_rebellion	true	standard	false	100
camp_unrest_imminent_riots	true	standard	false	100
camp_unrest_imminent_slave_uprising	true	standard	false	100
camp_unrest_rebellion	true	standard	false	100
camp_unrest_riots	true	standard	false	100
camp_unrest_slave_uprising	true	standard	false	100
campaign_lost	true	standard	false	100
campaign_won	true	standard	false	100
campmap_AI_backstab_warning	true	standard	false	100
campmap_bankrupt_desertion	true	standard	false	100
campmap_bankrupt_desertion_summary	true	custom_list	false	100
campmap_cultural_victory	true	standard	false	100
campmap_economic_victory	true	standard	false	100
campmap_enemy_army_withdraws	false	standard	false	100
campmap_enemy_naval_invasion	true	standard	false	100
campmap_enemy_navy_withdraws	false	standard	false	100
campmap_faction_breaks_treaty_diplomatic	true	standard	false	100
campmap_faction_encountered_you	false	standard	false	100
campmap_faction_joins_war	false	diplomacy_notification	false	100
campmap_faction_joins_your_enemies	true	standard	false	100
campmap_faction_joins_your_enemies_diplomatic	true	standard	false	100
campmap_food_shortage	true	standard	false	100
campmap_impending_deadline	true	standard	false	100
campmap_military_victory	true	standard	false	100
campmap_prestige_level_increases	true	fame	false	100
campmap_province_development	false	standard	false	100
campmap_province_populace_content	false	incident	false	100
campmap_province_populace_happy	false	incident	false	100
campmap_province_populace_jubilant	false	incident	false	100
campmap_province_populace_outraged	false	incident	false	100
campmap_province_populace_troubled	false	incident	false	100
campmap_province_populace_unhappy	false	incident	false	100
campmap_province_slums	true	standard	false	100
campmap_settlement_surrenders	true	standard	false	100
campmap_you_become_emperor	true	standard	false	100
campmap_you_captured_rome	true	standard	false	100
campmap_you_civil_war	true	standard	false	200
campmap_you_civil_war_chance_high	true	standard	false	200
campmap_you_civil_war_chance_low	true	standard	false	200
campmap_you_civil_war_chance_medium	true	standard	false	200
campmap_you_lost_rome	true	standard	false	100
campmap_you_maintain_republic	true	standard	false	100
campmap_you_secession	true	standard	false	200
campmap_you_secession_or_civil_war_protection_expired	true	standard	false	200
campmap_you_secession_or_civil_war_protection_will_expire	true	standard	false	200
campmap_your_general_available	true	standard	false	100
campmap_your_general_convalesced	true	standard	false	100
campmap_your_general_converted	true	standard	false	100
campmap_your_general_disbanded_ready	true	standard	false	100
campmap_your_general_killed	true	standard	false	100
campmap_your_general_killed_politics	true	standard	false	100
campmap_your_general_returns_to_capital	true	standard	false	100
campmap_your_general_wounded_politics	true	standard	false	100
campmap_your_immortal_general_returns_to_capital	false	standard	false	100
ceasefire_declared	false	standard	false	100
ceasefire_declared_them	true	diplomacy_notification	false	100
character_dies_commanding_replace	true	appoint_new_general	true	100
character_dies_natural_causes	true	standard	false	100
character_dies_natural_causes_female	true	standard	false	100
character_dies_navy_destroyed	true	standard	false	100
character_dies_suspicious	true	standard	false	100
character_dies_suspicious_female	true	standard	false	100
character_gains_level	true	standard	false	100
character_gains_level_female	true	standard	false	100
character_trait_gained	false	trait_ancillary_gained	false	100
client_state_broken_by_client	true	diplomacy_notification	false	100
client_state_broken_by_client_yours_manipulated	true	diplomacy_notification	false	100
client_state_broken_by_overlord	false	diplomacy_notification	false	100
client_state_broken_by_overlord_yours_manipulated	true	diplomacy_notification	false	100
client_state_declared	false	diplomacy_notification	false	100
copy_protection_message	true	standard	false	100
custom_event_1	true	standard	false	0
custom_event_2	true	standard	false	0
custom_event_3	true	standard	false	0
custom_event_4	true	standard	false	0
custom_event_5	true	standard	false	0
custom_event_6	true	standard	false	0
custom_event_7	true	standard	false	0
custom_event_8	true	standard	false	0
custom_event_9	true	standard	false	100
edict_cancelled_imperium_drop	true	standard	false	100
edict_cancelled_region_lost	true	standard	false	100
edict_issued	false	standard	false	100
emergent_faction	false	standard	false	100
enhanced_event_banditry_decrease_province_wealth	true	standard	false	100
enhanced_event_banditry_reduced_public_order	true	standard	false	100
enhanced_event_banditry_stop_food_production	true	standard	false	100
faction_confederated	false	standard	false	100
faction_confederated_them	false	standard	false	100
faction_destroyed	true	standard	false	100
faction_destroyed_minor	true	standard	false	100
faction_destroyed_them	false	standard	false	100
faction_destroyed_them_minor	false	standard	false	100
incident_issued	true	incident	false	100
internal_mission_cancelled	false	standard	false	100
internal_mission_failed	false	standard	false	100
internal_mission_issued	true	standard	false	100
internal_mission_successful	false	standard	false	100
inv_attack_rome	true	standard	false	100
inv_government_action_ready	true	standard	false	100
inv_second_battle_rome_attacker	true	standard	false	100
inv_second_battle_rome_defender	true	standard	false	100
liberation	true	diplomacy_notification	false	100
military_access_cancelled	false	standard	false	100
military_access_cancelled_manipulated	true	standard	false	100
military_access_expired	false	standard	false	100
military_access_prompt	false	standard	false	100
military_tech_advance	true	technology_advances	false	100
movement_blocked	false	standard	false	100
nonaggression_broken_yours_manipulated	true	diplomacy_notification	false	100
plague_spreads_to_non_player_region	true	standard	false	100
plague_spreads_to_player_region	true	standard	false	100
plague_starts_in_player_region	true	standard	false	100
plague_summary	true	custom_list	false	100
politics_character_defects	true	standard	false	100
politics_character_defects_summary	true	custom_list	false	100
politics_character_diplomatic_mission_ended	true	standard	false	100
politics_character_high_gravitas_warning	true	standard	false	100
politics_character_mission_ended	true	standard	false	100
politics_character_released_from_prison	true	standard	false	100
politics_government_type_event	true	standard	false	100
politics_political_event	true	standard	false	100
politics_political_event_marriage	true	standard	false	100
politics_political_event_tutoring	true	standard	false	100
politics_political_party_split	false	standard	false	100
politics_your_diplomat_killed	true	standard	false	100
pun_rome_releasing_defenders_1	true	standard	false	100
pun_rome_releasing_defenders_2	true	standard	false	100
pun_rome_releasing_defenders_3	true	standard	false	100
realm_divide_faction_reinforcements_against_faction	true	standard	false	100
realm_divide_factions_unite_against_faction	true	standard	false	100
region_captured	false	standard	false	100
satrapy_broken_by_overlord	false	diplomacy_notification	false	100
satrapy_broken_by_overlord_yours_manipulated	true	diplomacy_notification	false	100
satrapy_declared	false	diplomacy_notification	false	100
satrapy_declares_war_on_overlord	false	diplomacy_notification	false	100
satrapy_declares_war_on_overlord_yours	true	diplomacy_notification	false	100
seasonal_province_effect_bundle_applied	false	standard	false	100
speciality_resource_acquired	false	standard	false	100
speciality_resource_lost	false	standard	false	100
speciality_wonder_discovered	false	standard	false	100
subject_message_new_subject	true	incident	false	100
subject_message_subject_expires	true	incident	false	100
summary_attrition	true	custom_list	false	100
summary_character_trait_gained	false	custom_list	false	100
summary_construction	false	custom_list	false	100
summary_recruitment	false	custom_list	false	100
summary_recruitment_ships	false	custom_list	false	100
their_army_sacks_settlement	true	standard	false	100
trade_agreement_cancelled	true	standard	false	100
trade_agreement_cancelled_embargo	true	standard	false	100
trade_agreement_cancelled_port_loss	true	standard	false	100
trade_agreement_dissolved	true	standard	false	100
trespass_foreign_land	true	standard	false	100
trespass_your_land	false	standard	false	100
unit_recruited	false	recruitment	false	100
unit_recruited_ship	false	recruitment	false	100
war_coordination_ally_mobilisation	true	standard	false	100
war_coordination_target_available	false	standard	false	100
war_coordination_target_not_available	true	standard	false	100
war_declared	false	diplomacy_notification	false	100
war_starving_out	true	standard	false	100
welcome_to_invasion	true	standard	false	100
welcome_to_invasion_insubres	true	standard	false	100
welcome_to_invasion_iolei	true	standard	false	100
welcome_to_invasion_rome	true	standard	false	100
welcome_to_invasion_samnites	true	standard	false	100
welcome_to_invasion_senones	true	standard	false	100
welcome_to_invasion_syracuse	true	standard	false	100
welcome_to_invasion_taras	true	standard	false	100
welcome_to_invasion_tarchuna	true	standard	false	100
welcome_to_invasion_veneti	true	standard	false	100
your_army_destroyed	false	standard	false	100
your_army_embarked_destroyed	false	standard	false	100
your_army_gains_level	true	standard	false	100
your_army_loots_settlement	false	standard	false	100
your_army_razes_settlement	false	standard	false	100
your_army_retreats_region	false	standard	false	100
your_army_sacks_settlement	false	standard	false	100
your_bankruptcy_imminent	true	standard	false	100
your_bankruptcy_no_cash	true	standard	false	100
your_capital_lost	true	capital_lost	false	100
your_capital_recaptured	false	standard	false	100
your_fleet_destroyed	false	standard	false	100
your_fleet_gains_level	true	standard	false	100
your_port_blockaded	true	standard	false	100
your_province_contested	false	standard	false	100
your_province_controlled	false	standard	false	100
your_region_captured	false	standard	false	100
your_region_raided	true	standard	false	100
your_sea_region_contested	true	standard	false	100
your_sea_region_controlled	false	standard	false	100
your_sea_region_raided	true	standard	false	100
your_settlement_besieged	true	standard	false	100
your_settlement_besieged_port	true	standard	false	100
your_trade_route_raided	true	standard	false	100
