from	to
3c_barb_city_1	3c_barb_city_2
3c_barb_city_2	3c_barb_city_3
3c_barb_city_3	3c_barb_city_industry_4
3c_barb_city_3	3c_barb_city_trade_4
3c_barb_city_3	3c_barb_city_tribal_4
3c_barb_commons_1	3c_barb_commons_chieftan_2
3c_barb_commons_1	3c_barb_commons_lore_2
3c_barb_commons_1	3c_barb_commons_market_2
3c_barb_commons_1	3c_barb_commons_slave_2
3c_barb_commons_1	3c_barb_commons_storage_2
3c_barb_commons_chieftan_2	3c_barb_commons_chieftan_3
3c_barb_commons_chieftan_3	3c_barb_commons_chieftan_4
3c_barb_commons_chieftan_4	3c_barb_commons_chieftan_5
3c_barb_commons_lore_2	3c_barb_commons_lore_3
3c_barb_commons_lore_3	3c_barb_commons_lore_4
3c_barb_commons_market_2	3c_barb_commons_market_3
3c_barb_commons_market_3	3c_barb_commons_market_4
3c_barb_commons_nomad_1	3c_barb_commons_nomad_chieftan_2
3c_barb_commons_nomad_1	3c_barb_commons_nomad_lore_2
3c_barb_commons_nomad_1	3c_barb_commons_nomad_market_2
3c_barb_commons_nomad_1	3c_barb_commons_nomad_slave_2
3c_barb_commons_nomad_1	3c_barb_commons_nomad_storage_2
3c_barb_commons_nomad_chieftan_2	3c_barb_commons_nomad_chieftan_3
3c_barb_commons_nomad_chieftan_3	3c_barb_commons_nomad_chieftan_4
3c_barb_commons_nomad_lore_2	3c_barb_commons_nomad_lore_3
3c_barb_commons_nomad_lore_3	3c_barb_commons_nomad_lore_4
3c_barb_commons_nomad_market_2	3c_barb_commons_nomad_market_3
3c_barb_commons_nomad_market_3	3c_barb_commons_nomad_market_4
3c_barb_commons_nomad_slave_2	3c_barb_commons_nomad_slave_3
3c_barb_commons_nomad_storage_2	3c_barb_commons_nomad_storage_3
3c_barb_commons_nomad_storage_3	3c_barb_commons_nomad_storage_4
3c_barb_commons_slave_2	3c_barb_commons_slave_3
3c_barb_commons_storage_2	3c_barb_commons_storage_3
3c_barb_commons_storage_3	3c_barb_commons_storage_4
3c_barb_craftsmen_1	3c_barb_craftsmen_pot_2
3c_barb_craftsmen_1	3c_barb_craftsmen_salt_2
3c_barb_craftsmen_1	3c_barb_craftsmen_wood_2
3c_barb_craftsmen_pot_2	3c_barb_craftsmen_pot_3
3c_barb_craftsmen_pot_3	3c_barb_craftsmen_pot_4
3c_barb_craftsmen_salt_2	3c_barb_craftsmen_salt_3
3c_barb_craftsmen_salt_3	3c_barb_craftsmen_salt_4
3c_barb_craftsmen_wood_2	3c_barb_craftsmen_wood_3
3c_barb_craftsmen_wood_3	3c_barb_craftsmen_wood_4
3c_barb_glass_1	3c_barb_glass_2
3c_barb_glass_2	3c_barb_glass_3
3c_barb_glass_3	3c_barb_glass_4
3c_barb_gold_1	3c_barb_gold_2
3c_barb_gold_2	3c_barb_gold_3
3c_barb_gold_3	3c_barb_gold_4
3c_barb_grain_1	3c_barb_grain_2
3c_barb_grain_2	3c_barb_grain_3
3c_barb_grain_3	3c_barb_grain_4
3c_barb_horse_1	3c_barb_horse_2
3c_barb_horse_2	3c_barb_horse_3
3c_barb_iron_1	3c_barb_iron_armour_2
3c_barb_iron_1	3c_barb_iron_weapon_2
3c_barb_iron_armour_2	3c_barb_iron_armour_3
3c_barb_iron_weapon_2	3c_barb_iron_weapon_3
3c_barb_lead_1	3c_barb_lead_2
3c_barb_lead_2	3c_barb_lead_3
3c_barb_lead_3	3c_barb_lead_4
3c_barb_leather_1	3c_barb_leather_2
3c_barb_leather_2	3c_barb_leather_3
3c_barb_leather_3	3c_barb_leather_4
3c_barb_lumber_1	3c_barb_lumber_2
3c_barb_lumber_2	3c_barb_lumber_3
3c_barb_lumber_3	3c_barb_lumber_4
3c_barb_marble_1	3c_barb_marble_2
3c_barb_marble_2	3c_barb_marble_3
3c_barb_marble_3	3c_barb_marble_4
3c_barb_military_buff_1	3c_barb_military_buff_gold_2
3c_barb_military_buff_1	3c_barb_military_buff_grounds_2
3c_barb_military_buff_1	3c_barb_military_buff_tavern_2
3c_barb_military_buff_gold_2	3c_barb_military_buff_gold_3
3c_barb_military_buff_gold_3	3c_barb_military_buff_gold_4
3c_barb_military_buff_grounds_2	3c_barb_military_buff_grounds_3
3c_barb_military_buff_grounds_3	3c_barb_military_buff_grounds_4
3c_barb_military_buff_tavern_2	3c_barb_military_buff_tavern_3
3c_barb_military_buff_tavern_3	3c_barb_military_buff_tavern_4
3c_barb_mine_1	3c_barb_mine_2
3c_barb_mine_2	3c_barb_mine_3
3c_barb_mine_3	3c_barb_mine_4
3c_barb_navalbuff_1	3c_barb_navalbuff_2
3c_barb_navalbuff_2	3c_barb_navalbuff_3
3c_barb_navalbuff_3	3c_barb_navalbuff_4
3c_barb_olive_1	3c_barb_olive_2
3c_barb_olive_2	3c_barb_olive_3
3c_barb_olive_3	3c_barb_olive_4
3c_barb_port_1	3c_barb_port_fishing_2
3c_barb_port_1	3c_barb_port_military_2
3c_barb_port_fishing_2	3c_barb_port_fishing_3
3c_barb_port_fishing_3	3c_barb_port_fishing_4
3c_barb_port_military_2	3c_barb_port_military_3
3c_barb_port_military_3	3c_barb_port_military_4
3c_barb_purple_dye_1	3c_barb_purple_dye_2
3c_barb_purple_dye_2	3c_barb_purple_dye_3
3c_barb_purple_dye_3	3c_barb_purple_dye_4
3c_barb_religious_1	3c_barb_religious_cernunnos_2
3c_barb_religious_1	3c_barb_religious_epona_2
3c_barb_religious_1	3c_barb_religious_rosmerta_2
3c_barb_religious_1	3c_barb_religious_toutatis_2
3c_barb_religious_briton_1	3c_barb_religious_briton_andraste_2
3c_barb_religious_briton_1	3c_barb_religious_briton_epona_2
3c_barb_religious_briton_1	3c_barb_religious_briton_nodens_2
3c_barb_religious_briton_1	3c_barb_religious_briton_rosmerta_2
3c_barb_religious_briton_1	3c_barb_religious_briton_toutatis_2
3c_barb_religious_briton_andraste_2	3c_barb_religious_briton_andraste_3
3c_barb_religious_briton_andraste_3	3c_barb_religious_briton_andraste_4
3c_barb_religious_briton_andraste_4	3c_barb_religious_briton_andraste_5
3c_barb_religious_briton_epona_2	3c_barb_religious_briton_epona_3
3c_barb_religious_briton_epona_3	3c_barb_religious_briton_epona_4
3c_barb_religious_briton_nodens_2	3c_barb_religious_briton_nodens_3
3c_barb_religious_briton_nodens_3	3c_barb_religious_briton_nodens_4
3c_barb_religious_briton_rosmerta_2	3c_barb_religious_briton_rosmerta_3
3c_barb_religious_briton_rosmerta_3	3c_barb_religious_briton_rosmerta_4
3c_barb_religious_briton_toutatis_2	3c_barb_religious_briton_toutatis_3
3c_barb_religious_briton_toutatis_3	3c_barb_religious_briton_toutatis_4
3c_barb_religious_cernunnos_2	3c_barb_religious_cernunnos_3
3c_barb_religious_cernunnos_3	3c_barb_religious_cernunnos_4
3c_barb_religious_epona_2	3c_barb_religious_epona_3
3c_barb_religious_epona_3	3c_barb_religious_epona_4
3c_barb_religious_german_1	3c_barb_religious_german_austro_2
3c_barb_religious_german_1	3c_barb_religious_german_frijjo_2
3c_barb_religious_german_1	3c_barb_religious_german_teiwaz_2
3c_barb_religious_german_1	3c_barb_religious_german_thunaraz_2
3c_barb_religious_german_1	3c_barb_religious_german_wodanaz_2
3c_barb_religious_german_austro_2	3c_barb_religious_german_austro_3
3c_barb_religious_german_austro_3	3c_barb_religious_german_austro_4
3c_barb_religious_german_frijjo_2	3c_barb_religious_german_frijjo_3
3c_barb_religious_german_frijjo_3	3c_barb_religious_german_frijjo_4
3c_barb_religious_german_teiwaz_2	3c_barb_religious_german_teiwaz_3
3c_barb_religious_german_teiwaz_3	3c_barb_religious_german_teiwaz_4
3c_barb_religious_german_thunaraz_2	3c_barb_religious_german_thunaraz_3
3c_barb_religious_german_thunaraz_3	3c_barb_religious_german_thunaraz_4
3c_barb_religious_german_wodanaz_2	3c_barb_religious_german_wodanaz_3
3c_barb_religious_german_wodanaz_3	3c_barb_religious_german_wodanaz_4
3c_barb_religious_german_wodanaz_4	3c_barb_religious_german_wodanaz_5
3c_barb_religious_nomad_1	3c_barb_religious_nomad_agrimpasa_2
3c_barb_religious_nomad_1	3c_barb_religious_nomad_api_2
3c_barb_religious_nomad_1	3c_barb_religious_nomad_goitosyros_2
3c_barb_religious_nomad_1	3c_barb_religious_nomad_papaios_2
3c_barb_religious_nomad_1	3c_barb_religious_nomad_tabiti_2
3c_barb_religious_nomad_agrimpasa_2	3c_barb_religious_nomad_agrimpasa_3
3c_barb_religious_nomad_agrimpasa_3	3c_barb_religious_nomad_agrimpasa_4
3c_barb_religious_nomad_api_2	3c_barb_religious_nomad_api_3
3c_barb_religious_nomad_api_3	3c_barb_religious_nomad_api_4
3c_barb_religious_nomad_api_4	3c_barb_religious_nomad_api_5
3c_barb_religious_nomad_goitosyros_2	3c_barb_religious_nomad_goitosyros_3
3c_barb_religious_nomad_goitosyros_3	3c_barb_religious_nomad_goitosyros_4
3c_barb_religious_nomad_papaios_2	3c_barb_religious_nomad_papaios_3
3c_barb_religious_nomad_papaios_3	3c_barb_religious_nomad_papaios_4
3c_barb_religious_nomad_tabiti_2	3c_barb_religious_nomad_tabiti_3
3c_barb_religious_nomad_tabiti_3	3c_barb_religious_nomad_tabiti_4
3c_barb_religious_rosmerta_2	3c_barb_religious_rosmerta_3
3c_barb_religious_rosmerta_3	3c_barb_religious_rosmerta_4
3c_barb_religious_toutatis_2	3c_barb_religious_toutatis_3
3c_barb_religious_toutatis_3	3c_barb_religious_toutatis_4
3c_barb_silk_1	3c_barb_silk_2
3c_barb_silk_2	3c_barb_silk_3
3c_barb_silk_3	3c_barb_silk_4
3c_barb_town_1	3c_barb_town_2
3c_barb_town_2	3c_barb_town_3
3c_barb_town_3	3c_barb_town_farm_4
3c_barb_town_3	3c_barb_town_tribal_4
3c_barb_water_1	3c_barb_water_canal_2
3c_barb_water_1	3c_barb_water_spring_2
3c_barb_water_canal_2	3c_barb_water_canal_3
3c_barb_water_spring_2	3c_barb_water_spring_3
3c_barb_wine_1	3c_barb_wine_2
3c_barb_wine_2	3c_barb_wine_3
3c_barb_wine_3	3c_barb_wine_4
3c_barbarian_cult_1	3c_barbarian_cult_christ_2
3c_barbarian_cult_1	3c_barbarian_cult_manich_2
3c_barbarian_cult_1	3c_barbarian_cult_mithra_2
3c_barbarian_cult_christ_2	3c_barbarian_cult_christ_3
3c_barbarian_cult_christ_3	3c_barbarian_cult_christ_4
3c_barbarian_cult_manich_2	3c_barbarian_cult_manich_3
3c_barbarian_cult_manich_3	3c_barbarian_cult_manich_4
3c_barbarian_cult_mithra_2	3c_barbarian_cult_mithra_3
3c_barbarian_cult_mithra_3	3c_barbarian_cult_mithra_4
3c_east_administration_1	3c_east_administration_security_2
3c_east_administration_1	3c_east_administration_spies_2
3c_east_administration_1	3c_east_administration_taxes_2
3c_east_administration_security_2	3c_east_administration_security_3
3c_east_administration_security_3	3c_east_administration_security_4
3c_east_administration_spies_2	3c_east_administration_spies_3
3c_east_administration_spies_3	3c_east_administration_spies_4
3c_east_administration_taxes_2	3c_east_administration_taxes_3
3c_east_administration_taxes_3	3c_east_administration_taxes_4
3c_east_agriculture_1	3c_east_agriculture_farm_2
3c_east_agriculture_1	3c_east_agriculture_granary_2
3c_east_agriculture_1	3c_east_agriculture_herding_2
3c_east_agriculture_farm_2	3c_east_agriculture_farm_3
3c_east_agriculture_farm_3	3c_east_agriculture_farm_4
3c_east_agriculture_granary_2	3c_east_agriculture_granary_3
3c_east_agriculture_granary_3	3c_east_agriculture_granary_4
3c_east_agriculture_herding_2	3c_east_agriculture_herding_3
3c_east_agriculture_herding_3	3c_east_agriculture_herding_4
3c_east_amber_1	3c_east_amber_2
3c_east_amber_2	3c_east_amber_3
3c_east_amber_3	3c_east_amber_4
3c_east_city_1	3c_east_city_royal_2
3c_east_city_1	3c_east_city_satrap_2
3c_east_city_centre_1	3c_east_city_centre_arena_2
3c_east_city_centre_1	3c_east_city_centre_library_2
3c_east_city_centre_1	3c_east_city_centre_palace_2
3c_east_city_centre_1	3c_east_city_centre_slave_2
3c_east_city_centre_1	3c_east_city_centre_spice_2
3c_east_city_centre_arena_2	3c_east_city_centre_arena_3
3c_east_city_centre_arena_3	3c_east_city_centre_arena_4
3c_east_city_centre_library_2	3c_east_city_centre_library_3
3c_east_city_centre_library_3	3c_east_city_centre_library_4
3c_east_city_centre_palace_2	3c_east_city_centre_palace_3
3c_east_city_centre_palace_3	3c_east_city_centre_palace_4
3c_east_city_centre_slave_2	3c_east_city_centre_slave_3
3c_east_city_centre_spice_2	3c_east_city_centre_spice_3
3c_east_city_centre_spice_3	3c_east_city_centre_spice_4
3c_east_city_royal_2	3c_east_city_royal_3
3c_east_city_royal_3	3c_east_city_royal_4
3c_east_city_satrap_2	3c_east_city_satrap_3
3c_east_city_satrap_3	3c_east_city_satrap_4
3c_east_glass_1	3c_east_glass_2
3c_east_glass_2	3c_east_glass_3
3c_east_glass_3	3c_east_glass_4
3c_east_gold_1	3c_east_gold_2
3c_east_gold_2	3c_east_gold_3
3c_east_gold_3	3c_east_gold_4
3c_east_grain_1	3c_east_grain_2
3c_east_grain_2	3c_east_grain_3
3c_east_grain_3	3c_east_grain_4
3c_east_horse_1	3c_east_horse_2
3c_east_horse_2	3c_east_horse_3
3c_east_industry_1	3c_east_industry_adobe_2
3c_east_industry_1	3c_east_industry_mint_2
3c_east_industry_1	3c_east_industry_weaver_2
3c_east_industry_adobe_2	3c_east_industry_adobe_3
3c_east_industry_adobe_3	3c_east_industry_adobe_4
3c_east_industry_mint_2	3c_east_industry_mint_3
3c_east_industry_mint_3	3c_east_industry_mint_4
3c_east_industry_weaver_2	3c_east_industry_weaver_3
3c_east_industry_weaver_3	3c_east_industry_weaver_4
3c_east_iron_1	3c_east_iron_armour_2
3c_east_iron_1	3c_east_iron_weapon_2
3c_east_iron_armour_2	3c_east_iron_armour_3
3c_east_iron_weapon_2	3c_east_iron_weapon_3
3c_east_lead_1	3c_east_lead_2
3c_east_lead_2	3c_east_lead_3
3c_east_lead_3	3c_east_lead_4
3c_east_leather_1	3c_east_leather_2
3c_east_leather_2	3c_east_leather_3
3c_east_leather_3	3c_east_leather_4
3c_east_lumber_1	3c_east_lumber_2
3c_east_lumber_2	3c_east_lumber_3
3c_east_lumber_3	3c_east_lumber_4
3c_east_marble_1	3c_east_marble_2
3c_east_marble_2	3c_east_marble_3
3c_east_marble_3	3c_east_marble_4
3c_east_military_buff_1	3c_east_military_buff_horse_2
3c_east_military_buff_1	3c_east_military_buff_range_2
3c_east_military_buff_horse_2	3c_east_military_buff_horse_3
3c_east_military_buff_range_2	3c_east_military_buff_range_3
3c_east_military_cav_1	3c_east_military_cav_2
3c_east_military_cav_2	3c_east_military_cav_animal_3
3c_east_military_cav_2	3c_east_military_cav_heavy_3
3c_east_military_cav_animal_3	3c_east_military_cav_animal_4
3c_east_military_cav_heavy_3	3c_east_military_cav_heavy_4
3c_east_military_siege_1	3c_east_military_siege_2
3c_east_military_siege_2	3c_east_military_siege_3
3c_east_olive_1	3c_east_olive_2
3c_east_olive_2	3c_east_olive_3
3c_east_olive_3	3c_east_olive_4
3c_east_port_1	3c_east_port_fish_2
3c_east_port_1	3c_east_port_military_2
3c_east_port_1	3c_east_port_trade_2
3c_east_port_fish_2	3c_east_port_fish_3
3c_east_port_fish_3	3c_east_port_fish_4
3c_east_port_military_2	3c_east_port_military_3
3c_east_port_military_3	3c_east_port_military_4
3c_east_port_trade_2	3c_east_port_trade_3
3c_east_port_trade_3	3c_east_port_trade_4
3c_east_purple_dye_1	3c_east_purple_dye_2
3c_east_purple_dye_2	3c_east_purple_dye_3
3c_east_purple_dye_3	3c_east_purple_dye_4
3c_east_silk_1	3c_east_silk_2
3c_east_silk_2	3c_east_silk_3
3c_east_silk_3	3c_east_silk_4
3c_east_town_1	3c_east_town_garrison_2
3c_east_town_1	3c_east_town_trade_2
3c_east_town_centre_1	3c_east_town_centre_game_2
3c_east_town_centre_1	3c_east_town_centre_trade_2
3c_east_town_centre_game_2	3c_east_town_centre_game_3
3c_east_town_centre_game_3	3c_east_town_centre_game_4
3c_east_town_centre_trade_2	3c_east_town_centre_trade_3
3c_east_town_centre_trade_3	3c_east_town_centre_trade_4
3c_east_town_garrison_2	3c_east_town_garrison_3
3c_east_town_garrison_3	3c_east_town_garrison_4
3c_east_town_trade_2	3c_east_town_trade_3
3c_east_town_trade_3	3c_east_town_trade_4
3c_east_water_1	3c_east_water_well_2
3c_east_water_1	3c_east_water_wind_2
3c_east_water_well_2	3c_east_water_well_3
3c_east_water_well_3	3c_east_water_well_4
3c_east_water_wind_2	3c_east_water_wind_3
3c_east_water_wind_3	3c_east_water_wind_4
3c_east_wine_1	3c_east_wine_2
3c_east_wine_2	3c_east_wine_3
3c_east_wine_3	3c_east_wine_4
3c_eastern_cult_1	3c_eastern_cult_christ_2
3c_eastern_cult_1	3c_eastern_cult_manich_2
3c_eastern_cult_1	3c_eastern_cult_mithra_2
3c_eastern_cult_christ_2	3c_eastern_cult_christ_3
3c_eastern_cult_christ_3	3c_eastern_cult_christ_4
3c_eastern_cult_manich_2	3c_eastern_cult_manich_3
3c_eastern_cult_manich_3	3c_eastern_cult_manich_4
3c_eastern_cult_mithra_2	3c_eastern_cult_mithra_3
3c_eastern_cult_mithra_3	3c_eastern_cult_mithra_4
3c_gallicemp_agriculture_1	3c_gallicemp_agriculture_cattle_2
3c_gallicemp_agriculture_1	3c_gallicemp_agriculture_farm_2
3c_gallicemp_agriculture_1	3c_gallicemp_agriculture_horse_2
3c_gallicemp_agriculture_cattle_2	3c_gallicemp_agriculture_cattle_3
3c_gallicemp_agriculture_cattle_3	3c_gallicemp_agriculture_cattle_4
3c_gallicemp_agriculture_farm_2	3c_gallicemp_agriculture_farm_3
3c_gallicemp_agriculture_farm_3	3c_gallicemp_agriculture_farm_4
3c_gallicemp_agriculture_horse_2	3c_gallicemp_agriculture_horse_3
3c_gallicemp_agriculture_horse_3	3c_gallicemp_agriculture_horse_4
3c_gallicemp_military_1	3c_gallicemp_military_2
3c_gallicemp_military_2	3c_gallicemp_military_3
3c_gallicemp_military_3	3c_gallicemp_military_infantry_4
3c_gallicemp_religious_1	3c_gallicemp_religious_cernunnos_2
3c_gallicemp_religious_1	3c_gallicemp_religious_gobannus_2
3c_gallicemp_religious_1	3c_gallicemp_religious_jupiter_2
3c_gallicemp_religious_1	3c_gallicemp_religious_mars_2
3c_gallicemp_religious_1	3c_gallicemp_religious_minerva_2
3c_gallicemp_religious_cernunnos_2	3c_gallicemp_religious_cernunnos_3
3c_gallicemp_religious_cernunnos_3	3c_gallicemp_religious_cernunnos_4
3c_gallicemp_religious_gobannus_2	3c_gallicemp_religious_gobannus_3
3c_gallicemp_religious_gobannus_3	3c_gallicemp_religious_gobannus_4
3c_gallicemp_religious_jupiter_2	3c_gallicemp_religious_jupiter_3
3c_gallicemp_religious_jupiter_3	3c_gallicemp_religious_jupiter_4
3c_gallicemp_religious_jupiter_4	3c_gallicemp_religious_jupiter_5
3c_gallicemp_religious_mars_2	3c_gallicemp_religious_mars_3
3c_gallicemp_religious_mars_3	3c_gallicemp_religious_mars_4
3c_gallicemp_religious_minerva_2	3c_gallicemp_religious_minerva_3
3c_gallicemp_religious_minerva_3	3c_gallicemp_religious_minerva_4
3c_palmyra_city_1	3c_palmyra_city_2
3c_palmyra_city_2	3c_palmyra_city_3
3c_palmyra_city_3	3c_palmyra_city_4
3c_palmyra_religious_1	3c_palmyra_religious_aglibol_2
3c_palmyra_religious_1	3c_palmyra_religious_baalshamin_2
3c_palmyra_religious_1	3c_palmyra_religious_malakbel_2
3c_palmyra_religious_1	3c_palmyra_religious_nabu_2
3c_palmyra_religious_1	3c_palmyra_religious_yarhibol_2
3c_palmyra_religious_aglibol_2	3c_palmyra_religious_aglibol_3
3c_palmyra_religious_aglibol_3	3c_palmyra_religious_aglibol_4
3c_palmyra_religious_baalshamin_2	3c_palmyra_religious_baalshamin_3
3c_palmyra_religious_baalshamin_3	3c_palmyra_religious_baalshamin_4
3c_palmyra_religious_baalshamin_4	3c_palmyra_religious_baalshamin_5
3c_palmyra_religious_malakbel_2	3c_palmyra_religious_malakbel_3
3c_palmyra_religious_malakbel_3	3c_palmyra_religious_malakbel_4
3c_palmyra_religious_nabu_2	3c_palmyra_religious_nabu_3
3c_palmyra_religious_nabu_3	3c_palmyra_religious_nabu_4
3c_palmyra_religious_yarhibol_2	3c_palmyra_religious_yarhibol_3
3c_palmyra_religious_yarhibol_3	3c_palmyra_religious_yarhibol_4
3c_rome_administration_1	3c_rome_administration_security_2
3c_rome_administration_1	3c_rome_administration_spies_2
3c_rome_administration_1	3c_rome_administration_taxes_2
3c_rome_administration_security_2	3c_rome_administration_security_3
3c_rome_administration_spies_2	3c_rome_administration_spies_3
3c_rome_administration_taxes_2	3c_rome_administration_taxes_3
3c_rome_agriculture_1	3c_rome_agriculture_farm_2
3c_rome_agriculture_1	3c_rome_agriculture_granary_2
3c_rome_agriculture_1	3c_rome_agriculture_herd_2
3c_rome_agriculture_farm_2	3c_rome_agriculture_farm_3
3c_rome_agriculture_farm_3	3c_rome_agriculture_farm_4
3c_rome_agriculture_granary_2	3c_rome_agriculture_granary_3
3c_rome_agriculture_granary_3	3c_rome_agriculture_granary_4
3c_rome_agriculture_herd_2	3c_rome_agriculture_herd_3
3c_rome_agriculture_herd_3	3c_rome_agriculture_herd_4
3c_rome_amber_1	3c_rome_amber_2
3c_rome_amber_2	3c_rome_amber_3
3c_rome_amber_3	3c_rome_amber_4
3c_rome_city_1	3c_rome_city_civil_2
3c_rome_city_1	3c_rome_city_garrison_2
3c_rome_city_centre_1	3c_rome_city_centre_cattle_2
3c_rome_city_centre_1	3c_rome_city_centre_food_2
3c_rome_city_centre_1	3c_rome_city_centre_gladiator_2
3c_rome_city_centre_1	3c_rome_city_centre_library_2
3c_rome_city_centre_1	3c_rome_city_centre_slave_2
3c_rome_city_centre_1	3c_rome_city_centre_spice_2
3c_rome_city_centre_1	3c_rome_city_centre_wine_2
3c_rome_city_centre_cattle_2	3c_rome_city_centre_cattle_3
3c_rome_city_centre_cattle_3	3c_rome_city_centre_cattle_4
3c_rome_city_centre_food_2	3c_rome_city_centre_food_3
3c_rome_city_centre_food_3	3c_rome_city_centre_food_4
3c_rome_city_centre_gladiator_2	3c_rome_city_centre_gladiator_3
3c_rome_city_centre_gladiator_3	3c_rome_city_centre_gladiator_4
3c_rome_city_centre_gladiator_4	3c_rome_city_centre_circus_5
3c_rome_city_centre_gladiator_4	3c_rome_city_centre_gladiator_5
3c_rome_city_centre_library_2	3c_rome_city_centre_library_3
3c_rome_city_centre_library_3	3c_rome_city_centre_library_4
3c_rome_city_centre_slave_2	3c_rome_city_centre_slave_3
3c_rome_city_centre_spice_2	3c_rome_city_centre_spice_3
3c_rome_city_centre_spice_3	3c_rome_city_centre_spice_4
3c_rome_city_centre_spice_4	3c_rome_city_centre_spice_5
3c_rome_city_centre_wine_2	3c_rome_city_centre_wine_3
3c_rome_city_centre_wine_3	3c_rome_city_centre_wine_4
3c_rome_city_civil_2	3c_rome_city_civil_3
3c_rome_city_civil_3	3c_rome_city_civil_4
3c_rome_city_civil_4	3c_rome_city_aurelian_walls_5
3c_rome_city_garrison_2	3c_rome_city_garrison_3
3c_rome_city_garrison_3	3c_rome_city_garrison_4
3c_rome_city_garrison_4	3c_rome_city_aurelian_walls_5
3c_rome_cult_1	3c_rome_cult_christ_2
3c_rome_cult_1	3c_rome_cult_manich_2
3c_rome_cult_1	3c_rome_cult_mithra_2
3c_rome_cult_christ_2	3c_rome_cult_christ_3
3c_rome_cult_christ_3	3c_rome_cult_christ_4
3c_rome_cult_manich_2	3c_rome_cult_manich_3
3c_rome_cult_manich_3	3c_rome_cult_manich_4
3c_rome_cult_mithra_2	3c_rome_cult_mithra_3
3c_rome_cult_mithra_3	3c_rome_cult_mithra_4
3c_rome_glass_1	3c_rome_glass_2
3c_rome_glass_2	3c_rome_glass_3
3c_rome_glass_3	3c_rome_glass_4
3c_rome_gold_1	3c_rome_gold_2
3c_rome_gold_2	3c_rome_gold_3
3c_rome_gold_3	3c_rome_gold_4
3c_rome_grain_1	3c_rome_grain_2
3c_rome_grain_2	3c_rome_grain_3
3c_rome_grain_3	3c_rome_grain_4
3c_rome_horse_1	3c_rome_horse_2
3c_rome_horse_2	3c_rome_horse_3
3c_rome_industry_1	3c_rome_industry_amphora_2
3c_rome_industry_1	3c_rome_industry_coin_2
3c_rome_industry_1	3c_rome_industry_jeweller_2
3c_rome_industry_amphora_2	3c_rome_industry_amphora_3
3c_rome_industry_amphora_3	3c_rome_industry_amphora_4
3c_rome_industry_coin_2	3c_rome_industry_coin_3
3c_rome_industry_coin_3	3c_rome_industry_coin_4
3c_rome_industry_jeweller_2	3c_rome_industry_jeweller_3
3c_rome_industry_jeweller_3	3c_rome_industry_jeweller_4
3c_rome_iron_1	3c_rome_iron_armour_2
3c_rome_iron_1	3c_rome_iron_weapon_2
3c_rome_iron_armour_2	3c_rome_iron_armour_3
3c_rome_iron_weapon_2	3c_rome_iron_weapon_3
3c_rome_lead_1	3c_rome_lead_2
3c_rome_lead_2	3c_rome_lead_3
3c_rome_lead_3	3c_rome_lead_4
3c_rome_leather_1	3c_rome_leather_2
3c_rome_leather_2	3c_rome_leather_3
3c_rome_leather_3	3c_rome_leather_4
3c_rome_lumber_1	3c_rome_lumber_2
3c_rome_lumber_2	3c_rome_lumber_3
