key	playable	ui_icon	effect_bundle	initial_power	r	g	b	trait1	trait2
3c_politics_gallicemp_ruler	true	x	3c_faction_trait_gallic_empire	35	210.0000	99.0000	43.0000		
3c_politics_gothi_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_thirst_for_power	
3c_politics_gothi_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
3c_politics_gothi_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_militarist	
3c_politics_gothi_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_pacifist	
3c_politics_gothi_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
3c_politics_gothi_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_gothi_ruler	true	x	3c_faction_trait_gothi	35	210.0000	99.0000	43.0000		
3c_politics_marcomanni_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_thirst_for_power	
3c_politics_marcomanni_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
3c_politics_marcomanni_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_militarist	
3c_politics_marcomanni_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_pacifist	
3c_politics_marcomanni_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
3c_politics_marcomanni_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_marcomanni_ruler	true	x	3c_faction_trait_marcomanni	35	210.0000	99.0000	43.0000		
3c_politics_palmyra_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
3c_politics_palmyra_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_expansionist	
3c_politics_palmyra_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_traditionalist	
3c_politics_palmyra_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
3c_politics_palmyra_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_pacifist	
3c_politics_palmyra_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
3c_politics_palmyra_ruler	true	x	3c_faction_trait_palmyrene_empire	35	210.0000	99.0000	43.0000		
3c_politics_rome_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
3c_politics_rome_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_expansionist	
3c_politics_rome_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_traditionalist	
3c_politics_rome_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
3c_politics_rome_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_pacifist	
3c_politics_rome_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
3c_politics_rome_ruler	true	x	3c_faction_trait_roman_empire	35	210.0000	99.0000	43.0000		
3c_politics_sassanid_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_thirst_for_power	
3c_politics_sassanid_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_pacifist	
3c_politics_sassanid_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_xenophobe	
3c_politics_sassanid_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_xenophile	
3c_politics_sassanid_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_mercantile	
3c_politics_sassanid_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_sassanid_ruler	true	x	3c_faction_trait_sassanid_empire	35	210.0000	99.0000	43.0000		
3c_politics_saxones_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_hates_barbarians	polit_trait_thirst_for_power
3c_politics_saxones_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
3c_politics_saxones_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
3c_politics_saxones_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_pacifist	
3c_politics_saxones_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
3c_politics_saxones_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
3c_politics_saxones_ruler	true	x	3c_faction_trait_saxoni	35	210.0000	99.0000	43.0000		
emp_politics_rome_antony_council	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
emp_politics_rome_antony_libertini	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000	polit_trait_pacifist	
emp_politics_rome_antony_proletarii	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
emp_politics_rome_antony_ruler	true	x	emp_faction_trait_rome_antony	65	210.0000	99.0000	43.0000		
emp_politics_rome_antony_viri_egregii	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000	polit_trait_expansionist	
emp_politics_rome_antony_viri_eminentissimi	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
emp_politics_rome_antony_viri_perfectissimi	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000	polit_trait_traditionalist	
emp_politics_rome_armenia_artsakh	false	x	rom_dummy_effect_bundle	40	229.0000	161.0000	44.0000	polit_trait_likes_greeks	
emp_politics_rome_armenia_ayrarat	false	x	rom_dummy_effect_bundle	40	0.0000	158.0000	115.0000	polit_trait_hates_easterners	
emp_politics_rome_armenia_council	false	x	rom_dummy_effect_bundle	40	98.0000	176.0000	228.0000	polit_trait_populist	polit_trait_thirst_for_power
emp_politics_rome_armenia_ruler	true	x	emp_faction_trait_eastern_armenia	60	210.0000	99.0000	43.0000		
emp_politics_rome_armenia_tayk	false	x	rom_dummy_effect_bundle	40	237.0000	231.0000	73.0000	polit_trait_hates_greeks	
emp_politics_rome_armenia_turuberan	false	x	rom_dummy_effect_bundle	40	254.0000	229.0000	216.0000	polit_trait_xenophobe	
emp_politics_rome_armenia_utik	false	x	rom_dummy_effect_bundle	40	34.0000	112.0000	177.0000	polit_trait_xenophile	polit_trait_diplomat
emp_politics_rome_dacia_bull	false	x	rom_dummy_effect_bundle	67	237.0000	231.0000	73.0000	polit_trait_hates_greeks	
emp_politics_rome_dacia_council	false	x	rom_dummy_effect_bundle	67	98.0000	176.0000	228.0000	polit_trait_agriculturalist	polit_trait_pacifist
emp_politics_rome_dacia_earth	false	x	rom_dummy_effect_bundle	67	229.0000	161.0000	44.0000	polit_trait_agriculturalist	
emp_politics_rome_dacia_golden_eagle	false	x	rom_dummy_effect_bundle	67	254.0000	229.0000	216.0000	polit_trait_likes_romans	
emp_politics_rome_dacia_ruler	true	x	emp_faction_trait_daco_thracian_dacia	33	210.0000	99.0000	43.0000		
emp_politics_rome_dacia_sky	false	x	rom_dummy_effect_bundle	67	34.0000	112.0000	177.0000	polit_trait_likes_greeks	
emp_politics_rome_dacia_sun	false	x	rom_dummy_effect_bundle	67	0.0000	158.0000	115.0000		
emp_politics_rome_egypt_carthage	false	x	rom_dummy_effect_bundle	55	237.0000	231.0000	73.0000	polit_trait_mercantile	
emp_politics_rome_egypt_council	false	x	rom_dummy_effect_bundle	55	98.0000	176.0000	228.0000	polit_trait_likes_greeks	polit_trait_thirst_for_power
emp_politics_rome_egypt_egyptian	false	x	rom_dummy_effect_bundle	55	254.0000	229.0000	216.0000	polit_trait_traditionalist	polit_trait_xenophobe
emp_politics_rome_egypt_indian	false	x	rom_dummy_effect_bundle	55	0.0000	158.0000	115.0000		
emp_politics_rome_egypt_jewish	false	x	rom_dummy_effect_bundle	55	34.0000	112.0000	177.0000	polit_trait_hates_greeks	polit_trait_hates_romans
emp_politics_rome_egypt_parthian	false	x	rom_dummy_effect_bundle	55	229.0000	161.0000	44.0000	polit_trait_likes_easterners	
emp_politics_rome_egypt_pretenders	false	x	rom_dummy_effect_bundle	40	245.0000	245.0000	15.0000	polit_trait_hates_romans	
emp_politics_rome_egypt_ruler	true	x	emp_faction_trait_successors_egypt	45	210.0000	99.0000	43.0000	polit_trait_likes_romans	
emp_politics_rome_iceni_angry_beast	false	x	rom_dummy_effect_bundle	41	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
emp_politics_rome_iceni_council	false	x	rom_dummy_effect_bundle	41	98.0000	176.0000	228.0000	polit_trait_xenophile	polit_trait_diplomat
emp_politics_rome_iceni_hill_warriors	false	x	rom_dummy_effect_bundle	41	0.0000	158.0000	115.0000		
emp_politics_rome_iceni_iron_axe	false	x	rom_dummy_effect_bundle	41	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
emp_politics_rome_iceni_ruler	true	x	emp_faction_trait_britannic_iceni	59	210.0000	99.0000	43.0000		
emp_politics_rome_iceni_warhorse	false	x	rom_dummy_effect_bundle	41	237.0000	231.0000	73.0000		
emp_politics_rome_iceni_wooden_shield	false	x	rom_dummy_effect_bundle	41	34.0000	112.0000	177.0000	polit_trait_pacifist	
emp_politics_rome_lepidus_council	false	x	rom_dummy_effect_bundle	60	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
emp_politics_rome_lepidus_libertini	false	x	rom_dummy_effect_bundle	60	229.0000	161.0000	44.0000	polit_trait_pacifist	
emp_politics_rome_lepidus_proletarii	false	x	rom_dummy_effect_bundle	60	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
emp_politics_rome_lepidus_ruler	true	x	emp_faction_trait_rome_lepidus	40	210.0000	99.0000	43.0000		
emp_politics_rome_lepidus_viri_egregii	false	x	rom_dummy_effect_bundle	60	0.0000	158.0000	115.0000	polit_trait_expansionist	
emp_politics_rome_lepidus_viri_eminentissimi	false	x	rom_dummy_effect_bundle	60	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
emp_politics_rome_lepidus_viri_perfectissimi	false	x	rom_dummy_effect_bundle	60	254.0000	229.0000	216.0000	polit_trait_traditionalist	
emp_politics_rome_marcomanni_council	false	x	rom_dummy_effect_bundle	62	98.0000	176.0000	228.0000	polit_trait_thirst_for_power	
emp_politics_rome_marcomanni_giant_deer	false	x	rom_dummy_effect_bundle	62	34.0000	112.0000	177.0000	polit_trait_pacifist	
emp_politics_rome_marcomanni_golden_beast	false	x	rom_dummy_effect_bundle	62	229.0000	161.0000	44.0000		
emp_politics_rome_marcomanni_red_eagle	false	x	rom_dummy_effect_bundle	62	0.0000	158.0000	115.0000		
emp_politics_rome_marcomanni_ruler	true	x	emp_faction_trait_germanic_marcomanni	38	210.0000	99.0000	43.0000		
emp_politics_rome_marcomanni_steppe_lords	false	x	rom_dummy_effect_bundle	62	254.0000	229.0000	216.0000	polit_trait_militarist	
emp_politics_rome_marcomanni_wooden_bow	false	x	rom_dummy_effect_bundle	62	237.0000	231.0000	73.0000		
emp_politics_rome_octavian_council	false	x	rom_dummy_effect_bundle	40	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
emp_politics_rome_octavian_libertini	false	x	rom_dummy_effect_bundle	40	229.0000	161.0000	44.0000	polit_trait_pacifist	
emp_politics_rome_octavian_proletarii	false	x	rom_dummy_effect_bundle	40	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
emp_politics_rome_octavian_ruler	true	x	emp_faction_trait_rome_octavian	60	210.0000	99.0000	43.0000		
emp_politics_rome_octavian_viri_egregii	false	x	rom_dummy_effect_bundle	40	0.0000	158.0000	115.0000	polit_trait_expansionist	
emp_politics_rome_octavian_viri_eminentissimi	false	x	rom_dummy_effect_bundle	40	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
emp_politics_rome_octavian_viri_perfectissimi	false	x	rom_dummy_effect_bundle	40	254.0000	229.0000	216.0000	polit_trait_traditionalist	
emp_politics_rome_parthia_council	false	x	rom_dummy_effect_bundle	55	98.0000	176.0000	228.0000	polit_trait_likes_easterners	polit_trait_thirst_for_power
emp_politics_rome_parthia_karen	false	x	rom_dummy_effect_bundle	55	0.0000	158.0000	115.0000	polit_trait_likes_easterners	polit_trait_expansionist
emp_politics_rome_parthia_mihran	false	x	rom_dummy_effect_bundle	55	34.0000	112.0000	177.0000	polit_trait_hates_romans	polit_trait_militarist
emp_politics_rome_parthia_ruler	true	x	emp_faction_trait_eastern_parthia	45	210.0000	99.0000	43.0000		
emp_politics_rome_parthia_spandiyadh	false	x	rom_dummy_effect_bundle	55	229.0000	161.0000	44.0000	polit_trait_likes_greeks	
emp_politics_rome_parthia_suren	false	x	rom_dummy_effect_bundle	55	254.0000	229.0000	216.0000	polit_trait_mogul	
emp_politics_rome_parthia_varaz	false	x	rom_dummy_effect_bundle	55	237.0000	231.0000	73.0000	polit_trait_hates_easterners	
emp_politics_rome_pompey_council	false	x	rom_dummy_effect_bundle	50	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
emp_politics_rome_pompey_libertini	false	x	rom_dummy_effect_bundle	50	229.0000	161.0000	44.0000	polit_trait_pacifist	
emp_politics_rome_pompey_proletarii	false	x	rom_dummy_effect_bundle	50	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
emp_politics_rome_pompey_ruler	true	x	emp_faction_trait_rome_pompey	50	210.0000	99.0000	43.0000		
emp_politics_rome_pompey_viri_egregii	false	x	rom_dummy_effect_bundle	50	0.0000	158.0000	115.0000	polit_trait_expansionist	
emp_politics_rome_pompey_viri_eminentissimi	false	x	rom_dummy_effect_bundle	50	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
emp_politics_rome_pompey_viri_perfectissimi	false	x	rom_dummy_effect_bundle	50	254.0000	229.0000	216.0000	polit_trait_traditionalist	
gaul_politics_arverni_angry_beast	false	x	rom_dummy_effect_bundle	45	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
gaul_politics_arverni_council	false	x	rom_dummy_effect_bundle	45	98.0000	176.0000	228.0000	polit_trait_hates_barbarians	polit_trait_thirst_for_power
gaul_politics_arverni_hill_warriors	false	x	rom_dummy_effect_bundle	45	0.0000	158.0000	115.0000		
gaul_politics_arverni_iron_axe	false	x	rom_dummy_effect_bundle	45	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
gaul_politics_arverni_ruler	true	x	gaul_faction_trait_gallic_arverni	65	210.0000	99.0000	43.0000		
gaul_politics_arverni_warhorse	false	x	rom_dummy_effect_bundle	45	237.0000	231.0000	73.0000		
gaul_politics_arverni_wooden_shield	false	x	rom_dummy_effect_bundle	45	34.0000	112.0000	177.0000	polit_trait_pacifist	
gaul_politics_nervii_angry_beast	false	x	rom_dummy_effect_bundle	65	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
gaul_politics_nervii_council	false	x	rom_dummy_effect_bundle	65	98.0000	176.0000	228.0000	polit_trait_hates_barbarians	polit_trait_thirst_for_power
gaul_politics_nervii_hill_warriors	false	x	rom_dummy_effect_bundle	65	0.0000	158.0000	115.0000		
gaul_politics_nervii_iron_axe	false	x	rom_dummy_effect_bundle	65	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
gaul_politics_nervii_ruler	true	x	gaul_faction_trait_belgic_nervii	75	210.0000	99.0000	43.0000		
gaul_politics_nervii_warhorse	false	x	rom_dummy_effect_bundle	65	237.0000	231.0000	73.0000		
gaul_politics_nervii_wooden_shield	false	x	rom_dummy_effect_bundle	65	34.0000	112.0000	177.0000	polit_trait_pacifist	
gaul_politics_rome_caesar	true	x	gaul_faction_trait_rome	55	210.0000	99.0000	43.0000		
gaul_politics_rome_libertini	false	x	rom_dummy_effect_bundle	100	229.0000	161.0000	44.0000	polit_trait_pacifist	
gaul_politics_rome_proletarii	false	x	rom_dummy_effect_bundle	100	237.0000	231.0000	73.0000	polit_trait_agriculturalist	polit_trait_populist
gaul_politics_rome_senate	false	x	rom_dummy_effect_bundle	100	98.0000	176.0000	228.0000	polit_trait_bigot	polit_trait_xenophobe
gaul_politics_rome_viri_egregii	false	x	rom_dummy_effect_bundle	100	0.0000	158.0000	115.0000	polit_trait_expansionist	
gaul_politics_rome_viri_eminentissimi	false	x	rom_dummy_effect_bundle	100	34.0000	112.0000	177.0000	polit_trait_thirst_for_power	
gaul_politics_rome_viri_perfectissimi	false	x	rom_dummy_effect_bundle	100	254.0000	229.0000	216.0000	polit_trait_traditionalist	
gaul_politics_suebi_angry_beast	false	x	rom_dummy_effect_bundle	65	229.0000	161.0000	44.0000	polit_trait_militarist	polit_trait_xenophobe
gaul_politics_suebi_council	false	x	rom_dummy_effect_bundle	65	98.0000	176.0000	228.0000	polit_trait_xenophobe	
gaul_politics_suebi_hill_warriors	false	x	rom_dummy_effect_bundle	65	0.0000	158.0000	115.0000		
gaul_politics_suebi_iron_axe	false	x	rom_dummy_effect_bundle	65	254.0000	229.0000	216.0000	polit_trait_thirst_for_power	
gaul_politics_suebi_ruler	true	x	gaul_faction_trait_germanic_suebi	75	210.0000	99.0000	43.0000		
gaul_politics_suebi_warhorse	false	x	rom_dummy_effect_bundle	65	237.0000	231.0000	73.0000		
gaul_politics_suebi_wooden_shield	false	x	rom_dummy_effect_bundle	65	34.0000	112.0000	177.0000	polit_trait_pacifist	
inv_politics_helveti	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_hirpini	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_histri	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_illyrians	false	x	inv_incoming_factions_traits	100	34.0000	112.0000	177.0000		
inv_politics_insubres_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_insubres_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_insubres_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_insubres_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_insubres_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_insubres_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_insubres_ruler	true	x	inv_faction_trait_insubres	35	210.0000	99.0000	43.0000		
inv_politics_iolei_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_iolei_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_iolei_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_iolei_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_iolei_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_iolei_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_iolei_ruler	true	x	inv_faction_trait_iolei	35	210.0000	99.0000	43.0000		
inv_politics_massyli	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_nurrensi	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_rome_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_rome_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_rome_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_rome_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_rome_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_rome_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_rome_party8	false	x	rom_dummy_effect_bundle	35	113.0000	158.0000	89.0000		
inv_politics_rome_ruler	true	x	inv_faction_trait_rome	35	210.0000	99.0000	43.0000		
inv_politics_samnites_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_samnites_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_samnites_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_samnites_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_samnites_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_samnites_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_samnites_ruler	true	x	inv_faction_trait_samnites	35	210.0000	99.0000	43.0000		
inv_politics_senones_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_senones_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_senones_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_senones_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_senones_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_senones_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_senones_ruler	true	x	inv_faction_trait_senones	35	210.0000	99.0000	43.0000		
inv_politics_sikelians	false	x	inv_incoming_factions_traits	41	0.0000	158.0000	115.0000		
inv_politics_syracuse_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_syracuse_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_syracuse_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_syracuse_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_syracuse_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_syracuse_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_syracuse_ruler	true	x	inv_faction_trait_syracuse	35	210.0000	99.0000	43.0000		
inv_politics_taranto_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_taranto_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_taranto_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_taranto_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_taranto_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_taranto_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_taranto_ruler	true	x	inv_faction_trait_taras	35	210.0000	99.0000	43.0000		
inv_politics_tarchuna_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
inv_politics_tarchuna_party3	false	x	rom_dummy_effect_bundle	35	0.0000	158.0000	115.0000		
inv_politics_tarchuna_party4	false	x	rom_dummy_effect_bundle	35	254.0000	229.0000	216.0000		
inv_politics_tarchuna_party5	false	x	rom_dummy_effect_bundle	35	34.0000	112.0000	177.0000		
inv_politics_tarchuna_party6	false	x	rom_dummy_effect_bundle	35	229.0000	161.0000	44.0000		
inv_politics_tarchuna_party7	false	x	rom_dummy_effect_bundle	35	237.0000	231.0000	73.0000		
inv_politics_tarchuna_party8	false	x	rom_dummy_effect_bundle	35	113.0000	158.0000	89.0000		
inv_politics_tarchuna_ruler	true	x	inv_faction_trait_tarchuna	35	210.0000	99.0000	43.0000		
inv_politics_veneti_party2	false	x	rom_dummy_effect_bundle	35	98.0000	176.0000	228.0000		
