building_key	economic_value	prestige_value	happiness_value	military_value	education_value	existing_buildings_apply_discount_over_limit	existing_buildings_discount_per_building	existing_buildings_maximum_discount
rom_BARBARIAN_city_minor_silk_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silk_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silk_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silk_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silver_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silver_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silver_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_silver_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_timber_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_timber_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_timber_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_timber_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_township_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_township_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_township_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_township_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_wine_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_wine_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_wine_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_BARBARIAN_city_minor_wine_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_major_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_major_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_fish_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_fish_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_fish_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_fish_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_glass_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_glass_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_glass_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_glass_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_gold_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_gold_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_gold_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_gold_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_grain_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_grain_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_grain_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_grain_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_hides_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_hides_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_hides_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_hides_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_iron_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_iron_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_iron_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_iron_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_limestone_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_limestone_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_limestone_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_limestone_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_marble_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_marble_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_marble_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_marble_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_olives_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_olives_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_olives_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_olives_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_purple_dye_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_purple_dye_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_purple_dye_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_purple_dye_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silk_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silk_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silk_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silk_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silver_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silver_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silver_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_silver_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_timber_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_timber_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_timber_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_timber_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_township_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_township_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_township_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_township_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_wine_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_wine_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_wine_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_EASTERN_city_minor_wine_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_major_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_major_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_fish_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_fish_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_fish_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_fish_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_glass_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_glass_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_glass_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_glass_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_gold_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_gold_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_gold_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_gold_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_grain_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_grain_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_grain_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_grain_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_hides_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_hides_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_hides_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_hides_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_iron_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_iron_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_iron_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_iron_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_limestone_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_limestone_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_limestone_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_limestone_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_marble_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_marble_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_marble_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_marble_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_olives_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_olives_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_olives_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_olives_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_purple_dye_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_purple_dye_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_purple_dye_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_purple_dye_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silk_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silk_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silk_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silk_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silver_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silver_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silver_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_silver_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_timber_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_timber_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_timber_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_timber_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_township_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_township_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_township_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_township_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_wine_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_wine_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_wine_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_HELLENIC_city_minor_wine_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_major_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_major_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_major_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_major_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_minor_olives_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_minor_olives_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_minor_olives_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_city_minor_olives_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_entertainment_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_entertainment_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_entertainment_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_entertainment_circus_5	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_entertainment_colosseum_5	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_food_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_food_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_food_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_public_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_public_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_public_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_research_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_research_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_research_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_slave_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_slave_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_trade_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_trade_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_forum_trade_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_aux_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_aux_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_aux_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_cav_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_cav_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_cav_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_attack_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_attack_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_attack_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_defence_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_defence_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_buff_inf_defence_4	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_equipment_1	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_equipment_armour_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_equipment_armour_3	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
rom_ROMAN_military_equipment_siege_2	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	10.0000	100.0000
