key	building_level_key	culture	faction	sprawl_piece_level	sprawl_piece_type	sub_culture
3c_barb_craftsmen_pot_3	3c_barb_craftsmen_pot_3			0		
3c_barb_craftsmen_pot_4	3c_barb_craftsmen_pot_4			0		
3c_barb_craftsmen_salt_2	3c_barb_craftsmen_salt_2			0		
3c_barb_craftsmen_salt_3	3c_barb_craftsmen_salt_3			0		
3c_barb_craftsmen_salt_4	3c_barb_craftsmen_salt_4			0		
3c_barb_craftsmen_wood_2	3c_barb_craftsmen_wood_2			0		
3c_barb_craftsmen_wood_3	3c_barb_craftsmen_wood_3			0		
3c_barb_craftsmen_wood_4	3c_barb_craftsmen_wood_4			0		
3c_barb_glass_1	3c_barb_glass_1			0		
3c_barb_glass_2	3c_barb_glass_2			0		
3c_barb_glass_3	3c_barb_glass_3			0		
3c_barb_glass_4	3c_barb_glass_4			0		
3c_barb_gold_1	3c_barb_gold_1			0		
3c_barb_gold_2	3c_barb_gold_2			0		
3c_barb_gold_3	3c_barb_gold_3			0		
3c_barb_gold_4	3c_barb_gold_4			0		
3c_barb_grain_1	3c_barb_grain_1			0		
3c_barb_grain_2	3c_barb_grain_2			0		
3c_barb_grain_3	3c_barb_grain_3			0		
3c_barb_grain_4	3c_barb_grain_4			0		
3c_barb_horse_1	3c_barb_horse_1			0		
3c_barb_horse_2	3c_barb_horse_2			0		
3c_barb_horse_3	3c_barb_horse_3			0		
3c_barb_iron_1	3c_barb_iron_1			0		
3c_barb_iron_armour_2	3c_barb_iron_armour_2			0		
3c_barb_iron_armour_3	3c_barb_iron_armour_3			0		
3c_barb_iron_weapon_2	3c_barb_iron_weapon_2			0		
3c_barb_iron_weapon_3	3c_barb_iron_weapon_3			0		
3c_barb_lead_1	3c_barb_lead_1			0		
3c_barb_lead_2	3c_barb_lead_2			0		
3c_barb_lead_3	3c_barb_lead_3			0		
3c_barb_lead_4	3c_barb_lead_4			0		
3c_barb_leather_1	3c_barb_leather_1			0		
3c_barb_leather_2	3c_barb_leather_2			0		
3c_barb_leather_3	3c_barb_leather_3			0		
3c_barb_leather_4	3c_barb_leather_4			0		
3c_barb_lumber_1	3c_barb_lumber_1			0		
3c_barb_lumber_2	3c_barb_lumber_2			0		
3c_barb_lumber_3	3c_barb_lumber_3			0		
3c_barb_lumber_4	3c_barb_lumber_4			0		
3c_barb_marble_1	3c_barb_marble_1			0		
3c_barb_marble_2	3c_barb_marble_2			0		
3c_barb_marble_3	3c_barb_marble_3			0		
3c_barb_marble_4	3c_barb_marble_4			0		
3c_barb_military_buff_1	3c_barb_military_buff_1			0		
3c_barb_military_buff_gold_2	3c_barb_military_buff_gold_2			0		
3c_barb_military_buff_gold_3	3c_barb_military_buff_gold_3			0		
3c_barb_military_buff_gold_4	3c_barb_military_buff_gold_4			0		
3c_barb_military_buff_grounds_2	3c_barb_military_buff_grounds_2			0		
3c_barb_military_buff_grounds_3	3c_barb_military_buff_grounds_3			0		
3c_barb_military_buff_grounds_4	3c_barb_military_buff_grounds_4			0		
3c_barb_military_buff_tavern_2	3c_barb_military_buff_tavern_2			0		
3c_barb_military_buff_tavern_3	3c_barb_military_buff_tavern_3			0		
3c_barb_military_buff_tavern_4	3c_barb_military_buff_tavern_4			0		
3c_barb_mine_1	3c_barb_mine_1			0		
3c_barb_mine_2	3c_barb_mine_2			0		
3c_barb_mine_3	3c_barb_mine_3			0		
3c_barb_mine_4	3c_barb_mine_4			0		
3c_barb_navalbuff_1	3c_barb_navalbuff_1			0		
3c_barb_navalbuff_2	3c_barb_navalbuff_2			0		
3c_barb_navalbuff_3	3c_barb_navalbuff_3			0		
3c_barb_navalbuff_4	3c_barb_navalbuff_4			0		
3c_barb_olive_1	3c_barb_olive_1			0		
3c_barb_olive_2	3c_barb_olive_2			0		
3c_barb_olive_3	3c_barb_olive_3			0		
3c_barb_olive_4	3c_barb_olive_4			0		
3c_barb_port_1	3c_barb_port_1			0		
3c_barb_port_fishing_2	3c_barb_port_fishing_2			0		
3c_barb_port_fishing_3	3c_barb_port_fishing_3			0		
3c_barb_port_fishing_4	3c_barb_port_fishing_4			0		
3c_barb_port_military_2	3c_barb_port_military_2			0		
3c_barb_port_military_3	3c_barb_port_military_3			0		
3c_barb_port_military_4	3c_barb_port_military_4			0		
3c_barb_purple_dye_1	3c_barb_purple_dye_1			0		
3c_barb_purple_dye_2	3c_barb_purple_dye_2			0		
3c_barb_purple_dye_3	3c_barb_purple_dye_3			0		
3c_barb_purple_dye_4	3c_barb_purple_dye_4			0		
3c_barb_religious_1	3c_barb_religious_1			0		
3c_barb_religious_briton_1	3c_barb_religious_briton_1			0		
3c_barb_religious_briton_andraste_2	3c_barb_religious_briton_andraste_2			0		
3c_barb_religious_briton_andraste_3	3c_barb_religious_briton_andraste_3			0		
3c_barb_religious_briton_andraste_4	3c_barb_religious_briton_andraste_4			0		
3c_barb_religious_briton_andraste_5	3c_barb_religious_briton_andraste_5			0		
3c_barb_religious_briton_epona_2	3c_barb_religious_briton_epona_2			0		
3c_barb_religious_briton_epona_3	3c_barb_religious_briton_epona_3			0		
3c_barb_religious_briton_epona_4	3c_barb_religious_briton_epona_4			0		
3c_barb_religious_briton_nodens_2	3c_barb_religious_briton_nodens_2			0		
3c_barb_religious_briton_nodens_3	3c_barb_religious_briton_nodens_3			0		
3c_barb_religious_briton_nodens_4	3c_barb_religious_briton_nodens_4			0		
3c_barb_religious_briton_rosmerta_2	3c_barb_religious_briton_rosmerta_2			0		
3c_barb_religious_briton_rosmerta_3	3c_barb_religious_briton_rosmerta_3			0		
3c_barb_religious_briton_rosmerta_4	3c_barb_religious_briton_rosmerta_4			0		
3c_barb_religious_briton_toutatis_2	3c_barb_religious_briton_toutatis_2			0		
3c_barb_religious_briton_toutatis_3	3c_barb_religious_briton_toutatis_3			0		
3c_barb_religious_briton_toutatis_4	3c_barb_religious_briton_toutatis_4			0		
3c_barb_religious_cernunnos_2	3c_barb_religious_cernunnos_2			0		
3c_barb_religious_cernunnos_3	3c_barb_religious_cernunnos_3			0		
3c_barb_religious_cernunnos_4	3c_barb_religious_cernunnos_4			0		
3c_barb_religious_epona_2	3c_barb_religious_epona_2			0		
3c_barb_religious_epona_3	3c_barb_religious_epona_3			0		
3c_barb_religious_epona_4	3c_barb_religious_epona_4			0		
3c_barb_religious_german_1	3c_barb_religious_german_1			0		
3c_barb_religious_german_austro_2	3c_barb_religious_german_austro_2			0		
3c_barb_religious_german_austro_3	3c_barb_religious_german_austro_3			0		
3c_barb_religious_german_austro_4	3c_barb_religious_german_austro_4			0		
3c_barb_religious_german_frijjo_2	3c_barb_religious_german_frijjo_2			0		
3c_barb_religious_german_frijjo_3	3c_barb_religious_german_frijjo_3			0		
3c_barb_religious_german_frijjo_4	3c_barb_religious_german_frijjo_4			0		
3c_barb_religious_german_teiwaz_2	3c_barb_religious_german_teiwaz_2			0		
3c_barb_religious_german_teiwaz_3	3c_barb_religious_german_teiwaz_3			0		
3c_barb_religious_german_teiwaz_4	3c_barb_religious_german_teiwaz_4			0		
3c_barb_religious_german_teiwaz_5	3c_barb_religious_german_wodanaz_5			0		
3c_barb_religious_german_thunaraz_2	3c_barb_religious_german_thunaraz_2			0		
3c_barb_religious_german_thunaraz_3	3c_barb_religious_german_thunaraz_3			0		
3c_barb_religious_german_thunaraz_4	3c_barb_religious_german_thunaraz_4			0		
3c_barb_religious_german_wodanaz_2	3c_barb_religious_german_wodanaz_2			0		
3c_barb_religious_german_wodanaz_3	3c_barb_religious_german_wodanaz_3			0		
3c_barb_religious_german_wodanaz_4	3c_barb_religious_german_wodanaz_4			0		
3c_barb_religious_nomad_1	3c_barb_religious_nomad_1			0		
3c_barb_religious_nomad_agrimpasa_2	3c_barb_religious_nomad_agrimpasa_2			0		
3c_barb_religious_nomad_agrimpasa_3	3c_barb_religious_nomad_agrimpasa_3			0		
3c_barb_religious_nomad_agrimpasa_4	3c_barb_religious_nomad_agrimpasa_4			0		
3c_barb_religious_nomad_api_2	3c_barb_religious_nomad_api_2			0		
3c_barb_religious_nomad_api_3	3c_barb_religious_nomad_api_3			0		
3c_barb_religious_nomad_api_4	3c_barb_religious_nomad_api_4			0		
3c_barb_religious_nomad_api_5	3c_barb_religious_nomad_api_5			0		
3c_barb_religious_nomad_goitosyros_2	3c_barb_religious_nomad_goitosyros_2			0		
3c_barb_religious_nomad_goitosyros_3	3c_barb_religious_nomad_goitosyros_3			0		
3c_barb_religious_nomad_goitosyros_4	3c_barb_religious_nomad_goitosyros_4			0		
3c_barb_religious_nomad_papaios_2	3c_barb_religious_nomad_papaios_2			0		
3c_barb_religious_nomad_papaios_3	3c_barb_religious_nomad_papaios_3			0		
3c_barb_religious_nomad_papaios_4	3c_barb_religious_nomad_papaios_4			0		
3c_barb_religious_nomad_tabiti_2	3c_barb_religious_nomad_tabiti_2			0		
3c_barb_religious_nomad_tabiti_3	3c_barb_religious_nomad_tabiti_3			0		
3c_barb_religious_nomad_tabiti_4	3c_barb_religious_nomad_tabiti_4			0		
3c_barb_religious_rosmerta_2	3c_barb_religious_rosmerta_2			0		
3c_barb_religious_rosmerta_3	3c_barb_religious_rosmerta_3			0		
3c_barb_religious_rosmerta_4	3c_barb_religious_rosmerta_4			0		
3c_barb_religious_toutatis_2	3c_barb_religious_toutatis_2			0		
3c_barb_religious_toutatis_3	3c_barb_religious_toutatis_3			0		
3c_barb_religious_toutatis_4	3c_barb_religious_toutatis_4			0		
3c_barb_resource_dummy_2	3c_barb_resource_dummy_2			0		
3c_barb_resource_dummy_3	3c_barb_resource_dummy_3			0		
3c_barb_resource_dummy_4	3c_barb_resource_dummy_4			0		
3c_barb_silk_1	3c_barb_silk_1			0		
3c_barb_silk_2	3c_barb_silk_2			0		
3c_barb_silk_3	3c_barb_silk_3			0		
3c_barb_silk_4	3c_barb_silk_4			0		
3c_barb_town_1	3c_barb_town_1			0		
3c_barb_town_2	3c_barb_town_2			0		
3c_barb_town_3	3c_barb_town_3			0		
3c_barb_town_farm_4	3c_barb_town_farm_4			0		
3c_barb_town_tribal_4	3c_barb_town_tribal_4			0		
3c_barb_water_1	3c_barb_water_1			0		
3c_barb_water_canal_2	3c_barb_water_canal_2			0		
3c_barb_water_canal_3	3c_barb_water_canal_3			0		
3c_barb_water_spring_2	3c_barb_water_spring_2			0		
3c_barb_water_spring_3	3c_barb_water_spring_3			0		
3c_barb_wine_1	3c_barb_wine_1			0		
3c_barb_wine_2	3c_barb_wine_2			0		
3c_barb_wine_3	3c_barb_wine_3			0		
3c_barb_wine_4	3c_barb_wine_4			0		
3c_barbarian_cult_1	3c_barbarian_cult_1			0		
3c_barbarian_cult_christ_2	3c_barbarian_cult_christ_2			0		
3c_barbarian_cult_christ_3	3c_barbarian_cult_christ_3			0		
3c_barbarian_cult_christ_4	3c_barbarian_cult_christ_4			0		
3c_barbarian_cult_manich_2	3c_barbarian_cult_manich_2			0		
3c_barbarian_cult_manich_3	3c_barbarian_cult_manich_3			0		
3c_barbarian_cult_manich_4	3c_barbarian_cult_manich_4			0		
3c_barbarian_cult_mithra_2	3c_barbarian_cult_mithra_2			0		
3c_barbarian_cult_mithra_3	3c_barbarian_cult_mithra_3			0		
3c_barbarian_cult_mithra_4	3c_barbarian_cult_mithra_4			0		
3c_east_administration_1	3c_east_administration_1			0		
3c_east_administration_security_2	3c_east_administration_security_2			0		
3c_east_administration_security_3	3c_east_administration_security_3			0		
3c_east_administration_security_4	3c_east_administration_security_4			0		
3c_east_administration_spies_2	3c_east_administration_spies_2			0		
3c_east_administration_spies_3	3c_east_administration_spies_3			0		
3c_east_administration_spies_4	3c_east_administration_spies_4			0		
3c_east_administration_taxes_2	3c_east_administration_taxes_2			0		
3c_east_administration_taxes_3	3c_east_administration_taxes_3			0		
3c_east_administration_taxes_4	3c_east_administration_taxes_4			0		
3c_east_agriculture_1	3c_east_agriculture_1			0		
3c_east_agriculture_farm_2	3c_east_agriculture_farm_2			0		
3c_east_agriculture_farm_3	3c_east_agriculture_farm_3			0		
3c_east_agriculture_farm_4	3c_east_agriculture_farm_4			0		
3c_east_agriculture_granary_2	3c_east_agriculture_granary_2			0		
3c_east_agriculture_granary_3	3c_east_agriculture_granary_3			0		
3c_east_agriculture_granary_4	3c_east_agriculture_granary_4			0		
3c_east_agriculture_herding_2	3c_east_agriculture_herding_2			0		
3c_east_agriculture_herding_3	3c_east_agriculture_herding_3			0		
3c_east_agriculture_herding_4	3c_east_agriculture_herding_4			0		
3c_east_amber_1	3c_east_amber_1			0		
3c_east_amber_2	3c_east_amber_2			0		
3c_east_amber_3	3c_east_amber_3			0		
3c_east_amber_4	3c_east_amber_4			0		
3c_east_city_1	3c_east_city_1			0		
3c_east_city_centre_1	3c_east_city_centre_1			0		
3c_east_city_centre_arena_2	3c_east_city_centre_arena_2			0		
3c_east_city_centre_arena_3	3c_east_city_centre_arena_3			0		
3c_east_city_centre_arena_4	3c_east_city_centre_arena_4			0		
3c_east_city_centre_library_2	3c_east_city_centre_library_2			0		
3c_east_city_centre_library_3	3c_east_city_centre_library_3			0		
3c_east_city_centre_library_4	3c_east_city_centre_library_4			0		
3c_east_city_centre_palace_2	3c_east_city_centre_palace_2			0		
3c_east_city_centre_palace_3	3c_east_city_centre_palace_3			0		
3c_east_city_centre_palace_4	3c_east_city_centre_palace_4			0		
3c_east_city_centre_slave_2	3c_east_city_centre_slave_2			0		
3c_east_city_centre_slave_3	3c_east_city_centre_slave_3			0		
3c_east_city_centre_spice_2	3c_east_city_centre_spice_2			0		
3c_east_city_centre_spice_3	3c_east_city_centre_spice_3			0		
3c_east_city_centre_spice_4	3c_east_city_centre_spice_4			0		
3c_east_city_royal_2	3c_east_city_royal_2			0		
3c_east_city_royal_3	3c_east_city_royal_3			0		
3c_east_city_royal_4	3c_east_city_royal_4			0		
3c_east_city_satrap_2	3c_east_city_satrap_2			0		
3c_east_city_satrap_3	3c_east_city_satrap_3			0		
3c_east_city_satrap_4	3c_east_city_satrap_4			0		
3c_east_glass_1	3c_east_glass_1			0		
3c_east_glass_2	3c_east_glass_2			0		
3c_east_glass_3	3c_east_glass_3			0		
3c_east_glass_4	3c_east_glass_4			0		
3c_east_gold_1	3c_east_gold_1			0		
3c_east_gold_2	3c_east_gold_2			0		
3c_east_gold_3	3c_east_gold_3			0		
3c_east_gold_4	3c_east_gold_4			0		
3c_east_grain_1	3c_east_grain_1			0		
3c_east_grain_2	3c_east_grain_2			0		
3c_east_grain_3	3c_east_grain_3			0		
3c_east_grain_4	3c_east_grain_4			0		
3c_east_horse_1	3c_east_horse_1			0		
3c_east_horse_2	3c_east_horse_2			0		
3c_east_horse_3	3c_east_horse_3			0		
3c_east_industry_1	3c_east_industry_1			0		
3c_east_industry_adobe_2	3c_east_industry_adobe_2			0		
3c_east_industry_adobe_3	3c_east_industry_adobe_3			0		
3c_east_industry_adobe_4	3c_east_industry_adobe_4			0		
3c_east_industry_mint_2	3c_east_industry_mint_2			0		
3c_east_industry_mint_3	3c_east_industry_mint_3			0		
3c_east_industry_mint_4	3c_east_industry_mint_4			0		
3c_east_industry_weaver_2	3c_east_industry_weaver_2			0		
3c_east_industry_weaver_3	3c_east_industry_weaver_3			0		
3c_east_industry_weaver_4	3c_east_industry_weaver_4			0		
3c_east_iron_1	3c_east_iron_1			0		
3c_east_iron_armour_2	3c_east_iron_armour_2			0		
3c_east_iron_armour_3	3c_east_iron_armour_3			0		
3c_east_iron_weapon_2	3c_east_iron_weapon_2			0		
3c_east_iron_weapon_3	3c_east_iron_weapon_3			0		
3c_east_lead_1	3c_east_lead_1			0		
3c_east_lead_2	3c_east_lead_2			0		
3c_east_lead_3	3c_east_lead_3			0		
3c_east_lead_4	3c_east_lead_4			0		
3c_east_leather_1	3c_east_leather_1			0		
3c_east_leather_2	3c_east_leather_2			0		
3c_east_leather_3	3c_east_leather_3			0		
3c_east_leather_4	3c_east_leather_4			0		
3c_east_lumber_1	3c_east_lumber_1			0		
3c_east_lumber_2	3c_east_lumber_2			0		
3c_east_lumber_3	3c_east_lumber_3			0		
3c_east_lumber_4	3c_east_lumber_4			0		
3c_east_marble_1	3c_east_marble_1			0		
3c_east_marble_2	3c_east_marble_2			0		
3c_east_marble_3	3c_east_marble_3			0		
3c_east_marble_4	3c_east_marble_4			0		
3c_east_military_buff_1	3c_east_military_buff_1			0		
3c_east_military_buff_horse_2	3c_east_military_buff_horse_2			0		
3c_east_military_buff_horse_3	3c_east_military_buff_horse_3			0		
3c_east_military_buff_range_2	3c_east_military_buff_range_2			0		
3c_east_military_buff_range_3	3c_east_military_buff_range_3			0		
3c_east_military_cav_1	3c_east_military_cav_1			0		
3c_east_military_cav_2	3c_east_military_cav_2			0		
3c_east_military_cav_animal_3	3c_east_military_cav_animal_3			0		
3c_east_military_cav_animal_4	3c_east_military_cav_animal_4			0		
3c_east_military_cav_heavy_3	3c_east_military_cav_heavy_3			0		
3c_east_military_cav_heavy_4	3c_east_military_cav_heavy_4			0		
3c_east_military_siege_1	3c_east_military_siege_1			0		
3c_east_military_siege_2	3c_east_military_siege_2			0		
3c_east_military_siege_3	3c_east_military_siege_3			0		
3c_east_olive_1	3c_east_olive_1			0		
3c_east_olive_2	3c_east_olive_2			0		
3c_east_olive_3	3c_east_olive_3			0		
3c_east_olive_4	3c_east_olive_4			0		
3c_east_port_1	3c_east_port_1			0		
3c_east_port_fish_2	3c_east_port_fish_2			0		
3c_east_port_fish_3	3c_east_port_fish_3			0		
3c_east_port_fish_4	3c_east_port_fish_4			0		
3c_east_port_military_2	3c_east_port_military_2			0		
3c_east_port_military_3	3c_east_port_military_3			0		
3c_east_port_military_4	3c_east_port_military_4			0		
3c_east_port_trade_2	3c_east_port_trade_2			0		
3c_east_port_trade_3	3c_east_port_trade_3			0		
3c_east_port_trade_4	3c_east_port_trade_4			0		
3c_east_purple_dye_1	3c_east_purple_dye_1			0		
3c_east_purple_dye_2	3c_east_purple_dye_2			0		
3c_east_purple_dye_3	3c_east_purple_dye_3			0		
3c_east_purple_dye_4	3c_east_purple_dye_4			0		
3c_east_resource_dummy_2	3c_east_resource_dummy_2			0		
3c_east_resource_dummy_3	3c_east_resource_dummy_3			0		
3c_east_resource_dummy_4	3c_east_resource_dummy_4			0		
3c_east_silk_1	3c_east_silk_1			0		
3c_east_silk_2	3c_east_silk_2			0		
3c_east_silk_3	3c_east_silk_3			0		
3c_east_silk_4	3c_east_silk_4			0		
3c_east_town_1	3c_east_town_1			0		
3c_east_town_centre_1	3c_east_town_centre_1			0		
3c_east_town_centre_game_2	3c_east_town_centre_game_2			0		
3c_east_town_centre_game_3	3c_east_town_centre_game_3			0		
3c_east_town_centre_game_4	3c_east_town_centre_game_4			0		
3c_east_town_centre_trade_2	3c_east_town_centre_trade_2			0		
3c_east_town_centre_trade_3	3c_east_town_centre_trade_3			0		
3c_east_town_centre_trade_4	3c_east_town_centre_trade_4			0		
3c_east_town_garrison_2	3c_east_town_garrison_2			0		
3c_east_town_garrison_3	3c_east_town_garrison_3			0		
3c_east_town_garrison_4	3c_east_town_garrison_4			0		
3c_east_town_trade_2	3c_east_town_trade_2			0		
3c_east_town_trade_3	3c_east_town_trade_3			0		
3c_east_town_trade_4	3c_east_town_trade_4			0		
3c_east_water_1	3c_east_water_1			0		
3c_east_water_well_2	3c_east_water_well_2			0		
3c_east_water_well_3	3c_east_water_well_3			0		
3c_east_water_well_4	3c_east_water_well_4			0		
3c_east_water_wind_2	3c_east_water_wind_2			0		
3c_east_water_wind_3	3c_east_water_wind_3			0		
3c_east_water_wind_4	3c_east_water_wind_4			0		
3c_east_wine_1	3c_east_wine_1			0		
3c_east_wine_2	3c_east_wine_2			0		
3c_east_wine_3	3c_east_wine_3			0		
3c_east_wine_4	3c_east_wine_4			0		
3c_eastern_cult_1	3c_eastern_cult_1			0		
3c_eastern_cult_christ_2	3c_eastern_cult_christ_2			0		
3c_eastern_cult_christ_3	3c_eastern_cult_christ_3			0		
3c_eastern_cult_christ_4	3c_eastern_cult_christ_4			0		
3c_eastern_cult_manich_2	3c_eastern_cult_manich_2			0		
3c_eastern_cult_manich_3	3c_eastern_cult_manich_3			0		
3c_eastern_cult_manich_4	3c_eastern_cult_manich_4			0		
3c_eastern_cult_mithra_2	3c_eastern_cult_mithra_2			0		
3c_eastern_cult_mithra_3	3c_eastern_cult_mithra_3			0		
3c_eastern_cult_mithra_4	3c_eastern_cult_mithra_4			0		
3c_gallicemp_agriculture_1	3c_gallicemp_agriculture_1			0		
3c_gallicemp_agriculture_cattle_2	3c_gallicemp_agriculture_cattle_2			0		
3c_gallicemp_agriculture_cattle_3	3c_gallicemp_agriculture_cattle_3			0		
3c_gallicemp_agriculture_cattle_4	3c_gallicemp_agriculture_cattle_4			0		
3c_gallicemp_agriculture_farm_2	3c_gallicemp_agriculture_farm_2			0		
3c_gallicemp_agriculture_farm_3	3c_gallicemp_agriculture_farm_3			0		
3c_gallicemp_agriculture_farm_4	3c_gallicemp_agriculture_farm_4			0		
3c_gallicemp_agriculture_horse_2	3c_gallicemp_agriculture_horse_2			0		
3c_gallicemp_agriculture_horse_3	3c_gallicemp_agriculture_horse_3			0		
3c_gallicemp_agriculture_horse_4	3c_gallicemp_agriculture_horse_4			0		
3c_gallicemp_military_1	3c_gallicemp_military_1			0		
3c_gallicemp_military_2	3c_gallicemp_military_2			0		
3c_gallicemp_military_3	3c_gallicemp_military_3			0		
3c_gallicemp_military_infantry_4	3c_gallicemp_military_infantry_4			0		
3c_gallicemp_religious_1	3c_gallicemp_religious_1			0		
3c_gallicemp_religious_cernunnos_2	3c_gallicemp_religious_cernunnos_2			0		
3c_gallicemp_religious_cernunnos_3	3c_gallicemp_religious_cernunnos_3			0		
3c_gallicemp_religious_cernunnos_4	3c_gallicemp_religious_cernunnos_4			0		
3c_gallicemp_religious_gobannus_2	3c_gallicemp_religious_gobannus_2			0		
3c_gallicemp_religious_gobannus_3	3c_gallicemp_religious_gobannus_3			0		
3c_gallicemp_religious_gobannus_4	3c_gallicemp_religious_gobannus_4			0		
3c_gallicemp_religious_jupiter_2	3c_gallicemp_religious_jupiter_2			0		
3c_gallicemp_religious_jupiter_3	3c_gallicemp_religious_jupiter_3			0		
