trait_level	effect	effect_scope	value
FemGen_ch_eastern_rank_1	rom_character_political_party_loyalty	this_agent	3.0000
FemGen_ch_eastern_rank_2	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	4.0000
FemGen_ch_eastern_rank_2	rom_character_gravitas_per_turn_mod	this_agent	4.0000
FemGen_ch_eastern_rank_2	rom_character_political_party_loyalty	this_agent	6.0000
FemGen_ch_eastern_rank_3	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_eastern_rank_3	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_eastern_rank_3	rom_character_political_party_loyalty	this_agent	8.0000
FemGen_ch_eastern_rank_3	rom_general_attribute_mod_authority	this_agent	1.0000
FemGen_ch_eastern_rank_3	rom_general_attribute_mod_subterfuge	this_agent	1.0000
FemGen_ch_eastern_rank_3	rom_general_attribute_mod_zeal	this_agent	1.0000
FemGen_ch_eastern_rank_4	rom_any_corruption_mod_global	this_character_faction	-5.0000
FemGen_ch_eastern_rank_4	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_eastern_rank_4	rom_character_faction_leader_global_public_order	in_all_your_provinces	1.0000
FemGen_ch_eastern_rank_4	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_eastern_rank_4	rom_character_political_party_loyalty	this_agent	9.0000
FemGen_ch_eastern_rank_4	rom_general_attribute_mod_authority	this_agent	2.0000
FemGen_ch_eastern_rank_4	rom_general_attribute_mod_subterfuge	this_agent	2.0000
FemGen_ch_eastern_rank_4	rom_general_attribute_mod_zeal	this_agent	2.0000
FemGen_ch_hellenic_rank_1	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	3.0000
FemGen_ch_hellenic_rank_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
FemGen_ch_hellenic_rank_1	rom_character_political_party_loyalty	this_agent	3.0000
FemGen_ch_hellenic_rank_2	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	4.0000
FemGen_ch_hellenic_rank_2	rom_character_gravitas_per_turn_mod	this_agent	4.0000
FemGen_ch_hellenic_rank_2	rom_character_political_party_loyalty	this_agent	6.0000
FemGen_ch_hellenic_rank_3	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_hellenic_rank_3	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_hellenic_rank_3	rom_character_political_party_loyalty	this_agent	8.0000
FemGen_ch_hellenic_rank_3	rom_general_attribute_mod_authority	this_agent	1.0000
FemGen_ch_hellenic_rank_3	rom_general_attribute_mod_subterfuge	this_agent	1.0000
FemGen_ch_hellenic_rank_3	rom_general_attribute_mod_zeal	this_agent	1.0000
FemGen_ch_hellenic_rank_4	rom_any_corruption_mod_global	this_character_faction	-5.0000
FemGen_ch_hellenic_rank_4	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_hellenic_rank_4	rom_character_faction_leader_global_public_order	in_all_your_provinces	1.0000
FemGen_ch_hellenic_rank_4	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_hellenic_rank_4	rom_character_political_party_loyalty	this_agent	9.0000
FemGen_ch_hellenic_rank_4	rom_general_attribute_mod_authority	this_agent	2.0000
FemGen_ch_hellenic_rank_4	rom_general_attribute_mod_subterfuge	this_agent	2.0000
FemGen_ch_hellenic_rank_4	rom_general_attribute_mod_zeal	this_agent	2.0000
FemGen_ch_roman_rank_1	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	3.0000
FemGen_ch_roman_rank_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
FemGen_ch_roman_rank_1	rom_character_political_party_loyalty	this_agent	3.0000
FemGen_ch_roman_rank_2	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	4.0000
FemGen_ch_roman_rank_2	rom_character_gravitas_per_turn_mod	this_agent	4.0000
FemGen_ch_roman_rank_2	rom_character_political_party_loyalty	this_agent	6.0000
FemGen_ch_roman_rank_3	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_roman_rank_3	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_roman_rank_3	rom_character_political_party_loyalty	this_agent	8.0000
FemGen_ch_roman_rank_3	rom_general_attribute_mod_authority	this_agent	1.0000
FemGen_ch_roman_rank_3	rom_general_attribute_mod_subterfuge	this_agent	1.0000
FemGen_ch_roman_rank_3	rom_general_attribute_mod_zeal	this_agent	1.0000
FemGen_ch_roman_rank_4	rom_any_corruption_mod_global	this_character_faction	-5.0000
FemGen_ch_roman_rank_4	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	6.0000
FemGen_ch_roman_rank_4	rom_character_faction_leader_global_public_order	in_all_your_provinces	1.0000
FemGen_ch_roman_rank_4	rom_character_gravitas_per_turn_mod	this_agent	6.0000
FemGen_ch_roman_rank_4	rom_character_political_party_loyalty	this_agent	9.0000
FemGen_ch_roman_rank_4	rom_general_attribute_mod_authority	this_agent	2.0000
FemGen_ch_roman_rank_4	rom_general_attribute_mod_subterfuge	this_agent	2.0000
FemGen_ch_roman_rank_4	rom_general_attribute_mod_zeal	this_agent	2.0000
dk_ch_kush_rank_1	rom_building_tax_level	this_character_local_province	3.0000
dk_ch_kush_rank_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
dk_ch_kush_rank_1	rom_character_political_party_loyalty	this_agent	2.0000
dk_ch_kush_rank_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
dk_ch_kush_rank_2	rom_building_tax_level	this_character_local_province	6.0000
dk_ch_kush_rank_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
dk_ch_kush_rank_2	rom_character_political_party_loyalty	this_agent	4.0000
dk_ch_kush_rank_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
dk_ch_kush_rank_3	rom_building_tax_level	this_character_local_province	9.0000
dk_ch_kush_rank_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
dk_ch_kush_rank_3	rom_character_political_party_loyalty	this_agent	6.0000
dk_ch_kush_rank_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
dk_ch_kush_rank_4	rom_building_tax_level	this_character_local_province	12.0000
dk_ch_kush_rank_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
dk_ch_kush_rank_4	rom_character_political_party_loyalty	this_agent	8.0000
dk_ch_kush_rank_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
dk_ch_kush_rank_5	rom_building_tax_level	this_character_local_province	15.0000
dk_ch_kush_rank_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
dk_ch_kush_rank_5	rom_character_political_party_loyalty	this_agent	10.0000
dk_ch_kush_rank_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
dk_ch_kush_rank_6	rom_building_tax_level	this_character_local_province	18.0000
dk_ch_kush_rank_6	rom_character_gravitas_per_turn_mod	this_agent	6.0000
dk_ch_kush_rank_6	rom_character_political_party_loyalty	this_agent	12.0000
dk_ch_kush_rank_6	rom_force_campaign_mod_upkeep_land	this_general_army	-12.0000
dk_ch_kush_rank_7	rom_building_tax_level	this_character_local_province	21.0000
dk_ch_kush_rank_7	rom_character_faction_leader_global_public_order	in_all_your_provinces	3.0000
dk_ch_kush_rank_7	rom_character_gravitas_per_turn_mod	this_agent	7.0000
dk_ch_kush_rank_7	rom_character_political_party_loyalty	this_agent	14.0000
dk_ch_kush_rank_7	rom_character_power_to_ruling_party_per_turn	this_character_faction	3.0000
dk_ch_kush_rank_7	rom_force_campaign_mod_upkeep_land	this_general_army	-14.0000
dk_ch_saba_rank_1	rom_building_tax_level	this_character_local_province	3.0000
dk_ch_saba_rank_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
dk_ch_saba_rank_1	rom_character_political_party_loyalty	this_agent	2.0000
dk_ch_saba_rank_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
dk_ch_saba_rank_2	rom_building_tax_level	this_character_local_province	6.0000
dk_ch_saba_rank_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
dk_ch_saba_rank_2	rom_character_political_party_loyalty	this_agent	4.0000
dk_ch_saba_rank_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
dk_ch_saba_rank_3	rom_building_tax_level	this_character_local_province	9.0000
dk_ch_saba_rank_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
dk_ch_saba_rank_3	rom_character_political_party_loyalty	this_agent	6.0000
dk_ch_saba_rank_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
dk_ch_saba_rank_4	rom_building_tax_level	this_character_local_province	12.0000
dk_ch_saba_rank_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
dk_ch_saba_rank_4	rom_character_political_party_loyalty	this_agent	8.0000
dk_ch_saba_rank_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
dk_ch_saba_rank_5	rom_building_tax_level	this_character_local_province	15.0000
dk_ch_saba_rank_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
dk_ch_saba_rank_5	rom_character_political_party_loyalty	this_agent	10.0000
dk_ch_saba_rank_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
dk_ch_saba_rank_6	rom_building_tax_level	this_character_local_province	18.0000
dk_ch_saba_rank_6	rom_character_gravitas_per_turn_mod	this_agent	6.0000
dk_ch_saba_rank_6	rom_character_political_party_loyalty	this_agent	12.0000
dk_ch_saba_rank_6	rom_force_campaign_mod_upkeep_land	this_general_army	-12.0000
dk_ch_saba_rank_7	rom_building_tax_level	this_character_local_province	21.0000
dk_ch_saba_rank_7	rom_character_faction_leader_global_public_order	in_all_your_provinces	3.0000
dk_ch_saba_rank_7	rom_character_gravitas_per_turn_mod	this_agent	7.0000
dk_ch_saba_rank_7	rom_character_political_party_loyalty	this_agent	14.0000
dk_ch_saba_rank_7	rom_character_power_to_ruling_party_per_turn	this_character_faction	3.0000
dk_ch_saba_rank_7	rom_force_campaign_mod_upkeep_land	this_general_army	-14.0000
dk_female_family_duty_1	rom_building_gdp_mod_agriculture_all	in_all_your_regions	5.0000
dk_female_family_duty_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
dk_female_family_duty_1	rom_character_province_growth	in_all_your_provinces	2.0000
dk_female_family_duty_1	rom_character_skills_disable	this_agent	1.0000
dk_highborn_1	rom_character_gravitas_per_turn_mod	this_general	5.0000
emp_antony_1	gaul_general_dummy_invincible	this_general	1.0000
emp_antony_2	gaul_general_dummy_invincible	this_general	1.0000
emp_antony_3	gaul_general_dummy_invincible	this_general	1.0000
emp_lepidus_1	gaul_general_dummy_invincible	this_general	1.0000
emp_lepidus_2	gaul_general_dummy_invincible	this_general	1.0000
emp_lepidus_3	gaul_general_dummy_invincible	this_general	1.0000
emp_octavian_1	gaul_general_dummy_invincible	this_general	1.0000
emp_octavian_2	gaul_general_dummy_invincible	this_general	1.0000
emp_octavian_3	gaul_general_dummy_invincible	this_general	1.0000
emp_pompey_1	gaul_general_dummy_invincible	this_general	1.0000
emp_pompey_2	gaul_general_dummy_invincible	this_general	1.0000
emp_pompey_3	gaul_general_dummy_invincible	this_general	1.0000
games_isthmian_victor_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_isthmian_victor_1	rom_character_province_public_order	this_character_local_province	3.0000
games_isthmian_victor_1	rom_force_unit_mod_morale	this_general_force	5.0000
games_isthmian_victor_2	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_isthmian_victor_2	rom_character_province_public_order	this_character_local_province	3.0000
games_isthmian_victor_2	rom_force_unit_mod_morale	this_general_force	5.0000
games_isthmian_victor_3	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_isthmian_victor_3	rom_character_province_public_order	this_character_local_province	3.0000
games_isthmian_victor_3	rom_force_unit_mod_morale	this_general_force	5.0000
games_nemean_victor_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_nemean_victor_1	rom_character_province_public_order	this_character_local_province	4.0000
games_nemean_victor_1	rom_force_unit_mod_morale	this_general_force	6.0000
games_nemean_victor_2	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_nemean_victor_2	rom_character_province_public_order	this_character_local_province	4.0000
games_nemean_victor_2	rom_force_unit_mod_morale	this_general_force	6.0000
games_nemean_victor_3	rom_character_gravitas_per_turn_mod	this_agent	1.0000
games_nemean_victor_3	rom_character_province_public_order	this_character_local_province	4.0000
games_nemean_victor_3	rom_force_unit_mod_morale	this_general_force	6.0000
games_olympic_victor_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
games_olympic_victor_1	rom_character_province_public_order	this_character_local_province	6.0000
games_olympic_victor_1	rom_force_unit_mod_morale	this_general_force	10.0000
games_olympic_victor_2	rom_character_gravitas_per_turn_mod	this_agent	3.0000
games_olympic_victor_2	rom_character_province_public_order	this_character_local_province	6.0000
games_olympic_victor_2	rom_force_unit_mod_morale	this_general_force	10.0000
games_olympic_victor_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
games_olympic_victor_3	rom_character_province_public_order	this_character_local_province	6.0000
games_olympic_victor_3	rom_force_unit_mod_morale	this_general_force	10.0000
games_pythian_victor_1	rom_character_gravitas_per_turn_mod	this_agent	2.0000
games_pythian_victor_1	rom_character_province_public_order	this_character_local_province	5.0000
games_pythian_victor_1	rom_force_unit_mod_morale	this_general_force	8.0000
games_pythian_victor_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
games_pythian_victor_2	rom_character_province_public_order	this_character_local_province	5.0000
games_pythian_victor_2	rom_force_unit_mod_morale	this_general_force	8.0000
games_pythian_victor_3	rom_character_gravitas_per_turn_mod	this_agent	2.0000
games_pythian_victor_3	rom_character_province_public_order	this_character_local_province	5.0000
games_pythian_victor_3	rom_force_unit_mod_morale	this_general_force	8.0000
inv_ch_barb_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_barb_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_barb_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_barb_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_barb_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_barb_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_barb_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_barb_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_barb_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_barb_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_barb_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_barb_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
inv_ch_barb_4	rom_building_tax_level	this_character_local_province	12.0000
inv_ch_barb_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
inv_ch_barb_4	rom_character_political_party_loyalty	this_agent	8.0000
inv_ch_barb_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
inv_ch_barb_5	rom_building_tax_level	this_character_local_province	15.0000
inv_ch_barb_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
inv_ch_barb_5	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_barb_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
inv_ch_rome_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_rome_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_rome_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_rome_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_rome_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_rome_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_rome_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_rome_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_rome_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_rome_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_rome_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_rome_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
inv_ch_rome_4	rom_building_tax_level	this_character_local_province	12.0000
inv_ch_rome_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
inv_ch_rome_4	rom_character_political_party_loyalty	this_agent	8.0000
inv_ch_rome_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
inv_ch_rome_consul_posterior_1	age_agent_enemy_action_success_chance_mod	this_agent	-20.0000
inv_ch_rome_consul_posterior_1	rom_building_food_trade	this_character_local_region_province	4.0000
inv_ch_rome_consul_posterior_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_rome_consul_posterior_1	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_rome_consul_posterior_1	rom_character_province_public_order	this_character_local_province	4.0000
inv_ch_rome_consul_posterior_1	rom_force_unit_mod_morale	this_general_force	10.0000
inv_ch_rome_consul_posterior_1	rom_general_local_mod_construction_costs	this_character_local_region_province	-20.0000
inv_ch_rome_consul_prior_1	age_agent_enemy_action_success_chance_mod	this_agent	-20.0000
inv_ch_rome_consul_prior_1	rom_building_food_trade	this_character_local_region_province	4.0000
inv_ch_rome_consul_prior_1	rom_building_recruitment_cost_mod_land	this_character_local_province	-25.0000
inv_ch_rome_consul_prior_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_rome_consul_prior_1	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_rome_consul_prior_1	rom_character_province_public_order	this_character_local_province	4.0000
inv_ch_rome_consul_prior_1	rom_force_unit_mod_morale	this_general_force	10.0000
inv_ch_rome_dictator_1	age_agent_enemy_action_success_chance_mod	this_agent	-20.0000
inv_ch_rome_dictator_1	rom_agent_movement_range_mod	this_general	40.0000
inv_ch_rome_dictator_1	rom_character_faction_leader_global_public_order	in_all_your_provinces	5.0000
inv_ch_rome_dictator_1	rom_character_gravitas_per_turn_mod	this_agent	5.0000
inv_ch_rome_dictator_1	rom_character_political_party_loyalty	this_agent	20.0000
inv_ch_rome_dictator_1	rom_force_campaign_mod_replenishment_rate	this_general_force	30.0000
inv_ch_rome_dictator_1	rom_force_unit_mod_morale	this_general_force	20.0000
inv_ch_rome_ex_consul_1	age_agent_enemy_action_success_chance_mod	this_agent	-20.0000
inv_ch_rome_ex_consul_1	rom_agent_action_passive_culture_spread	this_agent	4.0000
inv_ch_rome_ex_consul_1	rom_building_tax_level	this_character_local_province	5.0000
inv_ch_rome_ex_consul_1	rom_character_gravitas_per_turn_mod	this_agent	6.0000
inv_ch_rome_ex_consul_1	rom_character_province_public_order	this_character_local_province	2.0000
inv_ch_rome_ex_consul_1	rom_force_unit_mod_morale	this_general_force	10.0000
inv_ch_rome_ex_consul_1	rom_tech_military_management_recruitment_mod	this_character_local_province	1.0000
inv_ch_rome_ex_dictator_1	age_agent_enemy_action_success_chance_mod	this_agent	-20.0000
inv_ch_rome_ex_dictator_1	rom_agent_action_passive_culture_spread	this_agent	4.0000
inv_ch_rome_ex_dictator_1	rom_character_gravitas_per_turn_mod	this_agent	6.0000
inv_ch_rome_ex_dictator_1	rom_character_province_public_order	this_character_local_province	3.0000
inv_ch_rome_ex_dictator_1	rom_force_unit_mod_morale	this_general_force	10.0000
inv_ch_rome_ex_dictator_1	rom_tech_military_management_recruitment_mod	this_character_local_province	1.0000
inv_ch_rome_magister_equitum_1	pel_force_unit_mod_cavalry_recruitment_cost	this_general_force	-10.0000
inv_ch_rome_magister_equitum_1	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_rome_magister_equitum_1	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_rome_magister_equitum_1	rom_character_province_public_order	this_character_local_province	4.0000
inv_ch_rome_magister_equitum_1	rom_force_unit_mod_cavalry_morale	this_general_force	10.0000
inv_ch_samnites_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_samnites_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_samnites_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_samnites_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_samnites_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_samnites_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_samnites_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_samnites_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_samnites_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_samnites_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_samnites_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_samnites_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
inv_ch_samnites_4	rom_building_tax_level	this_character_local_province	12.0000
inv_ch_samnites_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
inv_ch_samnites_4	rom_character_political_party_loyalty	this_agent	8.0000
inv_ch_samnites_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
inv_ch_samnites_5	rom_building_tax_level	this_character_local_province	15.0000
inv_ch_samnites_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
inv_ch_samnites_5	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_samnites_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
inv_ch_syracuse_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_syracuse_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_syracuse_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_syracuse_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_syracuse_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_syracuse_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_syracuse_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_syracuse_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_syracuse_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_syracuse_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_syracuse_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_syracuse_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
inv_ch_syracuse_4	rom_building_tax_level	this_character_local_province	12.0000
inv_ch_syracuse_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
inv_ch_syracuse_4	rom_character_political_party_loyalty	this_agent	8.0000
inv_ch_syracuse_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
inv_ch_syracuse_5	rom_building_tax_level	this_character_local_province	15.0000
inv_ch_syracuse_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
inv_ch_syracuse_5	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_syracuse_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
inv_ch_taranto_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_taranto_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_taranto_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_taranto_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_taranto_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_taranto_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_taranto_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_taranto_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_taranto_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_taranto_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_taranto_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_taranto_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
inv_ch_taranto_4	rom_building_tax_level	this_character_local_province	12.0000
inv_ch_taranto_4	rom_character_gravitas_per_turn_mod	this_agent	4.0000
inv_ch_taranto_4	rom_character_political_party_loyalty	this_agent	8.0000
inv_ch_taranto_4	rom_force_campaign_mod_upkeep_land	this_general_army	-8.0000
inv_ch_taranto_5	rom_building_tax_level	this_character_local_province	15.0000
inv_ch_taranto_5	rom_character_gravitas_per_turn_mod	this_agent	5.0000
inv_ch_taranto_5	rom_character_political_party_loyalty	this_agent	10.0000
inv_ch_taranto_5	rom_force_campaign_mod_upkeep_land	this_general_army	-10.0000
inv_ch_tarchuna_1	rom_building_tax_level	this_character_local_province	3.0000
inv_ch_tarchuna_1	rom_character_gravitas_per_turn_mod	this_agent	1.0000
inv_ch_tarchuna_1	rom_character_political_party_loyalty	this_agent	2.0000
inv_ch_tarchuna_1	rom_force_campaign_mod_upkeep_land	this_general_army	-2.0000
inv_ch_tarchuna_2	rom_building_tax_level	this_character_local_province	6.0000
inv_ch_tarchuna_2	rom_character_gravitas_per_turn_mod	this_agent	2.0000
inv_ch_tarchuna_2	rom_character_political_party_loyalty	this_agent	4.0000
inv_ch_tarchuna_2	rom_force_campaign_mod_upkeep_land	this_general_army	-4.0000
inv_ch_tarchuna_3	rom_building_tax_level	this_character_local_province	9.0000
inv_ch_tarchuna_3	rom_character_gravitas_per_turn_mod	this_agent	3.0000
inv_ch_tarchuna_3	rom_character_political_party_loyalty	this_agent	6.0000
inv_ch_tarchuna_3	rom_force_campaign_mod_upkeep_land	this_general_army	-6.0000
