building_level_key	technology_key
3c_barb_port_military_2	3c_gothi_military_recruitment_enchance_boat_construction
3c_barb_port_military_3	3c_gothi_military_recruitment_implement_iron_anchors
3c_barb_port_military_4	3c_gothi_military_recruitment_adopt_clinkerbuilt_ships
3c_barb_purple_dye_2	3c_gothi_civil_governance_gain_recognition
3c_barb_purple_dye_3	3c_gothi_civil_governance_gather_able_men
3c_barb_purple_dye_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_religious_briton_andraste_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_briton_andraste_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_briton_andraste_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_briton_andraste_5	3c_caledoni_civil_culture_promote_druidic_traditions
3c_barb_religious_briton_epona_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_briton_epona_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_briton_epona_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_briton_nodens_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_briton_nodens_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_briton_nodens_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_briton_rosmerta_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_briton_rosmerta_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_briton_rosmerta_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_briton_toutatis_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_briton_toutatis_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_briton_toutatis_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_austro_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_german_austro_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_german_austro_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_austro_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_religious_german_frijjo_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_german_frijjo_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_german_frijjo_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_frijjo_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_religious_german_teiwaz_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_german_teiwaz_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_german_teiwaz_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_teiwaz_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_religious_german_thunaraz_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_german_thunaraz_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_german_thunaraz_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_thunaraz_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_religious_german_wodanaz_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_german_wodanaz_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_german_wodanaz_4	3c_gothi_civil_culture_uphold_the_old_ways
3c_barb_religious_german_wodanaz_4	3c_saxoni_civil_culture_venerate_the_irminsul
3c_barb_religious_german_wodanaz_5	3c_gothi_civil_culture_expand_the_cult_of_gaut
3c_barb_religious_nomad_agrimpasa_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_nomad_agrimpasa_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_nomad_agrimpasa_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_religious_nomad_api_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_nomad_api_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_nomad_api_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_religious_nomad_api_5	3c_alani_civil_culture_pay_respect_ancestors
3c_barb_religious_nomad_goitosyros_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_nomad_goitosyros_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_nomad_goitosyros_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_religious_nomad_papaios_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_nomad_papaios_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_nomad_papaios_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_religious_nomad_tabiti_2	3c_gothi_civil_culture_organize_feasts
3c_barb_religious_nomad_tabiti_3	3c_gothi_civil_culture_organize_fairs
3c_barb_religious_nomad_tabiti_4	3c_alani_civil_culture_uphold_the_old_ways
3c_barb_resource_dummy_2	3c_gothi_civil_governance_gain_recognition
3c_barb_resource_dummy_3	3c_gothi_civil_governance_gather_able_men
3c_barb_resource_dummy_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_silk_2	3c_gothi_civil_governance_gain_recognition
3c_barb_silk_3	3c_gothi_civil_governance_gather_able_men
3c_barb_silk_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_town_2	3c_gothi_civil_governance_gain_recognition
3c_barb_town_3	3c_gothi_civil_governance_gather_able_men
3c_barb_town_farm_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_town_tribal_4	3c_gothi_civil_governance_appoint_lawgivers
3c_barb_water_canal_2	3c_gothi_civil_economy_allocate_land
3c_barb_water_canal_3	3c_gothi_civil_economy_select_workers
3c_barb_water_spring_2	3c_gothi_civil_culture_organize_feasts
3c_barb_water_spring_3	3c_gothi_civil_culture_organize_fairs
3c_barb_wine_2	3c_gothi_civil_governance_gain_recognition
3c_barb_wine_3	3c_gothi_civil_governance_gather_able_men
3c_barb_wine_4	3c_gothi_civil_governance_appoint_lawgivers
3c_east_administration_security_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_administration_security_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_administration_security_3	3c_armenia_civil_governance_complie_code_laws
3c_east_administration_security_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_administration_security_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_administration_security_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_administration_spies_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_administration_spies_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_administration_spies_3	3c_armenia_civil_governance_complie_code_laws
3c_east_administration_spies_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_administration_spies_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_administration_spies_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_administration_taxes_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_administration_taxes_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_administration_taxes_3	3c_armenia_civil_governance_complie_code_laws
3c_east_administration_taxes_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_administration_taxes_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_administration_taxes_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_agriculture_farm_2	3c_armenia_civil_economy_order_land_reclamation
3c_east_agriculture_farm_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_east_agriculture_farm_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_east_agriculture_farm_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_east_agriculture_farm_4	3c_armenia_civil_economy_implement_terraced_fields
3c_east_agriculture_farm_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_east_agriculture_granary_2	3c_armenia_civil_economy_order_land_reclamation
3c_east_agriculture_granary_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_east_agriculture_granary_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_east_agriculture_granary_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_east_agriculture_granary_4	3c_armenia_civil_economy_implement_terraced_fields
3c_east_agriculture_granary_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_east_agriculture_herding_2	3c_armenia_civil_economy_order_land_reclamation
3c_east_agriculture_herding_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_east_agriculture_herding_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_east_agriculture_herding_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_east_agriculture_herding_4	3c_armenia_civil_economy_implement_terraced_fields
3c_east_agriculture_herding_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_east_amber_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_amber_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_amber_3	3c_armenia_civil_governance_complie_code_laws
3c_east_amber_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_amber_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_amber_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_city_centre_arena_2	3c_armenia_civil_culture_adhere_tenets_zoroaster
3c_east_city_centre_arena_2	3c_sassanid_civil_culture_preserve_zendavesta
3c_east_city_centre_arena_3	3c_armenia_civil_culture_recall_ancient_rites
3c_east_city_centre_arena_3	3c_sassanid_civil_culture_restructure_order_magi
3c_east_city_centre_arena_4	3c_armenia_civil_culture_promote_religious_tolerance
3c_east_city_centre_arena_4	3c_sassanid_civil_culture_institute_festival_fire
3c_east_city_centre_library_2	3c_armenia_civil_culture_adhere_tenets_zoroaster
3c_east_city_centre_library_2	3c_sassanid_civil_culture_preserve_zendavesta
3c_east_city_centre_library_3	3c_armenia_civil_culture_recall_ancient_rites
3c_east_city_centre_library_3	3c_sassanid_civil_culture_restructure_order_magi
3c_east_city_centre_library_4	3c_armenia_civil_culture_promote_religious_tolerance
3c_east_city_centre_library_4	3c_sassanid_civil_culture_institute_festival_fire
3c_east_city_centre_palace_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_city_centre_palace_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_city_centre_palace_3	3c_armenia_civil_governance_complie_code_laws
3c_east_city_centre_palace_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_city_centre_palace_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_city_centre_palace_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_city_centre_slave_2	3c_armenia_civil_economy_hire_roman_translators
3c_east_city_centre_slave_2	3c_sassanid_civil_economy_hire_roman_translators
3c_east_city_centre_slave_3	3c_armenia_civil_economy_extend_royal_benevolence
3c_east_city_centre_slave_3	3c_sassanid_civil_economy_extend_your_royal_benevolence
3c_east_city_centre_spice_2	3c_armenia_civil_economy_hire_roman_translators
3c_east_city_centre_spice_2	3c_sassanid_civil_economy_hire_roman_translators
3c_east_city_centre_spice_3	3c_armenia_civil_economy_extend_royal_benevolence
3c_east_city_centre_spice_3	3c_sassanid_civil_economy_extend_your_royal_benevolence
3c_east_city_centre_spice_4	3c_armenia_civil_economy_create_royal_bazaars
3c_east_city_centre_spice_4	3c_sassanid_civil_economy_create_your_royal_bazaars
3c_east_city_royal_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_city_royal_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_city_royal_3	3c_armenia_civil_governance_complie_code_laws
3c_east_city_royal_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_city_royal_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_city_royal_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_city_satrap_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_city_satrap_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_city_satrap_3	3c_armenia_civil_governance_complie_code_laws
3c_east_city_satrap_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_city_satrap_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_city_satrap_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_glass_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_glass_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_glass_3	3c_armenia_civil_governance_complie_code_laws
3c_east_glass_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_glass_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_glass_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_gold_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_gold_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_gold_3	3c_armenia_civil_governance_complie_code_laws
3c_east_gold_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_gold_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_gold_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_grain_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_grain_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_grain_3	3c_armenia_civil_governance_complie_code_laws
3c_east_grain_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_grain_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_grain_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_horse_2	3c_armenia_military_recruitment_intensify_physical_conditioning
3c_east_horse_2	3c_sassanid_military_recruitment_intensify_physical_conditioning
3c_east_horse_3	3c_armenia_military_recruitment_expand_tactical_exercises
3c_east_horse_3	3c_sassanid_military_recruitment_expand_tactical_exercises
3c_east_industry_adobe_2	3c_armenia_civil_economy_order_land_reclamation
3c_east_industry_adobe_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_east_industry_adobe_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_east_industry_adobe_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_east_industry_adobe_4	3c_armenia_civil_economy_implement_terraced_fields
3c_east_industry_adobe_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_east_industry_mint_2	3c_armenia_civil_economy_hire_roman_translators
3c_east_industry_mint_2	3c_sassanid_civil_economy_hire_roman_translators
3c_east_industry_mint_3	3c_armenia_civil_economy_extend_royal_benevolence
3c_east_industry_mint_3	3c_sassanid_civil_economy_extend_your_royal_benevolence
3c_east_industry_mint_4	3c_armenia_civil_economy_create_royal_bazaars
3c_east_industry_mint_4	3c_sassanid_civil_economy_create_your_royal_bazaars
3c_east_industry_weaver_2	3c_armenia_civil_economy_order_land_reclamation
3c_east_industry_weaver_2	3c_sassanid_civil_economy_reclaim_your_desert
3c_east_industry_weaver_3	3c_armenia_civil_economy_plan_irrigation_infrastructure
3c_east_industry_weaver_3	3c_sassanid_civil_economy_plan_your_irrigation_infrastructure
3c_east_industry_weaver_4	3c_armenia_civil_economy_implement_terraced_fields
3c_east_industry_weaver_4	3c_sassanid_civil_economy_implenet_your_terraced_fields
3c_east_iron_armour_2	3c_armenia_military_recruitment_intensify_physical_conditioning
3c_east_iron_armour_2	3c_sassanid_military_recruitment_intensify_physical_conditioning
3c_east_iron_armour_3	3c_armenia_military_recruitment_expand_tactical_exercises
3c_east_iron_armour_3	3c_sassanid_military_recruitment_expand_tactical_exercises
3c_east_iron_weapon_2	3c_armenia_military_recruitment_intensify_physical_conditioning
3c_east_iron_weapon_2	3c_sassanid_military_recruitment_intensify_physical_conditioning
3c_east_iron_weapon_3	3c_armenia_military_recruitment_expand_tactical_exercises
3c_east_iron_weapon_3	3c_sassanid_military_recruitment_expand_tactical_exercises
3c_east_lead_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_lead_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_lead_3	3c_armenia_civil_governance_complie_code_laws
3c_east_lead_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_lead_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_lead_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_leather_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_leather_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_leather_3	3c_armenia_civil_governance_complie_code_laws
3c_east_leather_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_leather_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_leather_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_lumber_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_lumber_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_lumber_3	3c_armenia_civil_governance_complie_code_laws
3c_east_lumber_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_lumber_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_lumber_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_marble_2	3c_armenia_civil_governance_assume_the_crown_authority
3c_east_marble_2	3c_sassanid_civil_governance_claim_your_crown
3c_east_marble_3	3c_armenia_civil_governance_complie_code_laws
3c_east_marble_3	3c_sassanid_civil_governance_compile_your_code_of_laws
3c_east_marble_4	3c_armenia_civil_governance_establish_vigorous_administration
3c_east_marble_4	3c_sassanid_civil_governance_establish_vigorous_administration
3c_east_military_buff_horse_2	3c_armenia_military_recruitment_intensify_physical_conditioning
