key	soldier_model	man_animations_table	type	missile_type	variant
3c_Ger_Standard_Bearer_LowTier	target_marker	rome_man_standard_bearer	standard_bearer		3c_Ger_Standard_Bearer_LowTier
3c_Got_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Got_Officer_Cavalry
3c_Got_Officer_Cavalry_Oval	target_marker	rome_man_spear_shield_cavalry	officer		3c_Got_Officer_Cavalry_Oval
3c_Got_Officer_Female	target_marker	rome_man_spear_shield_cavalry	officer		3c_Got_Officer_Female
3c_Got_Officer_Infantry	target_marker	rome_man_sword_shield	officer		3c_Got_Officer_Infantry
3c_Got_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Got_Officer_Lance
3c_Got_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Got_Officer_LowTier
3c_Got_Officer_Pike	target_marker	rome_man_pike	officer		3c_Got_Officer_Pike
3c_Got_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Got_Standard_Bearer
3c_Got_Standard_Bearer_Female	target_marker	rome_man_standard_bearer	standard_bearer		3c_Got_Standard_Bearer_Female
3c_Num_Officer_Infantry	target_marker	rome_man_javelin_sword_shield_cavalry	officer		3c_Num_Officer_Infantry
3c_Pal_Infantry_Officer_Scutum	target_marker	rome_man_sword_shield_cavalry	officer		3c_Pal_Infantry_Officer_Scutum
3c_Pal_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Pal_Officer_Infantry
3c_Pal_Officer_Archer	target_marker	rome_man_bow_cavalry	officer		3c_Pal_Officer_Archer
3c_Pal_Officer_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Pal_Officer_Cavalry
3c_Pal_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Pal_Officer_Lance
3c_Pal_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Pal_Officer_LowTier
3c_Pal_Officer_LowTier_Camel	target_marker	rome_man_camel_spear_cavalry	officer		3c_Pal_Officer_LowTier
3c_Pal_Officer_Pike	target_marker	rome_man_pike	officer		3c_Pal_Officer_Pike
3c_Pal_Officer_Skirmisher	target_marker	rome_man_javelin_sword_shield	officer		3c_Pal_Officer_LowTier
3c_Pal_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Pal_Standard_Bearer
3c_Pal_Standard_Bearer_Scutum	target_marker	rome_man_standard_bearer	standard_bearer		3c_Pal_Standard_Bearer_Scutum
3c_Rom_Herculiani_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Rom_Herculiani_Officer
3c_Rom_Herculiani_Standard	target_marker	rome_man_standard_bearer	standard_bearer		3c_Rom_Herculiani_Standard
3c_Rom_Jovianii_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Rom_Jovianii_Officer
3c_Rom_Jovianii_Standard	target_marker	rome_man_standard_bearer	standard_bearer		3c_Rom_Jovianii_Standard
3c_Rom_Officer	target_marker	rome_man_sword_shield_cavalry	officer		3c_Rom_Officer_Infantry
3c_Rom_Officer_Archers	target_marker	rome_man_bow_cavalry	officer		3c_Rom_Officer_Archers
3c_Rom_Officer_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Rom_Officer_Cavalry
3c_Rom_Officer_Elephants	target_marker	rome_man_elephant_cavalry	officer		3c_Rom_Officer_Elephants
3c_Rom_Officer_Infantry_Scutum	target_marker	rome_man_sword_shield_cavalry	officer		3c_Rom_Officer_Infantry_Scutum
3c_Rom_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Rom_Officer_Lance
3c_Rom_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Rom_Officer_LowTier
3c_Rom_Officer_Skirmishers	target_marker	rome_man_javelin_sword_shield	officer		3c_Rom_Officer_Skirmishers
3c_Rom_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Rom_Standard_Bearer
3c_Rom_Standard_Bearer_Scutum	target_marker	rome_man_standard_bearer	standard_bearer		3c_Rom_Standard_Bearer_Scutum
3c_Sas_Officer_Archer	target_marker	rome_man_bow_cavalry	officer		3c_Sas_Officer_Archers
3c_Sas_Officer_Archer_Armoured	target_marker	rome_man_bow_cavalry	officer		3c_Sas_Officer_Archer_Armoured
3c_Sas_Officer_Archer_Camel	target_marker	rome_man_camel_bow_cavalry	officer		3c_Sas_Officer_Archers
3c_Sas_Officer_Cav	target_marker	rome_man_spear_shield_cavalry	officer		3c_Sas_Officer_Cavalry
3c_Sas_Officer_Cavalry_Camel	target_marker	rome_man_camel_spear_cavalry	officer		3c_Sas_Officer_Cavalry
3c_Sas_Officer_Infantry_Oval	target_marker	rome_man_sword_shield	officer		3c_Sas_Officer_Infantry_Oval
3c_Sas_Officer_Infantry_Tower	target_marker	rome_man_sword_shield	officer		3c_Sas_Officer_Infantry_Tower
3c_Sas_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Sas_Officer_Lance
3c_Sas_Officer_Low_Tier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Sas_Officer_Lowtier
3c_Sas_Standard_Bearer	target_marker	rome_man_standard_bearer	standard_bearer		3c_Sas_Standard_Bearer
3c_Sas_Standard_Bearer_Armoured	target_marker	rome_man_standard_bearer	standard_bearer		3c_Sas_Standard_Bearer_Armoured
3c_Sas_Standard_Bearer_Cloak	target_marker	rome_man_standard_bearer	standard_bearer		3c_Sas_Standard_Bearer_Cloak
3c_Sax_Officer_Cavalry	target_marker	rome_man_spear_shield_cavalry	officer		3c_Sax_Officer_Cavalry
3c_Sax_Officer_Infantry	target_marker	rome_man_sword_shield	officer		3c_Sax_Officer_Infantry
3c_Sax_Officer_Lance	target_marker	rome_man_lance_cavalry	officer		3c_Sax_Officer_Lance
3c_Sax_Officer_LowTier	target_marker	rome_man_sword_shield_cavalry	officer		3c_Sax_Officer_LowTier
3c_Sax_Standard_Bearer_LowTier	target_marker	rome_man_standard_bearer	standard_bearer		3c_Sax_Standard_Bearer_LowTier
3c_Zenobia_Officer	target_marker	rome_man_chariot_rider	officer		3c_Zenobia_Placeholder
Afr_Kushite_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Afr_Kushite_Female_Officer
Ger_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Ger_Female_Officer
Ibe_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Ibe_Female_Officer
Pel_Gre_Cav_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Gre_Cav_Officer
Pel_Gre_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Gre_Officer
Pel_Gre_Standard	target_marker	rome_man_standard_bearer	standard_bearer		Pel_Gre_Standard
Pel_Per_Cav_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Per_Cav_Officer
Pel_Per_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Per_Officer
Pel_Per_Standard	target_marker	rome_man_standard_bearer	standard_bearer		Pel_Per_Standard
Pel_Spa_Cav_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Spa_Cav_Officer
Pel_Spa_Officer	target_marker	rome_man_spear_shield_cavalry	officer		Pel_Spa_Officer
Pel_Spa_Standard	target_marker	rome_man_standard_bearer	standard_bearer		Pel_Spa_Standard
Pel_Thr_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Pel_Thr_Officer
Rom_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Rom_Female_Officer
Spa_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Spa_Female_Officer
Ste_Scythian_Female_Officer	target_marker	rome_man_sword_shield_cavalry	officer		Ste_Scythian_Female_Officer
Test_Placeholder_nuragic_officer	target_marker	rome_man_boxer	officer		inv_iol_nuragic_boxer
Test_Placeholder_nuragic_standard	target_marker	rome_man_boxer	standard_bearer		inv_iol_nuragic_boxer
aet_officer	target_marker	rome_man_sword_shield_cavalry	officer		Aet_Officer
afr_officer	target_marker	rome_man_sword_shield_cavalry	officer		Afr_Officer
afr_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Aet_Officer
afr_officer_chariot	target_marker	rome_man_chariot_rider_javelin	officer		Afr_Chariot_Raiders
afr_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Aet_Officer
afr_officer_ele	target_marker	rome_man_elephant_cavalry	officer		Aet_Sword
afr_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Aet_Officer
afr_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Aet_Officer
afr_officer_onager	target_marker	rome_man_onager_crew	officer		Aet_Officer
afr_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Aet_Officer
ara_camel_officer	target_marker	rome_man_camel_cavalry	officer		Ara_Officer
ara_officer	target_marker	rome_man_sword_shield_cavalry	officer		Ara_Officer
ara_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Ara_Officer
bri_officer	target_marker	rome_man_sword_shield_cavalry	officer		Bri_Officer
bri_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Bri_Officer
bri_officer_chariot	target_marker	rome_man_chariot_rider_javelin	officer		Bri_Officer
bri_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Bri_Officer
bri_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Bri_Officer
bri_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Bri_Officer
bri_officer_onager	target_marker	rome_man_onager_crew	officer		Bri_Officer
bri_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Bri_Officer
bri_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Bri_Officer
bri_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Bri_Standard_Bearer
car_officer	target_marker	rome_man_sword_shield_cavalry	officer		Car_Officer
car_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Car_Officer
car_officer_cherioballista	target_marker	rome_man_cheiroballistra_crew	officer		Car_Officer
car_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Car_Officer
car_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Car_Officer
car_officer_onager	target_marker	rome_man_onager_crew	officer		Car_Officer
car_officer_polybolos	target_marker	rome_man_polybolos_crew	officer		Car_Officer
car_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Car_Officer
car_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Car_Officer
car_standard	target_marker	rome_man_standard_bearer	standard_bearer		Car_Standard_Bearer
cel_officer	target_marker	rome_man_sword_shield_cavalry	officer		Cel_Officer
cel_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Cel_Officer
cel_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Cel_Officer
cel_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Cel_Officer
cel_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Cel_Officer
cel_officer_onager	target_marker	rome_man_onager_crew	officer		Cel_Officer
cel_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Cel_Officer
cel_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Cel_Officer
cel_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Cel_Standard_Bearer
dac_officer	target_marker	rome_man_sword_shield_cavalry	officer		Dac_Officer
dac_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Dac_Officer
dac_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Dac_Officer
dac_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Dac_Officer
dac_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Dac_Officer
dac_officer_onager	target_marker	rome_man_onager_crew	officer		Dac_Officer
dac_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Dac_Officer
dac_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Dac_Officer
dac_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Dac_Standard_Bearer
dk_ara_chariot_officer	target_marker	rome_man_chariot_rider_javelin	officer		dk_saba_officer_high_tier_javelin
dk_ara_officer_high_tier_chariot	target_marker	rome_man_chariot_rider	officer		dk_ara_officer_scythed_chariots
dk_kush_officer_high_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_kush_officer_high_tier_cav
dk_kush_officer_high_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_kush_officer_high_tier_javelin
dk_kush_officer_high_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_kush_officer_high_tier_lance
dk_kush_officer_high_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_kush_officer_high_tier_melee
dk_kush_officer_high_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_kush_officer_high_tier_spear
dk_kush_officer_low_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_kush_officer_low_tier_cav
dk_kush_officer_low_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_kush_officer_low_tier_javelin
dk_kush_officer_low_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_kush_officer_low_tier_lance
dk_kush_officer_low_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_kush_officer_low_tier_melee
dk_kush_officer_low_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_kush_officer_low_tier_spear
dk_kush_scythed_chariot_officer	target_marker	rome_man_spear_shield_cavalry	officer		dk_kush_scythed_chariot_officer
dk_kush_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dk_kush_standard_bearer
dk_nab_officer_high_tier_camel	target_marker	rome_man_camel_spear_cavalry	officer		dk_nab_officer_high_tier_cav
dk_nab_officer_high_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_nab_officer_high_tier_cav
dk_nab_officer_high_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_nab_officer_high_tier_javelin
dk_nab_officer_high_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_nab_officer_high_tier_lance
dk_nab_officer_high_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_nab_officer_high_tier_melee
dk_nab_officer_high_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_nab_officer_high_tier_spear
dk_nab_officer_low_tier_camel	target_marker	rome_man_camel_spear_cavalry	officer		dk_nab_officer_low_tier_cav
dk_nab_officer_low_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_nab_officer_low_tier_cav
dk_nab_officer_low_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_nab_officer_low_tier_javelin
dk_nab_officer_low_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_nab_officer_low_tier_lance
dk_nab_officer_low_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_nab_officer_low_tier_melee
dk_nab_officer_low_tier_spear	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_nab_officer_low_tier_spear
dk_nab_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dk_nab_standard_bearer
dk_num_officer_high_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_num_officer_high_tier_cav
dk_num_officer_high_tier_chariot	target_marker	rome_man_chariot_rider_javelin	officer		dk_num_officer_high_tier_javelin
dk_num_officer_high_tier_elephant	target_marker	rome_man_elephant_cavalry	officer		dk_num_officer_high_tier_melee
dk_num_officer_high_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_num_officer_high_tier_javelin
dk_num_officer_high_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_num_officer_high_tier_lance
dk_num_officer_high_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_num_officer_high_tier_melee
dk_num_officer_high_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_num_officer_high_tier_spear
dk_num_officer_low_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_num_officer_low_tier_cav
dk_num_officer_low_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_num_officer_low_tier_javelin
dk_num_officer_low_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_num_officer_low_tier_lance
dk_num_officer_low_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_num_officer_low_tier_melee
dk_num_officer_low_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_num_officer_low_tier_spear
dk_num_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dk_num_standard_bearer
dk_saba_camel_officer	target_marker	rome_man_camel_cavalry	officer		dk_saba_officer_high_tier_spear
dk_saba_officer_high_tier_camel	target_marker	rome_man_camel_spear_cavalry	officer		dk_saba_officer_high_tier_cav
dk_saba_officer_high_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_saba_officer_high_tier_cav
dk_saba_officer_high_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_saba_officer_high_tier_javelin
dk_saba_officer_high_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_saba_officer_high_tier_lance
dk_saba_officer_high_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_saba_officer_high_tier_melee
dk_saba_officer_high_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_saba_officer_high_tier_spear
dk_saba_officer_low_tier_camel	target_marker	rome_man_camel_spear_cavalry	officer		dk_saba_officer_low_tier_cav
dk_saba_officer_low_tier_cav	target_marker	rome_man_spear_shield_cavalry	officer		dk_saba_officer_low_tier_cav
dk_saba_officer_low_tier_javelin	target_marker	rome_man_javelin_sword_shield_cavalry	officer		dk_saba_officer_low_tier_javelin
dk_saba_officer_low_tier_lance	target_marker	rome_man_lance_cavalry	officer		dk_saba_officer_low_tier_lance
dk_saba_officer_low_tier_melee	target_marker	rome_man_sword_shield_cavalry	officer		dk_saba_officer_low_tier_melee
dk_saba_officer_low_tier_spear	target_marker	rome_man_spear_shield_cavalry	officer		dk_saba_officer_low_tier_spear
dk_saba_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dk_saba_standard_bearer
eas_camel_officer	target_marker	rome_man_camel_cavalry	officer		Eas_Cataphract_Officer
eas_cataphract_officer	target_marker	rome_man_sword_shield_cavalry	officer		Eas_Cataphract_Officer
eas_ele_officer	target_marker	rome_man_elephant_cavalry	officer		Eas_Officer
eas_officer	target_marker	rome_man_sword_shield_cavalry	officer		Eas_Officer
eas_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Eas_Officer
eas_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Eas_Officer
eas_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Eas_Officer
eas_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Eas_Officer
eas_officer_onager	target_marker	rome_man_onager_crew	officer		Eas_Officer
eas_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Eas_Officer
eas_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Eas_Officer
eas_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Eas_Standard_Bearer
ger_officer	target_marker	rome_man_sword_shield_cavalry	officer		Ger_Officer
ger_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Ger_Officer
ger_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Ger_Officer
ger_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Ger_Officer
ger_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Ger_Officer
ger_officer_onager	target_marker	rome_man_onager_crew	officer		Ger_Officer
ger_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Ger_Officer
ger_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Ger_Officer
ger_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Ger_Standard_Bearer
gre_elephant_officer	target_marker	rome_man_elephant_cavalry	officer		Gre_Officer
gre_officer	target_marker	rome_man_sword_shield_cavalry	officer		Gre_Officer
gre_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Gre_Officer
gre_officer_chariot	target_marker	rome_man_chariot_rider	officer		Gre_Officer_Cataphract
gre_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Gre_Officer
gre_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Gre_Officer
gre_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Gre_Officer
gre_officer_onager	target_marker	rome_man_onager_crew	officer		Gre_Officer
gre_officer_polybolos	target_marker	rome_man_polybolos_crew	officer		Gre_Officer
gre_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Gre_Officer
gre_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Gre_Officer
gre_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Gre_Standard_Bearer
ibe_officer	target_marker	rome_man_sword_shield_cavalry	officer		Ibe_Officer
ibe_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		Ibe_Officer
ibe_officer_cheiroballista	target_marker	rome_man_cheiroballistra_crew	officer		Ibe_Officer
ibe_officer_giant_ballista	target_marker	rome_man_ballista_giant_crew	officer		Ibe_Officer
ibe_officer_large_onager	target_marker	rome_man_onager_large_crew	officer		Ibe_Officer
ibe_officer_onager	target_marker	rome_man_onager_crew	officer		Ibe_Officer
ibe_officer_scorpio	target_marker	rome_man_scorpio_crew	officer		Ibe_Officer
ibe_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Ibe_Officer
ibe_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		Ibe_Standard_Bearer
ill_officer	target_marker	rome_man_sword_shield_cavalry	officer		Ill_Officer
ill_officer_spear	target_marker	rome_man_spear_shield_cavalry	officer		Ill_Officer_Spear
inv_app_officer	target_marker	rome_man_spear_shield_cavalry	officer		inv_app_officer
inv_app_standard_bearer_spear	target_marker	rome_man_spear_shield_cavalry	officer		inv_app_standard_bearer_spear
inv_app_standard_bearer_sword	target_marker	rome_man_sword_shield_cavalry	officer		inv_app_standard_bearer
inv_car_standard_bearer_fake_spear	target_marker	rome_man_spear_shield_cavalry	officer		inv_car_standard_bearer_fake_spear
inv_car_standard_bearer_fake_sword	target_marker	rome_man_sword_shield_cavalry	officer		inv_car_standard_bearer_fake
inv_etr_officer_ballista	target_marker	rome_man_ballista_med_crew	officer		inv_etr_officer_noarmor
inv_etr_officer_cavalry	target_marker	rome_man_spear_shield_cavalry	officer		inv_etr_officer_cavalry
inv_etr_officer_hoplite	target_marker	rome_man_spear_shield_cavalry	officer		inv_etr_officer_hoplite
inv_etr_officer_hoplite_sword	target_marker	rome_man_sword_shield_cavalry	officer		inv_etr_officer_hoplite
inv_etr_officer_noarmor	target_marker	rome_man_spear_shield_cavalry	officer		inv_etr_officer_noarmor
inv_etr_officer_noarmor_sword	target_marker	rome_man_sword_shield_cavalry	officer		inv_etr_officer_noarmor
